Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,One of the best movies ever made.,Sleepin_Dragon,n/a,15/08/2025,"Businessman Oskar Schindler saved the lives of many Jews, by employing them in his factories, this saving them from going to The Concentration Camps.This was, and will forever be, one of the best films ever made, not just the ultimate story of The Holocaust, but truly as masterpiece, one of the best.If you can sit through it without being moved to the point of tears, you're made of stronger stuff than I am, the atrocities committed on those innocent people will never be forgotten. The realisation here is chilling.The film's pacing is quite remarkable, it's a three hour film that flashes by quickly, but it's three hours that will live with you forever, some of the scenes will rightly never be forgotten.What has always struck me, is the way that everything became normalised, people first losing their businesses, their homes, their freedom, and ultimately their lives, it is truly one of the bleakest points in human history, that's what this film details perfectly.The Cinematography is incredible, it's understated, but perfect, fits the film perfectly, the sheer scale of it is so impressive. The scene with the little girl in the red coat has always been one of the standout moments.No wonder it won a string of Oscars, the acting is outstanding throughout, I have always regarded this is Liam Neeson's best ever performance, but Ben Kingsley and Ralph Fiennes are remarkable also.It's a film that informs, moves, and makes you think in equal measures. If you think it's going to be too much, I'd say this, it is very upsetting at times, but it does also give some real glimpses of hope, the remarkable human spirit.A jaw dropping, powerful movie, it's one of the best ever made.10/10.",False
2,10,Awesome,ebiros2,n/a,15/08/2025,"The movie started out pretty innocently, and for the first 20 minutes, I was wondering where the movie was going. Then it started to happen. The horrible cruelty of concentration camps. Oskar Schindler is an example of a man that no matter what the situation, there are people who won't go along with the cruelty of society. I'm sure it took courage to do what he did, because one wrong move and you'll be dead.Movie brought to life this great man who really shouldn't be forgotten, and thanks to Steven Spielberg, I think he'll be remembered for generations to come. Movie like this should be made once in a while. Not that movie should be used for evangelistic purposes but some story should be told well, and movie is still the best vehicle to do so.I still think that Oskar Shindler's last words in this movie was one of the best dialog in movie history - ""Why did I keep this badge ? I could have saved a person. Why did I keep this car ?, I could have saved five more people.""",False
3,10,"Whoever saves one life, saves the world entirely. ⭐",EVON1TY,n/a,15/08/2025,"As you may know there is lots of World War II movies. Some of them shows you the worst parts of war, this one is doing something better.Shows you the war is bad for everyone. Shows you een the little kindness is the greatest thing. Shows you ""Whoever saves one life, saves the world entirely.""I saw so many World War II movies, non of them gave me these feelings. Most of them are just too sided with USA. Some of them just made with fictional characters. And I don't know how but some of them says war is a good thing if you're shooting bad people.Besides one of the greatest historical Screenplay, the Acting Performances just superb. I don't imagine any better casting for any character. They all chosen well. With Liam Neeson's Schindler, Ben Kingsley's Stern and the great villain Ralp Fiennes' Amon Goth.Scores is the soul of the movie. John Williams mades you feel that.Cinematography is too great, watching this movie with these colors makes the movie too much realistic. I don't know how is it doing that. I know some of the movies are trying that when flashback scenes are coming, but most of them are not being successful at.Art Direction and Set Decoration is also too varied. They managed to do an enormous job. You feel the greatness in the movie with varied places and objects.",False
4,n/a,A SINGULAR ACHIEVEMENT,n/a,n/a,15/08/2025,"I have only ever seen this film once, I only ever want to see this film once and I will only ever need to see this film once. It is etched on my mind. I, like many others, left in silence.  I could not imagine inventing a critical analysis of this film, picking small points of detail or of style, or even scoring points off the Director. It stands alone as a monumental piece of cinema, a magnificent accomplishment.",False
5,10,"Bring me the heads of Hitler, Himmler, Eichmann n Mengele.",Fella_shibby,n/a,15/08/2025,"Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List.
Me n my kids cried during the pit scene.",False
6,10,You don't have to be Jewish to be touched by this response to inhumanity.,mark.waltz,n/a,15/08/2025,"SpoilerHistory has proved that the old saying, ""God makes mad first whom he intends to destroy"", and in the case of Nazi Ralph Fiennes in this Steven Spielberg masterpiece, that is oh, so true. Unfortunately, a lot of innocent people have to pay for that madness in the meanwhile, and that truly adds to the intensity of his madness as it increases and his vileness just gets more and more out of control.On the other end of the spectrum is Liam Neeson's Oscar Schindler, a businessman who knows by allowing the Nazis to take his Jewish workers away, his productivity will suffer. Selfish motives keep these innocent people from being sent to the death camps, and as Schindler learns the truth about the atrocities going on and becomes closer to the people who work very hard for him, he goes out of his way to keep the Nazis from going through with their evil plans.The atrocities you see here are things we can't fathom here in America. Innocent children are forced to hide in human waste to avoid discovery. An innocent woman prisoner with a background in architecture is brutally murdered after insisting that a building being constructed is doomed to collapse, after which the evil Fiennes simply orders his men to do what she suggested. Fiennes picks targets and guns them down, and also has Schindler's aged workers killed simply because he considers them too old to contribute. An innocent young girl in a red coat (the only color in this black and white movie) wanders around Warsaw as the ghetto is destroyed. Neeson almost looses his right-hand man (a magnificent Ben Kingsley) because of a paperwork mix-up. This culminates in the most daring of escapes from Nazi persecution, and that is where Neeson realizes the full effect of what's going on, breaking down in a scene that will have you shivering in your seat.I can't watch these movies without the temptation to scream at the Nazis on screen. Even in the most outlandish propaganda films of the war era, I tended to either applaud loudly or scream in delight ""Die, Nazi, Die!"" as the villain gets their come-uppance, either through brutal murder or the firing squad after a lengthy trial revealed their shame. Many of those times, my body was shaking so violently as sobs emerged from me that I was unaware I was capable of. You can't call these feelings manipulation by the direction; Spielberg obviously felt a passion for the story he was telling, as if he knows that this can cross over into any race, any culture, any religion.Rarely in recent movie history has it been so obvious when a film was released that it would sweep the Academy Awards, and ""Schindler's List"" truly deserved every honor which it received. Some stories are so painful that you can't go back and watch them easily; I find that every so often, I need a movie like ""Schindler's List"" to remind me of how vile humanity can be, and how one compassionate human being can change the course of history for so many. The finale with real-life ""Schindler Jews"" honoring their hero is truly awe inspiring and is certainly what you can call triumph over tragedy.",True
7,10,Amazing!,crawdidd424,n/a,15/08/2025,"This Movie was sensational. It was a piece of art along with being informational. It told people about the holocaust, and it also told people about the human spirit. It shows how people can just triumph over anything with just some help from one person The things that Spielberg did with the movie was incredible too. The black and white was genius, and how he had the little girl in red and the fire was phenuminal. I have never seen anything like it, Schindler's List is beyond all words.",False
8,10,"Stunning film, indeed. Without a doubt...",arahansehrawat,n/a,15/08/2025,"Schindler's genius is in bribing, scheming, conning. He knows nothing about running a factory and finds Itzhak Stern, a Jewish accountant, to handle that side of things. Stern moves through the streets of Krakow, hiring Jews for Schindler. Because the factory is a protected war industry, a job there may guarantee longer life. The relationship between Schindler and Stern is developed by Spielberg with enormous subtlety. At the beginning of the war, Schindler wants only to make money... and at the end he wants only to save ""his"" Jews. We know that Stern understands this. But there is no moment when Schindler and Stern bluntly state what is happening, perhaps because to say certain things aloud could result in death.",False
9,10,Best movie,ispaseugen,n/a,15/08/2025,SpoilerThis is the best movie i've ever seen.I liked very much how an ethnic German businessman saved the lives of more than a thousand mostly Polish-Jewish refugees from the Holocaust by employing them in his factories during World War II.And the best part is that the movie is black and white with only 1 color for specifically reasons.,True
10,10,Stunning; Spielberg's Greatest. Top 💯 All Time Best Films,Instant_Palmer,n/a,15/08/2025,"Leaves one speechless - Moving, somber, and horrifying. One of Humankind's worst moments - Something no one should ever forget. This is filmmaking at its finest. Even with 7 Oscars, deserved more. On par with the greatest films ever made. Certainly cemented Steven as one of the greatest filmmakers to walk the planet. A personal labor by Steven, it is clearly something he felt compelled to do, and it shows in the intricate detail of every scene. ""Schindler's List"" is nearly flawless in every category. A must-see film for reasons beyond entertainment.🙏",False
