Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Artistic Inferno at the House of LaForge,do_phto,n/a,16/08/2025,"SpoilerA Life of Art is a nightmare-ish vignette uncovering palimpsestic allusions of the artistic and historical past of contemporary New York artist, Scooter LaForge. It is a decisive menage of personal and collective memories transcribing his long interrogation of the twentieth century's most recognisable cartoon characters. The film recalls with intensest vividness, his earliest electronic nanny programming, spliced with well observed commentary from outstanding American fashion forecasters, music legends, and avant-garde magic-makers.LaForge's paradigm may intertwine storytelling, aesthetics and an archeology of his own fruity past, but his imagery speaks not for the feint hearted. His collaboration in an expanded field with Ethan Minsker's gifted film editing and direction, combines usually censored materials and technologies to synthesise art's oldest theme: the celebration of life juxtaposed with the terror of mortality.Highlighting where thoughtful investigations of modern issues co-exist with puerile humour, sexual obscenity, and violence in comedy, the modus operandi of the film begets its stereophotogrammetry graphics. There are smeared animated glimpses of phantasmagorical squiggles that ejaculate colored stains into images of self-sucking masturbators which give the audience a volumetric type of dimensional felatio into LaForge's world. Acknowledging a debt to artists such as Bosch, Goya and The Chapman Bros, what ultimately takes root here is a prolific visionary's saucy canvas tales becoming embedded in our thoughts using theatrical fluidity of brushstroke, and a true riot of color. In paintings like 'Severed Hand', I see crimson ribbons menstrate roses from unhinged safety pins, hyperdermic needles perforating used condoms in all kinds of unusual places, while a white kitten urinates over a smiling fire-hydrant with all the deft fracture and psychological intensity of an apocalyptic feline firefighter. And that's not all folks!LaForge's oeuvre is full of metaphysical contradictions at once melding the squeegee scrape of Richter's post-photographic abstraction, with the corporeal deformity of a Bacon portrait. Certainly! Here is the sentence with corrected grammar:""In the spirit of Fluxus and Dada, there is an honesty in LaForge's postmodern appropriation of fashion symbols and anime, often drawing likenesses with the purpose of politicizing or ridiculing the subject. ''Talking Monsters' are like kinetic avatars, recycled from sidewalk matter, assembled and painted with equanimous societal values while watching fact and fiction anal intercourse.For me, A Life Of Art abbreviates the way LaForge dismantles but what it misses is what the artist withholds. I'm left longing to penetrate below the surface and decipher the ordinary of LaForge's life; where his legacy is at its most sexy. The artist's tenderness to surrender, as the studio lift elevates, is a very attractive point of arrival but it is here in the storyline the film needs to educate us more to grow.What I do love about the film and LaForge himself, is the comfort of knowing that all radical stimulus in art and life, comes without warning. I am reminded of the young poet Voung (2019) teaching, 'We make more of anything we find aesthetically pleasing...we reproduce it to keep it and extend it through space and time', which encapsulates poetically the serenity in LaForge's work.Don't scooter past scrolling without first groping a Bo-Peep at this man's first early biopic. It is only a matter of time before you'll catch art lovers above 14th St queueing overnight to purchase of a pair of custom-made Studio LaForgeous testicular spectacles for a 3D streaming version.",True
2,8,Super rad if you're into artsy stuff and activism.,oliviaphilip,n/a,16/08/2025,"This movie about Scooter LaForge is super rad if you're into artsy stuff and activism. Scooter's, like, this cool New York dude who's totally grabbed the art world's attention with his wild creativity. The movie's okay, I guess. Scooter talks a lot and he's pretty interesting but there are too many people talking, and it's kinda overwhelming. I mean, it's cool to hear about his life, especially his struggles growing up, but sometimes it's like, too much. His art is influenced by, like, all over the U. S. and it's all about social issues, like AIDS, BLM and stuff, and he talks about it a lot. His art's like a time capsule, showing all these important events. Overall, it's a bit all over the place, but it's still kinda cool to learn about this edgy artist.",False
3,10,An art doc that is art,alanl-35503,n/a,16/08/2025,"A refreshingly stylized documentary on an incredible artist. Minsker injects his visual style and a ""wall of sound"" that drives the storytelling in a compelling and entertaining way. Many documentaries can rely too much on talking heads, but Minsker uses them in a balanced way along with interviews with LaForge and captures the artist as he rises in prominence in the New York art world.It doesn't linger long on LaForge's early days growing up or time in San Francisco, but gives you enough to understand where he came from.I was fortunate to see the documentary in an old opera house at the 7th annual Jim Thorpe Independent Film Festival in Pennsylvania.",False
4,10,Excellent Documentary,mrcthedj,n/a,16/08/2025,"From his early years as an odd man out to his drug fueled years in the swinging seventies and eighties, all the way up to the pivotal marches, Covid-19 and social upheaval of the polarizing 2020s; this doc covers Scooter LaForge's undeniable impact. A contemporary of the likes of Kieth Haring and Gail Thacker. His influence is timelessly infused within the fabric of LGBT culture during the highly romanticized days of old New York. He painted everything: Canvases, Sculptures, and even people! His artwork appears on a remarkably unique clothing line, worn by the socialites and punk rockers alike, including Debbie Harry. This is a great doc. It's the story of an artistic icon you might not realize you need to know.",False
5,9,A gem of a film!,craigahrens,n/a,16/08/2025,"I had no idea what to expect when selecting this wonderful gem of a film. The trailer captured my interest so I thought, why not. Boy am I glad I took a flyer on this film. This an area of art world I know very little about. That's what really captured my interest. I found myself wanting to learn about this and I wanted to learn about Scooter and his art. I quickly realized this was a whole thing. I mean a culture of its own. A culture very foreign yet intriguing to me. I thoroughly enjoyed the humanity of this film. The reflecting on Scooters career and how so many can relate to similar career struggles. I appreciated how writer/director Ethan H. Minsker presented this documentary. Meaning, it didn't drag. I didn't find my mind wondering off. It moved along at a very nice pace. I believe myself to be a hard critic and there were no flat spots in this terrific documentary for me. I soundly give this gem of a film two thumbs up!!",False
6,n/a,A Visually Stunning Glimpse into the New York City Downtown Art Scene,n/a,n/a,16/08/2025,"""Scooter La Forge, a Life of Art"" is a visually stunning glimpse into the New York City downtown art scene and the fascinating life of the popular neo expressionistic artist. The main attraction is director/producer/writer Ethan Minsker's use of visual effects and compelling animation. Minsker employs his own creative use of electrifying images, such as Scooter's mother talking about her son through a cardboard TV set, to enhance our understanding of the artist's journey, from his humble beginnings as a bullied gay youth, to San Francisco's 90's club scene, to becoming the darling of the New York art world.Intertwined are interviews with Patricia Field and Michael Musto. Scooter offers valuable advice to young artists, mostly by teaching them to be adaptable with their environment. Scooter paints his message of love on just about anything - using found objects such as clothing, sculpture and murals. The main thrust of this movie is love. This movie is a work of art itself.",False
7,10,A must-see.,lmedle,n/a,16/08/2025,"Never have I seen an art documentary so immediately arresting and disarming than Ethan Minsker's new masterpiece ""Scooter LaForge: A Life of Art"".The film begins with a few frames of what look like humble handheld footage shot in Manhattan's Lower East Side, with the filmmaker trekking forward into a teeming art gallery. But then the experience begins: hand drawn animations start sneaking their way in, worming their way around and through the art works, before growing and proliferating in colors.It's hard to review this film without getting carried away with a discussion of its formal qualities. Yes, Minsker has packed every single millisecond of this film with something unexpectedly artistic: hand drawn animation, text, digital 2d animation, stop motion, claymation, cutouts, and I honestly don't even know what else; this thing is just teeming with artistic abundance.As these formal qualities are exploding on the screen, we meet our subject: the artist Scooter LaForge who immediately treats us to an explanation of their surrealist philosophy. They profess to practice psychic automatism, in which they deliberately shirk logical deliberation in favor of pure flow state (as he rides his elevator to his expensive Tribeca art studio, he tells himself to ""get dumb and stupid."") What makes all of this work is the equal parts dazzling and dizzying editing Minsker has performed on the film. Minsker gleefully acquaints us with Scooter's art, which is dirty, random, beautiful, aggressive, deep, and pulsing with some kind of socio-cultural consciousness. Minkser lets the art rip, and doesn't hold back on the visual overload that results. Maybe it's this marriage of Scooter LaForge's bold and brash revival of neo-expressionism with Minsker's equally creative editing style that gives us no choice but to believe that Scooter is the real deal. Or maybe it's seeing Beyoncé wear his work on the red carpet. Perhaps it's both.The most interesting aspect of any artist who labels themselves as engaging in ""psychic automatism"" is that even if their psychic process is automatic, it's still psychic. Scooter's art may defy and even satirize a fine art reading, but it can't escape art history; none of us can. But more interestingly, Scooter can't escape his own history. Something made this beautiful, wild man, and there's a culture and society that raised him. Though Scooter's art feels abstract, it's actually constantly representational. He seems equal parts inspired by cartoons as he is Rembrandt and the erotic murals of Pompeii. His work is arguably a formal improvement on Basquiat, adding more play and identification to the semiological vomit that made neo-Expressionism so exciting.Scooter tells us his reading material of choice in elementary school were the journals of Andy Warhol, and we aren't surprised. We are amazed though when his journey takes us from his cartoon-filled childhood to holding a bona-fide place in art history.I read the film as a portrait of the forces that undergird Scooter's automatism. We're taken through the critical life experiences that nudged them one way or the other, towards one idea or another. The details of their life are important and exciting, but it's the whole picture that Minsker renders that's so powerful. Scooter LaForge: A Life of Art leaves us staggered and in a state of wanting to cry. Only we're too intrigued by its playfulness to do so.Scooter doesn't profess to know what his place in art history will be, because he isn't an art historian. Well, luckily Ethan Minsker is, and the gift he has given us here is formidable. A must-see.",False
8,9,In-depth Look Into The Life of Artist Scooter LaForge,loveroffillm,n/a,16/08/2025,"SpoilerIt is fascinating to learn what brings art out in an artist and this documentary shares just that. The soundtrack and visuals used in editing added to the effects of the story in a way that was engaging, beautiful and it makes it feel like a true immersive and artistic experience. It is heartbreaking to learn the dark sides of life that people go thru and uplifting when you see someone who is fortunate enough to leave behind a toxic life. So is the life of LaForge. It was inspirational to witness him make his magic from a healthy place as opposed to so many others who have not been so lucky.His work of art is a self expression of his thoughts, ideas and creativity and we get to see so much of it thru the film. We also get to witness his imagination on screen by use of visual edits.I am glad I came across this documentary and that I learned about an artist I hadn't heard of before. I will definitely be following his work and hope some ends up in museums where they belong!A little spoiler here - Chanel copied his design! Bravo!! Definitely a recommended film!",True
9,9,Unveiling Mastery: Ethan Minsker's Cinematic Tribute to Scooter LaForge,jzmurdock,n/a,16/08/2025,"Ethan pinged me the other day to see if I would watch his new documentary about artist, Scooter LaForge.""Sure, I'd be happy to!"" As always.It took several days to finish my current project and finally get around to viewing his latest film.A few minutes into the film I remembered why Ethan's one of my favorite documentary filmmakers, realizing I should have put it on sooner.A ""creative"" documenting another ""creative"", an artist making a film about another artist, doesn't have to be the best art documentary you've seen. But in Ethan's case for some reason, it always is. As I've lived in both places, Scooter's life in New York City and his connections to the southwest, resonated with me. His time in San Francisco are also quite interesting, as is his personal history at large.With Scooter LaForge as his subject, you discover he's one of the greatest artists you've never heard of. Although many have. Especially other artists.Huffington Post:
""I BRAKE FOR SCOOTER LAFORGE.""
For good reason and I thank them for that.Here's the esteem I hold Ethan in as a filmmaker. In 2022 I produced a WWI documentary/art film that won a lot of awards around the world.I can't help now but watch Ethan's film and imagine how much better my film would be, had he also worked on it.If you like Art, or are striving to be an Artist, one thing you always learn from Ethan's films is there's a lot going on out there you just don't know about.So if you love Art, if you love Unique Characters, if you love stories told about them in creative and engaging ways? Definitely check out Ethan Minsker's.""Scooter LaForge, a life of art""!",False
10,9,Mesmerizing journey,adorjanmarcel,n/a,16/08/2025,"Initially unfamiliar with the subculture depicted in the film, I was pleasantly surprised to find myself connecting with Scooter's art on a profound level. Coming from a background of more traditional paintings that resonate with my own experiences, I was intrigued by how Scooter's art spoke to individuals whose perspectives I hadn't previously engaged with. It offered me a glimpse into a realm where life is perceived through a different lens, expanding my understanding of creativity.The documentary aslo raised intriguing questions about resilience, creativity, and the transformative power of art in the face of adversity.Ethan's presence in the documentary added an intriguing layer to the narrative, blurring the lines between filmmaker and subject. Witnessing the dynamic interplay between artist and filmmaker, and the collaborative process that unfolded between them, underscored the profound connection between life and art. It was a poignant reminder of the beauty that emerges when individuals come together to create something greater than themselves.Furthermore, the cinematography in the documentary was truly captivating, seamlessly blending the 'real' with the artistic, and transporting viewers into a world teeming with creativity and expression. The camera work allowed me to become a silent observer, navigating through Scooter's world with a sense of awe and wonder.In conclusion, ""Scooter LaForge: A Life of Art"" is a mesmerizing journey that transcends boundaries, inviting viewers to explore the transformative power of art and the beauty of human connection. It is a testament to the resilience of the human spirit and the capacity of art to inspire, uplift, and transform lives.",False
