Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,People Don't Understand,rickspung,n/a,16/08/2025,"SpoilerMost of Playboy's 'golden years"" were the 60s, 70s and 80s. There were no sexual harassment laws then and few workplace rights laws. A lot of reviewers don't understand this, possibly because they didn't have jobs in those years.Hefner was smart. He controlled all of his press. He never had tough questions in interviews. They were always positive. He invited journalists, cops and politicians to his parties where he could video and audio tape them doing various things.There was no Internet then and no cable news channels. It was easy to hide the truth.People say ""Why didn't these girls know better?"" Easy- they were told over and over again that they would be safe and they were respected. It was all a lie, but even after they were victimized, where could they turn? There was no DNA testing technology back then. The authorities were compromised, as I earlier described.Even the butlers and security guys were threatened with instant termination if they intervened when a girl was getting assaulted.It's a sad story. Everything changed in the 90s and after that. Now justice is easier to get. Back then there was no justice. Especially in Hollywood. The authorities had been covering up scandals since the 30s. They were experts.",True
2,8,Well done!,cockezville,n/a,16/08/2025,"Time that Hefner and his malignant narcissistic lifestyle was exposed. The guy always disgusted me with his insincerity and his slimy persona. When I saw Bill Cosby's face I knew the mansion was a place darkness and evil, and that Hefner had no interest in the girls. I had a friend who was a bunny and she could attest to the conditions they were forced to endure- weight checks, horrific inhumane uniforms, swollen feet, and a demerit system
And the whole bit about Don Cornelius was just disgusting. He should have rotted in jail. I have only seen 4 episodes- looking for the next 3 in season 1. I wonder why Barbi Benton has not spoken up.",False
3,8,It just gets worse and worse,mls4182,n/a,16/08/2025,"We all knew Hefner would have few if any women interested in him if he didn't have the power to promise them opportunity. He was the hero of incels everywhere. These poor women all look cartoonish.He obviously couldn't appreciate and love real ladies.The allegations are shocking but unfortunately, believable. Of course he had to abuse and use women. He had probably been limp the last 40 years of his life and he resented the fact that women were with him for exposure.I always knew he was a despicable creature.",False
4,10,Very deep dive,enaglak,n/a,16/08/2025,"Very deep dive into what really happened within playboy. I really appreciate the older women's interviews showing how long this has gone on. All the reviews blaming the women can eat it. Pathetic, privileged people.",False
5,7,slow moving but very real,lorri-28858,n/a,16/08/2025,Slow at times but impactful to really listen to these women and men talking about the dark side of this business. Too bad so many people were hurt for the sake of selling magazines and making money.,False
6,10,Insightful,tforbes-2,n/a,16/08/2025,"Spoiler""Secrets of Playboy"" isn't perfect, but it paints a picture of a cultish situation that I am familiar with. Add to that the power that comes with money and celebrity, and the picture that emerges here is not a surprise.But it is a truly sad story.While I enjoyed the nudity and the great articles that appeared in the magazine (including the interviews), I was no admirer of Hugh Hefner. And that world looked too much like a fantasy to me to be really believable, especially when these women looked so impossibly gorgeous when compared to those I would see around in Upstate New York and New England.I am glad these women are stepping forward to tell their tales. And if they are doing so after Hugh Hefner's death, it is not surprising, given the power he had on so many levels. I'm sure not all of the Playmates would agree with what is presented here, but so it goes.As for the dynamics of the situation, I did say earlier that I know this for myself, albeit in a different setting. But when you already are dealing with people who got damaged, and you have those who are predatory, then you have a real potential for that perfect storm. No more, no less.",True
7,n/a,"Somewhat surprising, however...",n/a,n/a,16/08/2025,"When looking back at the men whom were always in attendance at the Playboy mansion parties (Cosby being the one to stick out the most), how would anyone possibly find it the least bit surprising to hear that the men mistreated the women up there at the mansion?!",False
8,10,Horrendous...,eskimosound,n/a,16/08/2025,A brilliant documentary series. One can only imagine the horrors these women have gone through. Thank goodness they have come forward. The world of sex and sleeze was certainly a lot darker in the 70s and 80s...This is an incredible look into a dark world that made me realise that Playboy rather than being a corporate company was a weird Sex Cult that trafficked young women and trapped them. So successful was Hefner with his facade that it has taken till his death for these women to feel safe enough to come forward. It's heartbreaking and I hope humanity will learn a lesson.,False
9,7,Milking a sleazy corpse,jollyjumpup,n/a,16/08/2025,"If you're in the mood for sleaze, this series delivers bucketloads. But as with any documentary series, especially one in which most of the witnesses are peddling books or have other agendas, it's important to read between the lines and separate the chaff from the wheat.The series is built on behind-the-scenes peeks into Heffner's hedonistic kingdom and vengeful blowback delivered by former associates. If all of the personal allegations made against ""Heff"" are true, he was a highly amoral deviant. But the most damning allegations come from single sources, notably former lovers like Sondra Theodore and Holly Madison who by their own admission remained at his side for years after discovering his dark side. With the late Heffner unable to defend himself, it's up to the viewer to accept or reject their claims.What is supported by many witnesses is that Heffner was a jaded libertine with a taste for drugs and a stable of $1000-a-week concubines, including the two above-mentioned sugarbabies now eager to let the world know what a monster he was.So we're left to choose between the glowing praise of Heff's male and female friends and the admirable fact that he was an early proponent of equal opportunity for minorities - or the claims (to be blunt) of a self-admitted bisexual coke whore who was happy to enlist other women to do the perverted things she loathed and an apparent gold-digging barracuda, both of whom came to the Playboy mansion with their eyes set on snagging a very lucrative prize for themself, and ultimately failing.But the sleazy allegations don't end with Heff. The Playboy empire included clubs and promotions and a magazine. Here the testimony is more convincing, coming from well-spoken former execs like Miki Garcia and PJ Matten whose only goals were to move up the corporate ladder, albeit at a company built on the exploitation of the female body. It's no surprise that the male execs were sexist pigs, but anyone who lived through the ""sexy 70s"" probably worked in a similar sexually charged environment, something these women might not even realize.None of this excuses Heffner or the piggish execs or rapist celebrities. There's plenty of genuine outrage to be had here. Some of the most satisfying moments are when Garcia and Matten name names and show pictures of the executive offenders. One only wishes they had gone to the police or the press to blow their whistles when it would have mattered, instead of doing business as usual and crying about it later. That is the lesson to be learned.",False
10,5,Equal Parts Fascinating and Repetitive,hardestheartedharlot,n/a,16/08/2025,"This could have been condensed into two hours. After a time nothing new is said. I expected the interviewer to ask the hard questions of those who witnessed assaults, brutal beatings and rapes and did nothing about it, but those questions never came. So much is missed in this documentary. Give us the names of all the men involved. Tell us who in the police department was in Playboy's pocket. Take to task the parents who signed their daughters and their bodies over to Playboy when they were still minors. We see women of all ages give their accounts and notice the ravages of time, drugs and trauma on their faces. Aside from rape, there's another commonality between these women. There's no light behind the eyes, they are detached, uncoupled, gone!",False
