Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Don't be side tracked by the obvious twist.......there is more than one,Tania_Chesala_R,n/a,15/08/2025,"SpoilerI know there is already a spoiler warning up top but I am going to warn you again. Don't read this because I am going to give everything away.I had this movie all wrong I will admit at the start I didn't get it and I was angry but after having a chat with my friend who went with me we both gasped when we realised what happened. The twist wasn't that he was the inpatient (seriously I think everyone saw that coming from a mile away!) the twist was the intervention actually worked. He was cured, he deliberately made it look like he relapsed because he did not want to live with the memory of what happened to his family. He blamed himself for ignoring that his wife was clearly unstable. The line ""would you rather die as a good man or live as a monster"" Depicted he wanted to die as a good man (lobotomized) then live with the memory of what happened. Also the symbolism of fire and water tells you when he is hallucinating (fire) and when he is lucid (water trickling through.) The delusion he concocts to save himself from accepting the truth is that his wife died in a fire. All the people he talks to surrounded by fire is a hallucination – the woman in the cave, the patient in the cell, the scarred faced man who he thinks killed his wife, the car blowing up – all a delusion. The water symbolizes reality trying to break through. He is afraid of water – ( and rightly so!His kids were drowned, they all died in front of the lake.) Also at the start he says he gets 'sea sick' – he is mortally afraid of water. He has to swim to get to the lighthouse.To truly get the best affect of this movie you have to see it more than once. (I have only seen this once but I promise you I will see it again)I think John Anderson from the Wall Street Journal got it right when he says the film -""requires multiple viewings to be fully realized as a work of art. Its process is more important than its story, its structure more important than the almost perfunctory plot twists it perpetrates. It's a thriller, a crime story and a tortured psychological parable about collective guilt.""",True
2,9,One of the most memorable plot twists of this decade,jackgdemoss,n/a,15/08/2025,"I originally saw this film when it came out but couldn't remember it well enough to give it a rating or write a review, so a rewatch was in order. I viewed the film through the lens of already knowing the plot twist, which made it a whole different experience. The ending will be remembered throughout film history as one that showed just how viciously a well written script can flip an audience over. This really is a film you should see twice.",False
3,9,Shutter Island is at the top of its genre,napierslogs,n/a,15/08/2025,"Martin Scorsese has done it again. He pays attention to every detail in this film, making ""Shutter Island"" one of the best suspense thrillers of all time.Visually intriguing, simplistic and absolutely phenomenal. The story is kept simplistic enough so it doesn't get absurd, but allows for an ending which you probably won't see coming. The film doesn't go for cheap thrills, so although you will be on the edge of your seat you won't get needlessly scared.The film uses everything at its disposal from breathtaking scenery, to detailed laid-out shots, and to actors at their finest to completely engross you in the film. I loved every minute of it and highly recommend it to everyone. Even if you're not a usual fan of the genre, this film has so much more to it.",False
4,10,The movie is perfect psycho drama,ruhsa,n/a,15/08/2025,"SpoilerShutter Island is the story of Teddy Daniels, A U.S. federal marshal sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.This is also a film I would recommend seeing a second time. In fact, it is even better the second time. All those pieces of that puzzle you didn't catch the first time, you will the second. You see, we as the audience are first put in the shoes of Teddy. The second? Well, without giving too much away, lets just say you are put in someones else's shoes entirely during the second viewing.Shutter Island. A film that will make you question your own sanity. A film that will leave you breathless. A film that has re-ignited the thriller genre. A film that will leave you, and the main character, searching for answers.",True
5,10,"""Men like you are my specialty, you know?""",classicsoncall,n/a,15/08/2025,"SpoilerThere are a number of films I've seen more than once, and if they're good (the only reason really, to watch them again), they become a richer experience and one gains a greater appreciation of them. ""Shutter Island"" might be the only picture that on subsequent viewings, becomes a DIFFERENT film from the one originally seen. I say this because the first time around, there's no way to take the character of Teddy Daniels (Leonardo DiCaprio) other than at face value. He's a detective investigating a missing person case on an island. Not your normal island, but one that's home to an institution for the criminally insane. Every interaction he has with a character in the picture is one between himself, Detective Daniels, and that character. As we come to learn, all that changes when Dr. Cawley (Ben Kingsley) reveals the twist near the end of the story, at which point, one is left either totally disillusioned or utterly blown away.What's unique and brilliant about the writing here is evident upon a second viewing. What we now know to be true about Teddy Daniels becomes even more evident. We're able to understand that in Teddy's first meeting with Naehring (Max von Sydow), Naehring is actually speaking to Laeddis. Yet those references to Laeddis/Daniels' 'defense mechanisms' could have been offered and taken either way. George Noyce (Jackie Earle Haley) was speaking to Laeddis as he had no reason not to. The vision of Rachel Solando in the cave was warning Teddy that he had no friends, and that there was no way off the island. This was a way for the viewer to understand that in some small way, Teddy/Laeddis was conversing with himself, sometimes with clarity and other times delusionally. The Warden (Ted Levine) is clearly speaking directly to Laeddis when he picks up Teddy after his night in the cave. This is all so masterfully done that even watching the picture multiple times, it's amazing to pick up on the nuance that went into developing the story.Now I have to admit, the first time I saw the picture and it became apparent that Teddy Daniels was Laeddis, I wanted to blow it off as one of those cheap constructs that film makers are prone to indulge in just to play with the viewer's head. But somehow, this was different. This was a study, a grand two day experiment if you will, designed to force Laeddis to come to terms with himself and what he had done to become confined to an institution. The way the whole story evolves is fascinating to watch, almost like watching the making of the movie instead of the movie itself. I've seen ""Shutter Island"" three times now in the space of about a month, and I know with certainty that I'll be watching it again. There's not many films I can say that about, but this one just begs it, almost like a patient requiring your uninterrupted attention.",True
6,10,No one likes to be messed with.,stednitzrules250,n/a,15/08/2025,"Shutter Island. A film that will divide the film community. A film that will leave many upset, and hating it. A film that has already completely split the critics. A movie that messes with you. And no one likes to be messed with. And that is exactly where it exceeds. Think I'm contradicting myself?Shutter Island is one of the most well crafted psychological thrillers to come by since Silence Of The Lambs. And it is no coincidence both were brilliantly written novels. Shutter Island is adapted by a book written by Dennis Lehane (wrote gone baby, gone and mystic river). It is a book filled with twists and turns, that will leave the reader dizzy. And, that is what it's film counterpart does to the fullest. Martin Scorsese helms the director chair, in a movie where he is more free than any before. This is Scorsese at his most unrestrained.Marty takes what he has learned from the great films of the past and puts it into his. The master of suspense Alfred Hitchcock's influence is everywhere you look in this film. And it is no wonder, considering Scorsese even showed one of his greatest works to the crew: Vertigo. And many of those ideas are present in Shutter Island; the cliff scenes scream Hitchcock. This is a film that creeps and crawls, and is filled with dark corners. And it is all heightened by the coming storm that looms over the island. This is classic film noir.The story follows Teddy, a federal Marshall, and his partner Chuck (Played by DiCaprio and Ruffulo). They go to this mysterious island enveloped in fog to investigate an escape. From these opening scenes, Marty has set up a dark and creepy premise.Almost the whole movie incorporates this story as Teddy desperately tries to find the truths he seeks. Teddy is shown as a scared man; a man of war and violence as portrayed in various flashbacks. These will go on to be increasingly important as the story progresses. We follow Teddy on his quest, through every dark corridor and perilous confrontations. Slowly, we are given pieces to the puzzle, but the audience does not even realize it. For we, like Teddy, are blind. For the moment at least. It is because of this that the thrilling conclusion will leave many blindsided. But, you see, that is where this thriller becomes something more. We as the audience are put in Teddy's shoes, and we feel all the things he feels. It is a complete assault on the senses, and it works beautifully.This is a film you must watch carefully. That is another thing that sets this apart, it is a horror film that makes you actually think. In this day and age, I'm not surprised some found it terrible esp. after their brains have been turned to mush by these new gore filled horror films. Scorsese's ultimate goal here is to wake you up. And trust me, you probably wont like it.This is also a film I would recommend seeing a second time. In fact, it is even better the second time. All those pieces of that puzzle you didn't catch the first time, you will the second. You see, we as the audience are first put in the shoes of Teddy. The second? Well, without giving too much away, lets just say you are put in someones else's shoes entirely during the second viewing.Shutter Island. A film that will make you question your own sanity. A film that will leave you breathless. A film that has re-ignited the thriller genre. A film that will leave you, and the main character, searching for answers.10 out of 10-CLS",False
7,10,Movie of the decade.,NpMoviez,n/a,15/08/2025,"It is one of the best movies made by director Martin Scorsese. It is perhaps the best movie starring Leonardo DiCaprio. Honestly speaking, it is one of the greatest films of the decade. DiCaprio featured in two movies in 2010, the other one being ""Inception"". Both were excellent. To this day, they are some of the best cinematic experience I have ever had. That being said, I found ""Shutter Island"" to be much more superior, as ""Inception"" feels a little bit of a mumbo jumbo many times.Good.
""Shutter Island"" is simply a masterpiece. The beginning of the movie suggests a very basic plot of a detective story, possibly a thriller. As the movie progresses, the plot becomes bigger and bigger with more and more complexity added to it. The way this happens is incredible. The pacing is really good. That is what makes the movie so interesting. And, even though the movie gets more complex, it is not difficult to keep up with the major plot points. And, the final twist is one of the best plot twists I have ever seen. I did not expect it at all. And, like the main character portrayed by DiCaprio, we are not ready to believe what is being told until a lot of reveals finally convince us. There are a lot of many things that might seem to be pointless before the final twist which are totally relevant with the story that is actually being told. The character of Edward Daniels is superbly written. We get to know where the character is coming from and we can get behind the character - yet another excellent thing about this movie. There are some dream sequences that seems like a filler, but is a major indication to the reveal. There are quite many ""illusions"" which feel very real, but carry no real meaning in the end. There are many additional things which may seem like a diversion from the story being told, but are actually enhancing it. Some dialogues between the main character and an imprisoned character get a very different interpretation after it's all set and done. So much of a complex story, yet no giant inconsistencies at all. It's just superbly written and directed and acted. It's totally different from ""Memento"" (2000) but still, has a lot of similarities. We get into the main character's head and we just get his interpretations, different types though. Towards the end, we don't want to step fully outside his head, but when we finally do, it's mind blowing. The ending moments were conceived by many to be confusing. But, if you keep up with the entire story, it's meaning is quite obvious. The movie is dark and psychologically engrossing. Yet it does have a short lived and very brief happy moment with the tiny plotline involving Dr. Cawley's motives. That's all I can say without getting into complete spoilers. Leonardo DiCaprio, Mark Ruffalo and Ben Kingsly have given some of the great performances till date. I don't have anything that bugged me. So no mixed or bad aspects of the film.Conclusion.
On the whole, for me, it's the movie of the decade. The decade is almost over, and still I have not got any movie in the league of ""Shutter Island"". It's a very engaging and thrilling movie. It's one of those films I consider to be an all time great.Rating.
Score : absolute 10/10
Grade : A+",False
8,10,love this movie highly recommend.,0U,n/a,15/08/2025,"Visually beautiful, wonderfully acted, and relentlessly gripping, Shutter Island is a brilliantly unrestrained psychological thriller that keeps its audience riveted throughout its entire duration.",False
9,9,All it Takes is One Line of Dialogue to Make an Impact...,TheDeadMayTasteBad,n/a,15/08/2025,"There is one line of dialogue, right at the end of Shutter Island before the credits roll, that elevates the emotion of the film and makes it much more powerful. For those of you, like me, who read and enjoyed the novel before seeing the film and felt that the trailers and advertisements for this film were leading you to believe there wouldn't be any narrative surprises in store, think again! Scorsese's film features that one brief piece of dialogue at the films conclusion that results in an entirely different perception of the final act. The rest of the film, however, is very faithful to Dennis Lehane's already great story.Shutter Island represents exactly what one should hope for when seeing a novel being interpreted to film. While it certainly does the source material justice, it also adds small changes that make for a distinctive experience. Even if you've read the novel multiple times, you'll feel like you're reading the book for the first time again while watching. Scorsese perfectly recreates the menacing atmosphere of the island on film. Every location is foreboding and drenched with hints of unseen danger in dark corners. The lighthouse, the caves, the civil war fort housing ""the most dangerous patients,"" and the island itself--every locale seems large yet claustrophobic and isolated at the same time.I often experience claustrophobia myself and there are certain films that really capitalize on that personal fear and make it more relevant and eerie to me. Neil Marshall's The Descent was one such picture, and this is another. An confined island is a terrific horror location and it comes with its own type of fear. The utter desperation to escape from a persistent and confined nightmare is something Teddy (Dicaprio) is receiving in high doses, and so does the audience.As with Scorsese and DiCaprio's previous collaborations, this is a movie that must be seen. Here they explore the horror/thriller genre with gravitas, with no small part played by Laeta Kalogridis in supplying the screenplay. While most modern pictures of its kind lack character or any real sense of suspense, Shutter Island doesn't go for cheap gags. I concur with Ebert when he says one of the key elements to this film is that it releases its tension through suspense instead of mindless action sequences. That's not to knock a well-deserved frenetic scene of violence every once in awhile--it works to the advantage of some films like Evil Dead II and Planet Terror--but had Teddy and Chuck gone running and gunning through the facility's faculty, the mood this movie keeps in check so well would have been lost.However, that mood isn't sacrificed and ""spooky"" is punched up to full force. A considerable amount of that spooky is generated by a ""best of"" collection of actors that have mastered the art of creepy: Ben Kingsley, Jackie Earle Haley, Ted Levine, and Max Von Sydow just to name a few. Had Tom Noonan been thrown in the cast as well, my ""Top Five People I Would Not Want to Be Left in the Dark with, Especially in a Room with No Doors or Windows"" list would have been completely exhausted. On that note, is it just me or has Sydow mysteriously not aged since The Exorcist? Was there a secret pact made between Lucifer and Father Merrin? Whether he sold his soul or not, he's quite ominous in every single scene he is present in. All of this great talent in front of the camera doesn't mean anything though if you don't have a faithful orchestrator behind it. Luckily you have Scorsese leading the lens and he points the movie in the right direction, even if this isn't among his very best works. His style works amazingly with suspense laden projects and at times he even seems to channel Hitchcock and Kubrick, though there's always something distinctively Scorsese about the presentation. I found the editing in the opening scene, with Chuck and Teddy approaching Shutter Island, to be very odd and frantic, though I think the audience will know why Scorsese displayed the scene the way he did after completing the film.With a body of work so impressive, Shutter Island is among captivating company. The good news is that Shutter Island carves out a place of its own in his resume. While no Goodfellas or Raging Bull or Taxi Driver, I have no problem placing Shutter side by side The Last Temptation of Christ and Bringing Out the Dead. The cinematography is bright and gorgeous. Scorsese doesn't rely on the over-grainy, ugly presentation that most modern horror or suspense-riddled thrillers rely on. He uses lush, bright color during daytime and dream sequences to flush out a distinct feeling of terror.Shutter Island isn't just a pretty face, its also got a great story to boot and this is why I've been anticipating the film for so long. As mentioned earlier, I've been exposed and digested the source material myself before seeing the movie. I was worried the trailers for the film were giving away too much through their spots on television and on the silver screen, but Scorsese has added enough to the film for the story to feel fresh even for those ""in the know."" You are transferred in the films paranoia and phobia once the camera pans through the mental facilities open doors. Lehane is one of the luckiest authors on the planet to have his work adapted to the big screen by talents such as Eastwood and Scorsese, but his work is brilliant and deserving of such treatment.At the risk of spoiling plot points for potential viewers who have not read the book, I'll leave a Related Recommendations section concealed in ""Spoiler"" tags. Discussing this story at any length can be quite revealing.",False
10,7,Mind Games,bkoganbing,n/a,15/08/2025,"Shutter Island is a body of land in Boston Harbor which has a hospital for the criminally insane. It's run by a pair of doctors played by Ben Kingsley and Max Von Sydow who have certainly essayed roles of some very deep villainy. Couple that with the fact that this film is set in post World War II where America has just been fighting with people who have mysterious accents like Von Sydow and Kingsley. It's a recipe for a Hitchcock like thriller.US Marshal Leonardo DiCaprio has been sent to Shutter Island with his new partner Mark Ruffalo to investigate the disappearance of a woman who was declared criminally insane by the courts and is now confined to the island facility. Though it is a hospital also, primarily Shutter Island is a prison and run by the Federal government and subject to their jurisdiction.Although Ruffalo is content to follow DiCaprio's lead, Leo's not happy with the lack of cooperation he's getting on the investigation, even more unhappy that inclement weather is forcing he and Ruffalo to stay on the island. Something suspicious is going on and DiCaprio's going to get to the bottom of it.Actually something very suspicious is going on there, some very intricate mind games are being played, some experimentation is being conducted by the staff. But trust me, it's beyond DiCaprio's powers of grasp.Shutter Island marks the third film that Martin Scorsese and Leonardo DiCaprio have teamed as director/star. It's possible Leo is trying to tie Robert DeNiro for times working with Scorsese. This part is certainly one a younger DeNiro might have done. I don't think Shutter Island ranks up there with either The Aviator or The Departed it's still an intricately plotted story and one where the lead has to be convincing or the film goes nowhere. DiCaprio doggedly plods on with his investigation while battling some inner demons that the audience is gradually let it on. A younger DeNiro couldn't have been better.The rest of the cast ably supports Leo, but in the final analysis Shutter Island belongs to him and to Martin Scorsese for putting it all together. Alfred Hitchcock would be proud.",False
