Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,a little dab'll do ya,frieda-92366,n/a,16/08/2025,"Although I watched every episode, one season would have been enough to tell me all I needed to know: suss out the psychopaths and stay out of reach. These killers put to shame all the videos I have watched on narcissism. What I found surreal was the way someone who had just killed a whole family or a pregnant girlfriend could shrug their shoulders and laugh, then try to wriggle out of the charges. I subtracted 2 stars from a possible 10 because a couple of the female experts seemed not to have watched the actual interviews of the killers and were just talking off the tops of their heads. Instead of addressing individual psychopathy they would just toss off the exact same ""observations"" each episode -- ""this guy is devoid of emotion"" or ""this person treats people like objects"" or ""they are trying to hint at an insanity defense."" I would have liked more in-depth analysis of particular cases. It was too facile and repetitive in many instances. I started feeling sorry for the cops who have to put up with these murderous, lazy, self-indulgent criminals every day who sit there and lie.",False
2,8,Very insightful,rnicks-00552,n/a,16/08/2025,"What helps this show stand out from all of the other true crime shows out there is the honest sometimes shocking ""diagnosis"" the doctors give us as the crimes of the psychopath unfold. The show portrays the crimes of a psychopath while it cuts to various doctors who explain the reasoning behind the act. While the doctors may give insight into the crime there's really no understanding them. After all, can anyone, other than another psychopath, understand the reasoning behind the crimes of the psychopath? But the doctors really give that insight in terms that we all can understand. The only negative I can think of is that they sometimes don't go deep enough into some of the criminals portrayed. I'd love to see an hour long episode on some of the criminals.",False
3,9,"Great show, but disgusting at the same time",neseneu,n/a,16/08/2025,"No doubt, this is a great show if you are looking for getting some insights of psychopath. However, it makes me sick even though there is no brutal graphical description in the show. I'm sick of their callousness and the way they justified themselves.I'm a big fan of crime shows, but, I really don't wanna see this show again at the same time. Big relief that I can't understand any of their behavior.",False
4,10,I *love* this show!,kevinbrown-2,n/a,16/08/2025,"Most Murder Shows (what I call true crime shows) are superficially shallow in terms of the people involved, victims and perpetrators. This show gets a little deeper into the mind, psychology, behaviors, and motivations of psychopaths. I feel that after watching most if not all of the episodes, I could spot a psychopath a mile away. And yes, I've come across a few. Ask me about the 8 year old psychopathic kid I came across, who almost caused my son to quit hockey. I felt bad for the parents, who actually seemed like pretty good people. They just had a kid who was evil to his core. Fun fact about psychopaths: they make good CEOs. No empathy, they just care about the company making money for the shareholders. No empathy, let's layoff another few hundred or few thousand employees ...",False
5,10,FASCINATINGLY CREEPY,kazzalou-05741,n/a,16/08/2025,"This insightful, fascinating series gives you an insight into psychopathic behaviour. It makes for some uncomfortable viewing, especially when watching a psychopath explain his behavior like he's just been taking a stroll. It's exceptionally creepy, but definitely compulsive viewing. Experts talk you through what kind of behaviors psychopaths can display, which I find extremely helpful. At the start of the series you're asked 'would you see the signs'? The point is, psychopaths adapt and blend in, adjust their behavior to suit their needs - so that question is chilling. Each episode focuses on a different psychopath - be warned, some of the details are not for the faint of heart, as psychopaths have no empathy, relishing reliving their crimes to an extraordinary level.",False
6,6,be careful who you suspect after watching this,howboutthisone_huh,n/a,16/08/2025,"SpoilerIf you watch this show chances are you won't be able to spot a psychopath, sorry. Chances are that anyone on the fringe of social behavior, you'll find suspect without proper justification. Each episode of this show is a profile of a different alleged psychopath and his/her crime with actual police videos, photographs and videos. It's ideal crime porn and very interesting except each of the subjects are analyzed by a group of 'expert' psychologists after the fact; after they've committed a heinous crime and been arrested and judged in a court. That's not science regardless of what technique they use to study the individual. Unfortunately, our systems, such as the legal system has no other tools to profile these individuals except by psychologists who are not using science to base their opinions. Forensic psychologists do not usually study psychopathy in the general population but rather based their opinions on analysis of individuals like the ones profiled in this series. Clearly, the way some of these individuals are portrayed, they're dangerous and deviant but could you identify them before they committed their crimes, and how would you do that? How would you prevent one of these individuals from committing their crime before it happened? If there's no obvious sign of threat to themselves or others, the legal system can't prevent the crime. Unfortunately though, many people are misdiagnosed and end up in the legal system while the individuals that we most have to be afraid of, go undetected. And one of the reasons is because there hasn't been enough science of the general population to identify who is most likely to kill. Well, except that there is a diagnostic technique that involves brain scans to differentiate people. But there's two problems with that. You can't force someone to undergo an mri that's not in legal custody, and just because someone is diagnosed with psychopathy, you can't take away their rights, not in America. And in some cases, particularly in the military, psychopathic traits are often ignored or celebrated. And women are biologically different from men, don't fit the same brain diagnostics, and therefore most 'experts' claim women psychopaths are rare, but there's no scientific proof to back that. Nobody really knows how many functioning psychopaths there are in the general population. And that's why I'd recommend this as good crime porn but not take anything away from it as authoritative. And two of the episodes, imo, illustrate how these kinds of diagnoses have gone too far. And I take issue too with the claims that women psychopaths are very rare in the population. The analysis by these 'experts', which are very well elaborated, don't reflect anything I've seen in person. I contend that women psychopaths appear to be rare because they typically don't commit the same kinds of crimes. That is, it's rare that they're classified as serial killers but again since psychologists rarely study the general population, who knows how rare this is among women. As I was watching the episode about the woman who tried to kill her husband, I was thinking how similar her behavior was to women that I've known. Not women that wanted their husbands dead but women that exhibited the same traits. Lack of empathy, fantasy ideation, sadism, inflated self, manipulation, and so on. I've met many people, men and women, who exhibit one or more of these traits. The difference being that they didn't commit heinous crimes, or at least hadn't been caught. In general, among both men and women, in the workplace in particular, I've seen all of these traits to one degree or another. Chances are that anyone on the fringe of social behavior, is not a threat. To differentiate the threats from fringe behavior you have to be able to understand the whole spectrum of behavior and I suspect the 'experts' on this show are a bit short of that.",True
7,10,"My favorite true crime, it is shocking documentary",andreimdb38,n/a,16/08/2025,"I reserve a 10-star rating for shows that are worth rewatching, and 'Signs of a Psychopath' earns this distinction. Having viewed the seasons multiple times, I find that each viewing reveals new layers, akin to the way fine wine matures with time. In my eyes, it's a classic.The highlight of the series is undoubtedly the psychologists' analyses. Over time, I've transitioned from a passive viewer to an active one, eagerly anticipating the experts' insights to enhance my own understanding.The series delves into some of the most notorious crimes, presenting a rich tapestry of recordings, photos, and interviews ripe for analysis. It's a shocking documentary, and some moments can make us cry even without an emotional soundtrack. There are some that criminals describe everything as a dark humor, which we could only imagine finding in films, beyond reality.I fervently wish for the series to continue indefinitely, perhaps even venturing into the annals of ancient history for its analytical prowess.",False
8,7,A Chilling Dive into the Minds of True Psychopaths,imdbfan-411348,n/a,16/08/2025,"This show is nothing short of captivating - not because it glamorizes crime, but because it offers a raw, unfiltered look into the minds of individuals who defy the boundaries of normal human emotion. It doesn't just focus on ""criminals"" in the traditional sense, but instead zeroes in on true psychopaths - people whose actions and psychology challenge our understanding of morality, empathy, and motive.What makes this series stand out is the expert commentary from seasoned psychologists and behavioral analysts. Their insights add a powerful layer of depth, helping the viewer grasp the subtle (and sometimes chilling) nuances behind these individuals' behaviors, expressions, and manipulative tactics. You're not just watching a documentary - you're being educated in the complex science of the human psyche.The interrogation footage is by far the most gripping aspect of the show. Watching these people interact with law enforcement in real time - the lies, the deflections, the moments they slip up - is both unsettling and fascinating. It reveals how calculated and, at times, terrifyingly calm some of these individuals can be. The way they speak, the micro-expressions on their faces, even their body language - every second feels like a lesson in psychology and criminal behavior.If you're someone who's intrigued by forensic psychology, criminal profiling, or just love a show that challenges your thinking and keeps you hooked from start to finish, this is an absolute must-watch. It's thought-provoking, intense, and disturbingly unforgettable.",False
9,10,Raw True Crime Documentary,portal1790,n/a,16/08/2025,This is one of the best Raw True Crime Documentary out there.,False
10,6,Not bad.,talis-briedis-79-541083,n/a,16/08/2025,"A little drawn out at times but fairly informative. Not too sure about those so called experts. I have a background in psychology, and they do not sound overly educated in their fields. Maybe even at a level of a tRUMP U. Graduate...
But that Dr. Chitra Raghvan- Woohoooo...
I'm a val ya know!He was, like, freaking me out
He called me a beastie
That's 'cause, like
He was totally blitzed
He goes, like, bag your face!I'm sure!O, like
I go into this, like, salon place, y'know
And I wanted, like, to get my toenails done
And the lady, like, goes
""Oh, my god, your toenails are, like, so grody""
It was, like, really embarrassing
She's like
""Oh, my God, like, bag those toenails""
I'm like, ""Sure""
She goes
""Uh, I don't know if I can handle this""
Y'know
I was like really embarrassed!!It's like grody
Grody to the max
I'm sure
It's, like, really nauseating
Like, barf out
Gag me with a spoon!Gross!I am sure!Totally!",False
