Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Needed More,mchl88,n/a,16/08/2025,"I'm only going to compare this documentary to Arnold Schwarzenegger's because it is brought up so prominently in both of them how competitive they were. How toe to toe they went in the 80s making bigger and bigger action films and getting larger and larger grosses (not to mention biceps).That said, Arnold's was better. I preferred Schwarzenegger's because it went deeper into his personal life and even his faults as a man and a husband.Sly, the documentary, was good. But it mostly focused on his career. After the obligatory stuff about how he grew up and what a sonofabitch his father was, it was all about the movies. The hits and the flops. I'd've liked to have heard more about his marriages and his relationship with his kooky mother (which is completely overlooked) and especially about losing his son. Even his other business adventures are ignored. Wasn't he an investor in Planet Hollywood? We hear nothing about that.Anyway, I enjoyed this. It was the perfect airplane diversion as I killed 7 hours over the Atlantic. But like the Arnold doc, I think Sly's life deserves more than a 2 hour recap. I could have handled at least twice that as long as the second part dove deeper into the man himself.",False
2,6,Sly,henry8-3,n/a,16/08/2025,"This documentary's looking at the life of Sylvester Stallone is not much more than an extended interview with a few contributions from contemporaries. It does though in the end give you a pretty clear insight into the mind of the man, who to me always seemed to want to come back to his familiar franchises too often, rather than take on something new. I found it interesting then that he largely seems to accept this point as he often found himself uncomfortable making films that were to a large degree outside his control and felt more at home with Rocky and Rambo as can be seen by the quite extraordinary array of rather self indulgent memorabilia in his home. It was also interesting that outside the franchises he controlled, in nearly all cases, he seemed to have needed to change every script, character or ending to suit his personal vision on what the film should say.The man himself though seems to have been influenced, understandably, by a very rough childhood, controlled by a deeply unpleasant and seemingly jealous father who treated his children appallingly. That said it seems to have toughened and shaped Stallone who ultimately now seems a pleasant person comfortable with life and the most important things in it. In the end you simply have to admire how this guy has dragged himself from nothing and built himself into such an American icon.",False
3,8,Not a deep dive but still great,masonsaul,n/a,16/08/2025,"Sly may not be a deep dive into Sylvester Stallone's career but it's an emotional and engaging look into the life and career of a superstar on his own terms. Even if it can't cover everything it still hits the major milestones (and Expendables) whilst still having time for Stallone to acknowledge his own flaws and regrets.There've been so many jokes about Stallone being an unintelligible muscle man so it's nice to have this to set the record straight. He's a really insightful actor who's put so much of himself in his movies. There are a few times Stallone's decisions and refusal to back down created some of cinema's best moments as well as some missteps he acknowledges which shows how far he's come.Just as engaging as the anecdotes about filmmaking and how Rocky in particular was created are his observations about life. The pain, the loss and the speed it goes by are all discussed in a very frank manner with some heavy yet beautiful quotes that remind you Sly has a real way with words, in life and on the page.There's also a great selection of interviews with other people in between Stallone's discussions, some who make perfect sense including Frank Stallone just generally being the best and Arnold Schwarzenegger getting to offer some funny stories about their infamous rivalry as well as others who are just cool to see (Quentin Tarantino!).Thom Zimny's direction is great overall. Swapping effortlessly between the interviews and archive footage throughout with a generally nice vibe that means you don't want it to end. It only briefly falters in a few moments where it distracts from Stallone's openness by shaking the camera too much in an attempt to get as close as possible.",False
4,6,"Another carefully curated ""documentary"" made by its subject",timmyhollywood,n/a,16/08/2025,"Sylvester Stallone executive produces -- meaning approves or disapproves -- the documentary examining his own life and work.That's red flag number one. Even in an age of ubiquitous ""documentaries"" (they used to barely exist in the margins of filmmaking), such a project should aspire to illuminate its subject, warts and all.Here, Sly makes an attempt at a mea culpa, lamenting how he should have spent more time with his family, yet inclusion of that family's story scarcely exists. I had no idea his son, Sage Stallone, had died in 2012 at age 36. And the only reference to that here are life dates shown on screen after the brief segment about Sage appearing in the ill-received Rocky V.And what about Stallone's other son, Seargeoh? Yes, that's right, Stallone had two sons, and Seargeoh apparently was diagnosed with autism at the age of three. Not that the documentary reveals that -- Seargeoh is never even mentioned; I found out only by searching online, and only after an image of the actor Milo Ventimiglia (who plays Rocky's grown-up son in 2006's ""Rocky Balboa"") inexplicably appeared beside the name ""Seargeoh Stallone"" when I Googled it. Try it. You'll see.The real Seargeoh, apparently, has lived most of his life with his mother, Sasha Czack, now Stallone's ex.Okay, maybe it's to protect the privacy of his children, and that's fine. But it's a conspicuous absence in a documentary ostensibly about a man's life. Which it is, to a large extent, especially about his childhood, and how his physically abusive (Sly implies this, though never directly says it) and ""brow-beating"" father may have pushed him to seek external validation from an audience, or crowd.But the picture really focuses on the work, the ups and downs of Stallone's career, his regrets and his massive successes, and the way his two big franchises, especially the Rocky narrative, are really mirrors for his own life and career. Where this gets the most interesting, at least for this viewer, was when Stallone described these two world-famous characters as ends of a spectrum. Rambo is the broken hero with no home who dies alone. Rocky embraces humanity, and family, and is in turn embraced. Stallone admits he's both characters.In ""Sly,"" I appreciated this emphasis on the work. I make my own living as a suspense writer, have worked in film, and in my own much smaller and less famous way, have experienced a lot of the frustrations and joys. Every artist does, really. This telling of Sly's life seems like a letter to all artists, that they may aspire to such greatness at their own peril. That even with great success they may, like Sly, be left searching for inspiration, hoping to slow life down, hoping for another good fight.",False
5,7,SHOULD HAVE BEEN LONGER,daviddadgidzi,n/a,16/08/2025,"As much as I loved this documentary on Sylvester Stallone, one of my absolute favorite in show business, I am a little bit disappointed by the run time. This clearly could have and deserves to be longer not just for the viewers, but also for the story, SLY.It almost feels like every story was cut short, and could have been longer.Sylvester Stallone achieved much against all odds, the story of his greatness is unprecedented and could have easily filled an 8 part docuseries. His family, love life, failures success, children, fame and fortune.I'm glad I did watch this, will probably not re watch it though, cause it falls short in a lot of ways for me.",False
6,6,"Needs more than 95 minutes, but is still a solid tribute! [+63%]",arungeorge13,n/a,16/08/2025,"SpoilerFor starters, Sly gets half the runtime that Netflix gave Arnie (i.e. About 95 minutes) to tell his story. Owing to this, the piece spends about 90% of its time with Sly himself, and his version of all that transpired thus far in his incredibly eventful life. It is interesting to hear Sly discuss his rough childhood, the rejections he faced while trying to break into the film industry, and his eventual success with Rocky and Rambo.While his foray into the world of cinema and the birth (and triumph) of those two franchises have already been discussed a lot over the years, it's when Sly discusses how his writing drew from the metaphors of his own experiences that I found the piece most engaging. The daddy issues are briefly summarized, with snippets of information added by his brother Frank Stallone Jr, but nothing we wouldn't expect to hear. Talia Shire, Tarantino, and Arnie are among the ones interviewed. There's also a fleeting mention of the long-lasting injury he accidentally suffered at the hands of Steve Austin on the sets of the first Expendables film.On the whole, what sticks with me are the one-liners from Sly when he refers to time, choices, and regrets. His daughters show up at the very end in what's a nice finishing touch. But still, 95 minutes just isn't enough.",True
7,10,Life lessons,dreyesgfy-90711,n/a,16/08/2025,"I was never a Stallone fan and I'd never thought I would utter, much less write this in a review but his words were profound and left me wishing this was twice as long as it was. I think a lot of this will be lost on anyone under 50 because it's largely about his regrets. Life up until 40 is all about addition and life after 40 is about subtraction. Time is brutal and callous, nothing punches harder than life, all things that people learn as time passes. Looking back at pictures of his kids and remembering what film he was making at the time and wishing he would have invested that time into real people(his family) and not movie characters is every dads regret. You can see the pain when he says all the stages of his kids lives that he misses and that time is the one thing that he can't get back. His ability to have that kind of vulnerability on film says a lot about him as a man. Maybe I just feel this way because I feel the same way when it comes to my life and children.",False
8,7,"Pretty good, but should have been a docuseries",KinoBuff2021,n/a,16/08/2025,"'Sly' (2023) is good. Its fine. Nothing really bad about it except for being too short especially for a legend in film and American culture, Sylvester Stallone. Besides that it remains an interesting and inspiring look at Stallone's life.This documentary should have been a docuseries like his rival, Arnold Schwarzenegger had done. Since Stallone is known for his amazing action-hero characters most people will never see the more intellectual and personal side of his life that is his true character.Led by Stallone's narration with sparse but insightful interviews, this film gives a great look behind the scenes of some his most legendary films like 'Rocky' (1976) which lays the foundation for Stallone's career.Its good. Definitely give it a watch but get ready as you'll likely want to binge Sly's films for the next few weeks. So get some popcorn ready!",False
9,8,A good biopic but a bit sad.,vastrida,n/a,16/08/2025,"The articulate man behind Rambo and Rocky still suffers the wound of his father's abuse. Yet he has beaten that wound by having a fabulous career. This documentary just made me want to give Stallone a hug and tell him -'life is STILL GOOD, Stop and smell the roses!' In a capacity the dogged sadness about his failures seems theatrical too. Is he acting through his own biopic? Probably. I wanna send him to go watch Nyad, another flick on Netflix that talks to how life is really NOT over for people on their later years. It feels like the 'antidote' to Stallone moping. Where is his therapist? I love Sly but depression present here is just a disservice to his contributions.",False
10,7,Terrific Look at the Mind and Heart of SLY,tkdlifemagazine,n/a,16/08/2025,"This is a really well done look at the journey of Sylvester Stallone from a poor kid in Hell's Kitchen to a superstar. Stallone, as noted by rival Arnold Schwarzenegger, is the only person who spear-headed three blockbuster franchises-Rocky, Rambo, and The Expendables. He was a guy driven by passion, vision, and the belief that he had more to offer than people could see. I love how a senior Stallone walks us along this journey. We see his thought processes. We see his written notebooks. We see the physical locations where he grew up and where much of the pictures were shot. The personal interviews. The old movie footage. Everything about this makes the documentary greater than the sum of its parts.",False
