Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,One of the best films ever made.,Sleepin_Dragon,n/a,15/08/2025,"Luke Skywalker goes in search of Jedi Master Yoda, to begin his Jedi training, meanwhile his friends and fellow band of rebels are pursued by The Empire's forces.How on Earth was it possible to match, if not surpass Episode IV, it seems unfathomable, well that's exactly what they did with this remarkable movie, and whilst I personally rank the films on par with one another, I get why some favour this one. For me, the first came out of nowhere, whereas for this second one, expectations would have been incredibly high.A superb storyline, breathtaking visuals, first class acting, and Yoda, what more could anyone possibly want or need from a movie, it's a bold claim, but I would genuinely say this is one of the greatest films of all time.The sets are unbelievable, you can really tell that for those involved this was definitely a labour of love, everything was precise and on point.It's worth a 10/10 for Yoda alone, I adore his and Luke's scenes together. The wonderful voice of Frank Oz adds a great deal, it really does help to make Yoda such an amazing, funny, smart and curious character.Let's be honest, films don't get much better than this, it really is a masterpiece.10/10.",False
2,10,"Darker and better than ""New hope""",saveliydalmatov,n/a,15/08/2025,"So, ""The Empire Strikes Back"" is a sequel to the previous part. After the release of the first episode, the budget, the fans appeared, and, accordingly, the quality improved!The fifth episode is the darkest and even the best in the original trilogy (in my personal opinion), and for many in the entire franchise.Here we will hear the famous Imperial March for the first time, learn all the greatness of the Empire under the leadership of Vader, as well as the formation of Luke as a Jedi.New characters have added color to the franchise, some have already become iconic and famous among many (the same Boba Fett).This fascinating story will feature plot twists (for sure many people understood what I was talking about) and a very addictive atmosphere of horror.As a result, this is what the fans needed - a successful sequel. And, of course, you need to look at it, it's a classic after all.My Rating : 10/10 (one of the best films)",False
3,10,I enjoy this one more than A New Hope,UniqueParticle,n/a,15/08/2025,"So much amazing action and beautiful cinematography makes for such an enlightening experience! In The Empire Strikes Back you know who everyone is which is great plus Yoda is introduced! I love this movie the music is soothing, there's romance, more of Darth Vader, and introduces Emperor Palpatine what more can you ask for? A lot to relish and get excited about; it's such a classic gem.",False
4,10,"Excellent timeless classic, the best sequel of all time!",ivo-cobra8,n/a,15/08/2025,"Star Wars: Episode V - The Empire Strikes Back (1980) is an excellent timeless classic that it is the best sequel of all time. I love this film to death, it is my second favorite film and the best sequel in the Star Wars franchise that I love. The Empire Strikes Back is a movie that it is one of the best sequels I can think of, it is right there with Aliens (1986), it is right there with Terminator 2: Judgment Day (1991) it is an excellent sequel and it really does establish The Empire as a value treat. Empire Strikes Back is still and excellent film which I really believe is a timeless classic. This is my second favorite film from director Irvin Kershner. Number 1 favorite Irvin Kershner film will be RoboCop 2 (1990) which is very underrated action flick. I still have to review those movies someday.Empire Strikes Back (1980) is the best one of the series, because it's deeper, darker, more philosophical. It's great because Darth Vader and the Empire are at their most menacing, the direction is creative, the characters feel real, the nature of the Force is explored more without losing its mysticism, and the pacing is, as George Lucas would put it, faster and more intense than any other film in the saga.The plot is actually more a rescue mission that Luke Skywalker (Mark Hamill) is coming to rescue his friends Han Solo, Princess Leia Organa, C-3PO and Chewbacca are captured on a planet Bespin in Cloud City from villainous Darth Vader. Han Solo's friend Lando Calrissian (Billy Dee Williams) set the up and with Darth Vader he set a trap for Luke. Also Luke studied the Force under Jedi Master Yoda to become a full Jedi Knight but in the end he must confront Darth Vader (David Prowse) by him self. The origins of Luke Skywalker are reveled.Empire Strikes Back was released in 1980 it is directed by Irvin Kershner this time and not George Lucas. Because George Lucas decide that he want to make this sequel independent one, so he ended up coming with his own, founding for the film. Getting a loan and money he earn from the first movie and it success, so he decided he wanted, to found the film him self, and he wanted to be more an executive producer to keep an eye on the lamp, he moved to a bigger studio in Orange County, California, so he diced to be more a producer he did not want to direct Empire Strikes Back. So his first choice was Irvin Kershner, who was a professor at UC in the UC film school, that George attended too and he always liked Irvin Kershner and of course he was a former professor and it was a hard way talk him to do it and the first time Irvin Kershner didn't want to do it, so George called Irvin's agent and his agent said to Irvin take it so he did and the rest is a history. This stands the test of time, the best film he ever directed! I love John Williams score still the same, but I think John Williams changed the music score for a little bit, but that's just my opinion.Things that I love in this film: I love the battle with Rebels fighting with the Imperial AT-AT walkers on the ice world of Hoth. That is my favorite scene on ice world in the film. The Imperial AT-AT walkers are incredible well made with classic special effects.I love that the origins of Luke Skywalker are reveled, that Luke is the son of Darth Vader, who is actually Anakin Skywalker, before he become Darth Vader and went to the dark site.For the first time ever, we see an Emperor in a Hologram talking to Darth Vader.The Falcon with Han Solo, Princess Leia Organa, C-3PO and Chewbacca hiding in the rocks try's to eat a monster.Luke faces with Darth Vader him self face to face and get his arm cut off and then he jumps off the bridge, because he didn't want to join his father in a dark force. The lightsaber duel throughout the chamber between Luke and Darth Vader was excellent and it was epic.The training sequence with Luke and master Yoda were excellent and epic.A New Hope and The Empire Strikes Back are my favorite films in series, that are in the franchise, this film get's a perfect 10 score for been the best sci-fi adventure sequel of all time.",False
5,n/a,The best film in the original trilogy.,n/a,n/a,15/08/2025,"The Empire Strikes Back is the best film in the original Star Wars trilogy. It has all the great qualities that the original Star Wars has: great effects (at the time of its release), appealing characters, and lots of spellbinding action.  It also has eliminated some of the problems that plagued the first: the storyline is tighter, and goes much deeper into character development.  The performances are terrific, especially by Harrison Ford as Han Solo, and Billy Dee Williams as Lando Calrissian. George Lucas has also remembered to include a spellbinding battle sequence with the snowspeeder sequence near the beginning of the film.  The conclusion, with a lightsaber duel between Darth Vader and Luke Skywalker, is truly one of the most suspenseful and dramatic scenes in the entire series.  This is a truly wondrous film, and serves as a constant reminder that just because a movie is expensive and a blockbuster doesn't mean that it has to be shallow and two dimensional.  This film will undoubtedly entertain viewers of all ages from start to finish.",False
6,10,Greatest Movie Ever,morfunkel,n/a,15/08/2025,"This film changed the game forever. The people behind the scenes took an exciting science fiction adventure film with a happy tone where the heroes have a happy tone throughout and throwing that on its side. Throughout the film the rebels are in a constant rush and panic, pushing the viewers to the edge of their seat wondering if the heroes would make it to the end okay. This is done brilliantly by splitting up the heroes putting them in a worried state for one another. As well as that the rebels are all tested as they go through their own personal trails and try to find their way through.
Even though this might put you on a constant worry for the characters the movie is paced perfectly with breathers and amazing storytelling by the characters to fill in anything we need answers for.
That is just the story, the film also has gorgeous cinematography, going from the AT-ATs on Hoth, to the Imperial pursuit of the Falcon through the asteroid field, all the way down to the beautiful shots of the final battle in Cloud city. Even though we as viewers are worried for the rebels, the imagery is jaw dropping. 
The imagery is further enhanced by the most popular score of all time, John Williams delivers his best work ever as it has stuck with people their entire lives and is recognizable by even those who haven't seen the film. 
The film was released in 1980 and all of the set design and special effects still hold up to this day as they are just as convincing now as it was apon first watch for everyone in the past 38 years.",False
7,10,Best of the best,Dagobah_Man,n/a,15/08/2025,"I cannot believe some people out there didn't like this film, yet claim to have enjoyed Episode One. No comparison whatsoever. ""The Empire Strike Back"" is George Lucas' best contribution to human history, and it will be remembered long after most other science fiction films have gone the way of the Do-Do Bird. The optical effects still stand the test of time, and the acting is superb. Harrison Ford, Mark Hamil and Carrie Fisher are all better than they we in the original Star Wars, having fully developed and grown into their characters, and the story just keeps going and going, from asteroid fields to swamp planets to cities in the sky, everything in this film works. So ignore anyone who claims to dislike it, and see it for yourself if you haven't already done so. 20 out of 10!!Oh, and Han Solo shot first! =)",False
8,10,Best Star Wars FILM,SnoopyStyle,n/a,15/08/2025,"After the destruction of the Death Star, the Rebel Alliance has been hounded by the Empire. Princess Leia, Luke Skywalker, and Han Solo are with the Rebel forces on the secret base on the planet Hoth. Darth Vader locates the base driving the rebels on the run. Leia, Chewie, and Han with C-3PO escape on the Millennium Falcon eventually ending up in Lando Calrissian's Cloud City. Meanwhile, Luke goes to the Dagobah system and finds Jedi Master Yoda.There are superior popcorn movies in the Star Wars franchise although there is plenty of eye-popping action in this one. This is the best overall film in the series. The dialog is snappier. The combative romance between Leia and Han is the best. Everything looks great. It introduces Yoda and Lando. There are great legendary twists. It is a Star Wars movie for film fans. Even the Special Edition is the best of the original trio. There may be one or two stiff additions but most of them actually help. There are so many incredible moments in this.",False
9,10,Masterpiece,tunesplitter,n/a,15/08/2025,A true masterpiece. in my opinion the best star wars movie.,False
10,10,It's NOT the darkest of the trilogy - it's the most mature,Spleen,n/a,15/08/2025,"`It avoids having the standard shoot-'em-up ending,' says a friend of mine, `by not having an ending.'  I suppose this is what most people think, but all the same the film manages to form a satisfying whole; or at least, a whole that satisfies me.  I'm therefore inclined to think it DOES have an ending.  Obviously, I can't discuss this without giving things away to those few who don't know what happens.  If you're one of those few, then believe me: your ignorance is precious enough to be worth guarding until you see the film.  Stop reading now.After the surprise attack on the rebel base, Luke Skywalker splits with Han, Leia, et al.  Han's party gets away first (is it just me, or is the shot of Luke watching the Falcon flying off while he stands stranded on the ground, a poignant one?), but thereafter they face one narrow escape after another, while Luke slinks off quietly and safely to train with Yoda.The training scenes are many and Yoda talks a great deal of rubbish.  But somehow it doesn't matter.  The film is ambivalent in its attitude towards Yoda, anyway.  Our sympathy clearly lies with the entirely non-spiritual concerns of Han, Leia and the adolescent Luke.  The main story concerns the understanding that builds between Han and Leia.  In the end they are honest with one another; and if Han's being frozen and shipped back to Tatooine is the price to pay for this, well, it's the price to pay.  It was very important NOT to end with the dashing rescue that opens `Return of the Jedi', which would be dramatically beside the point.  Instead we end with the promise that the rescue will some day occur.  That's enough.As for Luke: he abandons Yoda to rescue Han and Leia, and achieves NOTHING WHATEVER.  This was my favourite touch.  All five Jedis - Luke, Obi-Wan, Yoda, Vader, and the Emperor - find that their conflicting instincts are all entirely wrong.  The film is really about the temporary triumph of human impulses over the mystical Force.  Luke's human idealism is vindicated, but his supernatural powers, just this once, are not.When George Lucas gave his Star Wars trilogy a fresh coat of varnish in 1997 he felt he had to justify the expense by making needless changes.  You'll notice he made precious few changes to episode V.  There just wasn't room. He added a few extra shots of the ice monster, which of course weakened that one scene; but even with those changes in place the Special Edition is virtually identical to the original edition.  Since Lucas was so keen on making changes wherever he could this is obviously a tribute to the tightness of the story and the direction.  It's also a tribute to the perfection of the original special effects, more innovative than the effects in the first Star Wars movie and better than the effects in any subsequent one.",False
