Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"Incredibly sad and tough to watch, but you SHOULD see this film.",planktonrules,n/a,16/08/2025,"""Sugarcane"" is a documentary you should see. However, I am warning you up front...it's incredibly depressing because it's true. All the murders and sexual abuse did happen...and if you've been a victim yourself, you might want to think twice before you see it.The film follows several people as they try to get to the truth about the Indian residential schools in Canada. This is because they not only abused the kids to knock away their culture, by the Catholic priests who ran the places often molested these kids. And, to make it worse, when the girls got pregnant, they babies were literally tossed into incinerators at least in the case of St. Joseph's Mission.The only reason I gave this must-see film an 8 is that technically it was far from perfect...but still is most watchable. Occasionally the camerawork was poor and I feel that SOME parts should have been trimmed to make the story more succinct. Still, these are minor concerns and it's a film that NEEDS to be seen.By the way, if you are wondering if these schools for the natives are unique, unfortunately they are not. The first huge sexual abuse scandal that was uncovered at a Catholic residential school was one for deaf kids! It's in the exceptional documentary ""Mea Maxima Culpa: Silence in the House of God"".",False
2,8,quiet desperation,ferguson-6,n/a,16/08/2025,"Greetings again from the darkness. Whether the phrase 'systemic abuse' applies here is hardly worth discussing. The facts are that physical abuse, verbal abuse, cultural abuse, and sexual abuse occurred regularly over many years in the Catholic-run residential schools for indigenous children, both in the United States and Canada. Indigenous filmmaker Julian Brave NoiseCat has teamed with experienced documentarian Emily Kassie to bring this story to light.This National Geographic documentary mostly narrows its focus to St Joseph Mission near Williams Lake, British Columbia. The school closed in 1981, but it was originally one of many secretive and segregated residential schools opened to deal with ""the Indian problem"" in Canada. We are informed there were 139 schools in Canada and 408 in the U. S. What we notice from the start is that the film is deliberately paced to emphasize the lives of quiet desperation so many have led.In 2021, a discovery of approximately 200 unmarked graves at a different school led to a dedicated crew going deeper on research, and finding records of reported abuse and cover-ups, as well as additional unmarked graves at St Joseph. It turns out these schools required the students to speak only English, convert to Catholicism, and basically erase their native culture - all while referring to them by numbers, rather than names.Two very personal stories are followed here. One involves co-director Julian as he re-connects with his father Ed Archie NoiseCat. Ed is one of many who never knew the truth of their past and have mostly buried the memories of the mission. With Julian's work, not only do the two create a father-son bond, they also discover a stunning detail for Ed - involving a shoebox and an incinerator. The other personal story here involves former Chief Rick Gilbert, who along with his wife, uncovers a truly shocking connection in his family tree. We also follow Rick to Vatican City where the Pope reads a prepared statement filled with words, but no action.The former students are referred to as ""survivors"", partly because so many didn't. And while we can see and feel the pain and quiet suffering these folks are carrying, we learn that history and those memories continue to take lives. The history of abuse within the Catholic Church is not limited to white kids, it's just the indigenous history hasn't received the same publicity. The suppressed memories and search for roots is so important, and yet so many unanswered questions remain for survivors and descendants. And no one has been held accountable for the atrocities. Infanticide, abuse, cruelty, and humiliation do not seem to fit the journey of these dignified and quietly suffering folks, but there is an uplifting element with Ed and Julian, father and son.In limited theaters beginning August 30, 2024.",False
3,7,Chilling and unsetting,peter0969,n/a,16/08/2025,"Watched this at the 2024 Sundance Film Festival.""Sugarcane"" is an emotionally, chilling and disturbing documentary that explores the abuse indigenous individuals had experienced in residential schools and explores the horrifying actions from the government with strong discussions from the participants, great sense of direction and deeply personal insights of the situation.Many of the camerawork, sound designs and the conversations from the participants were beautiful, depressing, and emotional as learning about what the people have encountered in these schools is horrifying and upsetting. No individuals should have to suffer should abuse.Despite some of the documentary structure feeling slow, it still remains an important documentary to see.",False
4,6,"Very important subject, not masterfully done",Sybiraczka55,n/a,16/08/2025,"I watched this film at the Sundance Film Festival this year. The difficult subject of abuse in mission school, unanswered questions and consequences for the abuse victims and their descendants. Despite its noble intentions and the significance of the subject matter, this film falls short of delivering a masterful narrative with some repetitive scenes. The pacing felt uneven, with certain segments dragging on while others lack sufficient depth. Moreover, the editing occasionally undermines the emotional resonance of the testimonies, detracting from their impact. A more refined approach to story telling and presentation could have elevated this documentary to a more impactfull level.",False
5,7,Feel bad for all Indigenous people,hanzosteel83,n/a,16/08/2025,"I feel bad for all Indigenous people. In Canada and The United States. They have bad treated as bad if not worse than any other people on the plant. However, this documentary did not help me to understand their experience. It was poorly done in my opinion. It jumped around way to much. And had a lot of wasted scenes. The people in Canada who this documentary was about suffered greatly. No doubt about that. But, their story wasn't told here. They are still investigating things that happened way back into like the thirties. The Catholic Church is really made out to be the devil. And no doubt some were. But, anytime there is a church as large as they are. There will be a percentage of bad. The problem goes way deeper. They were lied to over and over again. They received no justice all around the world. No apology will ever fix all the tragedy they have suffered.",False
6,7,HEARTBREAKING & EYE OPENING...!,masonfisk,n/a,16/08/2025,"Nominated this year for Best Documentary feature comes this sobering tale of sexual improprieties inflicted by the Catholic church upon Canadian Indigenous children up until shockingly recently. Taking testimony from survivors of the atrocities, now in their later years, which detail multiple deaths (infants born of rape were disposed of in mass graves or in incinerators) that a small group of investigators try to solve (even though we hear in voice over a mass grave was found) while memories of the past are pried open to reveal past evils. Just as a piece exposing historical sins by the church is enough for someone to tune in & be horrified but as these stories keep emerging (similar feats were performed by the church in Australia & Ireland in fictional accounts like RabbitProof Fence & The Magdalene Sisters) people wonder how far the church has fallen in the minds of most parishoners.",False
7,10,"Compelling, gripping, essential",jqsyxjcfw,n/a,16/08/2025,"This remarkable film was the most memorable one I saw at Sundance this year. It has stayed with me for weeks. The film is beautifully shot and captures the landscape of Williams Lake. The directors artfully weave several narratives into the film. Each participant has a compelling and moving story of their horrific experiences at St. Joseph's mission. Although this was difficult to watch, the filmmakers handled these moments with much sensitivity and compassion. The film is lightened with colorful coverage of ceremonies and celebrations. All the participants, with the exception of the late Rick Gilbert, were at the q and a. Their testimonies were as moving and heart rendering as the film. The film well deserved the extended applause and standing ovation. A vital story that needed to be told. Most importantly, the making of the film was a healing process for the survivors. I cannot overstate how excellent this film. It should be seen by every Canadian and American...",False
8,10,"gripping, chilling, and deeply moving",delancy-87723,n/a,16/08/2025,"This intimate look at a devastating community history was jarring and beautiful. I was moved beyond words, horrified at the actions of the canadian government and catholic church, and my heart aches for the countless people affected by the abuse and trauma. Many stories from the community are interwoven, giving a glimpse into the complex ways residential schools have poisoned generations of people. The resilience and courage of the subjects of this film cannot be understated. This piece felt deeply personal and widely relatable. The emotional toll it took was great and necessary. We are so lucky to hear this story.",False
9,10,Moving film beautifully done,SarahyoungerNYC,n/a,16/08/2025,"I saw Sugarcane at its New York City premiere last night. Wow. The storytelling is masterful, the film is so beautifully shot and scored. I am still devastated by what I heard and saw the next day. The filmmakers found moments of levity that made this so watchable. The four primary narratives are interwoven in a very seamless way. What is particularly stirring is the way the co-director decided to share his own story and that of his family. It's hard to believe that any of this really took place in North America over the last century. This film is So powerful and so well done. A must see for anyone who loves film.",False
10,2,Important Subjected Ruined by Too Much B-Roll,Hanson92,n/a,16/08/2025,"I'm sorely disappointed in this documentary. I expected more. It lacks substance and has more scenery than stories. For such an important topic this feels disrespectful. We should all learn about how appallingly the indigenous peoples of North America have been and even continue to be treated by the governments, religious institutions, and subsequent people.This movie is a waste of an opportunity to inform us, to tell the true and heartbreaking stories of those deeply harmed. I sincerely hope someone in the field of documentaries someday does justice to this issue, because after an hour I just couldn't watch it any longer.",False
11,9,Heartbreaking,cinephile_13,n/a,16/08/2025,This documentary was genuinely heartbreaking. I had heard of the residential schools and their atrocities but never knew the extent of it. Hearing first hand accounts and seeing the lasting impact the schools had on individuals and the generations that followed provided a new perspective on the issue. The only reason I did not give it a 10 was because it felt a little slow at times. Despite the pace the cinematography was stunning and it allowed the viewer time to soak it in and think. Julian Brave NoiseCat and Emily Kassie wanted to raise awareness and educate others and they succeeded in their goal.,False
12,10,Gripping and Superb,junolie,n/a,16/08/2025,"This outstanding film was well received at the Premiere in Toronto. The audience reaction was overwhelming with a heartfelt standing ovation. This beautifully rendered film depicts the impact of the residential schools on the survivors and their families. The film was balanced between the facts and the personal stories of the participants who spoke movingly about their trauma. There were spots of humour and colour to brighten the mood of the film. The most compelling stories were the reconciliation between Julian and his father and the late Rick Gilbert's sad awakening. Both were told with such grace and intimacy. Truly an amazing documentary, the best that I have seen this year.",False
