Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,I love Chris Reeve even more,orenw14,n/a,16/08/2025,"I cried a lot watching this Love letter of a movie. A love story between Christopher and Dana. And the love of children for their parents. And the love of the public for a famous person. When he died in 2004, I remember being in a hotel room in Galveston Texas.It is the first time I truly cried over the death of someone I had never met. I was diagnosed with Cervical Dystonia in September of 1995, the same year as the accident that put Chris in a wheelchair. I am a scientist so I say, ""our mission should not be complete until the wheelchair is obsolete."" I could not believe he appeared at the Oscars so shortly after such a terrible accident. I broke down and cried. Yes, it is possible to love someone you have never met. He taught us all that we are ""here for a reason!!""",False
2,9,Fantastic,thajose,n/a,16/08/2025,"This was a fantastic documentary. I was fortunate enough to see this in theaters when it was shown on Christopher Reeve's birthday.I was a little kid when the Superman movies were huge, and I was a teenager when Mr. Reeve had his accident. I remember most of what was shown in the film, as it happened, but I had not thought of it in so much detail until watching this. The documentary does and incredible job of capturing the highs and the lows of all of the events that took place during those times and after.I want to give kudos to a few things: 1) As the story is told, there is a digital statue that is occasionally displayed that resembles Mr. Reeve/Superman. This was incredibly well used, down to displaying ""Kryptonite"" on it in a very creative way, when he was injured. A truly unique way to display this, whoever came up with that idea, and the artists that executed it, are brilliant. 2) My God, this man's family and friends are made of something special. From his wife, to his children, to Robin Williams and his wife, to Mr. Reeve's Ex and beyond, all of them dealt with this in a way that I do not believe most people are capable of. Most of us could only hope and pray that our family and friends would be able to support us to this degree, if we found ourselves in such a terrible situation. 3) Dana Reeve was an incredible human being.I highly recommend this documentary.",False
3,9,Spoilers....this is equally amazing and gut wrenchingly sad,hoagjaime,n/a,16/08/2025,"SpoilerIf you are an empath like me you may not want to watch this. Its got a lot of sad angles in addition to the accident. It has kind of haunted me for days after watching it. His youngest son....not only is his father paralyzed from the neck down his whole life, then his dad dies at 52, but then he loses his mother right after that when he is still a young teen. When he describes pretending to still be asleep so he didnt have to face the news of his moms death.... BROkE MY HEART. I can totally understand trying to avoid such a moment. He said even though he has the love of his two (half) siblings, his extended family, his adoptive family, he has basically been alone since that day, March 6, 2006. Just awful. The older kids talk about how he left their mom (his first wife), broker her heart and how he was basically gone all the time after that. Just so much heart ache in the story.The good thing is that all the activism that Christopher, and his family and friends did, helped people to walk after being paralyzed, even though it didnt come in time to help him walk again. Anyway its a good one to watch alone if you dont like crying in front of people lol.",True
4,10,A beautiful look behind the curtain,lizzyb-97802,n/a,16/08/2025,"As a paraplegic of nearly 20 years, I knew this movie would be difficult at points, and it was...in all the very best ways. Though my paralysis is nowhere near as severe as Chris's, I could intimately relate to a lot of Chris's emotions as my past feelings and memories were brought to the surface. Trying to retain our sense of self - as well as our roles as a spouse, parent, sibling, and friend - and also continuing to be an active member of society is a difficult tightrope to navigate when our physical sense of being is irrevocably altered and we have to learn to accept this new normal. I could relate to much of Dana's perspective as a spouse as well; though I was not the caregiver in my marriage I experienced firsthand how it changes the marital dynamic. Many people living with disabilities don't have that kind of strength and devotion in their marriage like Chris and Dana did.This film provides valuable insight into the life of individuals living with paralysis. If he as the most prominent figurehead of our community had these struggles, you can imagine how life can be for the average person rolling a similar path. Finally, having become paralyzed after Christopher Reeve, this film was a great reminder of all the ways my life would be different without his advocacy.",False
5,10,Inspiringly Awesome,johnzapetis,n/a,16/08/2025,"I saw this documentary at the first showing in theaters and the audience was deeply moved. So many personal stories of the life and times of friends, family and colleagues of a man we hardly knew. The true life story of courage and the love he left behind. I had no idea that his childhood shaped his perception of what family could be and that struck home for me. Great to see Robin Williams help his classmate, friend and being like a brother, stepped up when it counted most while dealing with personal challenges of his own.The support of Christopher's wife, Dana, goes above and beyond normal caregiving and deserves her own life story told as well. The personal stories their children tell about what she went through in the years that followed.His advocacy for change in spinal cord injury research has beared fruit all these years later.It was great to see the original Superman film clips on the big screen since seeing them when they first ran in the 70's/80's.Great CGI effects of a Superman statue among the stars and heavens with compelling narration. Bravo!",False
6,10,True hero,loriic,n/a,16/08/2025,"SpoilerSuper/man: A Christopher Reeve Story promised a closer look at the life of an icon who brought Superman to life on screen, but what I found was something far more profound. While I expected to witness the journey of my childhood hero, Christopher Reeve, what I discovered was a deeply human story about an ordinary man with both virtues and flaws, and the extraordinary people who surrounded him.The documentary masterfully portrays Christopher Reeve as more than the superhero we idolized. It reveals his struggles, vulnerabilities, and resilience, painting a picture of a man who, while imperfect, found strength in adversity. However, the true heart of the story lies not in Christopher himself but in the unwavering devotion of his wives-particularly Dana Reeve-and their children.Dana's story was nothing short of breathtaking. Her unyielding support, compassion, and strength in the face of unimaginable challenges redefined the meaning of heroism for me. She embodied perseverance and unconditional love, standing by Christopher after his life-altering accident, fighting alongside him to build a life of purpose, and dedicating herself to their family. Her tragic end brought me to tears and left an indelible mark on my heart. Dana's life is a testament to the quiet, often unsung heroism of those who refuse to give up, even when life's challenges seem insurmountable.This documentary reminds us that true heroism isn't always about superpowers or grand gestures-it's about the courage, love, and strength of ordinary people who rise to extraordinary circumstances. In that sense, Super/man is not just a story about Christopher Reeve but an ode to Dana Reeve and their family, who showed us what it truly means to be heroic.",True
7,10,Beautiful,mayracasillas,n/a,16/08/2025,"A real life superhero. Even through his tragedy he still did not give up .He had hope and love and inspired others .It was lovely to see his family supporting him .Even sadder how hard it would be to be paralyzed and not be able to do what one is used to doing but he still kept moving forward. It made me cry such a beautiful man growing up in a broken home as I did just trying to live life. In the end he realized how blessed he was to have the love of his wife ,children and friends and fans .He did a lot for causes that mattered to him. He will never be forgotten. More sadder was how all this affected his children.",False
8,7,Insightful and emotional story about Christopher Reeve and his journey,peter0969,n/a,16/08/2025,"Watched this at the 2024 Sundance Film Festival.Christopher Reeve was well-known for his performance as Superman and his unfortunate accident in 1995 disrupted his acting career. While I haven't seen many of Reeve's work, I found Reeve's to be a interesting person and this documentary does a good job on exploring his journey before and after his accident with good atmosphere, conversations from other celebrities and exploration about his activist works.The documentary presents good presentation, structure and some informative insights about Reeve's personal life that I didn't know about it and it was pretty emotional to observe. Seeing his family and others discussing of what makes him so special was pretty touching and I felt connected to Reeve's activist work, his journey and the person he is.Without being said, the documentary does have it's faults which are some of the pacing that could be improved. Including the musical tracks feeling repetitive. The musical tracks feel out of place and just like Val and Still: A Michael J. Fox Movie, the musical soundtrack feels cheesy and kind of ruins some of the moments.But as a whole, the movie's core was good and it was interesting to observe and learn about Reeves. May Reeves legacy continues and his legendary performance as Superman to live on.",False
9,10,You Will Believe A Man Can Try - One of the year's best films.,george.schmidt,n/a,16/08/2025,"SUPER/MAN: THE CHRISTOPHER REEVE STORY (2024) **** Heartfelt and accommodating documentary on the life and legacy of Christopher Reeve, actor/familyman/advocate for the disabled focusing largely upon the nearly-fatal accident in which he became a quadriplegic, which not only strengthened his humanity but in fact defined it. Interspersed with family home videos and testimonials from both friends and colleagues as well as those who have benefited from his & his wife Dana's philanthropic efforts, the film balances the man as well as the myth (naturally playing Superman onscreen clearly iconicized him immortal and underlined the cruel fate of his destiny) filmmakers Ian Bonhote and Peter Ettedgui prove that - to turn a phrase on his most famous film's tagline - You Will Believe A Man Can Try. One of the year's best films.",False
10,6,Superman: The Christopher Reeve Story,henry8-3,n/a,16/08/2025,"Fascinating and in the end a very moving documentary looking at the life of Reeve. Unlike most similar documentaries, it cleverly draws your attention to the terrible accident Reeve had right at the beginning the film and how it affected his life, whilst then looking back at his life and career and of course the impact of him becoming Superman. Clearly and largely because of a wealthy, ambitious, competitive and seemingly indifferent father, Reeve became ambitious and competitive himself, ironically devoting his life to endless travel and sporting activities which he always needed to win. He extended this discipline to his admittedly loving children and it is therefore terribly sad that a man preoccupied with such activity should have these driving needs and desires taken from him so suddenly. Yet, he acknowledges that only after the accident did he come to understand true familial love was about togetherness and relationships, not team activities.It is also interesting that a man can gain so much fame from essentially doing 2 films - most of his career was made up of criticism and / or flops and yet he is still regarded as a star. It is all the more remarkable then that with the strong support of his wife Dana it could reasonably be argued that in facing such a difficult life, he achieved so much more after the accident than before. He was clearly loved by his family and friends, particularly Robin Williams. Well crafted and honest documentary that is certainly worth catching, but it is understandably very sad in its tone - be prepared to shed a tear in the closing 20 minutes.",False
