Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Only watch the first and last episode,LukeCustomer2,n/a,17/08/2025,Like a lot of Netflix series this was packed with filler. The first episode and the last were actually interesting. The first deals with near death episodes and the last with reincarnation. That last was most amazing to me. I had never heard of such apparent evidence with regard to reincarnation. The middle of this documentary is sort of sad filler.,False
2,7,Skip the Dutch fraud,jcdamien,n/a,17/08/2025,"SpoilerThis is a very well written and produced documentary, with very credible scientific testemonials and what appear to be good, honest people. Except from that FRAUD on episode 3 which is just a shameless fraud, prying and exploiting people's vulnerabilities. And what a bad ventriloquist she is. Quite ridiculous.
If the show aimed at validating these phenomena including that ridiculous part was bad. Too bad.",True
3,6,"I want to like it, but...the physical medium stuff is ridiculous",kellybethga,n/a,17/08/2025,"SpoilerI guess you must weed out what's possibly real and what's bogus. The physical mediumship is completely unbelievable. She claims she's taken over by spirits but despite having higher/lower/child voices, they all have her accent! The supposed historical evidence such as wax molds is also not believable; what the man describes as a child's hand and foot could easily be mine; I'm a small female. I hope it gets better. Came here to see if I'm the only one who doesn't buy this and I'm not alone.",True
4,6,Great Show - w/some off points,qb-94675,n/a,17/08/2025,LOVE LOVE LOVE this series. I hope thay make more seasons.My only complaint is they lost focus when they turned the show into one not about life after life- but about ONE particular medium. ?? What was THAT about?I might add not a very interesting medium either. Not a shot at the lady's personality just perhaps the way they filmed it or what they asked her. And while I'm not denying her abilities - that fake child voice is laughable. Perhaps not the best way to introduce ppl to mediumship?It doesn't make sense why they spent SO much time on this one particular medium instead of exhibiting some of the masses of information on life after life experiences and the scientific data about it. Or even cultural ideas about it.Hopefully they will regain focus and explore what ppl are watching the show to learn.,False
5,8,Skip second and third ep and the rest is amazing,mxbxl,n/a,17/08/2025,"I really didnt like the Mediumship episodes, too long and somehow unbelievable (the Dutch lady) even tho I am a true believer in these things.",False
6,6,Finally!,kristi2374,n/a,17/08/2025,"I have been waiting for a good documentary about NDEs. This one started off well with Mary Neal, and I am so happy to see that they have shown clips of DNE pioneer, Raymond Moody. I cannot wait to finish this docuseries. I am beyond excited!Update:
Started strong and it went downhill from there. What a waste. They should have focused solely on NDEs.",False
7,3,SKIP THE MEDIUMS. The other episodes are interesting.,michele-231-432762,n/a,17/08/2025,"That. Dutch. Medium. Or, how to make a fool of yourself for the world to see. While her voice is high-pitched for ""little Tommy"" and guttural for Freda, they still have Dutch accents, LOL. Not to mention that the ""communication"" she shares are taken right off social media and Google.",False
8,8,Episode 1 and the last episode are the best.,billmanjd,n/a,17/08/2025,I really enjoyed the episodes on NDEs and Reincarnation. The Mediumship episodes were disappointing and silly at times.,False
9,7,Give (some of it) a try!,katelcarmona,n/a,17/08/2025,"Like most people have said, skip episodes 2 and 3... too much focus on possible frauds. I was the biggest nonbeliever in all of this before I had my own experience about 5 years ago. Even if you don't believe in all this, you have to admit it's interesting. Give it a try!",False
10,5,Skip the Mediums and Maybe Benefit from the Rest...if interested.,AJ_McAninch,n/a,17/08/2025,"I have lost the most important person in my life, the love of my life, but I can tell you that he is definitely ""there"" and tries to communicate. I can feel him and his love: he doesn't need a ""medium."" I am the one who's not very good at communicating spiritually, so I watched this out of sincere interest but also with a healthy skepticism. The first episode is interesting and hooked me a bit, and the last ones after the clearly dubious mediums. But I will continue to search elsewhere.",False
