Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Insanity,joaosantos20,n/a,16/08/2025,"Powerful account of atrocities that should never have happened, it's hard to watch but explains a lot. And the cover up at the highest levels makes it even worst and it's hard not to draw similitude to what the nazis did, it's the same thingTo imagine that just 3 years after being hunted by the nazis, the same people decided, you know what is a good idea, lets do the same to someone else.And to top it all of they were rounding up, chasing and judging the nazis while at the same time doing the exact same thing. InsanityAnd it's really hard to see people telling about this crimes and laughing, these aren't people, these are animals.",False
2,10,Finally an honest account of history,ianovicizohar,n/a,16/08/2025,"I cannot fathom how much courage the director had to gather to make an honest film about our history.For anyone who grew up on myths promoted by state propaganda, this film is bound to be hard to watch but ever more so, very much necessary.Masterfully made. The director deserve all the praise he can get and I wish him the best of luck fending against the immense backlash it created.The movie serves the honorable purpose of speaking truth to power, with no restraints or filters and for that it is a must watch for anyone who thinking they have an idea about the history of Israel and Palestine.",False
3,9,Hearr wrenching,sarrahmohammed-56658,n/a,16/08/2025,"My heart was tight during the entire documentary. It was infuriating the level of denial and lack of remorse the interviewees felt. The laughing and jeering whilst mentioning awful acts of depravity, made me want to throw my remote at the television.This is one of the only documentaries I have seen uncover truths about the palestinian history of the nakba. I hope it inspires a new genre of documentaries uncovering more truths. The pain within the diaspora is palpable. Their realities and stories are important.The director deserves praise due to his bravery in releasing such a controversial documentary.",False
4,10,Catastrophe 💔💔💔💔,fatimazahraaahmed,n/a,16/08/2025,"The phrase ""Never Forget"" has long been associated with the Holocaust. It's a pushback against the type of willed, collective amnesia that allows not just the perpetrators of atrocities but their descendants to go through life unburdened by guilt for war crimes and the privileges accrued as a result of their commission. The documentary ""Tantura"" shows how selectively the phrase is applied when the subject is the founding of Israel, which killed and displaced Palestinians and had a negative multigenerational ripple effect that continues into the present day. The movie focuses on the fate of Palestinian residents of the title village in the summer of 1948. A mass murder by Israeli soldiers was part of a grim event that included beatings, rapes, and looting.",False
5,10,Captures Small Details SO WELL,lindsaysproul,n/a,16/08/2025,"Of course this film's topic is absolutely essential and I am so glad this story is being told. As for the way the film portrays details (the eerie points where people smile, the reaction of the dog and other animals, the inflections of the people being interviewed) is what made this film so terrifying and so strong. It's also why I recommend watching it multiple times-you'll notice more detail each time. I've watched it twice, a year apart, and found myself catching so many more small details. This film is essential if you want to educate yourself about Palestine and its history, and about the way people lie to themselves to keep their ""morality"" intact. Ultimately, what I found myself feeling again after watching is this: being afraid to learn, to adapt and to admit when you were wrong is essential to liberation. Every time someone in this film says ""I don't think about that anymore,"" it's so clear that they think about it every day.",False
6,10,Tears for Tantura,DrD3,n/a,16/08/2025,This is a very revealing film which documents the horrendous massacres committed against the indigenous people of Palestine. The interviewer skillfully exposes the repetitive lies and excuses concocted by certain members of the zionist militias as they ransacked village after village with the peaceful seaside hamlet of Tantura being the focal point of this documentary. It was refreshing to hear the truth being told from time to time. Interviewing Ilan Pappe for this film was excellent as he is the foremost Israeli scholar on the events that transpired during The Nakba. Very educational and well worthy of a watch.,False
7,10,Haunting,info-89992,n/a,16/08/2025,"My previous review was canceled without any explanation; my only thought is that it must have contained a spoiler.This is an important film to see. I think the director did a great job telling a forgotten story about the creation of Israel. We are offered a glimpse into history from the perspective of the Israeli soldiers who participated in the massacres of the Palestinian villages that were ethnically cleansed during the creation of the state of Israel. I am amazed that this film was made and screened at US festivals, given the censure these types of films typically receive. It's a tough watch, but a necessary one.",False
8,9,1948 Never Ended,mysticwit,n/a,16/08/2025,"First person accounts, a master's thesis, a newspaper article about the thesis, and the scandal of truth makes Tantura is a gateway documentary about truth vs the manufactured myths of state creation.Told in non-linear format, individuals connected to an Arab village recall 1948 events on camera as well as through decades old audio interviews. Memories and rationalizations clash as the true and hidden stories of atrocities are revealed.All but exclusively interviewing Israelis, Tantura the documentary might be better entitled, Testimonies of Tantura, as only a few Arab voices are heard. While there are some village witnesses who survived interviewed, the focus is on Israeli perspectives, peeling away layers of taboo and myth to reveal the shocking truths, some told so casually, and justified so brazenly, that anyone watching will rightly start questioning the creation myth of the state of Israel.Tantura is more than examination of an obscured massacre, it's an examination of the relationship Israelis have with the truth.Pair Tantura this with 1948: Creation & Catastrophe (2017), another documentary relying on first-person accounts to gain better insight into the history of Israel and current events in Palestine.",False
9,6,"Well-Informed, but uneventful at the same time",peter0969,n/a,16/08/2025,"Originally premiered at the 2022 Sundance Film Festival in the World Cinema Documentary Competition.Tantura is about in the war of 1948, where hundreds of Palestinian villages were depopulated. Israelis call it 'The War of Independence. Palestinians call it 'Nakba""'. The film examines one village- Tantura and why ""Nakba"" is taboo in Israeli society. Directed by Alon Schwarz, there is a lot to appreciate here. For starters, there is really good production value throughout this documentary, purposeful archival footage to support the arguments from the participants and directors, and really good discussions from the main participants.However, some of the participants answers feels kind of dishonest and really fake. As if they are not being really truthful to their answers and all. Some of the discussions feel really stale especially towards the second act.Overall, a decent documentary.Rating: B-",False
10,10,Important,rabiabashar,n/a,16/08/2025,"This movie should be seen from an educational perspective. When they say that history repeats itself it is important to understand why. If one wants a reminder as to why, they should consider watching this. It leaves you with many mixed emotions. You feel like you are watching an episode of Law and Order with no legal trial. You feel you are watching CSI with no evidence presented. You feel you are watching a legal drama where there is truth being hidden like in the movie primal fear. It leaves you with a feeling of what people are capable of out of fear and trauma where there is no impunity. Its a must see for a open mind.",False
11,1,a movie about nothing,kramerthecat,n/a,16/08/2025,"Tantura delves into the controversial events surrounding the village, yet it's crucial to acknowledge ongoing debates and evolving perspectives. While initial claims of a massacre remain unproven, subsequent investigations have cast doubt on the narrative. The film presents a narrative of alleged indiscriminate killings by the Alexandroni Brigade, yet recent scrutiny suggests otherwise. A reevaluation of evidence indicates no basis for the assertion that villagers were killed after surrender. Additionally, criticisms of the film's technical aspects, such as amateurish shooting and transitions, detract from its impact. While Tantura explores significant historical events, its portrayal must be viewed within the context of ongoing discourse and scholarly analysis.",False
12,10,Heart Wrenching,billcr12,n/a,16/08/2025,"As I write this review in May of 2024, my American government is funding the genocide of the people of Gaza. So far, about 40,000 have been massacred by the IDF with an assortment of armaments from our stores, including two thousand pound ""dumb bombs.""
Teddy Katz is a true hero for having the courage for speaking out against his country by writing a paper with full proof with interviews, of some of the atrocities committed during the Nakba(catastrophe) of 1948. One interview subject, in particular, spoke with glee of a teenage Palestinian girl being sexually assaulted. The man belongs in a jail cell.Katz received death threats for this and every member of congress should be locked in a room and forced to watch this documentary. It will never happen.",False
