Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Note to Hollywood: This is how you make an action film.,TOMASBBloodhound,n/a,15/08/2025,"SpoilerAnd yes, I'd consider this more of an action film than Sci/fi since it takes place in contemporary times and locations. Nowadays, it can be hard to distinguish an action film from a video game. In fact there is one coming out soon that appears to be both. I guess studios these days feel that kids need something to see while resting their fingers after long days of playing their Nintendos/Playstations/whatever. So they come up with all of these PG-13 action films that are often mere meditations of comic books, toys, or old TV shows. Looking back at T2, one may find the action films of today sorely lacking in comparison.The story of course deals with Arnold returning from the future to protect a boy who will some day lead the human resistance against a world run by machines. This time Arnold is the good guy (as per Schwarzenegger's request) and he's up against a lethal and much more advanced prototype sent to off the kid. The CGI used to create this new T-1000 terminator was jaw-dropping at the time this was released. Though technology to create such things is now infinitely more available, this has led to problems in my book. Now, there is too much done with computers, and stunts don't seem so wonderful if you know it was all done on a computer. Most of the stunts in T2 were live action and extraordinarily filmed using all types of vehicles and explosives. Director James Cameron really sold these stunts in terms of how he filmed them.Not all directors are a good as Cameron. That is a given. But directors looking at making action films should take note of other strengths found in the construction of T2. First of all, you don't need shaky camera movements to sell to your audience that there is an exciting or crucial scene happening. Here the photography is crisp and detailed. You see everything clearly that you need to see. Right down to the little things. The action sequences are perfectly blocked and the spacing between hostile parties is easy for the audience to figure out. We know who is shooting at who, and how far apart they are from each other. Cameron also made sure his entire cast was proficient with the weapons they were going to fire in the movie. And guns run out of ammunition and need to be re-loaded at appropriate times. Nothing seems artificial in a shootout.I could go on forever pointing out good qualities of this film. Just watching a bit of it on Bravo the other night reminded me why I saw it so many times in the theater. And this film was rated R! And it still made a fortune! That just proves if you make a good product, you don't have to dumb it down or tame it for the kiddies. If it's good enough, they'll find a way to see it! 10 of 10 stars. Unfortunately, the inspiration seems to have left this series with Cameron.The Hound.",True
2,10,Movie that everyone should see!,RM851222,n/a,15/08/2025,"Greetings from Lithuania.WOW! The best word that describes this movie is ""wow""! Not only to say that this is the best Action movie of all time, this is probably one of the greatest movies ever made . The people in my country watched this film when there where limited VHS cassettes at all. And again, my favorite Director did an timeless epic-masterpiece. Yes, an epic. Every scene in this movie is beyond the perfection. The timeless plot. Groundbreaking effects. Unforgettable ""Hasta la vista, baby."" .Perfect direction for a sci-fix action film. When the action starts, you're in for the ride of your life. There never be the same movie like T2. What else I can say about this film? A Must see for everyone.",False
3,10,A piece of cinematic genius...,athlynne81,n/a,15/08/2025,"SpoilerI adore this movie. I could never stand action movies, but T2 is so intelligent and moving that it stands apart from everything else.First, the story - brilliant, smoothly making the necessary transition from T1. The dialogue runs the gamut from hilarious to heartbreaking, but always strikes exactly the right chord.The cinematography and effects are stunning, especially the scenes filmed during ""magic hour"", when the pale gold of sunset casts a meaningful and lovely effect on the scene. Being the first $100 million movie naturally the effects are remarkable for their time, but they hold up wonderfully against anything made today.It's the actors, however, who steal the show. Linda Hamilton can play insanity and despair like nobody's business, and she gave her all here. Robert Patrick was wonderful in the demanding role of the T-1000, creepy and threatening even during the funny finger-wagging moment. Arnold Schwarzenegger balances non-stop action with a machine's emerging humanity; frankly this movie cancels out every dumb action flick he ever made. New-comer Edward Furlong carried the film with seeming ease, giving an astonishing performance for his age and lack of experience; the ""We're not gonna make it, are we?"" scene is hauntingly perfect.James Cameron and his team have given us a classic that has something for everyone. You'd never know that this is the guy who made Titanic.",True
4,10,This is the sequel that dreams are made of.,Smells_Like_Cheese,n/a,15/08/2025,"Normally when people tell you about a sequel that was better than the original or just as good, Terminator 2 is always guaranteed to be in their list; why? Because this is THE action movie of all action movies, next to Die Hard, this is the movie that isn't just about the action as well, but has an incredible story and message behind it that will always stay with you. Terminator 2 like the first Terminator film has memorable lines, moments, and incredible effects. This is the film that made you believe in ""liquid metal"" machines. Robert Patrick's performance is flawless, to be honest I found him a million times more terrifying than Arnold in the first Terminator, because Robert looks like this normal average guy, but he's not like Arnold where he gets shot and you can clearly see he's a terminator, Robert goes back to human looking and won't stop. Not only that you don't know how to stop him. Linda Hamilton returns and gives a great performance as Sarah Conor who is no longer a meek little girl, she has turned into a strong woman who will do anything to protect her son and the future. Arnold is back and he's better then ever! No wonder in the future they made several terminators that look like him, he's great entertainment.Eleven years after Sarah Connor destroyed the original Terminator that was programmed to kill her, two Terminators arrive in Los Angeles from the year 2029. The first is a Terminator identical to the one that Sarah first encountered, while the second is a new model which assumes the identity of a police officer. John Connor is now a 10 year old living with foster parents. Sarah's experiences have made her tougher and more vigilant, but also desperate to warn humanity about the coming apocalypse. After attempting to bomb a computer factory, Sarah is arrested and remanded to the Pescadero State Hospital for the Criminally Insane under the supervision of Dr. Silberman. Meanwhile, the Terminators locate John Connor in a mall. After John is rescued and a chase through the L.A. storm drain channels, the original Terminator escapes with John on his motorcycle. The Terminator explains that he is reprogrammed by the future John Connor to protect and obey John's younger self. The other Terminator is a T-1000, an advanced new prototype programmed to kill John. It is made of ""a mimetic polyalloy"", a liquid metal that allows it to take the shape and appearance of anything it touches. It can also form into knifes and stabbing weapons. Learning that the T-1000 will likely kill Sarah and then mimic her to lure John, John orders the Terminator to help free her. Initially, Sarah is terrified by the Terminator; but after seeing it fight off the T-1000, she accepts that they need its help. As they escape the city, the Terminator informs John and Sarah about Skynet, the sentient computer system that will nearly wipe out humanity in an apocalyptic nuclear attack on ""Judgment Day"".Terminator 2 is one of the best films of all time, this is a film that I absolutely adore and if someone hasn't seen it, there's something seriously wrong. This story is a special one: humans, are we our own worst enemy? Arnold's line ""It's in your nature to destroy yourselves"" is something that always sends chills down my spine because it's true. I loved the relationship between Arnold and Eddie Furlong, interesting to see a terminator take the place perfectly of a father and you see the pain in Eddie's eyes of never wanting to let go of the terminator. Like Sarah Conor said "" The terminator wouldn't stop, it would never leave him. It would never hurt him or shout at him or get drunk and hit him or say it was too busy to spend time with him. And it would die to protect him."" meant a lot to me. Like I said, if for some odd reason you have seen this movie, do see it! I promise you that it's just an excellent film and one that will always stand out against cinematic history.10/10",False
5,10,Great,0U,n/a,15/08/2025,"A classic and belongs in the top tier of action films. The action sequences are exciting and plain awesome. Involving an arsenal of weapons, a Harley-Davidson and Arnold Schwarzenegger, action movies don't get better than this.",False
6,10,Words cannot describe the greatness of this movie,SeminolePhenom,n/a,15/08/2025,"A Terminator(Arnold Schwarzenegger) was sent from the future to kill the unborn son of Sarah Connor(Linda Hamilton) in the original. Now, that Terminator has been sent back again but with a different assignment: Protect John Connor. John Connor(Edward Furlong) is now about 10 years of age and must evade a new Terminator sent to kill him;The T-1000(Robert Patrick). Sarah, John, and The Terminator journey together on their quest to stop Judgement Day, with a trailing, shape-shifting Termiantor trailing from behind.This is the greatest of the Terminator trilogy. I have watched three times in the past year and have not found anything that Cameron could have improved on. The move is a masterpiece in every aspect of film. Schwarzenegger's acting might not be incredible but this is the perfect role for him. He isn't supposed to show emotion or feelings. He is a machine. I hate almost every one of his movies besides this trilogy because he is a horrible actor but he works perfectly into this role.The special effects are incredible beyond belief. The shape-shifting T-1000 is some of the greatest animation I have witnessed in cinema history. It absolutely blew my mind when I first experienced this visual extravaganza. The animation looked so real(remembering this was a good ten years). The movie included fast-paced action along with some clever sci-fi drama/horror. The idea of a vast army of machines taking over the world after sending off warheads to every major city should be scary enough. But the T-1000 has very little lines and is just creepy enough to make twitch when you see him.Sci-fi movies can rarely be made in such way that can be looked at as works of art. This is one of the few exceptions. The prediction of judgment day with Hamilton watching a playground full of kids be burnt to the ground is an absolute brilliant portrayal of Armageddon. The theme that men will destroy themselves is also shown throughout the movie also and is even said by The Terminator"" It's in your nature to destroy yourselves"". This brings the movie to a whole new level of sci-fi.Overall, Termiantor II: Judgement Day is an absolute must see classic. If you have not seen it, buy it! Because once you have seen it, you will want to do so anyways. It is fast paced and highly enjoyable for just about every audience.I highly recommend this movie.",False
7,10,"This Terminator Sequel, may prove to be the best sequel ever made.",mjw2305,n/a,15/08/2025,"SpoilerAfter failing to kill Sarah Conner, the Machines are now trying again, only this time their after John Conner himself, as a boy. Sarah Conner is labelled insane after trying to burn down Cyberdyne Systems, the company that hid the remains of the first terminator she destroyed, and she is committed to a mental institute. John Resents his mother for the way he was brought up, and now lives with his foster parents.Again the machines send a Terminator the T-1000, but the resistance have one of their own. Sent back to protect John, Arnie is the same make and model, but has a new mission, this time he's on our side.Is Arnie a match for the new T-1000, a liquid metal terminator that can morph into anything it samples by physical conduct. Groundbreaking special effects and non stop action sequences ensue as the war between Terminator's boils into one of the finest action movies of all time.Simply Brilliant in every way.10/10",True
8,10,The best action sequel of all time and one of the best Schwarzenegger's movies my personal favorite,ivo-cobra8,n/a,15/08/2025,"Terminator 2: Judgment Day is (1991) is the best action sci-fi flick movie from the 90's ever made of all time. Terminator 2 is my personal favorite film I absolutely love this movie to death! Is my number 1 best movie ever till today the best of the best epic movie of all time. T2 was nominated for 4.Oscars the only movie of the franchise was nominated for an Oscar. If you watch T2 carefully and follow the story you never got bored and you are very entertained. This movie kicks ass! I love the hospital scenes mostly at night, the Cyberdyne building action sequences and of course steel mill action sequences are perfect for this film. This film deals with a lot of action, sci-fi and does involves a lot of paradox past travel. There is a lot of explosions and automatic weapons used in the movie and they are used well thousands of bullets are fired and explosive projectiles are fired at the police cars.Arnold Schwarzenegger as the good terminator T-800 did an awesome Terrific real job, he acted believably as one of his best characters I ever saw on screen. Terminator walks to the front of the building and kicks a desk out a window. Than ignores the police's order to surrender and fires a M134 Minigun with Chainsaw grip at the police cars below, avoiding the humans. The helicopter pilot moves away. Terminator than uses a M79 grenade launcher to destroy two more vehicles. Its heads-up display indicates no human casualties. The film has a heart and is the best film in the world.Robert Patrick as T-1000 is ""a mimetic Polly-alloy"" or ""liquid metal."" He can shape shift to match other people he touches, after first arriving in present time, he decides to have his base form be that of a nearby cop he killed and passes himself off as a cop in that form. The truck chase scene is awesome and the crash is also awesome. The truck that hit in to another column in the canal and explodes, T-1000 emerges as a shiny, featureless, liquid metal figure. Its features become more pronounced and its colors return to normal, returning to the form of the unharmed pseudo-cop is awesome. It shows what his character can do.Linda Hamilton is the only Sarah Connor she acted her character perfectly here she played her character genius and very convincing and real, tough beyond all belief and completely focused on preventing the nuclear war and ensuring John's safety. Sarah Connor is her best performance ever in the both Terminator films. Little out of her mind with paranoia and anger: amazingly, you see actual character development (specifically, when John and T101 arrive at Dyson's house to prevent her from doing what she wants to).Edward Furlong, is the only John Connor for me, is not bad himself as the extroverted kid who's confused by the fact that everyone except his mom told him his entire upbringing was based on a lie. The bit players all do their jobs well. Earl Boen plays the semi-sadistic mental hospital warden Dr. Silberman from the first film The Terminator (1984) that stands between Sarah Connor and her son (until the T1000 makes a chilling entrance).Arnold Schwarzenegger, Linda Hamilton, Edward Furlong and Robert Patrick did there best acting performances, those actors who played there characters are beloved till this days and Terminator 2 has since been ranked as one of the greatest action, science fiction sequel films of all time.Twin sister of Linda Hamilton also appeared as Leslie Hamilton Gearren as Twin Sarah in dream she was for real there wasn't no CGI in here. Twin brothers Don Stanton and Dan Stanton both of actors appeared in here one as Lewis the Guard the other as Lewis as T-1000 who kills lewis they were for real no CGI, except special effects for T-1000 knife. Terminator special effects were designed by Stan Winston R.I.P. who has done incredible job making those effects.The film is absolutely filled with great, classic moments. T2 is James Cameron masterpiece. This wouldn't be an action movie without some action. James Cameron writes, produces and directs brilliantly this film. Brad Fiedel does a perfect music score to the film. American rock band Guns N' Roses wrote a single for this movie ""You Could Be Mine"" and Schwarzenegger appeared in the music video as T-800 in the music video for this movie.The chopper scene that crashed in to a SWAT van and explodes was awesome. The CGI and special effects are awesome. This movie is what it is, a perfect 10, because it takes the vision of one of the most imaginative directors on Earth, and realizes them almost perfectly with all the tools that fit the task actors, stunts, puppetry, models and special effects designed from Stan Winston.It is Rated R for strong sci-fi action and violence, and for language, it is a perfect film from the 90's that I have grew up with it. 10/10 Score: Bad Ass Seal Of Approval",False
9,10,Hasta la vista baby,Calicodreamin,n/a,15/08/2025,The best terminator movie by far and one of the all time greatest movies ever made. The effects are amazing for the early 90s and hold up even by todays standards. The storyline is easy to follow and the action scenes are amazing. The characters are well cast and the actors sell this movie. An absolute classic.,False
10,n/a,Masterpiece Sci-Fi,n/a,n/a,15/08/2025,"Terminator 2 (1991)**** (out of 4)It's not often a sequel is better than the original but that's the case here. I'll go a step further and say this here is one of the greatest science-fiction movies ever made. It's funny but I still have vivid memories of watching this on opening night even though I was only eleven-years-old. I remember the buzz going into the movie. I remember who I watched it with and I can even remember what part of the theater I was sitting in. At the time I don't think I fully realized how special the film I was watching was because I only saw it as something extremely cool with ground breaking effects. Today I see the film as a complete masterpiece of film-making even though one might find a few logical issues but then again this is science fiction so the logic could be overlooked anyways. I think it goes without saying but the story is the best thing going on here. The plot is a very simple one: the prevention of Judgment Day so what else do you need? The movie has Arnold Schwarzenegger returning and giving the greatest performance of his career. Linda Hamilton is also back and the way she transformed her character from the first film is pretty remarkable. Edward Furlong makes for a very good John Connor and Robert Patrick is terrific as the villain. The special effects were ground breaking in 1991 and I might say they haven't been topped in all the years since. Sure, CGI has come along but they can't hold up to anything in this movie. The liquid metal is pure genius and all the effects are masterfully done. You could pick any single one of them and hold it up as being some of the best ever created. Whereas the first film was extremely dark, this one here allows for the Terminator to have more character development and I think this was a great thing to do. Just as it was great to have Frankenstein's monster speak in BRIDE OF FRANKENSTEIN, I think it's great to show a more humor Terminator. The jokes work perfectly and you can't help but find the ending very touching. No matter which version you watch (I prefer the theatrical) this is a marvelous film that has perfectly stood the test of time and delivers itself as one of the greatest of its type.",False
