Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Not AI,Techmama68,n/a,15/08/2025,"NBC's website addresses the question of whether or not AI was used in the show. The following text is from NBC's website:""Anyone who tuned into the first two episodes of NBC's The Americas may have questions like ""Is this real?"" or ""Am I just seeing AI or CGI?"" While it's a testament to how incredible and unbelievable the footage is, the truth is the fantastic nature footage is just the result of innovative filming techniques and clever, dedicated camera operators.Is The Americas show AI? No. While AI imagery can produce some pretty surreal-looking things, the footage found in The Americas comes straight from real life, which makes it all the more impressive. Artificial Intelligence still can't create some of the wonders that are found right in our continent's backyards.The footage captured by The Americas crew is not the generated by AI or CGI. Instead, it's the fruit of more than 180 expeditions to some of the most hostile and gorgeous places on Earth, according to the BBC. The team behind the show was dedicated to capturing some of these natural wonders in unrivaled detail in ways never seen before. So, if it looks like something totally unreal, it's probably because no one has ever shot nature quite like this before.How was The Americas filmed?The BBC, which co-produced The Americas, notes it wanted to create an immersive viewing experience with the series, which meant going to faraway places and getting a look at some of the more difficult-to-see spots within them. The Americas will take viewers up into the sky with helicopters and drones, under the sea with rafts and rebreathers and even underground with computer-controlled camera rigs and 360-degree probe scopes.In total, roughly 35 camera models were used for specific applications that brought nature to life in The Americas to help tell the story of wildlife in never-before-seen and visually stunning ways.""",False
2,9,Music,bgqrpcby,n/a,15/08/2025,"The content, visuals, and narration are OUTSTANDING!!!! But, everything would be perfect if the music didn't drowned out Mr. Hanks wonderful narrative!! The music is lovely but too loud!!!! I want to hear the narrative as well! The visuals are so full of color and expressive action! The narrative tells an impressive tale giving the viewer background stories and remarkable details. I could watch these over and over catching new details each time. Mr. Hanks is absolutely amazing the way he delivers the information!! The production is thoughtful but not forced. There is humor, emotion, excitement, and danger. All the elements are presented in perfect balance, except the music level.",False
3,7,Sack the sound guy!,atideswell,n/a,15/08/2025,"Having been brought up on BBC wildlife programs narrated by the incomparable Sir David Attenborough, I was curious to see if this American made program showed anything new and if it was any good, well there wasn't much that I haven't seen before, but the camera work was glorious and Tom Hanks have it a good go, although I do find his voice a bit irritating, over all the program probably would have been great, but found I the music and background sounds too invasive, could hardly hear the poor Tom and he wouldn't have been cheap. Anyway this was so distracting from the visuals I gave up with it.",False
4,n/a,"Outstanding Visuals, but Music can be Interruptive",n/a,n/a,15/08/2025,"The stunning visuals for this series are exemplary. This is a mind-blowing, informative experience. As with most nature programs, this puts our humanity into perspective. The script takes a traditional approach: it's a blend of intriguing facts, anthropomorphism, and humorous quips to keep the viewers coming back.Here's my main disappointment: the audio mix is frequently imbalanced. As others have mentioned, there are moments when the narration is gobbled up by the heavy-handed music. This is a common occurrence nowadays. They want the viewers to feel a certain way, so they attempt to sway us by either increasing the volume or using songs which trigger heightened emotions. It's an old trick that doesn't work for some of us.Aside from the above, I still recommend this series. Here's a workaround which I prefer. I turn the volume off and tweak the Caption settings to my liking. When an animal sound comes on, I temporarily turn up the volume.",False
5,10,Amazing,debree-51826,n/a,15/08/2025,Do yourself a favor and watch this. Surreal images & things you've never seen. Great narrating. Amazing information and pictures. I can't even wrap my head around how they got all this video. You will be amazed at the nature and the wildlife that you never knew existed. This is a great series for the whole family to watch. You will be educated as well as your kids. I can't get this show enough praise and I hope it wins a lot of awards. Watch it on a big screen TV and turn the lights out and you will be totally mesmerized and your mind will be blown. This is the best non-regular program I have ever seen in my life.,False
6,10,Wow!,lou-richards,n/a,15/08/2025,"This series is amazing. The photography is sensational. I hope there is a sequel showing how it was produced. The production values are amazing. Was all the photography done from a helicopter? Did they scout the locations a long time before the producers and director put it together? I am amazed by the quality of the film, the graphics and the narration. Over how many years was it produced? How did they find that snowshoe rabbit or the dead polar bear? How did they get such marvelous closeups? It looks like it took a long time to put this together. When did they start filming? It is certainly worth watching. Give us more.",False
7,10,Outstanding,binnigirl,n/a,15/08/2025,One of the best nature shows ever! And Tom Hanks is a great narrator! Spectacular photography and some things weve never seen before on a show. So very impressed and in hopes of more to follow. Thank you BBC or whoever produced this fabulous series. One of the best nature shows we have ever watched. Photography was beyond amazing and we discovered some wildlife we have never seen before in a nature show. Tom Hanks did an outstanding job of narrating the film. We will be saving this to watch again several times and sharing with family and friends. Would be wonderful if more episodes were created.,False
8,10,Incredible,pmpmn9,n/a,15/08/2025,"I genuinely enjoyed this series and looked forward to watching it every week. It captured so many beautiful places and creatures in the wild spaces of North and South America, from the largest to the smallest. It was also very well narrated by Tom Hanks.I highly recommend the last episode, which highlights how the series was made. The camera crew seem to be well suited to the kind of work required to produce the series, which was very complicated and adventurous. They needed to work in many different types of environments and climates and operate their equipment in all sorts of weather conditions. They also had close encounters with wild animals, often unintentionally when they were unexpectedly approached.If there is a DVD version of this series, I would definitely be interested in purchasing it and gifting it to my grandchildren.",False
9,10,Amazing,debwalsh-58864,n/a,15/08/2025,"Love Tom's narration of this series,. Sometimes quite comical, in his style, love it. I hope they do more of our beautiful planet. This has been the best thing to watch. Fun and educational, every school should show these episodes. The drones and photography is spectacular. Amazing, the events they captured,.some being a first. The underwater was done very well. I just loved it!! Gonna really miss seeing these episodes. I learned a lot about the beautiful areas of North and South America. It's hard to pick a favorite episode but seeing the whales was a treat. Amazing what these creatures do to survive and thrive.",False
10,10,An Incredible Series Narrated by Tom Hanks Who Brings The Beauty And Struggles Of Nature To Life,rannynm,n/a,15/08/2025,"Wow! The Americas is an incredible docu-series about North and South America with breathtaking views of the land and the animals that live there. I really enjoyed Tom Hanks' narration; his unique storytelling brings the beauty and struggles of nature to life. Every episode is filled with jaw-dropping shots that made me appreciate the wild world around us.The Americas is a ten-episode television series that explores the unique animals and landscapes of the vast North and South America. Scored by composer Hans Zimmer and narrated by Tom Hanks, the series shows how different species survive and adapt while also highlighting the effects of climate change and human activity. Each episode focuses on a different region, giving a close look at the fascinating wildlife and environments that make it special. From the fast-paced lives of ants to the mesmerizing creatures of the deep ocean, the documentary captures nature's wonders like never before.This series is visually amazing with its groundbreaking cinematography. The filmmakers use advanced drone technology to glide over vast landscapes, night-vision cameras to reveal the secret lives of nocturnal animals, and slow-motion footage to capture the precise moment a predator strikes. These techniques made me feel like I was right there in the wild. Tom Hanks' narration adds warmth and curiosity to the show. Zimmer's soundtrack builds tension during dramatic moments and enhances the wonder of peaceful scenes. My favorite part is when the mother snake goes above and beyond for her baby snakes, showing the incredible instinct and care animals have for their young. The filmmakers also capture a massive storm in stunning detail, showcasing the sheer power of nature in a way that feels both terrifying and beautiful.The show's message is about protecting nature. It shows the dangers of deforestation, pollution, and climate change and encourages people to take action. The series raises awareness and makes viewers think about how each one of us can help preserve the environment. Be forewarned that some scenes of predators hunting their prey are pretty graphic and unsuited for younger viewers.I give The Americas 5 out of 5 stars and recommend it for ages 8 to 18, plus adults. The show premieres on NBC on February 23, 2025.By Eva M., KIDS FIRST!",False
