Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,California Dreaming,Screen_O_Genic,n/a,17/08/2025,"After finding out a new Beach Boys documentary was going to be released this year I naturally got quite excited and looked forward to enjoying it. ""The Beach Boys"" is a pretty compelling documentary on the legendary band. Featuring interviews of the band members, their families, associates and fans including footage of home videos, live performances and the times the film chronicles a memorable and dramatic story of a trio of siblings who formed a band with friends and relatives and, seeing the potential their times and surroundings promised as a rich source of inspiration went on to fame and fortune with trials and tragedy serving as a dark counterbalance.Beginning with a shaky start on an abrupt introduction to the Wilson household the doc charts the band's formation and their tapping of the popular surf craze in Southern California during the early - 1960s. With bassist, vocalist and main songwriter Brian Wilson emerging as a major songwriting and production talent the boys came up with a string of great songs that topped the charts which have since become classics and standards of Rock and Pop Music. The pressure of fame, drugs, competition from the other side of the pond led by four young and talented men from Liverpool and changing times brought the group's winning streak to a halt. A compilation album of their hits from their peak years hit #1 leading to a revival of the group's fortunes and they've been coasting on that success since.From the start the flaws of the documentary are apparent. As mentioned above the film starts too immediately with the formation of the band without giving a necessary background to the band, their place and the times. The Beach Boys is one of the most influential bands in music history but only a scanty number of prominent figures are featured in the film to justify the band's important and enduring legacy. Don Was, Lindsey Buckingham and Janelle Monae (!) are the only notable figures included. Finally the film is too short with it ending in the '70s without including Brian Wilson's controversial relationship with his therapist at the time, Dennis and Carl Wilson's passing and the other major comeback they had with the huge hit ""Kokomo"". There's no final summary and conclusion to the band's inestimable legacy although it's nice to see the surviving members get together at the end of the film. This is one tribute that should have been at least another hour long.Flawed but watchable, ""The Beach Boys"" is a good artifact of a great band, a great time and great music which is what it all boils down to. When snippets of the band's great tunes buoyed from the speakers I felt that instant automatic rush and high I always feel when I listen to their masterpieces. Watch this release and celebrate the power of art and music to uplift life and make it truly worth living.",False
2,8,Some much needed good vibrations!,samuelbourneagain,n/a,17/08/2025,"Thoroughly enjoyed watching this. Knowing a fair amount about the ups and downs throughout The Beach Boys' history, I kept waiting for things to turn dark. I was pleasantly surprised however, that the documentary prioritised the band's music and the impact it has had and continues to have on the world. Most people who are familiar with The Beach Boys are likely aware of Eugene Landy and the premature deaths of Dennis and Carl and so I found it refreshing that the film focuses mainly on the good. It reminded me of the recent 'Wham!' Documentary in that sense, taking you through the different musical phases of the band and ending on a positive note long before outstaying it's welcome. The film doesn't shy away from drama completely. Tensions between band members and the negative impact Murray had on the group are covered. Everyone gets a fair shake however, including Murray, whom without The Beach Boys may not have had the initial success they did. The documentary also reinforces the often overlooked fact that each member was integral to the band's sound without taking anything away from Brian's brilliance as a visionary. A moving tribute to one of the greatest bands in pop music history. I recommend this to any music fan and those in need of something positive (aren't we all?).",False
3,7,fun fun fun,ferguson-6,n/a,17/08/2025,"Greetings again from the darkness. Casual fans of The Beach Boys music are attracted to the light-hearted and fun songs that are always good for a burst of feel-good energy. More attuned fans remain in awe of the intricate vocal harmonies ... rarely matched by other bands. Co-directors Frank Marshall and Thom Zimney have successfully presented the story of The Beach Boys without either over-the-top gushing or digging too deeply into the dirt.By going all the way back to the childhood of the Wilson brothers, the film details how singing in the backseat of the family car began the transformation into a supergroup that changed pop music forever. Oldest brother Brian has always been accepted as the musical 'genius', while Carl was inspired to pick up a guitar after hearing Chuck Berry, and rebel Dennis played the drums almost out of necessity. Cousin Mike Love wrote many of the lyrics for Brian's music and became the band's lead singer, while good friend (and Brian's football teammate) Al Jardine's exceptional voice was a natural fit. We learn it was Al's mother who fronted the boys $300 to rent instruments after hearing them sing together (smart lady). We also learn that Murry Wilson (the boys' father) sold his business to manage the group towards gigs and their first record deal.It's really that history - the foundation of the band - that is the most interesting aspect of the film. For the most part, it tracks chronologically through the album releases and tours, while emphasizing the importance of the band bringing beach culture to the masses. Hearing about their musical influences: The Four Freshman, Dick Dale, The Ventures, and Phil Spector, allows us to understand exactly how things progressed so quickly.The filmmakers (with impressive music doc and music video backgrounds) mention but opt not to dwell on the darker aspects of the band's history. The commercial failure of ""Pet Sounds"" (now considered a masterpiece) played a significant role in Brian's emotional fade. Father Murry's inexplicable decision to sell off the band's publishing rights prevented any of them from reaching the financial status they deserved. As was commonplace for the time, drugs were detrimental to individual band members as well as the band's productivity. Deciding to pull out of the Monterrey Pop Festival (no real explanation given) resulted in the band becoming irrelevant for a few years. Mike Love sued the band for songwriting credits, creating a huge rift. These points, along with Dennis' happenstance involvement with Charles Manson, are all mentioned yet given no real depth ... which is fine for a documentary working so hard to stay positive.As a conclusion, Capital Records' release of the double-album ""Endless Summer"" injected new life and popularity into the band (getting them past that earlier 'rivalry' with The Beatles), and the finale is a shot of a recent reunion with surviving band members Brian Wilson, Mike Love, Al Jardine, and Bruce Johnston at Paradise Cove ... with no insight into what was discussed.The film begins streaming on DISNEY+ on May 24, 2024.",False
4,6,"Not bad, but could've/should've been more.",Jeremy_Urquhart,n/a,17/08/2025,"SpoilerIs there a difference between a fluff piece and a puff piece? The Beach Boys (2024) is one of them. Or maybe both. Hang on. I'll check.Okay, it's a puff piece. A puff piece is something that feels overly complimentary toward the subject at hand. But it might also be a mild kind of fluff piece, since a fluff piece is seen as something that's lightweight and without substance. Perhaps The Beach Boys is a pluff piece.I still can't despise it. I don't know. Hearing the music is nice, but the substance of the documentary is lacking. I have doubts about the sincerity of the final shot, and trying to get Brian Wilson in the present day involved at all, but having it conclude on the beach where they took the photo for their first album cover, 60 years later, did get me. I get to thinking about how aware Brian Wilson was of the whole situation, and they get him to say one thing in the present day very early on (before relying on older interviews with him) and that made me feel a little sad and uncomfortable. He's not there anymore, and wheeling him around even just a little for this documentary... I don't know. It's murky territory. He is still alive, but he's not the man he used to be, and maybe it's best to leave him in peace and quiet at this stage in his life. I feel bad for the guy, and the documentary - being fluff - doesn't explore his health issues and current living conditions. There was a documentary called Long Promised Road specifically about Brian Wilson a while back that was better than this, and more insightful/honest.But... The Beach Boys is an overview. It's an overview that leaves out the most uncomfortable things. Lawsuit and the Manson connection are mentioned, but not explored. You could argue that Love and Mercy and the other Wilson documentary already explored Brian Wilson's hardships, but they are a bit glossed over here. And if you're big into The Beach Boys, you're going to raise your eyebrows a lot whenever Mike Love is speaking (Al Jardine seems more sincere to me; he's a little corny at points, but his vibes are still decent).The 3/5 rating here feels generous. I'm a sucker for The Beach Boys and their music in any context, maybe. And again, it's a watchable overview. But also, I don't like such a conclusive title (the doc's name is the band's name) being given to something that's pretty lightweight. It is assembled competently, for what we do get, but it's also textbook stuff as far as documentary filmmaking is concerned, to the point where you can probably guess some of the needle drops and anticipate the flow/direction of the next scene before they happen.",True
5,6,The Sandbox Five.,fostrhod,n/a,17/08/2025,"Beach Boys (2024)
A documentary that is a visual and audible treat on the origins and rise of the Beach Boys and the sad fall of the sandbox five.I think with all these types of documentaries, the enjoyment factor depends on how much you love the featured artist, I Love the Beach Boys, preferring their late 60s early 70s work to their sunshine pop. That said there are too many talking heads in the film, which is pretty standard for these films, does anyone actually care what this if that musician or journalist thinks of the featured band. In this case we have a couple of musician types who talk of listening to Pet Sounds as if it was new we to them and gave them a moment of epiphany . Due to their age, the album wouldn't , couldn't even be revelatory with much more spiritual music of more relevance to those younger ears.Footnote, I can't actually see who will find this documentary of interest, diehard fans have heard it all before, and newbies would find all the early footage and music very twee and lacking any sophistication.Sad end to the film when we see the now geriatric and dementia suffering Brian with his surviving band mates. Like the Beach Boys of the last 50 years we see one more cheque and payout at the expense of Brian's mental health and vulnerability.",False
6,7,Reach the Beach,Lejink,n/a,17/08/2025,"When you consider the Beatles got six hours out of their group life-span in their ""Anthology"" TV series of the mid 90's and they weren't in existence above ten years, it seems a bit strange to have the plus 60 years working career of the Beach Boys condensed to under two hours.That said, I thoroughly enjoyed this surf through their career, although it effectively ends at 1974 when the release of their oldies hits collection ""Endless Summer"" put them back at the top of the US charts after being in the wilderness for so long. I totally get that subsequent hits like the awful ""Lady Lynda"" and ""Kokomo"" don't begin to compare with anything on ""Endless Summer"" but to just write off the last 50 years or so, ignoring one or two decent records like ""The Beach Boys Love You"", ""15 Big Ones"" or they are more recent reunion album, seems to me to do them something of a disservice. There's also no mention of Brian's return to recording which included at least one fine album ""Love and Mercy"" and his own imagining of the ""Smile"" album or about Dennis Wilson's lovely solo album ""Pacific Ocean Blue"". I also felt the omission of mentioning the passing of Dennis and Carl, apart from a subtitle commemoration over the end credits.Anyway, let's quit with the moaning and hit the beach, because unquestionably some of the best pop music ever made came from the band and in particular the creative genius of Brian Wilson. Much is made of the sense of competition he felt with the Beatles but you have to remember that there were four of them with three strong writers plus George Martin as their producer, while Wilson was more or less left to do everything on his own. Throw in poor promotion on the part of their record label for their classic album ""Pet Sounds"", mismanagement by the Wilsons' own father which cost them millions in royalties and of course Brian's well-documented problems with drugs and you can see that the band certainly had to ride some big breakers in their time.Inevitably much of the narrative centres around Brian but I do think that the contribution of the remaining group members was unfairly downplayed. Even after Brian effectively withdrew from the band after the ""Smile"" fiasco, they made some great records before big brother hooked up with them again. I didn't even hear the likes of ""Do It Again"" (a UK no..1), or their early 70's classic ""Sail on Sailor"" on the soundtrack, not do I recall hearing ""Heroes and Villains"", surely one of the most important songs in their library, never mind the stories about how it was recorded and ""failed"" on release.All the surviving members contribute to the story and are supplemented by vintage footage of Dennis and Carl. Programmes like this always feature fan-boys and girls offering their adoration and this one's no different with Lindsey Buckingham and Ryan Tedder chorusing their approval.It ends touchingly with the remaining members reuniting at the location over 60 years on from the cover shot of their ""Surfin'"" album, with Brian and Mike happily letting bygones be bygones in the wake of their rather uncivil lawsuit case.All of the members come out of it well in their advanced ages, although for me Brian will never look fully recovered again and Mike Love acts much less like a prat than he usually does.A fascinating family story then which however rather seems to skim the surface rather than go for the deep dive I'd much rather have seen.",False
7,10,"The Perfect Doc For Its Length, Subject, And Audience",zkonedog,n/a,17/08/2025,"Because The Beach Boys are such a long-tenured musical institution and feature the requisite history (good and bad) to go along with that longevity, one could do a 5-part doc and probably still leave some topics on the cutting room floor. What this Disney+ doc accomplishes in just under two hours, however, is an excellent summation of the group that primarily focuses on the family aspect and the timelessness of the music they created. Plus, it is a positive-focused doc--albeit one that doesn't completely shy away from some of the more controversial material.In terms of general chronology, ""The Beach Boys"" focuses on the group's creation through roughly the late-1970s--plus a sort of ""where are they now"" coda that is extremely moving. As mentioned, the material largely revolves around two themes:-Family: The Beach Boys are extremely unique in that they were mainly populated by three brothers (Brian, Carl, & Dennis Wilson), a cousin (Mike Love), and a close friend (Al Jardine). Very few other music groups can boast such a tight-knit family bond--highly credited with keeping the ship afloat during the rough patches.-Music: The group created harmonies that have proved to be timeless as new generations keep discovering them. While Brian may have been the composing genius behind the scenes and Mike the perfect ""front man"", this doc makes it clear that every Beach Boy (even the ""fill-ins"" along the way) was vital to the overall sound and success of the group.Is this a positive and upbeat doc befitting of its Disney roots? Of course--and that's almost certainly the right approach to take with ""America's Band""! But director Frank Marshall also doesn't completely shy away from the more sensitive topics: the influence of Murry Wilson, Brian's turbulent mid-70s period, and Mike's legal suit for songwriting credit among them. But such material simply is not dwelled upon.All things considered, ""The Beach Boys"" seems like the perfect doc for its length, subject, and audience. Deeper-dives can easily be done via large tomes or specific docs/movies on other Beach Boys topics--but this doc is an excellent summation of why their music is so magical and where it all came from.",False
8,9,Absolutely Wonderful,jstorm505,n/a,17/08/2025,"Ignore the negative Nancy's that choose to share their lonely views ; if you're a Beach Boys fan, you are in for a treat. I treasure these interviews, this documentary in general. I was second wave BB aficionado, discovering the Beach Boys in the Endless Summer era, long after the surfing extravaganza. Their music is truly an American genuine gift to the world and besides being infectious, the melodies are part of your fabric, your life's soundtrack. I loved the entire piece and if you're even the slightest fan, you will ,too. Watch and enjoy, and remember when things were simpler and a great sonf on the radio or from an LP, made you smile.",False
9,10,"More than just Fun, Fun, Fun!",jovi7,n/a,17/08/2025,"SpoilerI loved this, finally a comprehensive look at all the things that made this band special, why their music has lasted so long, and how they did it. Great new footage I have never seen before and fascinating interviews and family dynamics. We all know about the dark side of the band and Brian, but the refreshing thing in this doc is that it focuses on how and why they became so popular and gives the rest of the band their due credit. My favorite thing was the friendly duel with The Beatles and how they made each other better. And a very nice healing moment at the end when all the surviving members, including David Marks, meet back where the first album cover for Capitol Records was photographed. Among the talking heads, Josh Kun really puts things in perspective.",True
10,2,Sugarcoated and Very Poorly Done,crumpytv,n/a,17/08/2025,"Anybody expecting a Peter Jackson Get Back style documentary will be disappointed.Visually this is very poor. Old photos and films have all been seen before in countless other documentaries on the Beach Boys and generally, apart from some recent interviews, there is nothing new at all. In fact there is so much that is not in-cluded that should have been.It would have been interesting if the early days and their first four albums (1962-1963) were covered in some depth.The same applies to the Wild Honey/Friends/20-20/Sunflower period. These hardly get a mention or the fact that some material from the abandoned Smile album was included on these albums.Any compilation of hits by the Beach Boys is inevitably going to focus on the early days and the ""Californian Dream"", and as such, more time should have been spent on the surf/hot rod/girl music of that period.The shelving of Smile made no mention of a well aired opinion that after hearing Sgt. Pepper, Brian Wilson felt his Smile project was not suitable as a Beach Boys album. He expressed this view in the documentary but then they released Smiley Smile which was even less representative of their music culture.The last album mentioned was Holland, but the Beach Boys made 10 studio albums after that and these do not include Brian Wilson finally releasing a version of Smile in 2004.After the confusing Carl and the Passions album (not mentioned), they made Surf's Up, an important album that barely gets a mention. The same with Holland.No mention is made of the deaths of Dennis and Carl, the true state of Brian's mental health and the fact he reportedly spent three years in his room sleeping, smoking and taking drugs is not covered at all. Neither is the piano in a sandbox or how he was treated and manipulated by a psychologist in the mid-1970s.Overall, a missed opportunity. I am left with the impression that is was made on the cheap and relies on the Beach Boys name to sell the documentary.",False
