Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,n/a,Jesus can do anything,n/a,n/a,16/08/2025,"The best movie I have ever seen. Jesus is the son of God. He showed us what real mercy is. He never condemned the human race opposite to that he died for us yet when we where still singers. He is alive today. And all that call on him will be saved. Jesus is lord. The movie talks about that.jesus is coming back soon. Jesus took on himself the wrath of God. On the cross he was separated and abounded by God, so you and me will never be left by him. Please homble yourself and call on his name. Hell is real. Jesus can help you and he is next to you even now. He is stronger than any power that you are facing. Hell temples at the name of Jesus. Call on him. He is alive!",False
2,10,Miracles! Signs and Wonders!,kandis107,n/a,16/08/2025,"I'm concerned to hear some Christians say they didn't enjoy the movie simply because they don't believe deliverance is real? We have plenty of user case stories in the Bible that tells us that it is. Are you questioning this because the Bible didn't explicitly say that The demon possessed people that Jesus healed had been saved before or had been in church or were Christians?!?! It doesn't matter if you're saved you can still open gateways unknowingly to the demonic and become bound by a spirit that got in your temple through an open door. We come into agreement many times through the things we watch, purchase, say out of our mouths unknowingly. Now do you have power to send those spirits away? 100% yes!!! But What happens if you don't know that you opened a door or that you came into agreement with an ungodly spirit? You then will need deliverance my friend! Yes it happens to saved people too!! It's happened to me before No shame!!! Get free!!!!For the naysayers, Y'all please don't be used by the enemy by sharing incorrect information simply because you just lack knowledge... This movie reveals the revival that is definitely happening in the last days that the Lord revealed in the Word, the great awakening. During the showing of this movie at my theatre people were crying, weeping, getting prayed for, getting delivered and giving their hearts to the Lord. I for one was touched and had never experienced nothing like this before outside of a church!!! I felt so much better after I left the movie I felt like something was lifted off of me and that I now had the strength to handle my situation a little better. The signs and wonders and harvest from this movie was amazing! God is still moving!!! Please go see it now!!!",False
3,1,You can tell these people are corrupt by the reviews,Vjohnal-139-371203,n/a,16/08/2025,"A flood of perfect 10-star reviews with little detail is a red flag. It suggests either a coordinated effort to artificially boost the movie's rating or a lack of genuine audience feedback. In an era where online reviews can heavily influence viewership, it's not uncommon for filmmakers, studios, or marketing teams to engage in tactics that make their films appear more well-received than they actually are. While some movies do garner universal praise, true audience reception tends to be more diverse, with a mix of both positive and negative opinions.If a movie truly deserves a high rating, you'd expect to see a variety of reviews-some offering thoughtful praise, others providing constructive criticism. A well-loved film often inspires deep discussion, with viewers sharing their favorite moments, highlighting strong performances, or pointing out flaws. When a film only has overly positive, vague, or generic comments, it raises questions about the authenticity of the feedback. Are these reviews coming from real moviegoers, or are they strategically placed to create hype?Additionally, looking at the dates of the reviews can provide further insight. If a large number of 10-star ratings appear in a short time frame, especially before the movie has been widely released, it strongly suggests manipulation. Genuine audience responses typically trickle in over time, with different perspectives emerging as more people watch the film. If there's an overwhelming wave of near-identical praise immediately upon release, it's reasonable to question the legitimacy of those reviews.Without a balance of opinions, it's difficult to trust a film's rating. A truly great movie will withstand scrutiny and still earn high praise from a wide range of viewers, not just those pushing a specific narrative. When the feedback feels suspiciously one-sided, it's often a sign that something isn't quite right. While this doesn't automatically mean the movie is bad, it does suggest caution before blindly trusting the hype. Instead of relying solely on ratings, it's best to look for reviews with detailed analysis and a mix of viewpoints to get a more accurate sense of whether the film is worth watching.",False
4,10,The Holy Spirit will Guide you to truth,zbpdtkgd,n/a,16/08/2025,"I'm saddened that there is even one negative review concerning this movie. I realize that there are Christians that have accepted the Lord as their Savior but their growth stops there. The greatest thing is to read the word of God. Be willing to allow Holy Spirit to Guide you to the Truth. Everything in the movie is Biblical. Folks will admit that Satan is real but they do not want to acknowledge that deliverance, healings and Miracles are for today. Read the word of God. And yes Holy Spirit is alive He is with us . This could be the first thing you may need to Learn. Read the Bible ask God to guide you and listen. Thank you Mike Signorelli and others for being bold in the Lord the movie deserves a 20.",False
5,10,Fantastic,ricolad-24603,n/a,16/08/2025,"This movie was such a great testimony to the glory of God sweeping across the world. Real revival is so needed...today more than ever. This is a movie that needs to be shared with your family, friends and as many lost souls as you can find. Satan will do his best to wreak havoc where he can, out of desperation, because he knows how the story ends. This movie will be an eye opener and life changer. Suicides and addictions will be canceled. True revival will begin to take place in theaters, homes and churches. It's time for the true body of Christ to put on the spiritual armor and prepare for battle. Time to get off the sidelines and start taking territory back from Satan.",False
6,10,This movie is LIFE. CHANGING!!!,maillady-04438,n/a,16/08/2025,"Everyone needs to see this movie!! If you believe that God is raising up a remnant and I do then it's a MUST WATCH!!! Deliverance broke out in my theater and lives were forever changed! I'll definitely be going back on November 13th. When we kick God out of the church he shows up in the movie theaters. Society has gotten so demonic and churches have become so lukewarm warm. This movie shows you that God is still in business for those that give him their YES!! I can't even put into words what I witnessed at the first showing. I'll be taking friends, family, neighbors, absolutely anyone that needs a touch from God! This movie is so well done. Thank you Pastor Mike Signoreli for your YES!!",False
7,10,Game Changing Movie,speedysonic-95532,n/a,16/08/2025,"This movie is a documentary that covers several revival events and their origins from several key ministers of the gospel across two continents. And is a gateway to bring people to seeing and knowing the gospel that otherwise would be too intimidated to attend a local church.Revival broke out in several locations across America in the aftermath of the movie ending for several days. Healing, deliverance, salvation for many. As the stories told in this movie connected to the people who have previously felt disconnected from the church.The Domino Revival comes at a time where there is great division across the world. And the barriers that had to be overcome to get a Christian based movie onto theaters across America is a hurdle few have been able to overcome.May God continue to use the film that has captured and blinded the imagination of the world. To who Jesus really is!",False
8,10,Revival is Now!,michellepacheco-59347,n/a,16/08/2025,"V1 Chruch and all the Pastors walk by faith and not by sight. I went to watch this movie and it was amazing how God moves mountains. The Glory of God was all over the movie. I enjoyed all chruch members praying and asking for prayer. Pastor Moses laid hands on me and my friend we felt so at easy after we left the theater. I also saw Dan he Baptized me and my friend Ray we was so happy to see him. Deliverance is real. It's about our deliver Jesus Christ he took away all my fear and worries. I love me so Jesus he is my best friend now and forever, he is the way and the truth of the life. With God all things are possible. I will submit to God until I take my last breath.",False
9,10,No Spirit but the Holy Spirit,shantethomas-28759,n/a,16/08/2025,"This film is a call for all people to wake up and enlist in the spiritual army. Viewers were empowered by the message, convicted by the Holy Spirit, healed, and delivered. As believers, we are called to follow the great commission declared by Jesus Christ. This film is an evangelistic tool that not only speaks to the heart of believers, but it also pulls those that might have back slidden and unbelievers back to their rightful place in the Kingdom of God. By the end of the film, there were many salvations and rededications. It was beautiful to see strangers praying for one another and being the church outside of the four walls. Freedom was brought to the streets, and revival became the heart posture. Revival is now. Go see.",False
10,10,Can't wait to see it a second time November 13th!!!,cjensen-85465,n/a,16/08/2025,"This movie changed my life forever!! I am so thankful, I will be taking my father and husband November 13th!! Finally a movie that's worth watching, praise God!! I am now following each and every person in this film, and they are teaching me so much in such a short time. Forever thankful for each and every person in this movie. This is exactly what the world needed! I sat down to watch this 2 hr long movie and by the time it was done I thought only 45 minutes had passed!!! And to me that's incredible! Not very many movies I can say that about! I encourage everyone to go see this and or make sure u watch it when it comes out!",False
