Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,"Science is not boring, TV people",cbnewham,n/a,16/08/2025,"This has shades of the BBC's ""Horizon"" programs - science, but hidden behind stupid graphics and dumbed down visuals that have almost nothing to do with the topic. At least this program didn't do the Horizon trick of using stupid camera angles and getting the interviewees to look through objects, mirrors or lenses or do stupid things.Look, science is not boring and the audience is not dumb.I'll give one example of the Horizon mentality that infected this program. When showing Sagittarius A* and the stars orbiting it, rather than showing a nice, accurate diagram like you can find on Wikipedia, we instead get some artist's crazy rendition that bares little resemblance to the real situation. Please! No more of this kind of garbage.I also found there were long periods of padding that were totally unnecessary. Do we need to see artist's drawings of stick figures marching along the screen? Do we need lengthy sections of dialogue between scientists that is taken totally out of context and is pretty meaningless to any non-scientist?Then there is the lack of a narrator. If you are going to dispense with one then at least get your interviewees to explain. On the one hand the producers wanted to dumb down things with stupid graphics and yet, on the other, they leave it to the audience to work things out for themselves. For example, the teams of people producing independent results from the same data. It almost presents the story as if the scientists are just making up stuff and the resulting image of the black hole was their collective fantasy effort.Overall it was interesting, but the story could have been told in half the time and made much more interesting.Six stars for the science content - you'd have got more if you'd corrected the above problems I've pointed out.",False
2,8,I liked it even though I'm not a PhD scientist,gekejo1,n/a,16/08/2025,"This show gave me an idea, for the first time, of what the process is like for scientists to bring forth new discoveries. It's not for the faint of heart, but definitely brings you into the world of some of the most intelligent people in the world. For that, I give it and 8 out of 10 stars. Anyone, that has curiosity in space and time should find something out of this production I'd think?",False
3,6,Points out more problems than it itends to,nzmhtpl,n/a,16/08/2025,"SpoilerI am a layman but no means illiterate to astrophysics. I found its lack of deep explanation what a black hole was, besides the old ""not even light can escape"" trope very annoying. It is time that science documentaries about very popular topics like black holes take their audience a little more serious.The documentary has a very awkward tone and pacing. The score , editing, and some well executed animations save it looking like a B-Movie. But anyone who clicks on a blakc hole documentary can ignore that and focus on the meat of the subject.Alas, even though the film makes a very well job to explain the technicalities about what was going behind the screen, the unintentonally revealed ""problems"" about scientific community overshadows the actual topic.The head of Event Horizon Telescope, here titled director mr doeleman comes off as a massive bully. He is extremely rude and talks to the scientists like his subjects. I recall some scietist standing in military stance and taking in a bashing about how he should stop talking about the data ""being covoluded"". Mr Doeleman - after travelling from A to B to whip low class scientists into submission - gives a bunch of young and enthusiastic scientists a talk about how important it is that the picture stays ""secret"" so no one other than involved can ""write a paper about it"".... His ""I want to be recognized"" demeanor and prideful zeal is absolutely not to oversee to anyone other than a nerd-level social skill.Well that earned him a place in 2019's time top 100 list, even though it is strongly suggested that the whole project is a team work of more than ""250 people"". So I guess that is how the game is played.The second story evolves around. Malcolm Perry,Andrew Strominger and Sasha Haco trying to find a solution to the very hard problem of information paradox. Mrs Haco balances the ""old white scientists"" running after a nobel price extremely well, but fails to appear on any scientific paper or tv show after the paper is released. Even though she is shown to be a masive co-worker on the paper.The documentary intends to show how the famous black hole picture came to be, and tell a personal story of 3 scientists working together to honor the legacy of mr hawking.. Sadly it excels more on pointing a spotlight on the corrupt power mechanisms in the scientific community.Do you want to marvel at scientific discovery and be in awe before the marvels of the universe? Go watch PBS Space time or read Quanta Magazine... You will only feel depressed and old after watching this documentary..",True
4,n/a,"Phenomenon is 10/10, movie about it not so much",n/a,n/a,16/08/2025,"If you're as fascinated by the universe as I am, you'll like it, just because.. Well, it's about seeing a black hole for the first time. But it's a poorly produced film that's actually almost impressively boring in its form. The story here is mind blowing - too bad the movie producers couldn't encapsulate that in a better way.",False
5,7,Groupies and Bullies,keikoyoshikawa,n/a,16/08/2025,"I don't know about other reviewers, but for me the theoretical physicists seemed like a bunch of groupies, fawning over Hawkins and belittling their own work. Meanwhile, the lead project astronomer comes off looking a lot like a bully with some of his comments to his colleagues. Yeah, it's high-stakes, I get it, but the guy just didn't seem like he had leadership quality.Is this a true depiction of science? Maybe it is. I have no idea.But what's clear to me is that this documentary really dumbs it down, to the point that you have ask the question: why bother doing this kind of documentary if you're going to assume that your audience are idiots? Despite all this, I still give it a 7 overall just because there's a dearth of good documentaries about black holes.Too bad this one wasn't a bit better.",False
6,6,A documentary where I learnt about Hawkings Radiation,James_Denton,n/a,16/08/2025,"I would imagine anyone who watches this does so as they too are intrigued by what are one of the greatest discoveries in the universe, Black Holes, and how they play a central role in the formation of galaxies... and more.The documentary is a build up to the climatic moment when the theory for the existence of Black Holes, based on how they influence their surrounding environment, changes to the discovery of finally seeing a Black Hole! It's an incredible moment.I enjoyed it.",False
7,6,Something fishy (on the human side of it),cedricgommes,n/a,16/08/2025,"On the very year the documentary was released, the Nobel Prize in physics was awarded to Roger Penrose ""for the discovery that black hole formation is a robust prediction of the general theory of relativity"".Yet the name of Penrose is not to be heard once in that movie. And the director (Peter Galison) is not the type to be ill-informed.On the other side, it also struck me that the Nobel committee waited until the death of Hawking to award a prize for black holes.Anyone has an insider's view on that?",False
8,7,giddy scientists,ferguson-6,n/a,16/08/2025,"Greetings again from the darkness. When most of us need an item, we first check the Amazon website for price and availability. For Physicists and Astronomers, it's not always so easy. We are informed that photographing a Black Hole would require a telescope the size of planet Earth. Even with my limited science knowledge, I was able to understand the impossibility of fulfilling such a request. Of course, there is a reason they are Physicists and yours truly reviews movies. These folks are pretty darn smart and they find a way to solve problems. Harvard University Physics Professor and documentarian Peter Galison manages to make accessible the work of some of the world's brightest minds.Thinking back to 2019, you likely recall seeing the Black Hole photograph. It was everywhere ... online sites, social media, TV newscasts, and magazine covers. We knew it was a breakthrough, but most of us had no idea what went on behind the scenes to capture that image. Galison's documentary fills us in. Going back to 2017, and starting in Mexico, the film explains the Event Horizon Telescope (EHT). With the goal of photographing a Black Hole, a network of observatories from around the globe will be coordinated to simultaneously capture data, and then that data will be compiled to determine if the image(s) is an accurate representation.There are a couple of things we follow ... related by topic but differing in objectives. A group including Stephen Hawking, Harvard Theoretical Physicist Andrew Strominger, British scientist Malcolm Perry, and Cambridge scholar Sasha Haco are observed hard at work on solving the mysteries of Black Holes. Specifically what they are pursuing is the Information Paradox, which states the universe cannot be defined by physical laws. This pursuit of this group of geniuses is shown in symmetry with the work of the EHT teams, where mostly we follow Shep Doeleman and the challenges his team faces in holding up their end of photographing Messier 87, a supergiant elliptical galaxy.The EHT teams are located around the globe, including Chile, Spain, the South Pole, Hawaii, and Arizona. Obviously the technical aspects of these projects are beyond my capacity, however, it should be noted that the film is easy enough to follow for us non-geniuses while also including some geeky detail for the advanced among us. What really stands out and makes the film fun to watch is the passion shown by these scientists. At the conference where the teams are gathered, these folks are giddy as they anticipate the results of their work and the compilation of data. Their excitement makes it clear what an enormous accomplishment the image is for all involved.Sadly, Stephen Hawking passed away in 2018, so the clips we see are some of the last images of his final work. If you are curious as to how his work with Strominger, Perry, and Haco ended up, you may track down their final paper, ""Black Hole Entropy and Soft Hair"" ... but I'm sure most of you have already read it. To add a touch of entertainment value, director Galison includes beautiful music from YoYo Ma as well as ""Over the Rainbow"" by Israel Kamakawiwo'ole. Overall, this is the perfect blend for novices and scientists who are interested in the fascinating topic of Black Holes and how the experts go about chipping away at the mystique and limits of knowledge.
Available VOD on March 2, 2021",False
9,10,It's good to see what science really looks like once in a while,Ar_Pharazon_the_golden,n/a,16/08/2025,"Not sure what people were expecting to see. The basic concepts of how the image of the black hole was captured and the scientific process to produce the image (separate teams without any contact with each other, etc) are fairly easy to grasph without a strong scientific background. The secondary 'story', about the people working with Dr Hawking on the information paradox was indeed a bit harder to follow - the concept is understandable but their talk was far too advanced and based on mathematics for the viewer to easily follow. But I doubt this is something that can be accurately simplified for the average person. I have a (little-used, if at all) physics degree, and I couldn't understand almost anything apart from the broad concept. I saw this as a documentation of a grand effort for posterity - not something aimed at explaining this effort to everyone else.And in the end, you don't need to understand everything. If you watch this and you are not even a little moved and carried away by the scientists' genuine enthusiasm and passion for the mysteries of the universe, then the problem is yours.",False
10,6,"Interesting but boring, simultaneously.",nigomeza,n/a,16/08/2025,"Good science combined with great animations makes this enjoyable, nonetheless the link between the two stories is kinda confusing, and although Stephen Hawking's appearance, pure physics storyline is plain, spontaneous and doesn't says a single things. Liked it, but skipped some parts of it.",False
