Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,The Exorcist,knersisman,n/a,15/08/2025,"Stunning visuals, effects and overall horror for 1973. The characters are very strongly portrayed and the feeling of hopelessness is ever-present throughout the movie. Even though some scenes are outright shocking and provocative, there is also a strong element of the uncanny present. This is a very haunting movie that still shocks, amazes and intrigues after all these years.",False
2,9,"The most ""ripped-off"" movie of all time",gregorycanfield,n/a,15/08/2025,"According to the film critics, the Exorcist is the only movie about demonic possession that should have ever been made. Every subsequent movie with a ""possession"" theme was labeled a ""rip-off."" I'm pretty sure that Beyond the Door was the first ""rip-off."" One film critic described this movie as vulgar. Perhaps. Was the Exorcist any less vulgar? The Exorcist had a good director, good actors and good production values. It is these attributes which set the Exorcist apart from all the follow-up films. However, if you are offended by someone regurgitating green slime, does it really matter whether it's coming from Linda Blair or anyone else? I have always thought that the Exorcist worked as well on a dramatic level as it does a horror movie. This is probably something you shouldn't be able to say about an effective horror movie. I once listened to William Friedkin's audio commentary while watching the movie. He and I agree on which scene is the best part of the movie. It is the exchange between Ellen Burstyn and the great Lee J Cobb. As a police lieutenant, Cobb has more compassion for Burstyn than priest she seeks help from. When Cobb is about to leave Burstyn's house, he says: ""You're a nice lady."" She replies: ""You're a nice man."" This is actually touching! Ironically, this touching scene is directly followed by one of the most wild and disturbing scenes in the movie. In fact, I've always wondered how the movie escaped an X rating with this scene intact. However, I still believe the tender scene which precedes this resonates more. All things considered, the Exorcist is definitely one of the greatest horror movies of all time, as well as one of the most influential. Not number one, though. My choice for Number One took place in Texas. Something to do with chain saws.",False
3,8,"Still a powerful film, more than thirty years on...",stephenneale67,n/a,15/08/2025,"More than thirty years on, The Exorcist remains a very powerful film and was a cinematographic milestone in 1973. Repeated duplication of the genre has, no doubt, 'desensitized' a new generation of movie-watchers, though it remains an unnerving masterpiece. It is not difficult to understand why the film generated such a seismic global impact all those years ago, since it imposed an unprecedented sensory attack on the viewer. Regan's vile physical appearance, combined with her vile language and blasphemous diatribe sent a shock wave around the world. Moreover, many people seemed to believe the claims that the film was based on a true story and could therefore actually happen to them. Electricity consumption must have soared for several months in 1973 as people who had seen the film slept with their lights on! It is still not a film I would feel comfortable watching before going to bed. On another level, I found parts of it profoundly moving and actually cried at the end when Regan was finally released from her possessor and wept in the arms of her mother and Father Damien, having lunged himself through a window and down a precipitous flight of steps, managed to find just enough life in himself to indicate that he had retained his faith and repented of his sins by motioning his fingers in the sign of penitence when comforted by a distraught colleague. Possibly the only thing that lets the film down if one really sits and thinks about it is the underpinning concept that an ancient demon which had existed since the dawn of time should wish to possess the body of a twelve year old child and emit a string of juvenile profanities. But then the film was designed to shock all along!",False
4,n/a,The truth about the Exorcist.,n/a,n/a,15/08/2025,"SpoilerThere's a lot of anxiety that goes into viewing The Exorcist, ""the scariest movie ever made"", for the very first time. And with that anxiety comes a lot of expectations and preconceived ideas about what The Exorcist *should* be. Especially for someone born after the film. Then on top of that waited years before finally seeing it.I love the Exorcist, and after exposure to God knows how many horror films, the Exorcist remains my favorite within the genre. And even from a die-hard fan I have to admit, I hate hearing ""scariest movie of all time"" associated with this movie.First of all, there's no reason to compare fright factor of films, so forget that anyone ever called The Exorcist ""the scariest movie ever made."" Take any movie  I don't care what movie  and stick a ""greatest/scariest/best"" whatever tag next to it, and you'll have audiences investing in what they *think* it should be instead of letting the film present itself for what it is. And all they see is that it is not what they expected (expectations, I might add, that are shaped by the current gimmicks and trends in Hollywood).I love the Exorcist because it dared to defy my expectations. This is not a wall-to-wall, credits-to-credits montage of scary imagery inspired by a mere scenario that's supposed to pass as a plot. This isn't a movie about that long dark corridor and something waiting to jump out of the darkness and attack (which is always preceded by a false scare featuring a cat). It's not about that cheap gimmicky scenario of X amount of people isolated from the rest of the world, with a killer/monster/ghost/whatever on the loose.The Exorcist is a very slow movie that actually features a full blown plot, its characters, and their associated arcs. The original ambition of The Exorcist was to scare the world with imagery and concepts never before seen in cinema. Shocking moments that the audience of 1973 could not believe they would ever see on the silver screen (from a major studio, no less.) After 30 years, the movie isn't so shocking because times have changed, and the success of the Exorcist has guaranteed countless imitation in all forms across all boards. However, the Exorcist is still one of the most ambition horror films ever made, because (are you ready for this?)  the Exorcist dares to tell a story.Everyone remembers the pea soup, the head spinning, the vulgarities spewed from the demon's mouth, the stairs, the infamous cut (now restored) spider walk. But I adore this movie for the things no one seems to bring up  I love the setup in Iraq where Father Lancaster Merrin detects the signs of his final showdown, and how these abstract scenes on subsequent viewings give the movie a more epic feel. I love the transition from Chris MacNeil to Father Karras walking across campus that's reminiscent of Alfred Hitchcock. I became absorbed watching Father Karras caring for his aging mother and the close relationship they have, seeing him depressed and sharing a drink with a fellow priest as he discusses his own issues with faith.And what impresses me most about a movie named the Exorcist is how it seems to reject the possibility of possession and exorcism as its ultimate and final solution. The characters in the movie don't want it to be true, and in fact don't really even know about the possibility of Exorcism, thus they explore and exhaust all other possibilities (both medical and psychological). I smiled with delight (after all the hospital scenes) in that priceless moment when Chris MacNeil asks Karras, ""And how does one go about getting an exorcism?"" which stops father Karras in his tracks as he, a man of the church, looks at her as though she's lost her mind.The fact that the movie resists the temptation to jump right into the acknowledgment that Regan is possessed continues to build up the epic Good versus Evil, God versus Satan, the exorcist versus the demon, feel. Like the characters, the movie doesn't want it to be true, it doesn't want to go there and embrace that possibility, but we the audience know what must inevitably happen. And it's almost magical how the movie finally acknowledges Regan's only hope. There's no glorious fanfare nor is there boastful ultimatums, instead the movie lamentingly and silently surrenders to it as we watch Lancaster Merrin walking up the sunny garden path, staring down at a newly delivered envelope. He doesn't have to read it. He already knows what it says, as do we.The imagery then fades to an ominous foggy night as a taxi pulls up to the MacNeil place in Georgetown, then we're treated to the haunting imagery that inspired the cover art. What must be done, must be done. I love how the movie implies that Merrin has faced this very demon before through its imagery, and through the dialogue as Karras explains he's identified at least three manifestations to which Merrin answers, ""No. There is only one."" I can address more  the acting, the beautiful cinematography, brilliant makeup  but I'll stop to keep from sounding like a raving fan who over hypes every inch of everything. I'll close with these thoughts: I'm not the type of person who will watch the same movie over and over and over. Most movies I see, the specific imagery and specific ideas don't make a deep enough impression to stick with me for more than a few months. I remember the Exorcist, not because I thought it was the ""scariest movie ever made"", rather because of the wonderful craftsmanship, the fact that it dared to tell a story, and it defied my expectations.When Friday the 13th, the Grudge, Skeleton Key, and Cursed are reduced to vague memories and general ideas, I will still clearly remember the Exorcist.",True
5,10,The Devil Made Her Do It,clydestuff,n/a,15/08/2025,"In late 1973 and early 1974, women and men were lined up for blocks. People were known to become ill watching it. Some fainted. Some ran out of the theater in tears. There were reports of people having to be institutionalized, and at least one miscarriage was attributed to viewing it. No, it wasn't a Rolling Stones Concert. It was a film called The Exorcist.The first time I had heard of something called The Exorcist was on late night television when the author, William Peter Blatty, was a guest on The Tonight Show. The conversation centered around how horrible some of the things in the book were. I had also seen the novel listed on The New York Times Bestseller List, and it seemed as if it would remain there forever. After having been on the waiting list for what seemed like an eternity at the local library, I was finally able to obtain a copy. It was the first book I had read in one sitting since probably Nancy Drew and The Hidden Staircase quite a few years earlier. And yes, for it's time it was filled with gut wrenching details of what happens when for some unexplained reason; an innocent girl is possessed by Satan. While reading the book I was sure that if it ever made its way to film, most of the details would certainly be either `cleaned up' or omitted altogether. As you know the film was made and it spared the movie going public absolutely nothing in the way of details.Certainly many of the people who lined up to see The Exorcist did so to watch some of the more gruesome scenes, the worst of which involved Regan's masturbation with a crucifix. Yet, the hysteria went well beyond the fact that such scenes were so vividly depicted. I think one needs to look no further than Mel Gibson's The Passion to find the answer as to why. I'm sure most of you have read the story of people leaving Mel's film in tears, some to the point of being hysterical. From most articles I have read, it seems that the majority of the audience that was moved were those people of strong religious beliefs. For many others, the depiction of the brutality in The Passion may have been uncomfortable to sit through, but weren't emotionally effected to any degree. Much of this same feeling can explain the hysteria surrounding The Exorcist. Those who had a definitive belief in Heaven and Hell, of Good and Evil, of Jesus as The Savior and Satan as the epitome of pure evil were affected by The Exorcist far more than those who were agnostic or just never had a strong belief in spiritual matters. There is no doubt though that much in the way The Passion did, The Exorcist caused many to reconsider how they felt about their faith. The Exorcist made the prospect of Satan being alive and well and a life of eternal damnation a very uncomfortable prospect. The fact that Blatty claims his book and screenplay were based on a true story seemed to give the film even more credibility.For me, The Exorcist has always been more about the never ending conflict between pure evil and pure innocence than about being an average horror story. There are many more levels to this film than what initially meets the eye. There is no doubt that while the main story revolves around an innocent young girl, Regan McNeil (Linda Blair), being inhabited by Satan himself, Blatty enhances it greatly by adding different characters in various stages of conflict. Regan's mother, Chris McNeil (Ellen Burstyn) obviously cares deeply for her daughter. Yet she is not beyond reproach. In one scene when Reagan's father hasn't called on Regan's birthday, we see her desperately on the phone doing battle with an overseas operator. The problem is not how vicious the phone call is, but that she does it within ear shot of her daughter as if to drive the point home to Regan how worthless her father is. When, she finally does seek the aid of Father Damian Karras, we don't feel that she believes in exorcism anymore than he does, but is desperate enough to accept the fact that it is possible and will take any and all measures to save her daughter.Father Karras (Jason Miller) is a priest torn by conflict. He is ridden by overwhelming guilt for having abandoned his mother to enter the priesthood. He is torn spiritually by the confessions of those priests who seek his help as a psychiatrist, so much so that he now questions his own faith. When he states to the Bishop that `Regan's case meets all the criteria,' we know that even more than Chris, he doesn't really believe in the power of Satan to inhabit a living being in the manner that it has taken over Regan. Yet, he will do what is required of him as a priest concerned about the health of a child.Jack McGowran gives a terrific performance as the alcoholic director filming Chris's latest film in Georgetown. Kitty Winn is Sharon Spencer, the secretary who works for Chris and always seems to be in the line of fire when Chris is angry. She is always there but for all the horror she witnesses, Winn appears too bland and emotionless and her performance is probably the weakest in the film.Max Von Sydow as Father Lancester Merrin is a no nonsense aging priest. He has done battle with evil before and he shows us its effect in every scene he occupies. One could pass it off to being just good make-up but it is so much more than that as Sydow demonstrates all the nuances that brings to life a man who has faced Satan and lived to tell about it. He knows what he is up against, understands he must do it again and the consequences of what that battle may be.If I have a small complaint with The Exorcist it is in regards to the character of Lt. Kinderman (Lee J. Cobb). I have never been able to buy into the character. It is not the fault of Cobb who is his usual stalwart self in the role. The whole character should at best have only been necessary for a few brief scenes yet; he has several that go on way too long and do not add anything to the story. Even in his scenes with Chris or Damian, Kinderman is so odd that he distracts us too much from their characters and it is Chris and Damian's reactions that are more important to us, not his investigation. For all you trivia buffs out there, Blatty once sued the producers of Columbo, stating they based Peter Falk's character on Kinderman. If memory serves me correctly Blatty lost that one.As for Director William Friedken, although he won the best director award for The French Connection, for me The Exorcist will always remain his defining film. The Final half hour of The Exorcist are still as dynamic today as they were 31 years ago, French Connection car chase be damned.It seems that to many of the younger movie audiences of today, The Exorcist has become more of a joke than anything else. That's not surprising considering how many times it has been lampooned, even by Linda Blair herself in Repossessed. Yet, if they were to view the film in a more serious vein, not as just another creature feature, they may just find that there really is more to this film than a little girl spewing pea soup and spinning her head around 360 degrees. It is the ultimate battle between Heaven and Hell and Good and Evil. It is the story of the complete and total degradation of innocence. It is a study in character, and whether a man torn by the forces surrounding him, can regain his faith and his belief in God and mankind to save the life of a little girl, caught up in forces beyond her control.Call it a horror film, call it a religious film, call it what you want. For me, The Exorcist is and will always remain a classic in every sense of the word. And if I regard you as a classic of any kind I have no choice but to leave you with my grade, which for The Exorcist is an A.",False
6,10,Unmatched brilliance,pheonix19,n/a,15/08/2025,"There is a reason for the hysteria and mystique surrounding THE EXORCIST. And it's called genius.Never have I seen a film matched in shock, terror, writing, or performances. This isn't a horror movie.  The film itself is both a moving and terrifying drama that takes a realistic look at what would actually happen if a young girl were possessed in modern America.  William Peter Blatty's script is amazing, bringing depth to the characters, and presenting the mystery of faith that they all deal with.  Is Regan possessed?  Is she insane?  And most importantly, Is there a God?  In the course of two hours, we see a sweet and innocent young girl become a cross masturbating, head spinning, murderous, creature.  We see a successful actress overcome skepticism to save her daughter, and we see a brilliant psychiatrist struggle with his devotion to God as a priest.Friedkin's direction is marvelous, with wonderful uses of light, dark, and color throughout the film.  Jason Miller (as Damien Karras) is beautifully subtle in his first film acting role.  Max Von Sydow and Lee J. Cobb provide engaging supporting performances as the experienced priest who senses his impending doom, and a detective who senses something sinister is at work. Ellen Burstyn gives a brutally honest performance as a grief stricken woman trying to save her daughter.  And most of all, a 12-year-old Linda Blair gives one of the most terrifying, convincing, and beautiful performances ever shown on film.  Her range of emotion and connection to Regan are astonishing.  She deserved that Oscar!THE EXORCIST presents to us the mystery of faith in it's most raw form--the battle of good and evil.  It is an incomparable masterpiece of film, done without the aid of computers and special effects.  It relies on story and performances to give us a marvelous and terrifying piece of work.  In the end, it makes us ask ourselves what we believe, and keeps us wondering and shuddering at exactally what might be out there.",False
7,10,An intense and very terrifying movie that will make you sleep with the bible a few nights in a row,Smells_Like_Cheese,n/a,15/08/2025,"The Exorcist is one of the best movies to come out of the 70's and deserves better than slowly descending down the top 250. It's one of those essential films you have to see in order to understand what a movie truly is and this is more than a horror film. Unfortunately there are so many people who are saying they got bored, I think because they expected a terrifying movie, people! This isn't a slasher movie, this isn't some scary Michael Myers that you can shoot, this is a story about normal people in a normal house and upstairs there is a little girl who happens to be possessed by ""The devil himself"". Faith is so strong and when it's shaken, anything in your imagination can run wild.First off the actors: Ellen Burstyn plays Chris McNeil, an actress working in Washington, D.C. on a film. She is the mother of Regan, the little girl who is possessed. I felt such sorrow for Chris, when she begs Father Karras to help her with Regan, I almost cried for her. Her daughter is not sick, this is nothing she can give Regan a pill and she'll be better. Her speech to Father Karras later on in the film: ""You show me Regan's double, same face, same voice, everything. And I'd know it wasn't Regan. I'd know in my gut. Now, I want you to tell me that you know for a fact that there's nothing wrong with my daughter, except in her mind. You tell me for a fact that an exorcism wouldn't do any good! You tell me that!"" sent shivers down my spine, this woman knows what Regan needs and will do whatever she can.We have Linda Blair who plays Regan and she was so great for a 12 year old actress. This little apple faced girl became one of the most frightening images of the 70's and still to this day. She's not scary because she's swearing, this little innocent girl has been taken over by forces that she shouldn't even know about. Jason Miller as Father Karras, for a man who had never acted professionally before, he was quite amazing as a priest who just lost his mother and his faith has been shaken up. Max Von Sydow as Father Merrin was so strong and he was like in his 20's playing a man in his 90's. He was robbed of an Oscar, he was so believable and just amazing during the exorcism scene.The effects? People! This was the 70's and they made a bed float! They turned this little angel's face into a hideous creature! If you watch the documentary ""Fear of God: The Making of the Exorcist"", Ellen Burstyn gets slapped by Regan in the film and she had kind of a rope tied around her waist. When the stunt man pulled her back, Billy the director told the guy to let her have it and he YANKED her back hard causing real pain in Ellen's back and that was an actual scream in the movie. They froze the room to the point as were moisture got into the set and there was a layer of snow in the morning they were shooting. There was no CGI, this was the real deal and I believe could truly help the actors. Linda Blair was being thrashed up and down during one of the possessed scenes where the bracing came loose and caused slamming of metal to her back repeatedly and her screams were also very real and bone chilling.William Freidkin is the director of The Exorcist, and there was no better choice. This guy took this picture seriously, so far as to shoot a gun offstage or scream obscenities to get an actor's shocked reaction on film. He slapped almost punched Reverend William O'Malley who played Father Dyer to get him to shake during his reciting the Last Rites to Father Karras. He almost would have killed to make this picture and anyone doing it.Weither or not the set of The Exorcist was truly cursed with a total of 9 deaths linked to the film, a fire on the set with no apparent reason, and the total feeling of evil around the room, we'll never know. But The Exorcist is a true motion picture never to missed or deserve no more than the true compliments it should get! This is the film that should be shown to any aspiring film makers. It's a masterpiece of a film that's more than a mere horror flick.10/10",False
8,10,One of the greatest ever!!,NpMoviez,n/a,15/08/2025,"Some movies are landmarks. This is one of them.Good : There are a lot of goods that I can talk about this particular film. First off, every gothic horror, for example, The Conjuring, are inspired by this film in one way or the other. But, none of them are as good as this one. I love Conjuring 1 & 2, but that might have never existed if it weren't for this movie. So, what makes it so good? We are given a mysterious introduction to an old priest who would play a prominent role later. It gives layers to the character of young priest, which is quite interesting. The set up is done quite well. The story is being told quite well. And it has the most important aspect that most horror films today lack - the dread and actually terrifying scenes. Right from the opening credits, it feels uneasy. It tries to give us a really terrifying vibe. And it just intensifies further and further. Even the scenes having no tension don't feel like so. And, it cuts to some terrifying scenes so suddenly but smoothly that we will be exclaiming ""holy (you know what)!"". That's some true horror film. It was 1973. You had absolutely no technology or CGI. They still made an entire bed shake which looked so scary and realistic! The 180 degree turn is still an awesome effect. They did it way better, and all of it looked more realistic than CGI! It had some ideas involving Ouija board and exorcism, which are now termed as ""clichés"". Having watched so many horror films before watching this, it should've felt corny. But it felt real good. There is probably no horror movie, in particular a supernatural or gothic horror movie, that has not been inspired by this movie in some way or the other. And the ones which got as many things right as possible as in this one, were respectively better. This movie is a masterpiece!!Bad : It has sequels. Damn those pathetic sequels!! But again, good God almighty, only few people know about those stupid movies.Conclusion : It is a must watch for every horror fan. Some parts may feel clichéd to some, but that's where those ""clichés"" started. Go with a fresh mind and examine how it all started. I am optimistic that you will love it.Rating.Score : absolute 10/10Grade : A+",False
9,7,It just doesn't scare me anymore...,AlsExGal,n/a,15/08/2025,"... and it was pretty scary when I saw it in 1974. Maybe the horror has shifted somewhat for me. In 1974 I was 16 and I was sheltered from the horror of real life. So horror films were the only thing that probably could scare me.Today it plays like a very good drama, and what scares me the most is being put in Ellen Burstyn's place as the mother and not having a clue as to what is going on with her daughter and the patronizing doctors with their useless and apparently painful tests. Also the parallel drama of Father Karras having a crisis of faith and of conscience over the death of his mother is well done and well played as part of the larger story.There is a great supporting cast with old veteran Lee J. Cobb as the cop. But there are some holes in the plot. I mean, what does Cobb think is going on anyways? Does he think a girl that sick can push a man out of a window? He's like a noir character in search of a villain. And, at least in the film, there is never a connection made between a girl in Georgetown, Washington D.C. suddenly becoming possessed and digging up an artifact in a foreign land. I haven't read the book, maybe there the connection is made. And what is going on with leaving a window open at night in Washington,D.C. As somebody who lives near there, I can tell you if you do this, something much scarier than a demon is coming in through that window! This is the big city, not Mayberry!Some production notes: Linda Blair was in fact 15 when this movie was made, not 12. The radiology technician in the hospital scene was a legitimate active serial killer at the time of filming. Max Von Sydow was only 44 at the time of filming, not a very old man. It's odd how he has always and convincingly played men much older than himself. The ""spider walk"" scene was added back into the film years later. I have no idea why they elected to take that out of the original release. It's a sledgehammer to the face. On second thought, maybe that is the reason they took it out.",False
10,10,THE EXORCIST---A PERFECT FILM,Collins,n/a,15/08/2025,"Many people complain that this movie's too slow but those are the kind of folks who only like 80-minute splatter films with characters so dumb and one-sided, you pray for the bad guy to kill them.  This monster of a drama is both beautiful and bold.  It has CHARACTERS and not simply LAMEBRAINS lined up for slaughter.  It has class and purpose.  It takes the audience into the darkest recesses of humankind and then brings them back through a message of hope and self-sacrifice.  The movie is NOT anti-religion, it's anti-evil.  Anyone who likes smart, clever, meaningful horror-drama should see this film at least twice.  It is surprisingly touching and amazingly powerful.That said, the cast deserves a hand for their wonderful performances.  Ellen Burstyn perfectly conveys the tension of a mother of the cusp of tragedy; Max von Sydow is hauntingly perfect as the story's ray of light;   Jason Miller embodies the sadness of a defeated man; and Linda Blair is far above average even at her young age.Once again, see this movie.  You won't forget it.",False
