Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Shocking miscarriage of justice,andydonaldson51,n/a,16/08/2025,I think as other people have already stated you just need to watch the evidence which is in front of you . Shocking to see the evidence withheld from the jury. Unfortunately as was pointed out on the documentary this was a trial by public opinion and no juror was going to say not guilty when there is an angry mob waiting outside to burn the city down (again). Hopefully this documentary is seen by enough people and a retrial tekes place sooner rather than later because currently it is disgraceful to see the 4 officers currently in prison. It's a wonder any police officers remain in service in the US following that miscarriage of justice..,False
2,9,Watched and Sighed,Silicone54,n/a,16/08/2025,"The body cam videos played in it entirety its all we need to see. With your own two eyes you witness the police calmly trying to detain Floyd. I only needed to see that and compare it with what the ""news"" media portrayed to see the rot of the justice system.They burnt down America over a manufactured lie. Sent 4 police officers to prison for doing their jobs. Shameful abuse of the law, the courts, journalism and all for what?Interesting revelations about the autopsy and police training manuals but again the police body cams pretty much sums up what happened. I feel horrible for the 4 incarcerated policemen and for all the police that lost their precinct. The people at the top never get have to answer for their corruption and ineptitude.",False
3,9,you will be SHOOK,airbender-60202,n/a,16/08/2025,"Not a big fan of documentaries, but this one hit home for me. I was deeply troubled by the social upheavals of 2020 & most notably this incident. From the beginning, I knew something was amiss with this entire story. The ""facts"" just did not make sense. This should make most sane people sit up and question the media, government officials and their lack of leadership.This show was portrayed in a very open, honest and unbiased manner which is nearly unheard of today. Kudos to the creators. The interviews with the police and other officials are very telling. I hope this inspires our society to exercise more critical thinking.",False
4,10,"A MUST SEE! Herd mentality, absurd party politics and the loss of truth in the West",elimcity,n/a,16/08/2025,"This is a documentary that everyone should see and question the information we are overly fed through the mainstream media.How can you claim excessive anti-black racism when Mr. Floyd was arrested by an officer who's father is from Nigeria? And another is Asian?How can you claim excessive violence when the autopsy report doesn't even state bruises on the body?How can you send four policemen to prison doing a difficult job (ending in a tragic event) trying to arrest a small criminal with a huge physique, already arrested many times on drugs and violence charges, that is obviously intoxicated, has heart disease and is resisting arrest?Herd mentality in the West explained within two hours by example of George Floyd's arrest...Mainstream media that doesn't do research but follow the narrative of the powers that be.Trying create havoc during the Trump Presidency.Wake up and smell the stench of the deterioration of the US where party politics are more important than logic and truth.",False
5,10,The truth will be revealed,blagasa,n/a,16/08/2025,"How can this happen in a country like the U. S.? Because we the people have allowed it. By electing people to office based on personal feelings or some misguided idelogy rather than facts, morals and ethics. Even after we know they're corrupt we elect them anyways. One day you could be Derek Chauvin. Nobody expects to be caught in circumstances like this but make no mistake, it could just as easily be you or a loved one. This doc. Shows just how corrupt and how complicit people will be in covering it up just to protect themselves. Our freedom is based on and centered around three simple words, ""We The People."" People should not fear their government, the government should fear it's people, it time for a course correction.",False
6,10,Watch and Draw Your Own Conclusion,annabellame,n/a,16/08/2025,"Our son is a police officer. As such, I sorted through what I saw by the evidence presented, and as a police officer's mother. I learned of George's troubled existence, of his previous encounters with law enforcement, his general health and his use of illegal drugs, all well documented, and his autopsy report. I did not learn anything about Derek's previous police performance records, but did learn of the tactic he used that day to subdue George. I learned that the environment in Minneapolis associated with this event was geared more toward revenge than justice. I learned that it was impossible for Derek Chauvin to benefit from his right as an American citizen to a fair trial. All George had to do was get into the car...",False
7,10,Very good journalism! Eye opening truth,Mavrick1237,n/a,16/08/2025,"SpoilerThis documentary captures the truth and the unfortunate events of the riots in MPLS that followed the infamous George Floyd incident.This documentary does a great job showing the details of George Floyd's arrest and untimely death. This doc did not change my view on the events. What it did, was confirm what I already knew when I was watching the trial unfold live.George Floyd was not ""murdered"" but died of a drug overdose and hypertension. You can clearly see George having a reaction from the drugs he swallowed while talking with the officers and saying ""I can't breathe"" well before he was on the ground. His actions of restlessness/agitation and foaming from the mouth while wresting with the officers are all clear signs that he was overdosing before he was even on the ground. The official toxicology report supports this claim.The 4 MPD officers were following a training technique to restrain an individual that is not cooperating and is acting erratically. EMS was called within 35 seconds of George being placed on the ground. The EMS unfortunately took a long time...that's not the officers fault. If anything these officers should be reprimanded for not moving George off of his chest after a reasonable amount of time. Being charged with Murder and sentenced to prison is a slap to the face of the justice system.The city of MPLS has not been the same since these events unfolded. The Police Department is still recovering from the large quantity of Officers that chose to walk away from a job that they once thought was a job that could be served with purpose and dignity. Many Officers were left feeling abandoned by the same city that sworn them in as Police Officers. This was well shown when the Mayor of Minneapolis let a police precinct burn...Surprisingly this mayor is still in office today.I hope many people get a chance to view this documentary and make up their own mind of what really took place. It's sad that this is viewed as a far right documentary when really it's just the eye opening truth.",True
8,10,IMPORTANT,nnkjmhtxf,n/a,16/08/2025,"Politics overriding justice. Even if you're sceptical about this documentary it's important you watch this. There is very worrying evidence that this trial was manipulated at all levels.The death of George Floyd was used as a cause celebre by politicians and groups in Minneapolis across the USA and around the world
It's like many other things we deal with now where the orthodoxy of some people, an increasingly powerful group of people in fact much of the new ruling elite is based on the way they perceive something as the truth even if the facts say otherwise and woe betide anyone who disagrees.",False
9,9,A Travesty - Expertly Exposed!,dpburnham,n/a,16/08/2025,"I pray to God that this documentary gains traction and that the alternate story - that is, the Truth - is widely distributed and acted upon. The victimized Minneapolis officers, including those victimized who shared their stories, are the epitome of professional, dedicated public servants. I pray too that they find peace in time and maintain their pride and regain their faith. Lastly, I pray that our country soon overcomes the ingrained dishonesty that led to this miscarriage. Please, everyone, watch the Glenn Loury and John McWhorter YouTube conversation about this doc and spread the word far.",False
10,1,pure garbage and manipulation,BirdmanT7,n/a,16/08/2025,"SpoilerI can't believe this garbage gets 8 ratings on IMDB ?!Anyone with any critical thinking watching this trash can clearly see there is NOT one scene when Chauvin has his knee on Floyd's neck or even refer to it. Why is that?There is not any mention of the 17 complaints filed against Chauvin with the Minnesota Police Dept?There is not any video footage of. Chauvin's history of abuse with other Black people he arrested. Such as a man called ""Jim Bostic"", in 2016 he was arrested by Chauvin for not even committing a crime, he was wrestled and attacked by Chauvin to the ground, he put his knee under his neck. Chauvin did the same to another Black woman ""Zoya Code"" in 2017, he cuffed from behind while he sat on her neck with his knee for over 4 minutes. In 2017 Chauvin attacked a 14 year old named ""John Pope"" with a flash light and put his knee under his neck. All of these videos are out there on the web, but I doubt the bigots will bother to find them.All these videos of Chauvin's history of abuse are on the web and all compiled in a documentary called ""Police on Trial"", that is on PBS /Frontline, if anyone cares about the facts of who Chauvin was.This film is just focusing on the riots and trying to convince you that GF's death was political and its why Chauvin is in prison. Yet omitting the facts that 3 cops who could not subdue a man with his handcuffed from behind? Not explaining as to what threat Floyd posed to Chauvin and the 2 cops when they were sitting on him with his handcuffed from behind?.The entire bodycam from the police ends before the 3 cops are are sitting on Floyd, why is that? They focused on the riots, but fail to mention there would have been NO riots across America if Chauvin and the 3 cops just stood Floyd up and put him in the police car. If he was that difficult to handle they could have asked for backup for more officers, used taser or spray, but instead Chauvin put his knee on GF's neck and smiling on camera for those minutes that were over 8 minutes.Why didn't this film address the actions of Chauvin that let to this riots? Why is it everything he did is ignored in this film?. This entire trash of a movie is to manipulate and cater to the the ignorant who chose to see Chauvin as the ""victim"". It dehumanizes Floyd because he was a criminal, but fails to mention he was no threat to any of the officers; he had no weapon. Floyd would be alive if he was just arrested and placed on back of a police car, but three incompetent cops could not subdue a man cuffed from behind, instead they created an event with a audience around them to record a man screaming he can't breath. How dumb was that ?. This is not a documentary, it's propaganda believed by those who lack critical thinking skills.",True
