Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Why Add the Racial Component?,PointSea,n/a,16/08/2025,I watched this trying to understand better the facts of Covid and it unfolding since I only really heard stories from the news. This did an okayish job showing that as it mostly pertains to 3-6 patients examined in the whole film. Oddly they threw in a racial component to the film that seems unrelated and disjointed (they do mention that apparently covid affected minorities more than white people but that's unrelated to the BLM stuff they have later in the film).Overall I had more empathy for nurses and what they went through so I'd say that's probably the message overall that resonated with me.,False
2,8,Innovative,annettecrisler,n/a,16/08/2025,"Innovative and interesting. This film is prescient for all sorts of reasons, and well worth checking out. I would recommend this for anyone looking for something a little unusual.",False
3,6,Opinions Are Like A-holes,gab-67599,n/a,16/08/2025,"SpoilerI am sure everyone will have their own opinion when it comes to this Doc. I am going to try hard and not insert my 2 cents in. As far as a Doc it was slow in parts, be ready with your tissues because if death saddens you this will make you cry. They didn't do like a follow up at the end, I love a happy ending and I feel like I had to insta-stalk a few ppl in here just to see if they kept surviving. I though Karl was fine af! Not to mention the ONLY one through all the doom and gloom to be able to come in and brighten up someone's day like he did. Karl feel free to hmu hunny!It was sad to see what all everyone went though from different perspective's but more info was a definite. As someone who is Vaxed I would have liked to have known if they were or if it even helped. I am one of those sheep type ppl and I got Vaxed the second it came out, if only to prevent half if not all of what this Doc was about! Wow, it was really hard to not insert my opinion, oh well now that we are here. I also do not think they inserted the racisms aspect on purpose, they added it because it was just what was going on the time of shooting this, duh! Leaving my opinions out of it, I have seen better Doc that gave way more info and heart. They get an A for Effort but the deliver in the end was not worth even investing the time into this in the first place. If you have time to spear though, it was ok, just grab the tissues.",True
4,10,I was there working as an ICU Registered Nurse.,uncleruckus-27636,n/a,16/08/2025,"I thought Matthew Heineman did justice by being able to film what was going on in the ICUs at the time. The hospital they were at was in Queens and I was in Brooklyn at the time. It's accurate. I was surprised the film crew was able to capture more of the intimate moments that the public doesn't get to see. It's a necessary watch, despite the flashbacks. Part of me thinks if they were releasing footage like this early on in the pandemic, it would've changed a lot of public opinion. The other part says some people still would've turned a blind eye. Also, beware of the other reviews calling this fake. Those Herman Cain award nominees wouldn't even know...",False
5,10,The bad reviews are most likely anti-vaxxers,edgerd2002,n/a,16/08/2025,"This is a great documentary that shows the pandemic in a different perspective. Thanks to all the nurses for their hard work during this hard time! This touches on so many different issues, i feel like not one is more important then the other. As humans, we should come together.",False
6,10,"Everyone needs to watch, especially now.",kieleargente,n/a,16/08/2025,"Even though I've read the stories of healthcare workers and the horrors they've endured during the pandemic, it's difficult to truly understand the reality of the past two years. This documentary helped me gain more understanding of what has been happening in our hospitals, which is especially important right now - when everyone is feeling worn out and tired of this pandemic. It was difficult to watch the patients, their families, nurses, and doctors suffer physically and emotionally, but the documentary left me feeling hopeful and determined to help where I can.",False
7,2,"Good, BUT",sbakertreas,n/a,16/08/2025,"Race should have been left off, and George Floyd had nothing to do with the Covid outbreak. So why add him to it. He was NOT a hero, but a criminal. No one was a hero in that situation. Black Lives Matter has been proven to be a detrimental organization. The documentary would have been better if these items were left out.",False
8,10,Hard to watch!,ragerino,n/a,16/08/2025,"We as a society failed here massively. This all could have been avoided if we would have gone into a strict globally coordinated lock-down as soon as the first cases started showing up. I am glad that I was able to convince my parents to isolate, move to our remote condo, and stay away from everybody until they finally got vaccinated.That being said, those who down-vote this documentary and call it fake, are exactly the same people who have been downplaying the pandemic and making it much worse for everybody else. They should be ashamed of themselves instead of continuing with their bull.Lastly I would like to express my condolences to everybody who lost a loved one to this disease, and thank everybody who was involved into saving people's lives despite all the struggle and disbelief about how some patients got sick.It's hard to watsch because it's a documentary about just the first wave. We all had multiple of those. And many less fortunate countries got much worse outcomes. And it's still not over as of now.",False
9,1,Over saturated,coconess-28382,n/a,16/08/2025,I did not like this movie. Seems to soon to make a documentary on a crisis that seems is never going to end. Still too many questionable information out there. The appears to be made to justify something. This is my second review. I don't see the first one I posted.,False
10,10,Incredibly moving and beautifully done...,catkins777,n/a,16/08/2025,"The stories of those who overcame, and the care of the medical professionals towards their patients, was absolutely breathtaking.Anyone who says differently, trivializes the suffering of others and the work of the healthcare professionals. In fact, those who marked a 1 and voiced their opinion, made clear their ignorance.",False
