Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Much Needed Balance,AmorLucis,n/a,15/08/2025,"SpoilerWhile I don't agree with everything in the documentary and I do not agree with much of Owens' political views, we all owe her a debt for exposing the biggest danger to freedom in America from George Floyd's tragic death--bully mob mentality, media manipulation, normalizing violence, justifying criminality, institutional corruption and epic grifting. These tools in the hands of any group, whether privileged or marginalized, lead to heinous human rights violations and degrade our social fabric. Facts don't lie. Owens followed the money to where it leads and it's not pretty. George Floyd was not a saint. Derek Chauvin is not the devil. Owens humanizes both of them fairly, noting their strengths and weaknesses. Too bad so many others made a rush to judgment, which this documentary is a long time in correcting.",True
2,8,Very informative and eye opening,CoolG91,n/a,15/08/2025,"Very informative and eye opening. I'm not giving a 10 only because I think it could have been done a little better, but it was still pretty good and does a great job at exposing the BLM organization and how they spent/wasted their money and how the whole George Floyd situation was just a way for them to make more money. I suggest the Daily wire make a documentary on abortion and planned parenthood in a similar style.I think the documentary could have spent more time on the organzations that BLM has given lot of their money to. These organizations don't have anything to do with race issues or police brutality.",False
3,7,unbiased opinion,palynko,n/a,15/08/2025,"For the record, I am a white male living in Europe, very disconnected from the reality of American life, so I can merely comment on this from my own hearth, take it as you want.From the social media, I would get a lot of footage of various acts of police brutality in America, but i always knew that would be very rare incidents that get viral. Not a fan of police, emotionally, I would always find myself feeling sympathy to the victims.Couldn't feel the same about this one though. It didn't pop up on my feed, It was being showed down my throat continuously. What a massive marketing propaganda that was/is...I expected right wing bias, i got objective commentary. Not a fan of Candace, but this felt like a proper journalism. Not much of a stuff these days feel like it.WORTH a watch, make your own mind after
note: some people are saying nothing new is revealed here, well, they are BLM experts apparently, if you are not (as I am not) educate yourself on the matter from the other side. What harm is in that?",False
4,10,Evidence for the skeptic mind!,s_sahar99,n/a,15/08/2025,"Thank you Candace for a riveting and well-needed documentary on the truth of the BLM movement. My jaw dropped, my head spinned, and my heart moved while watching this. The evidence is self-explantory. I recommend everyone to watch this to get a better understanding and actually realize the lies the media and these so-called organizations are acrually telling people about their endeavors. I watched Ye's interview on piers Morgan show and I didn't realize what he was talking about but now I do. Anyone with half-a-brain will know what I mean. The democrats and the current government have been involved in instigating this from the very start. Just wow. I couldn't believe it. Thank you so much for making this.",False
5,10,Don't be ashamed to abandon BLM.,tautuatribe,n/a,15/08/2025,"Candace Owens answers the question that skeptics have never stopped asking, a question which donors are too ashamed to ask out loud: What has BLM done with all the money?Other questions also feature:
Is Derek Chauvin truly guilty?Is the true story of George Floyd being told?How has BLM impacted black communities?Why do celebrities support looters?Why do Democrats seem to love racial turmoil?And why is there such a strong tie between BLM and transgender ideologues?We don't get all the answers. We don't even get to see where most of the money went. But the portion we do see is alarming. The answers we do get are game-changing. And Candace Owens proves again to be best suited to pose the questions that linger.Candace has produced a full picture of the rise of BLM, and as communities awaken to the scam, as donors demand answers - such a picture will aid in its ultimate fall. Poignant, straightforward, well-paced, and witty, Greatest Lie is the documentary that no one else was willing to make, but that all of us needed - some passionately, some secretly, and others who will only realize it when they see it.",False
6,10,Informative,geotech-27507,n/a,15/08/2025,"I give this 10 stars not necessarily because the production is anything fantastic, but because this was very informative. Candace Owens covers the stories that the mass media does not want to. BLM stole millions of dollars from supporters by spending lavishly on themselves (yes be wary of anything called a ""non-profit"", they show no profit but they pay their staff ridiculous salaries or embezzle most of the money, this is why i do not give to many ""non-profit"" organizations that enrich their staff instead of demanding volunteerism of their own ownership). But BLM is not even a charity, it was a scam, as revealed in this film. Look at where the BLM owners live today, in houses and properties worth millions. Anyone who gave money and time to BLM just enriched people underserving of their charity. Companies that give to BLM should be ashamed.The George Floyd story is sad but the entire truth needed to come out, which this documentary achieves in doing. This is investigative journalism, something lacking the past 2 decades because of the political control of mass media mostly by the Democrat party. We do not have journalists anymore in the mass media, just political pundits expressing their biases. We need more Candace Owens type investigative journalism, and less political opinionated punditry in those pretending to be journalists.",False
7,6,Previous post deleted- Seems fishy,Wikineon,n/a,15/08/2025,"I never thought I would see the day that one of my comments would be removed. I posted before about how much I liked this documentary, but mysteriously my last review was deleted without any notification about when or why it was taken down.So I guess I will just say what I said before. This documentary is very simple. All Candace does is ask questions and the hostile reactions she is getting is telling. This documentary does not spread any hate it only seeks to find answers. Judge for yourself whether this is worth something. And if this post gets taken down again I guess we know that someone truly is trying to censor certain reviews. And in that case I will just write another review.",False
8,10,Ready for part 2!,StrawberryJello5782,n/a,15/08/2025,"This documentary was extremely educational. Hilarious what the 7 year old said ""So they think the police made a mistake and that's why they are taking things from Target?"" LOL Amazing. It's funny what mob mentality makes people do. It's definitely a documentary not just about what BLM did the millions they received (spoiler: nothing to actually help black people), but also human psychology and the effect that the media has on all of us. Patrisse Cullors needs to be investigated for money laundering, at a minimum. I don't know what else to call purchasing a home for 3 million and selling it to the organization that you founded for 6 million. In the end, it seems the money mostly went to herself, her family, and her friends. Oh, and the trans activists too - because nothing says Black Lives Matter more than donating to trans rights organizations - who knew?! LOL 🤦‍♀️",False
9,n/a,"If it walks like a duck, talks like a duck...",n/a,n/a,15/08/2025,"In this era of extreme bias in journalistic reporting, the BLM mess forced me to see pass the thin veneer of truth. There was always something wrong inside my mind with George Floyd, which furthered peoples anger at the way he has been canonized and used as a pawn in the dirty culture war.Regardless where you sit, we need more of these documentaries made thus to offer another viewpoint regardless, as the traditional media and those with access to them, cannot be trusted with the truth no more.Leave your biases behind and allow your self to be open minded. If you feel challenged by this doco at the end, then seek out more truths. But sitting in a dark room and just allowing yourself to be conditioned by your cognitive dissonance is what landed us in this mess.Well done to Candence, its made me think deeper about BLM and what they really stand for.",False
10,6,agenda agenda,isaacmizrahii,n/a,15/08/2025,"SpoilerEverybody's got an agenda...watching this documentary i thought that some of it was enlightening...for example, that george floyd toxicology report. I am a retired nurse and paramedic. As a paramedic, my branch of the organization i worked for in Phoenix, Arizona was the drug crisis response team. We dealt, mostly, with heroin overdoses and i had to learn a lot about pharmacology and the physiological responses to a number of drugs.Fentanyl is a synthetic opioid. The way that people die from opioids is that, first, their breathing stops. I personally administered narcan(when it wasn't available over the counter) many times beCAUSE the person had gone into respiratory arrest...at the point the rest of the body begins to shut down, as well. It's, many times, followed by cardiac arrest.Up until seeing this part of the documentary i accepted that the reason that George Floyd died was because of Chauvin kneeling on Floyd's neck. Not anymore.As it shows in the documentary, Floyd DID say, 'i can't breathe, i can't breathe', beFORE he was even on the ground. So the judgment against Chauvin becomes questionable.Aside from that, there's a pastor or priest from that neighborhood that Candace interviews. But we know nothing about who this person is and what might influence his way of thinking, much less the answers he gives to her leading questions. At one point i felt like jumping up and saying, 'your honor, i obJECT! Counselor is leading the witness!' it seemed that, at THAT point, Candace was putting forth HER agenda. It's obviously a complicated situation. Someone who was not an ideal citizen(and i couldn't care LESS about all of the cocaine convictions. Similar drugs are used by your dentists. If he's doing robberies to GET the money for the cocaine, which was before all of those cocaine convictions mentioned, THAT i care about. Please remember that the fentanyl/opioid crisis in america was started by a pharmaceutical company and THEN promoted x doctors HEAVily. How many of THEM were convicted as criminals. No. Only 'sorry...we made a mistake'. And then some large payback from the drug company. As if that will bring back all of those who died from overdoses, much less all of those still living whose lives were ruined) being martyred because, supposedly, he died of police violence.I have seen AND been the victim of police violence and abuse. Just so that you, the reader, understand. But i would like to see fairness for EVERYone...EVERYone.And there is definitely reasonable doubt in my mind as to whether or not Chauvin was responsible for Floyd's death, at this point.So the documentary, at least in this way, was enlightening...i just didn't like what she was doing with that priest...guiding him for the answers that she wanted.",True
