Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,A fly in the wall,raf_dcs,n/a,16/08/2025,"I started watching knowing nothing about the behind the scenes. I knew there was a bunch of famous artists, I knew about the french parody and I definitely remembered Bruce Springsteen's weird face while singing.I was instantly fascinated by the whole thing, it's a great watch, a lot of fun facts I loved to hear about. It's the kind of story that's so absurd it shouldn't have worked out but in the end it did.There are some heartwarming moments, the Belafonte bit was beautiful or whenever they would cheer after someone sang. Most of them seemed genuinely excited to be there and the doc makes you feel like a witness to it all.However I do wish there were more speakers, they should have reached out to more singers, I would have loved to see footage of the singers talking about the project afterwards.It also makes you question why those songs don't happen anymore, can you imagine Beyonce and Taylor Swift coming together to raise money to a cause?And then I remembered that most artists nowadays won't set foot outside North America and Europe when they go on their ""world tours"" so I'm feeling bittersweet about it all but it's still a great watch.",False
2,9,Couldn't Stop Watching,sectionmaven-08824,n/a,16/08/2025,"I can't recall the last time I watched a film from beginning to end without taking a break or even thinking of taking a break. And this has nothing to do with the quality of the ultimate product, although the film made me appreciate ""We Are the World"" far more than I did at the time of its creation. The experience of seeing how this event was created, assembled and carried out was mesmerizing, engrossing and tremendously moving.The film enlarged, exponentially, my knowledge and understanding of the individuals who participated in creating the song and video. For example, I appreciate, for the first time, the scope of Lionel Ritchie's talent, which extends far beyond singing. Wrangling pop stars is more difficult than herding house cats, but Ritchie proved to be a master of the art. He was the film's star, with Stevie Wonder and Quincy Jones close behind. The scenes showing Stevie's interactions with Ray Charles and Bob Dylan were, at the same time, hilarious and moving.The film also enhanced my appreciation of the level of talent that participated in the project. As a contemporary of most of the participants, I realize now that they were a lot more talented than I might have thought back in the 1980s.From a technical standpoint, condensing a ten-hour all night recording session into the last hour of a ninety minute film was no mean feat. The editing of tons of archival material into a coherent narrative was masterful. If Netflix can mount more retrospective documentaries of similar events from the late twentieth century, I would welcome the endeavor.If I have one criticism, it is that I wanted to know more about the selection process, about the artists who elected not to participate, and about the one, Waylon Jennings, who walked out. Madonna was mentioned once. And maybe Waylon was there because he lost a bet to his pal Willie, and of course Prince was Prince. But Waylon and Willie were the only representatives of a genre that IS music to millions of Americans. Were any others asked?But on the whole, the film was an Oscar level documentary and should be recognized as such.",False
3,9,Watching Music History,DrRumack,n/a,16/08/2025,"In 1985, We Are The World was huge. We saw the video over and over and over again.We all had the album and listened to it countless times. It was on the radio non-stop. It was an immensely powerful song.Watching this documentary and learning how the song came about and how they managed to get all the biggest names in Music together, it let me re-experience it all. Watching it was both nostalgic and entertaining. But also sad watching the great artists who aren't around anymore.It's a Must See for anyone who was around back in '85.And, after nearly 40 years, I finally learned why Prince wasn't there.",False
4,10,A Glimpse Into Something Real,malachiweaver,n/a,16/08/2025,"This is everything I want from a documentary. It was both informative and entertaining, and it gave me a brief glimpse into something raw and real. It effectively captures the feeling of being in that recording studio on that specific night in the company of the biggest names in music at the time - the exhilaration but also the pressure and tension felt by everyone in the room (Michael Jackson, Lionel Richie, Quincy Jones, Bruce Springsteen, Cyndi Lauper, Stevie Wonder, Bob Dylan, Diana Ross, the list goes on and on). I felt like I got to know each of these artists a little bit better because of their raw emotions and vulnerability that were on display in the footage.I wasn't alive when ""We are the World"" was released in 1985. However, I distinctly remember when the 25th anniversary rendition was released in 2010 and being instantly enthralled by the sheer power of so many iconic voices united for one important cause. I've watched that video over and over, and I get the same visceral feeling every time. This documentary adds depth and context to that feeling, and I now have even more appreciation for the original song.",False
5,10,Magnificent! Wish I'd Been There!,beckschemu,n/a,16/08/2025,"The documentary is Chefs kiss. I love Michael Jackson's songs and We Are The World is no exception. It's so catchy and I love harmonizing along with the artists. I enjoyed this documentary. I had always wanted to see something like it. To go behind the scenes, and it did not disappoint. From the song creation process - which is something I always wonder about as a music listener, to the retakes to the teamwork to the balancing of egos. I appreciated the no-holds-barred , honest interviews and I'm so grateful they took videos that night. I resonated with what Diana Ross voiced ie she didn't want that night to be over. I didnt want the Docu to be over either. When it began, you could tell they were all nervous, but as it went on, it became everybody's favorite project and everybody brought their A game. Lionel Richie as a narrator is so good. Great sense of humour and sharp memory. You could see from the documentary that the artists cared for the cause and cared even more for the craft and had an admiration and respect for each other, despite their differences in ages , skin color or accolades. Loved the autograph scene. I loved that all the artists were trying on such short notice, and adapting their vocal ranges as they went along. Hueys narrations were vivid and beautiful. He is a captivating storyteller. MJ came across as so humble and a perfectionist, Quincy Jones = a genius, Al was hilarious, and I loved that he and Stevie are multilingual. Bruce Springsteen got the Midas touch and aging like fine wine. Stevie Wonder - how does he make playing the piano and singing look so effortless? It truly was a highlight for me, seeing him work his magic. Harry Belafonte, God bless you for thinking of this concept. Ray Charles, iconic. Lionel's voice as the song starts, is absolutely pristine. MJs voice is angelic. Cyndi Lauper coming through with the harmonization has always been one of my fave bits of the song. It's interesting to see that part play out in the Docu. Tina Turner - goodness, what a goddess. I love Prince but I know most artists are like Bob (Dylan) and Prince, introverts who'd rather work alone so I understand. I'm grateful Bob Dylan showed up. It was for a good cause. A great cause. It was great to see how demanding artists are of themselves even when they are top of their game. They are still perfectionists. I learnt something there. Loved MJs outfit and as a dear fan, I really appreciated insights into his songwriting process. Seeing him collaborate with Richie to come up with the melody was awesome. So casually too. Geniuses make it look easy. It's nice to see his siblings there to support him. Steve Perry's vocals - wow. James Ingram. I could go on and on. This docu had everything: the tea, the laughs, the love, the tears, the emotions, the high notes, just...a delectable mix. I enjoyed it and it makes me sad that we are at an age where the icons have left or are leaving us. Nothing lasts forever but it was good while it lasted. I'm glad this song is here with us. Two quotes I loved from the show, to paraphrase: 1) How music is something spiritual that traverses space and time to come touch your soul 2) Be happy when you comeback home because one day there'll be no home to come back to. Whew! That last one was emotional. I LOVED the Docu and I LOVE the song. Shout out to Bob Geldof for the inspiration. #TheGreatestNightInPop #Netflix.",False
6,10,Informative and emotional,camimr-55885,n/a,16/08/2025,"Simply and shortly put, this was incredible.We are being introduced anew to this important piece of history.Michael Jackson and Lionel Richie was a power duo in making this happen, for such an important cause.Enjoy learning from A to Z just how impactful this really was, and still is.Netflix needs to release more of these, so that the younger generations truly understand the value of music history, as it was. I wish music could still be like this, about something greater than yourself. The act of giving, caring and unity. Todays artist have a lot to learn from this.Thank you... ""We Are The World""",False
7,10,A Captivating Journey Through Musical History,aa_agreene,n/a,16/08/2025,"Netflix's 'The Greatest Night in Pop' delivers a mesmerizing journey through one of the most iconic moments in music history. This captivating documentary offers an intimate look into the making of 'We Are the World,' showcasing the brilliance of the artists who came together for a cause greater than themselves and the sacrifices made by all involved. With exclusive interviews, archival footage, and behind-the-scenes insights, the film transports viewers back to that historic night, highlighting the passion, camaraderie, and sheer talent that defined the recording session. From Michael Jackson's visionary leadership to Quincy Jones' masterful production, every aspect of this monumental event is explored with depth and reverence. Whether you're a die-hard fan of the artists involved or simply appreciate the power of music to inspire change, 'The Greatest Night in Pop' is a must-watch. It not only celebrates the magic of that unforgettable night but also reminds us of the enduring impact music can have on the world.",False
8,n/a,The Big Unanswered Question,n/a,n/a,16/08/2025,"I waited 97 minutes to find out why Dan Akroyd was in that recording studio. I still don't know. As much as I loved the Blues Brothers, that doesn't make him a singer.The only two huge stars of the time missing were Prince and Madonna. We learned about Prince in all his solitary weirdness but Madonna was mentioned only for a split second.For anyone who's been in a professional recording studio, Cyndi Lauper having to remove her jewelry was hilarious. The microphones pick up everything, even the proverbial dropped pin. To anyone questioning why she was there, take a quick look at the pop charts from say 1983 to 1986 - there's your answer.",False
9,7,Lovely throwback piece that makes you want to know more! [+72%],arungeorge13,n/a,16/08/2025,"The Netflix documentary takes you back to a certain night - January 28, 1985, to be particular - when legendary musicians of the time came together to create a (now iconic) song that'd contribute to a charitable cause. The story behind the conception and production of the song, narrated with buzzing energy by Lionel Richie, is one where you wouldn't anticipate multiple layers. For starters, to bring all of these musical geniuses (..and I'm talking the likes of Stevie Wonder, Michael Jackson, Bob Dylan, Bruce Springsteen, Diana Ross, Cyndi Lauper, Ray Charles, Huey Lewis, Kenny Rogers, and many more) under the same roof to record the track over the course of a single night - that sounds as fascinating as it is stressful. You gotta give plaudits to producer Quincy Jones for keeping them in unison all through the night, even when there were hints of things going awry.I can't envision something of this kind happening in today's music scene. Even if a producer wanted to compose a universally resonating track featuring a hundred artists of this generation, it would all be made with modern software technology that'd make it easier to dissociate from, as a music lover. The sheer energy that we can see leaking in the archival footage is something that's hard to replicate. There's even a moment where blind musicians Stevie Wonder and Ray Charles accompany each other to the restroom - like, where else would you hear that kind of a story? I also like how Richie confidently plays the role of a pacifier within this large group; that too on the same night he hosted the AMAs and won half a dozen awards.Admittedly, the piece does show signs of indulgence towards the end, but it's clever on the makers' part not to keep it too lengthy and unfocused. In its current form, it's a delectable throwback piece that'd simply wow you with all the wonderful footage, the unquestionable charisma of these incredible artists, and the production crew that managed to keep the tightrope steady for some of our favourite musical legends to seamlessly walk on. They created art that night, and we still appreciate it almost four decades later!",False
10,10,"The Greatest ""Dream Team"" Of All Time!",spasek,n/a,16/08/2025,"SpoilerThe greatest collection of musical artists of all-time is still something that is talked about 40 years later, and it will continue to be talked about for another 40.We have seen many duplications but none have reached quite the same level as this group that volunteered and came together to do something for the good of others. It was a selfless act that would end up becoming one of the best-selling singles ever recorded.""Check Your Egos"" at the door was the sign that Quincy Jones put above the door. While this was a challenging night for the artists, the producers and crew were under even more pressure, knowing that they had only one night (a few hours, actually) to get this done.The behind-the-scenes footage along with many stars talking about their experiences, is mesmerizing as well as chaotic, which only causes the viewer to have an even greater appreciation for how it all came together within just a few hours.I was amazed at how Quincy Jones and the crew were able to find the unique combinations of singers to put together for the verses (well, half a verse!). We look at the finished product and just go, ""Wow!"" But to see how it all came together is an even bigger, ""Wow!""I've listened to this song hundreds of times, and it still makes me emotional to hear it. Lionel Richie and Michael Jackson did such an amazing job with the music and lyrics. I also loved seeing how much profound admiration and respect the artists had for each other.However it was Bob Geldof who set the tone by explaining to the artists why they were there and why the song was so important. Almost immediately you could see the look in each artist's eyes as the realization sank in. This would be one of the most important things they would ever do, and easily end up being, perhaps, the most amazing collaboration of all-time. It's hard for me to think of anything that surpasses it.With one night, this song united the world, even if for a very brief time. People don't realize what an incredibly powerful thing that is, and how it can, indeed, change the world and change lives. What can be a more nobler purpose than that?",True
