Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,4,Check out all the 10/10 ratings!,TurnerburnB42L8,n/a,15/08/2025,"Sort of ironic don't ya think? Almost seems like someone copied and pasted under multiple temporary accounts. Sort of ""Like"" mimicking wouldn't you say? Gosh, I think even some of the titles are repeats.Waste of time actually. I only gave a rating of four because of the creative and interesting intro. Other than that, just a bunch of grown boys using subjective terms such as ""I felt"" I sensed"" ""I thought I saw"", but aside from the rocking chair which was no predictable as soon as we see the room's furniture, not much else to pique one's interest or give the neocortex (logic) pause for consideration.",False
2,3,I wasn't that impressed,nvqfghss,n/a,15/08/2025,"I was so hoping for more. It would have been more interesting if they did a séance or something.. just walking around and old house that is drafty is hardly scary. I looked st the tickets online and they are ridiculously expensive, to view a this old house. Smh . Seems like a con job. I had my own experience, and it was haunting & changed my life. This is just hype. If there was something there they are way to loud, to experience anything. Just set up cameras and watch. The end. Otherwise it looks like a bunch of grown men who are more interested in scaring one another. Hope they redo this with less talking more action.if you need a haunted hollow hit me up.",False
3,3,🙄,truereviews-71742,n/a,15/08/2025,"The narrator sounds so stupid and mocking which removes credence from this story overall. The voice is like they're purposely trying to sound spooky like at a campfire for children. The sounds/music too is annoying & distracting amongst the talking - LET'S HEAR GENUINE SOUNDS...if there is silence, okay. It's insulting to me as an adult who is genuinely interested in history. But if you want to be playful & silly about scary stories maybe you will like it. Also, I do not comprehend why many (not all) ""investigators"" are showy or bad actors and STUNNED when they get what they want...which makes things seem fake because HELLO you got what you came for...something you supposedly believe. Why are you surprised? If all were non believers there would be genuine surprise. I believe something happened BUT perhaps it is people being followed not so much the place. How is it a daycare at some point was there without issues? It's all frustrating &annoying. Why can't there be anything authentic?",False
4,1,White Noise Killed It!,cbjami,n/a,15/08/2025,That horrible high pitched background noise you injected in this program was just horrible. It made it impossible to watch and gave me a headache. Were your findings not enough that you had to add fake music to add to mood. I wish I didn't have to write so many characters because there is little to say except it was a total waste of time for you to make and me to watch. I can not recommend this show to anyone. It was okay in the beginning before you started the investigation and didn't have that dumb noised going all the time. It was a good idea to do a documentary on this property but it was so badly done.,False
5,1,As far as all these 10 out of 10 ratings I call BS,frogsj,n/a,15/08/2025,SpoilerThere is nothing here that would warrant a 10 out of 10 rating. This is a very lukewarm paranormal investigation. That hyper focuses on such things as a rocking chair that happened to rock when one of the Paranormal specialists happen to walk by it. That's the height of all the evidence in this extremely boring paranormal investigation. There's a whole lot of drama with a certain investigator who basically throws himself on the ground and then gets up and says he needs air. Oh and then there is a faucet running in one of the bathrooms but of course there's no cameras to capture when it turns on. What do I say to all these 10 out of 10 hyper enthusiastic ratings. Take a look at the dates of these over the top reviews. It looks very very suspicious. And there's no shortage of fans of these guys since they're all YouTubers. Most of the 10 out of 10 ratings come within days of each other using words like masterpiece over and over again in supposedly separate reviews. Much of the language in the overabundance of 10 out of 10 ratings is the same. I give it a 1 out of 10. Cuz I don't think you can give it a zero out of 10. This was the biggest waste of my streaming time. And all the hype doesn't really add up whether it be watching the whole thing which I don't recommend. This is a paranormal failure if anything. And if you do make it through this tedious documentary. Please help out by setting the record straight and give your honest review of this POS.,True
6,1,Are you kidding me,judyyork-63307,n/a,15/08/2025,"These supposed ghost hunters need to just get under the covers and cover their heads up, get some other hobby, I'm Scared! Oh no whats that? Any little noise or light was Sooo scary for this bunch. How interesting is this bunch of obvious newbies to the paranormal .This was the most boring ghost hunt that I have ever seen. Get some pro's
in there instead of this bunch who are afraid of their own shadows .Did we go too far(end of doc)? No, you didn't go far enough. The cast has all of the equipment for the subject and they stare at instead of getting EVP's..This should be a B movie with a cast of bad actors.",False
7,1,C'mon people!! A pile of garbage,kdwhbcnbj,n/a,15/08/2025,"I'm rather amazed at how simple minded so many people are. This documentary received so many excellent reviews and I just don't get it. This was a terrible piece of garbage that caught very little to no actual paranormal activity. These clowns even went to the extreme of doing the ever popular ""random man acts bizarre and wanders into the darkness so he must be possessed"" gag. Super original! That hasn't been done a million times in other B movies. Don't waste your time. One other thing worth noting. Their claim to fame in this doc is a rocking chair rocking on its own. There you have I just spoiled it for you. No need to waste your time. 👎🏻👎🏻",False
8,1,Sad Commentary on Confirmation Bias,chaplaindad,n/a,15/08/2025,"SpoilerPeople either believe in the paranormal or they don't. Depending on where you stand on that spectrum, this ""documentary"" will prove your theory. Why? Confirmation bias. Nothing that is recorded: sound or movement proves anything one way or another. But, there are some perfectly silly moments. For example, the rocking chair that moves on its own. Just as the investigator steps, the rocker moves. Then there is a cutaway, and then the investigator jumps up and down to ""prove"" it wasn't his step. Yet, video of the chair shows clearly that one rocker blade is pinned against the baseboard, keeping it from moving. Who moved it and why the video cutaway? Was it the ghost, or someone very alive who manipulated the scene? Also, there is the radio that finds interference. Any first responder with an LMR has experienced this at times. Cellphones have tower in one place, and just inches away, have none. Such is the issue with electronics. Ghost, or not? Shot in one dimension, video makes it easy for the ordinary to appear extraordinary. The film abounds with noises, moving doors etc. In a mid 18th century structure. For the non-believer, physics and age are the cause. For the believer, it is the paranormal. So, how do you break the confirmation bias tie? By adding what almost no paranormal investigator will add: on-scene neutral parties and individuals from the non-believer side to prove what is presented to us as true. It's good science to do so, adding positive and negative controls to the experiments to remove any possibility of filmmaker shenanigans or scientifically explainable occurrences. Without controls, this is nothing more than people who make their living and bind their reputations to the existence of the paranormal, showing viewers what the filmmakers want the audience to see. A sad confirmation biased reality.",True
9,2,Don't waste your time! Spoiler alert,bluesandshoes-1,n/a,15/08/2025,"SpoilerWe were very excited to see this and it was such a letdown. Amazing how with great equipment, nothing was caught live. Lots of the usual suspects, guys with black baggy clothes, a hipster beard, tats, solemn faces, scowls and hysttiond behaviour. A perfect place to film yet nothing gets captured. The obligatory rocking chair movement in old wooden floorboards, the ""possession"" and being pushed by an ""entity"" and running out of the house into the darkness to get ""fresh air"". 🙄 Interference thru the walkie talkie, please. You're never showed anything paranormal.. These YouTubers need to stick with just that,YouTube. The only thing that was real were there imaginations and bad acting. One of the worst things is when ""investigators"" continually talk and move around filming their idiotic ""expressions"" in night vision. Like I said, we were hopefully, only to be horribly disappointed. Good drone footage and slightly eery music, but too much and at the wrong places.",True
10,10,A Paranormal Masterpiece,crowofjudas,n/a,15/08/2025,If you're into paranormal of any kind this is a mandatory must see! From start to finish I was glued to the screen! Never a dull moment this documentary was superbly done with one of the best investigations I've ever seen. Seriously do yourself a favor and watch it!,False
