Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Minny Don't Burn Chicken,ferguson-6,n/a,15/08/2025,"SpoilerGreetings again from the darkness. The film is based on the controversial best selling novel by Kathryn Stockett. It was controversial because it is the story of Jim Crow-era maids written by a white woman. Yes, the book is actually the fictionalized story of a white woman getting black maids to discuss their lives as maids for white folks. Rather than get into some politically correct dissertation on the book, movie or story, I will only comment on the film itself ... this very entertaining movie that also manages to deliver a timeless message.Let me first start by saying that this movie is incredibly well acted. It is quite rare to have so many developed characters in one movie. There are some characters we immediately connect with, while others draw our ire each time their face appears. The script and these fine actresses utilize humor to point out the shameful behavior of those who saw themselves as superior. The humor doesn't soften the ignorance or abuse, but it does make the film infinitely more watchable and entertaining. Please know this is not a documentary.Ms. Stockett's novel has a very loyal following in addition to the naysayers. A two hour film must, of course, take short cuts and trim story lines. Still the key elements are present. Based in Jackson, Mississippi during Governor Ross Barnett's term we see the social shark, Hilly Holbrook (Bryce Dallas Howard), in her full glory of ignorance, entitlement and superiority. We see her minions and followers emulating her moves while trying to gain her approval.The story takes off when Skeeter (Emma Stone) graduates from Ole Miss and returns home and takes a job at the local newspaper. Possessing observation skills and humanity that her lifelong friends can't comprehend, Skeeter desperately wants to tell a story from the perspective of the maids. As expected, the maids are hesitant, but Aibileen (Viola Davis) does relent. The stories begin to flow and soon the robust Minny (Octavia Spencer) joins in. Others soon follow their lead and Skeeter's education goes to an entirely new level.That's really all of the story I care to discuss. The brilliance of this one is actually in the details ... individual scenes and moments of acting genius by most of the cast. In addition to those mentioned above, Jessica Chastain plays Celia, the ""white trash"" outcast who so desperately wants to be allowed back into the girls' club. Ms. Chastain was seen a few weeks ago in the fabulous ""Tree of Life"" in quite a different role ... I would venture to say no actress will have two roles of such variance this year. Also, Allison Janney plays Skeeter's cancer-stricken mother, and Sissy Spacek is Hilly's mother who gets tossed aside before she is ready to go! The great Cicely Tyson makes a brief appearance as Constantine, Skeeter's childhood maid who was done so wrong after 29 years of service. Mary Steenburgen has a couple of scenes as a big NYC book publisher.As a said, this is pure acting heaven, but I must single out Viola Davis and Octavia Spencer. Viola is so powerful at the beginning and end of the film, and Ms. Spencer is a force of nature during the middle. This movie is really their story and these two ladies make it fascinating, painful and a joy to behold. They both deserve recognition at Oscar time.There are so many fantastic details to the film. At times, it is like watching a classic car show ... the late 50's and early 60's models are works of art. The wardrobe, hair and make-up are perfect in setting up the class differentials. The TV and radio segments provide context and timing with the deaths of Medger Evers and JFK. Even the books on Skeeter's shelf make a statement: To Kill a Mockingbird, Huck Finn, Native Son, and Gone With the Wind.This story takes place 50 years ago and director Tate Taylor does an admirable job of bringing Stockett's novel to the big screen. Mr. Taylor is a longtime friend of Ms. Stockett's and was quite fortunate to get the directing rights. He doesn't disappoint. Sure the story is a bit glossy at times ... it is geared towards the masses. If you are looking for more depth, there are numerous documentaries available on the Civil Rights movement. If you are seeking a very entertaining movie that uses humor to tell a story and send a message, then this one's for you.",True
2,9,Delightfully-different!,ashleyyh,n/a,15/08/2025,"I just got back from a special-screening of ""The Help"" at my local movie theatre, so I thought that I might as well do a review for all of you who are wanting to see this movie when it comes out.Now, first off, I must admit that I have only read a portion of the book, but I definitely do know a lot about it. After watching the trailer, I was intrigued, so of course, I visited the IMDb boards to learn more about it. At first glance, the casting caught my attention big-time. Emma Stone as 'Skeeter'? I bet most people were as shocked as I was to find out that she was cast as the main character -- but let me tell you what: the casting was superb! I could not have chosen a better cast than what was already chosen. There was amazing chemistry between both the antagonists and protagonists. I won't go into too much depth about the characters, but for me, Emma Stone, Jessica Chastain, Sissy Spacek, and Octavia Spencer were the shining stars of the movie.Casting: 9.5/10 I know that there has been an on-going issue about this movie from a lot of people claiming that ""the blacks had to be 'saved' by the whites"" (pardon the language), or something along those lines. I have to agree that the trailer does give off that type of vibe -- Skeeter saving the colored-folks -- however, the movie tells and depicts otherwise - the colored-folks actually saved themselves. Minny and Aibileen, as well as the other colored-folks in the community, were the real ""heroes"" of the movie; they just needed someone to push them to their potential (Skeeter).I can not remember the last time I saw a movie that inspired me, made me cry, made me laugh, and made me sad, angry, and hopeful, all at the same time -- this is what ""The Help"" strides and aims for, without making it ""cheesy"". Without a doubt in my mind, there are definitely Oscar-worthy performances in this movie. Not only does this movie depict just the colored-folks' side of the story, but it also equally shows the feelings of the white-folks, as well. So, you definitely get both sides of the story without it being more or less ""mean"" or ""degrading"" to any sides.There are definitely a few awkward moments in the movie, but what movie doesn't have them? This movie started around 7:10 and ended around 9:20 -- about 2 hours and 10 minutes, give or take, if my calculations are correct. However, this movie only felt like it was an hour-long. It was so good that I didn't even know the two hours passed by until the theatre lights lid and the rolling credits began.All in all, this is a DEFINITELY-MUST-SEE movie. I personally believe that it is one of the best movies of 2011. Go see it -- you will not regret it. If you have any questions, feel free to ask.Movie rating: 9/10",False
3,8,"Well-acted, emotionally satisfying human drama",JamesHitchcock,n/a,15/08/2025,"SpoilerThere have been a number of films about the Deep South during the Civil Rights era, mostly (""Mississippi Burning"" and ""Ghosts of Mississippi"" being examples) concentrating on the political struggle for equality. ""The Help"" is a recent film which brings a slightly different approach to this period, concentrating on the relationship between well-to-do white Southerners and their black maids.Eugenia ""Skeeter"" Phelan is a young white woman from a wealthy family in Jackson, Mississippi. She has ambitions to make a career in writing and journalism, and plans to write a book about the experiences of black maids (referred to as ""the help"") working for white families. Unlike most of her friends, Skeeter is a liberal on racial issues and is horrified by the bigoted views which she has heard other white women express, often quite openly in front of their black servants. She hopes that her book will help to expose this sort of prejudice, but finds that no maids are willing to be interviewed.Eventually, however, two maids, Aibileen Clark and Minny Jackson, come forward. Both have good cause to be dissatisfied with their employers, especially Minny who has not only been sacked but also falsely accused of theft. Minny's employer Hilly is a particularly unpleasant individual, with an obsession with forcing black maids to use separate toilet facilities from the families they work for. The real reason for Minny's sacking was that she used the family's indoor bathroom rather than use an outside toilet during a thunderstorm. (One thing I have never understood why people like Hilly, who obviously has a poisonous dislike of all black people, did not simply employ a white maid; perhaps they could not find any white women willing to work for the low wages that black maids were paid).Some films with a ""civil rights"" theme, ""Mississippi Burning"" being an example, have a male-dominated cast, but ""The Help"" is very much a ""women's film"" with all the main roles, both heroines and villains, being taken by women. There is an attempt to give Skeeter a boyfriend, but their brief friendship- it never really deserves the name ""romance""- fizzles out when he disapproves of her book and of her views on the race question. With that exception, all the male actors play very minor roles.With the exception of Bryce Dallas Howard from ""The Village"" and Viola Davis, who greatly impressed me in ""Doubt"", most of the leading actresses in the film were faces I had never seen before. (I must admit that I did not recognise Howard, here a brunette although normally a redhead). I understand that Jessica Chastain actually made seven feature films in 2011- a quite remarkable work-rate for a modern actress- but this is the only one I have yet seen. Chastain plays Celia Foote, Skeeter's only ally among Jackson's housewives. Although Celia's husband is from the city's wealthy elite, she herself is from a working-class background, which means that the likes of Hilly despise her as poor white trash who has got above herself. Although historically many poor whites were just as racist as rich ones, if not more so, Celia's experience of being on the receiving end of bigotry makes her a much more liberal employer. (Minny goes to work for her after being sacked by Hilly).Chastain's is one of a number of excellent performances in this film; the others come from Emma Stone as Skeeter, Davis (even better here than she was in ""Doubt"") as Aibileen and Octavia Spencer as the sharp-tongued Minny, a woman determined to fight back against prejudice. (Spencer won a ""Best Supporting Actress"" Oscar).I would have a couple of criticisms of the film. Howard as Hilly, like some of the other actresses playing the snooty society matrons, plays her character rather too much as a one-dimensional stereotype, the snobbish upper-class bitch. The sub-plot involving Minny's chocolate pie seemed out of place, the sort of vulgar humour which would be more at home in a Farrelly Brothers gross-out comedy than in a supposedly serious film. I would not, however, agree with the criticism some have made that the film demeans African-Americans by showing them as dependent upon whites for their emancipation. It is the black characters here who display real courage in bringing their working conditions to public notice, far more so than does Skeeter. She risks nothing worse than losing the friendship of a few people she never cared for in the first place; they risk the loss of their jobs and their livelihoods, and possibly also violence from white racists.Despite my criticisms, I felt that overall ""The Help"" was an excellent film- a well-acted, emotionally satisfying human drama with some powerful acting performances, and one which shed an interesting light on this period of American history. 8/10",True
4,n/a,A beautiful film--and realistic,n/a,n/a,15/08/2025,"If this film were total fiction bearing no relation to reality, it would still be worth seeing for the fine acting and production values--even if some of the young white women approached ""Southern Gothic.""But it wasn't fiction--at least, the depiction of Southern society wasn't. As I watched I kept drifting back to small-town South Carolina in the 1950s, where I grew up. It was moving and disturbing to be reminded how black people were treated then--loved and yet ""kept down in their place."" Our neighborhood was all middle-class and every family had a maid. There were plenty of boys my age, we visited in each other's homes, and called every maid by her first name. One even started a baseball team for the little white boys, for which her reward was a visit by the Klan.Our maid helped my mother cook and clean. One of my parents picked her up and took her home every day--and she rode in the back seat. She ate her lunch in our kitchen--without being allowed to use our utensils. I remember her eating with her fingers. I do not remember ever seeing her use our bathrooms. I thought about that during the movie and truly cannot recall what she did, an embarrassing gap in memory.I do remember when my father was out of work and our maid had to be cut back to three days a week. I actually cried; she was a member of our family. When talk about civil rights began in the late 1950s, my mother became annoyed at our maid for getting ""uppity."" And so it went. We moved to central Florida in 1961, where there were no maids.Travel back in time with this film. It's quite real, and I highly recommend it.",False
5,10,Powerful movie,muyoyeta,n/a,15/08/2025,"Look folks, I'm not the one to go watch a movie and then come and write a review. This is very rare, in fact this is the first time. First of all, I'm a black middle-aged male living in Australia. I'm not into that black-white-red-yellow affirmative action, divide or whatever you call it and I have not experienced that American slavery or racism history except seeing it presented one-sided or biased on TV.Now having proclaimed my neutrality above, I will tell you this: this is one powerful movie that will sure touch and move you in one way or another whatever your political lining. The casting, directing and acting are top-of-the-shelf superb A+++. When my wife first told me about it, I said OK whatever. Man was I wrong! I cried and laughed at the same throughout the movie, and I'm a dude and where I come from men are not supposed to show their soft side. All I can say is go see the movie and it will be worth it.",False
6,10,See this film,stevemcalevey,n/a,15/08/2025,"I just returned from seeing a special preview of ""The Help,"" which is due out in theaters this summer.Okay, so here's the truth: I'm a middle-aged, white male... I didn't read the book and I assumed, based on the fact that this is a virtually an all-female cast, that this was some sort of chick flick. Boy, was I wrong!This is an incredible film that not only pays justice to the bestseller on which it's based (according to those who have read the book AND seen the film), but is phenomenally cast, with exceptional performances by Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard and Allison Janney. Veteran actresses Sissy Spacek and Cicely Tyson also deliver incredible performances. While Tyson's character is central to the storyline, her role comprises what seems to be a few, precious minutes of the 2:20 running time, she delivers, in my opinion, one of the most powerful and moving moments in the film...one in which she doesn't even utter a line (trust me, you'll know when you see it.)The Help also delivers some very funny moments and will make you laugh. I'll go so far as to say that this film and a few of its cast members will draw some Oscar nominations. I certainly think this takes Stone into a whole new level.The racial imbalances of 1963 are well illustrated in ""The Help,"" and will, no doubt, underscore how far America has come, as well as how little progress we've made in the last 50 years. Either way, this is a powerful movie that needs to be seen on the big screen as soon as you can get a ticket.",False
7,10,You is kind. You is smart. You is Important,joshfedderson,n/a,15/08/2025,"SpoilerMy wife read this book for a college class and she loved it. The I told her my mom had the movie and she wanted to watch it after she read the book. She invited me to watch it with her, and I have to say I loved it from start to finish.This is a story about prejudice, hate, anger, love, sadness, courage, and doing the right thing. It takes place in the south during 1960 a time of racism and violence, a time when Martin Luther King Jr did his famous march for African American rights. A time when blacks were still considered the lowest of the low. The story is about two African American women and a white writer, together they collect stories about how abusive, rude, and cruel the white society of the south really could be.I am a big history buff, and I know of the times of the 1960's. This movie rings true to everything that went on in the south during this time. Having had parents that grew up during this time but not in the south they knew of this. The reason it is called the help is because it is about a group of African American house keepers the serve high white southern society, who basically raise their children for them because their mothers are to busy with social matters. As I watched the film it struck me hard, how could these mothers just abandon their children? These African American women basically raise them and these children look to them as mothers and caretakers, and when they leave or get fired these children miss them so much. The white writer who is played well by Emma Stone was basically raised by one, and is planning to write a book about these caretakers stories.You will laugh, you will cry, and you will cheer when good things come about. I loved the character Minnie and her sassyness and attitude she was my favorite character, though I liked all of them, I didn't like Bryce Dallas Howard's character Hilly, she was a stuck up, rude, snobbish, evil character who disgusted me throughout the entire movie. You cheer inside when the good characters triumph over her.This film also will open your eyes to what really went on during the south during the civil rights movement. For my generation I do believe this film needs to be watched and understood and after watching this movie I started asking my parents who were just barely teenagers at this time lots and lots of questions. And I also want to read the book. Racism still goes on today though not as big as it was back then. I invite you to watch this movie, your eyes will be opened and you will enjoy it too. You will get an appreciation that we are all people and that You is kind, You is smart, and You is important.10/10 for The Help",True
8,9,"A Must See, Oscar Worthy film",facebook-124-955845,n/a,15/08/2025,"Recently the other Dude and I were discussing that not many award worthy movies come out during the summer; then I see The Help. To say it is not a story that I am normally interested in would be an understatement. I wasn't around during the time of segregation to fully appreciate the depth of this story. Additionally, if there was ever a movie that screamed ""chick flick"" it would be this one. In spite of that, I've heard wonderful things about the book and decided to view the movie. I'm happy to say that I'm glad that I did. Virtually unknown director Tate Taylor put together a cast of relatively unknown actors and actresses that truly made the story go.Taylor, whose last movie was the little seen Pretty Ugly People, grabbed a familiar actress to join him in making The Help, Allison Janney. Other than Janney the only other familiar actresses in the movie are Cicely Tyson and Sissy Spacek. The rather unknown cast has a fresh feeling on the story and there are no preconceived notions based on a past actor or actresses work. That being said Emma Stone (Easy A), and Viola Davis had a true coming out party in The Help. Both women played fantastic parts, which really made the cast mesh nicely together. Bryce Dallas Howard, Octavia Spencer and Jessica Chastain were all spectacular in supporting roles alongside Stone and Davis.When a movie doesn't have the explosions, crazy action or crude humor that we've become accustomed to seeing in newer movies there has got to be a great story attached in order to maintain your interest; The Help had that great story. There aren't many movies that have you laughing, crying, or getting angry and end up still being fantastic and that is where this one had me. With my common rule of no movie should be over 2 hours unless it is special; this one is very special. I would be surprised if there aren't a number of nominations coming.Children: If they can handle a lot of dialog it is age appropriate for 10+ Award Worthy: YES! Nominations for: Best Actress, Best Supporting Actress, Screenplay, Picture, Director Entertaining: Yes Summer Movie Grade: A+ Is it Worth the Price of a Movie ticket: Yes Would I watch It Again: YesVisit our site at www.twodudereview.com",False
9,7,Disney's Help,littlemartinarocena,n/a,15/08/2025,"Lovely performances makes this far too clean and neat story, not merely palatable but enjoyable. We know by now that the plight of the ""colored"" in the South wasn't that clean cut or gentle in any way or shape. Here we can sit and watch discovering the depth of he ordeal in the wonderful face of Viola Davis. But, it all remains in the mild margins of the real story. Entertaining yes but I couldn't forget documentaries of the period or ""The Long Walk Home"" with Whoopi Goldberg and Sissy Spacek. Sissy Spacek is in ""The Help"" too and she's very funny. It also shows Bryce Dallas Howard under a new light. The bitchy, almost evil light. She's better here than she's ever been. Emma Stone is lovely and the wonderful Allison Janney in a disturbingly recognizable character raises the film to unexpected levels. I felt the film was too long and too careful not to offend anybody and that's were its weaknesses lay. But, I do recommend it.",False
10,9,Not what I expected.,xJags,n/a,15/08/2025,"The Help is set in the 1960's where colored people had little to no rights and mainly focuses on the colored maids working for the ""white"" people.I didn't really want to see the movie but it got great reviews so I decided to check it out. I must say this movie was quite touching and very well done.The cast is excellent with award worthy performances from Viola Davis, Emma Stone and Octavia Spencer - the main cast. The acting was amazing and there was great chemistry among the respectful classes of people in the film ( the whites and the blacks).The script was well written and I love the balance of comedy and drama. There are some intense scenes however the comedy makes the movie more enjoyable rather than just a movie to make you feel sad all the way through. There was a perfects balance there and I loved that. The film also took you on a roller-coaster of emotions. Sometimes you were sad, extremely happy, angry or laughing. Its also one of those movies that can hold your interest from beginning to end.With great performances, a brilliant script and a film so touching and inspiring, The Help is definitely a must-see!",False
