Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,The Scam: Risks/ Rewards,investmentsew,n/a,16/08/2025,"SpoilerThe Highest of Stakes is a new look at the world of crypto & the fast pace of its growth and hard to believe claims of wealth & independence. Richard Heart & his creation HEX, which he portrays as the better Bitcoin, is the focus of this documentary. Brought to life by the Emmy Award winning team of Patrick Moreau & Grant Peelle.The stories of investors & unique personalities are woven in with the investigation of HEX & it's founder by professors from DePaul University.It would be easy to say that Richard Heart is the leader of a cult, and that his ""Hexicans"" hang on his every word. However, the origins of leading characters in this documentary show that they became believers after first being involved with Bitcoin & other investments, and had deliberately approached HEX based on their past experiences.Pacing at times felt uncomfortable, especially when the implications of betting ""the house"" vs small incremental investing was unfolding. The prospect of getting this right excited me, and I only wished more of the actualization of success was explored.The investigation & face to face with Richard Heart revealed a flamboyantly confident man who appeared at times as the world's best salesman, as well as the world's most driven person who wants to change the world. Challenges from Heart to consider traditional financial investments in contrast to Crypto caused me to question which is the real scam?The question is left up to the viewer to determine, but with an obvious hook to expect & want a sequel to explore more.Very enjoyable documentary, a solid 8/10 that some edits could improve.",True
2,8,HEX is not a cult,DavidIPH,n/a,16/08/2025,"SpoilerWell produced documentary with a compelling story.As a holder of HEX and other Richard Heart cryptocurrencies, however, I didn't like how Heart was portrayed in this docu as being regarded as a 'God' figure by those who hold the cryptocurrencies that he has invented, and that HEX is some kind of 'cult'. I respect him and am grateful for HEX and Pulsechain but absolutely DO NOT worship him as a 'God', and do not care for the cringe-worthy and obnoxious flaunting of material wealth marketing gimmick that he persisted with to try and garner attention to his products. This was all an act which he mercifully has since decided to ditch in favor of being ""more humble"". The economics professor in the documentary mentions that some of the professionals that he has talked to have looked at HEX and regard it to be a legit product, but that they simply 'dont like the optics' of Heart behaving like a clown. Neither do I.I also DO NOT feel that HEX is merely a cryptocurrency token belonging to some wacky cult. A community has built up around Heart's products and folk are entitled to be enthusiastic and passionate about them. Calling HEX a cult (as multiple folk do in this docu) is a major stretch of the imagination. To my mind, and in the minds of many others who hold these products it is all about the design of HEX, the quality of the code, and how HEX is simply a superior cryptocurrency to Bitcoin, and Pulsechain is a more cost efficient and faster blockchain to run HEX on compared to the Ethereum blockchain. I, like many others, believe that there is genuinely still huge potential for outsized profits to be made relative to the those of Bitcoin or Ethereum as both HEX and Pulsechain are still so young. Where else am I gonna better protect myself against the effects of inflation? FIAT cash? A bank savings account? Bonds? Precious Metals? The stock market? None of these will outperform HEX, PLS or PLSX over the next few years in my opinion.One final thing regarding the subject of 'value', which was brought up by the economics prof in the documentary. There are different ways to measure value but to my mind the most important is the 'perceived value', and at the current HEX, PLSX and PLS prices I personally perceive them all to be significantly undervalued.Looking forward to a sequel documentary a few years from now.",True
3,10,Wild ride!!,elburrosabe,n/a,16/08/2025,"This documentary does a great job of showing the roller-coaster of ups and downs in crypto! Very entertaining while exposing the truth of the good and the bad!Seeing the euphoria of believers when things are up, and almost unreal success followed by the reality of the downside that follows was intense. There was something for everyone, believers and skeptics alike.They did a great job of telling the whole story of just how wild crypto can be, but also how powerful it can be. It seems like cryptocurrency is something worth taking the time to research and get right. There are definitely some colorful characters out there. Lol.",False
4,10,The Best Crypto Movie Ever Made !,brodawielki,n/a,16/08/2025,"Fantastic movie! Really well made! Showed two different sides of crypto! Great movie for people who might not know much about crypto but want to get into it! Highly recommend as I was entertained from beginning to end! This documentary about the Founder of HEX (crypto) & PulseChain (blockchain), Richard Heart, had a bit of everything. The cinematography was wonderful, the music was great, and the film looked at Richard/HEX from all sides. The skeptics asked great questions, most of which were addressed in the film, leaving the viewer with enough information to make his/her decision about the cryptocurrencies. Richard himself is the perfect ""character"" for such a film, as his fortune, personality and intelligence are on full display for the audience.",False
5,n/a,Scammers will scam,n/a,n/a,16/08/2025,"The fact that Hex followers have often been described as a cult and that almost every review of this film has rated it a ten, should tell you everything you need to know about the reviewers. There is currently only one review out of over fifty that rates this film as less than a ten and that's at an eight. There are very few films that really deserve a ten rating. Any film that has anything to say will have some people who love it and some who hate it. So it's pretty obvious the ratings are being manipulated and that it's really just a ninety minute infomercial for Hex.The film consists mostly of talking heads hype people for Hex who call themselves Hexicans including the scam leader himself Richard Heart bragging about not only Hex, but his big dick, cars, high IQ, ability to predict the future, and world's largest diamond. You'll see other reviews claim the film is balanced because they interview one couple who lost money in comparison to all the others, some of whom are hyping Hex and PulseChain even though they lost money as well. That's not what any normal person would consider balanced.In addition, there's several scenes about midway through that look completely staged. One where Heart is supposedly at a meetup in Denmark at which people in the audience asking questions and they cut back and forth to Heart in front of a red curtain answering questions. The lighting and sound give the impression these weren't even filmed at the same time in the same room, as if the questions were filmed and then Heart was filmed later after he thought up cute funny answers. Cue the canned laughter. Then there's another scene with Heart at what appears to be an estate surrounded by blonde debutante investors drinking wine and dancing with hula girls while making his pitch. No explanation of who these rich blond potential investors are is ever made.Without any spoilers to how the film itself ends, it's pretty easy to look up on the internet how Hex and PulseChain are doing now. Hex reached its height in Sept 2021 at .478 and is currently, at time of this review, at .0005 and Pulsechain has been at zero since May. Richard Heart is currently being sued by the SEC.I truly hope no one reading the reviews here or watching the film gets taken in by the hype.",False
6,10,Presents both sides of the coin,yatest-33844,n/a,16/08/2025,"To those who say this is a propaganda piece, they're proven wrong by the documentary following skeptical voices and showing someone who invested around $100,000 and it went down to around $30,000 by the end and his wife was furious and believes they will lose all their money. Richard Heart is entertaining to watch and he presents really good points. One being that you should look at the number of people who are invested now and compare that to how many will likely be invested in the future. Cryptocurrency is a speculation game and this documentary captures both the highs and the lows of that. Hight risk, high reward. If you believe that this is just pro-HEX than you weren't paying attention. A hype bubble that inflates and pops over and over again doesn't make something a scam. It just means you need to exercise caution.",False
7,10,Great production quality and fascinating,richbettencourt,n/a,16/08/2025,"The Highest of Stakes is a fascinating documentary that takes viewers on an inside look at the world of cryptocurrency and the man who is trying to revolutionize it. Richard Heart is the founder of HEX, a cryptocurrency that he claims is the future of finance.Heart is a polarizing figure, but he is also undeniably charismatic. He is a gifted marketer and a master of social media, and he has used these skills to build a large following of supporters.The Highest of Stakes does not take sides in the debate over Heart and HEX. Instead, it presents a balanced and objective look at the situation. The film does not shy away from the controversy, but it also gives Heart a fair hearing. As a result, it is an informative and entertaining documentary that provides viewers with a unique perspective on the world of cryptocurrency.Here are some of the things that I liked about The Highest of Stakes:* It is well-researched and informative. The filmmakers did a great job of explaining the complex world of cryptocurrency in a way that is accessible to a general audience.* It is balanced and objective. The filmmakers did not take sides in the debate over Heart and HEX, and they gave both sides a fair hearing.* It is entertaining. The film is full of colorful characters and interesting stories. It is a must-watch for anyone who is interested in cryptocurrency or the world of finance.Overall, I thought The Highest of Stakes was a great documentary. It is informative, entertaining, and balanced. I highly recommend it to anyone who is interested in learning more about cryptocurrency or the world of finance.Here are some additional thoughts on the film:* The film does a good job of showing the risks and rewards of investing in cryptocurrency. Heart is very open about the fact that HEX is a risky investment, and he encourages people to do their own research before investing.* The film also explores the potential for cryptocurrency to revolutionize the world of finance. Heart believes that HEX is the future of money, and he argues that it has the potential to make financial transactions faster, cheaper, and more secure.* The film is ultimately a cautionary tale. It shows the dangers of investing in something that you do not fully understand, and it warns people to be wary of get-rich-quick schemes. However, it also shows the potential for cryptocurrency to change the world for the better.",False
8,10,Awesome Documentary,jesusmvp,n/a,16/08/2025,"I Loved it. It was a Great Documentary if people have an idea of how big blockchain is as a technology that replaces middle man, legacy financings systems and improves it by many folds and much more... people will pour in all the liquidity of dollars into this... specially Richard Heart's products all of it.. thanks for this special documentary... this is History in the making... I personally find this to be very educational as well with Pulsechain being a big help to Ethereum like a second layer but much independent and much better, it's pretty astonishing how all this blockchain tech works..",False
9,10,Watch This Movie If You Want To Dive in Crypto World!,julianespinalna,n/a,16/08/2025,"""The Highest of Stakes"" offers an engrossing exploration of the world of cryptocurrency and Richard Heart. With its accessible approach to complex concepts and its balanced perspective, the documentary is poised to appeal to both crypto enthusiasts and those seeking to understand this rapidly evolving landscape. By shedding light on the people, controversies, and innovations shaping the crypto world, the film leaves audiences pondering the potential and risks of the highest of stakes in the world of finance and technology.Great movie for people with no knowledge about crypto world. Richard Heart is truly Cypherpunk, there are few, and I never see one dare in public like him.",False
10,10,The Movie They Don't Want You To See!,doaliveit,n/a,16/08/2025,This documentary was better than I expected. How do you push through the noise and get a new technology in front of the masses? Richard Heart shows you how! This crypto documentary is better than any other one I've seen thus far and shows people what cryptocurrency is and how it can impact the world in a positive way. They were able to break it down so anyone could understand it and this isn't one of those low quality boring documentaries. This was filmed and directed by a Grammy award winning crew which takes this documentary to a new level with entertainment and keeps you engaged the entire time.,False
