Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,The Long Rider,BandSAboutMovies,n/a,16/08/2025,"SpoilerFilipe Leite - who shot most of this footage - leaves behind his adoptive home of Canada to travel from Calgary all the way to Brazil riding his two horses Frenchie and Bruiser. He's following a trail inspired by Aimé Tschiffely's 1925 equestrian journey that will take him eight years to travel as he adds up 15,000 plus miles across twelve countries.The travels were supposed to be shorter before the trail inspires Fellipe to go even further. Along the way, he deals with bad weather, corrupt border patrols and horrific weather conditions, all so that he can make the journey to his destination and then head back home, alone on the trail.Filipe is a world-renowned Long Rider, an award-winning journalist and a best-selling author of Long Ride Home and Long Ride to the End of the World. He's also the youngest person in the world to cross the Americas on horseback, an accomplishment celebrated by two statues of Fellipe being displayed in his native Brazil.The Long Rider was directed by Sean Cisterna, who also made Blood Creek, War of the Dead and Kiss and Cry. This is an interesting idea for a film and quite the story. Trust me, I don't think I could do what Fellipe has done.",True
2,10,An epic journey,tamsyn-matthews,n/a,16/08/2025,"A beautiful and inspiring film. I love horses, so was bound to love this, but I think it would appeal to a wider audience than just horse and animal lovers. It ticks so many boxes; travel through stunning countries, restores your faith in humanity, romance, human kindness, triumph in the face of adversity, proof the love between humans and animals, the list goes on. The content seemed to be largely filmed by the rider himself, and some taken from news footage gathered in the places he stopped. He met some incredible characters along the way, was shown so much kindness and given so much help by ordinary people. On the flip side, he was shown the opposite by greedy bureaucrats at the border controls. I cried happy and sad tears, and some that were a mixture of both, was totally absorbed in the story, and the uplifting ending was a perfect finish to an epic journey. I'd rather watch a real and inspiring story like this, to a bunch of CGI blue aliens running around any day!!",False
3,10,SUPER INSPIRING!! MUST WATCH!!!,Beenie1980,n/a,16/08/2025,"This is such a super beautiful film filled with tons of different feelings in it... I am planning my own long ride through Europe as well as opening a ranch along with a long rider station/stop over, equine school, guest ranch, saloon and boarding. This film inspired me even more and strengthened my wish to make my dream come true! I couldn't help it and had to send Filipe a message! He's such a beautiful soul!!!I couldn't stop watching his film and after a few days I am still thinking about it. So wonderful of Filipe of sharing his moments amd experience with all of us!! Thank you so much!!!Beenie1980 and her horse Rachel.",False
4,10,A Definite MUST WATCH,rjbcbc,n/a,16/08/2025,"A terrific must watch documentary!! I hardly ever watch a spur of the moment documentary let alone write a review. I was born in Calgary and grew up in Southern Alberta in an area Filipe rode thru. Long Rider show the trials and tribulations of planning, preparing for and carrying out such an arduous journey. The people and the places along the way with some of the most beautiful scenery you will ever see. Look at the awards won most are Audience choice awards not critic awards. The film shows people of each country he travels thru. The GOOD The Bad and The UGLY. Take an hour and a half out of your schedule and watch this worthwhile movie.",False
5,10,Loved it!,jamieroxxartist,n/a,16/08/2025,"A Fantastic Documentary! I LOVED it! I don't want to give anything away, but it sure did have me on the edge of my seat at times. Whoa! Fantastic! Just Wow!",False
6,10,I'm still crying,karenwill-45812,n/a,16/08/2025,"I watched this heartfelt documentary last night and I'm still crying! It was so emotional, I never expected it. I thought it was going to be a film about horses and adventure, but it's about so much more. I'm so glad my sister told me to watch this documentary! It made me think about my entire life and my dreams. Very inspiring!If you have not seen it yet, do yourself a favor and watch this movie right now. It will not disappoint, trust me.I will now read the books this young man has written because there's so much I want to know.I give it 10 stars!!!Thank you for making this film and sharing it with us.",False
7,10,AMAZING DOC!,horseidght,n/a,16/08/2025,"I watched this film this past Sunday at the Brazil Film Fest in Toronto and it was wonderful. I still don't know why, but it was so emotional. I cried so many times!Congratulations to Filipe and the team who worked on this documentary. I wish all young people had to watch this in school. It would help point teensin the right direction. Allowing them to see what it takes to live ones dreams.I will be telling all of my family and friends about THE LONG RIDER and sharing the amazon prime link with them.I give this film 10 stars out of 10. I'm inspired to go after my own dreams now! Something I hadn't felt in years.",False
8,9,Outstanding achievement!,latinfineart,n/a,16/08/2025,"This is a really excellent movie, a great story of courage, strength, conviction, perseverance, and the ability to pull off something that is rather incredible, and almost superhuman. A really great tale about humanity, about geography, and about the the positive side of human kind. Though it does delve into some territory that's plagued with trafficking and what not, it still maintains a positive note and is a tribute to the Latinos who deal with the nonsense every day.Nothing but kudos to the entire team and the filmmakers for this project, and a special shout out to Felipe who was beyond extraordinary. A man who had the good fortune of having a wonderful family who supported him all the way, and when it comes down to it, it doesn't really get any better than that in this lifetime.This is a particular important film for Americans who do not have a passport and have never left the country.",False
9,10,Life Changing Doc,emilyshannonw,n/a,16/08/2025,"""The Long Rider"" featuring Filipe Leite is an awe-inspiring documentary that embarks on an incredible equestrian journey spanning from Canada to Brazil. This film is a visually stunning and emotionally gripping testament to human resilience, the bond between man and horse, and the power of pursuing one's dreams.The documentary captures the breathtaking landscapes and diverse cultures encountered during Leite's trek, showcasing not just the physical challenges but also the emotional and spiritual growth that comes from such an extraordinary expedition.What sets this documentary apart is its authenticity-Leite's candid storytelling and his profound connection with his horses, Frenchie and Bruiser, create an intimate and captivating narrative. Through encounters with people along the way, the film emphasizes the universal language of kindness and camaraderie.With deliberate pacing, stunning cinematography, and a compelling musical score, ""The Long Rider"" immerses viewers in the emotional rollercoaster of this incredible journey, leaving them inspired and moved by the indomitable human spirit.In essence, this documentary is more than just a tale of a man on horseback-it's a testament to determination, the bond between humans and animals, and the fulfillment that comes from chasing one's dreams. ""The Long Rider"" is a must-watch, offering an uplifting and unforgettable cinematic experience.",False
10,10,Enjoy your jouney!,melpsilva-73731,n/a,16/08/2025,"Everyone has their own journey in this world. Understanding what our limits are, being flexible in the face of obstacles that arise and knowing how to learn from each one of them is what makes everything so incredible!The film The Long Rider shows Filipe Masetti living all of this to the extreme and moves us to never want to give up. He had to review the arrangements, the routes, be patient and perseverant. But his goal never changed, and he kept going.Whatever obstacles arise this week, move forward. And if you need a safe stop, water, a ride or someone to talk to, call me. I will be delighted to be part of your journey.Thank you, Filipe!",False
11,10,"Motivational, Inspiring Story of a True Cowboy Adventure",imdbfan-7610282121,n/a,16/08/2025,"I cannot say enough good things about Filipe's documentary! What an inspiring and beautiful story about a true cowboy adventure full of excitement, emotion and the western lifestyle. The story of Filipe's journey keeps you hooked throughout the entire film and it showcases not only Filipe's tenacity, love and strength, but those of the incredible animal, the horse.A wonderful film for horse lovers, thrill seekers, adventurers and everyone in between. We actually showed this at our annual convention for my job and a room of 150+ people were entertained and hooked the entire time! These were all folks in the western and horse industry and they were so impressed by the film, storyline and Filipe himself.I recommend it to anyone I can!",False
12,10,Amazing documentary!,taisnara_nascimento,n/a,16/08/2025,"I watched it twice and cried both times. How not to cry?The story is full of courage, bravery and inspiration. Filipe shows us that when you want something, with a lot of determination and focus, we can achieve it. Contrary to the people who disbelieved.For horse lovers, it's quite a story. His love for horses and adventure is clear. Even I, who had never ridden a horse, felt the urge to take a horse and go out into the world.After all, it's on my favorites list: a documentary like this cannot go unnoticed. The journey touches us and makes it feel like we are riding with him.Looking forward to the feature film now.",False
13,10,It should have been 2 hours longer,imdbfan-4640068748,n/a,16/08/2025,"I loved following Filipe's journey. Cannot believe all that he went through! Wow. Incredible story, footage and message. I especially liked the focus on the horses and their impact on Filipe. It's remarkable to know that he did all of the planning/coordination for the trip, the filming, and the riding. Such an inspiration as a journalist and overall human being.It was also moving to see the closeness he has with his family, the bond they have with one another and the goodness of their hearts. It really radiates through. I will definitely be watching The Long Rider again and hope there is a sequel and a prequel!",False
14,10,Unforgettable Experience,jesusmariacarlos,n/a,16/08/2025,"The Long Rider is an absolutely captivating documentary that takes you on a profound and visually stunning journey. The film follows Filipe as he embarks on a long-distance horseback ride across the Americas, showcasing not only the beauty of the landscapes but the resilience and spirit of those who live in and navigate them.What truly stands out is the documentary's ability to weave together breathtaking cinematography with deep, personal storytelling. The raw emotion and determination of the rider resonate throughout, drawing you into the journey both physically and mentally. It's not just about the miles traveled; it's about the lessons learned, the people encountered along the way, and the introspection that comes from the solitude and hardship of such a monumental trip.The pacing is perfect, offering moments of quiet reflection alongside the excitement of new discoveries. It's inspiring and thought-provoking, leaving viewers with a renewed sense of appreciation for the beauty of the world and the strength of the human spirit. Whether you're a fan of adventure, nature, or personal growth stories, *The Long Rider* is an unforgettable experience that will stay with you long after the credits roll. Highly recommend!",False
