Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,An absolutely incredible film!,NRGWasp,n/a,15/08/2025,"Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.Now about the omissions and alterations. I'm not a crazed fanatic who gets worked up over every little detail. I didn't mind Arwen's inflation and I'm actually glad Tom Bombadil was scrubbed (I felt Tom Bombadil was an unnecessary addition to the book). Despite these minor changes, the screenplay stays extremely close to the book and flows very very well (and the prologue was a nice touch).The acting was flawless. As I've read many many times in other reviews, McKellen doesn't play Gandalf, he IS Gandalf. Wood, Mortensen, Holm, Astin, everyone was fantastic. My hat's off to Sean Bean who delivers an excellent performance as Boromir, a character who's intentions are good but wrestles with the corrupting power of the Ring. Bean portrays it VERY well. Oh, and Andy Serkis does a PERFECT Gollum voice. It's EXACTLY as I imagined it myself.The special effects were incredible, the cave troll, the balrog, Gollum, and Sauron's Eye all looked amazing. I was also very impressed by the seamless shrinking of the vertically challenged characters.What's wrong with this movie? I have no idea... I thought everything was perfect. MY biggest gripe is having to wait an entire year to see The Two Towers!",False
2,10,"The Fellowship of the Ring:  Not just a Movie, but the Door to another Dimension",bonnie91,n/a,15/08/2025,"The first part of the Lord of the Rings trilogy, the Fellowship of the Rings opened the door to a whole new world for me. I'd never read any of Tolkien's books when I saw the film for the first time at the theatre and, now that I've read them, in retrospect I think being a neophyte to the mythology made my LOTR movie experience all the more miraculous.I loved The Two Towers and Return of the King almost as much as FOTR, but not quite, because seeing Fellowship for the first time was like taking a journey to a fabulous new place and meeting incredible new friends that you don't want to leave. I've never felt anything quite like what this epic evoked in me. It was akin to being a child again, with that tireless sense of wonder and enjoyment of each and every moment, maybe because as a child you are discovering your surroundings, and whatever age you are, when you watch the Fellowship of the Ring you are rendered in awe upon being introduced to the purity and beauty of Middle Earth and darkly enthralled by the majesty of Eisengard, Saruman, Sauron and all of their mighty malice. One of the things that makes this movie so special (and there are so many!) is that you fall in love not only with the ""good"" characters, but also with the ""evil"" ones. For example, Christopher Lee was amazing as Saruman, and I can't imagine the movie without him.Some films that might be comparable to the Lord of the Rings trilogy are: The Fifth Element, the Star Wars Trilogy parts IV, V and VI (forget the newer prequels), the Matrix trilogy (especially the first part), Interview with a Vampire, the Legend of Sleepy Hollow (with Johnny Depp), Logan's Run and The Island. They are all excellent movies and works of art that weave that movie magic that keeps you spellbound and entranced for the duration of their runtime.But after seeing The Fellowship of the Ring, I knew I had found the movie by which I would judge all other movies. Based on J.R.R. Tolkien's beloved books, Peter Jackson has set a new standard in the industry of cinema, one that I honestly think has not and won't be surpassed, at least not in my lifetime, not even by PJ himself.It is truly an instant classic that will stand the test of time and be loved by generations to come. God Bless Tolkien and Jackson and everyone involved in the conception and making of this film, for creating a world that is at my fingertips, only takes the touch of a button to go to whenever I want, and makes me forget everything else.The LOTR Trilogy is undoubtedly MY precious, the non plus ultra of all movies!",False
3,10,Thank you Mr Jackson,adamscastlevania2,n/a,15/08/2025,"(95%) If the late 70's early 80's had the Star wars trilogy, then the 2000's had this epic fantasy masterclass. Regardless of whether you're a fantasy fan or not this is too good a movie to simply pass up, and it will be one of those movies that given time will prove it to be a classic. The deeper you look into this the more one notices that every single aspect really is a truly impressive accomplishment. The fact that every single sword used by the main characters was made by hand, with extra ones made only for carrying, fighting, etc, then there's the costumes/armor/props all made by teams of many people. They even made artificial trees for gods sake. But really all those things are just extras, what really makes this a unique watch is that it really does feel huge and sweeping, the sense of scale is fantastic and I can't think of anything that even comes close to matching it. What every epic flick needs this has, the cast is great, it's exciting, it has bags of character, it's funny, sad, superbly well made, with a great score and plenty of action. It's also one of very few 2 hour 30 minute + movies ever that leaves the audience wanting more. Since watching it around Christmas 2001 at a packed out cinema, and the many times I've seen it on DVD since, it never fails to impress and charm. All in all near perfect cinematic treat that keeps on giving.",False
4,10,How the hell did they film this thing,mosquitobite,n/a,15/08/2025,"An incredible feat
Enthrals anew every time
Cannot believe its two decades ago
Love it so much",False
5,10,Masterpiece,mfellipecampos,n/a,15/08/2025,"SpoilerIt took me a while to watch this film (2020), but it was the best I've ever seen, it is just fantastic, it needs no praise, I dare say that the Lord of the Rings trilogy is the best cinematographic work ever produced by mankind. Perfect.Film seen on August 8, 2020.",True
6,n/a,Wow!,n/a,n/a,15/08/2025,"Breathtaking.  Unique.  Captivating.  Enchanting.Within minutes of the start of this first chapter of an undeniably epic trilogy, the audience was left gasping at the intensity of the images on the screen.  And we had nearly three hours to go.The scope of Tolkien's masterpiece may have eluded film-makers for decades, but director Peter Jackson makes good on his promise: he has not only brought us the tale of Frodo and his bold companions, he has brought us Middle Earth.  And believe me, it is BIG.  Sweeping vistas and hang-onto-your-seat camera shots send us zooming through the towering cities and citadels of Tolkien's imagination.But even more impressive than the stunning visuals and sound-effects-like-you've-never-heard-before are the actors who breathe life into the characters.  Ian McKellen's portrayal of Gandalf is nothing short of awe-inspiring, and Elijah Wood's Frodo is one of the most unexpectedly captivating performances I've seen in a long time.  The despair, terror, and determination of the Fellowship is all there, in spades.  I left the theater aching...from tensing every muscle during the fight and flight sequences--the breathless and compelling kind we haven't seen since Spielberg gave us a desperate charge onto the D-Day beaches of Normandy.Those unfamiliar with Tolkien's world may quickly find themselves lost in it, but happily so.  The depth of his creation cannot be grasped in a few hours, and it doesn't need to be; the struggle of good against evil explodes on the screen, and leaves little room for complaint.The movie ended with a stunned audience sitting on the edges of their seats, feeling somewhat bereft.  We were exhausted, but no one wanted to wait a year for more.Jackson's ambitious first chapter is truly unlike anything you've seen this year.  George Lucas and Chris Columbus take note: this is how you deliver on a cinematic promise.For everyone else: don't you dare miss it.",False
7,10,"First, And Still The Best Of LOTR",ccthemovieman-1,n/a,15/08/2025,"Here is one film that lived up to its hype, and by the time I saw it after it had arrived at the video stores, I had heard and read a ton of things about it, and seen all the awards it had received, and expected a lot. To my surprise, it did not disappoint.Now, several years later after having watched all three of these ""Rings"" films twice each, I still think this first movie of the trilogy is the best. It is a truly spectacular adventure story all the way through, probably the best ever put to film...and the first three hours of it is extra special. The following two films were very good, to be sure, but this first had a better mixture of the story. The second and third movies were almost entirely Frodo and his allies' long journey, but the first half of this movie also gives a good bit of interesting introductory material including a number of scenes at the Shire, before the long adventure starts. If you watch all three of these films consecutively the action wears you down by midway through the final episode and it almost becomes just too much That never gets a chance to happen with the ""Fellowship"" film.Anyway, ""Fellowship,"" stunned me for the visuals alone. I can't recall any film that has so many jaw-dropping scenes, one after the other, for three straight hours. Some are beyond description, and I don't care if they are computer- generated. So what? The fact is they are awesome to view, both in beauty and in staggering action scenes that feature incredible-looking monsters and other mythical characters.The story covers all kinds of terrain, too, from the lush Shire of the Hobbits, to the harsh neighboring landscapes. Each couple of minutes, as in the two movies that followed, scenes radically change from calmness to action, adventure to romance, sweet lovable characters to hideous monsters, on and on and on. It's an incredible movie experience.",False
8,10,Great,0U,n/a,15/08/2025,"It is my firm belief that the standard versions of The Lord of the Rings should be jettisoned in favour of the extended editions universally. Sure, the near 4 hour runtime is a tad steep, but for an absolute masterpiece like this, it's work every second and the first act of undoubtedly the best trilogy in cinematic history!",False
9,10,Never before in my life were my cheeks more aching...,Nachtritter,n/a,15/08/2025,"...but oh was I thankful for it!!! All through the movie I kept on having this big large smile sculpted into my face. For the record, I'm 25 years old, and I've read ""The Lord of the Rings"" in three times for the first time when I was six or seven years old. Ever since then, I read it at least once or twice a year - therefore you can count me as a fan, for I follow the same cult fan procedure with ""The Hobbit"" and ""The Silmarillion"" as well. Now onto the movie... Gosh, I saw it more than one time, and I keep wanting more of it. It just never gets boring! I really enjoyed the little stuff that is found throughout the movie for fans of the books (the map on Bilbo's table in his house comes to mind, it is exactly as the one in ""The Hobbit"" book that I own), and I also incredibly enjoyed the intro sequence with the re-telling of the battle against Sauron from the Silmarillion, never has an ultimate evil being been so well depicted on the screen. It truly is Sauron.Those who argue the movie cuts too many parts or that it changes the story too much are totally wrong. This movie could not have shown the whole first time in its entirety - keep in mind that the audiobook version of 'Fellowship of the Ring' lasts well over ten hours, making a movie this long would, well, make it way too long and besides, how would you financially sustain such a project? I've read a reviewer saying he'd make all three books with the time allowed for the first movie alone. I think it would be a very fast-forwarding experience of a movie with 'Alvin and the Chimpmunks' kind of voices, incredibly stupid to say the least.Ok, so there are changes in the movie - well, this is Jackson's vision of it. All of us have our own visions of the books, which may or may not be compatible with that of Jackson's, but I can safely assume that nobody can say they have a hundred percent the same vision of the story as Tolkien; that's the thing with books: each reader has a different vision of it. As for me, I was blown away. Never before have I felt so much at home in a movie, it is as if I had taken a walk in the town where I grew up, the Shire, Rivendell, Moria, Lorien, everything felt so much like home, I was moved. I cannot tell of another movie that had me shed tears just by seeing a landscape on screen.As for the changes, well, I found good reasons behind all of them, and let me tell you right away, I was happy that Arwen saved Frodo, yes, maybe coming from a fan it will look like absolute heresy, but I enjoyed the scene a lot. I did not enjoy it because it was supposedly politically-correct to do so, or that I find Liv Tyler to be absolutely attractive; it was just because I felt like even though it was a big change from the book, it was a very good one indeed, it makes you discover the power, determination, and courage of elves and the fact that even elven women, although great in their beauty and seemingly fragile in appearance do not have anything to envy to their male counterparts. And beside, as Arwen is to become a Queen later on, it was pretty good to see her have a great first appearance.The actors were great, they were a lot into their characters, and for the first time, I saw elves as they were, quick, agile, terrifyingly effective in battle - just look at how Legolas dealed with the hordes of enemies without a single hint of fear in his eyes - these are elves as they should be. Gimli was great too, I know people seem to think many characters were not developed enough, but by the actions you can learn a lot. With Gimli a lot can be learned about the dwarves, their pride, deep sense of honor and family, their mistrust of elves, their love for strong beer and a good fight against anything bigger, and their sheer hatred for orcs and the likes. Aragorn was totally the ranger character, the ending scene as he walked toward the horde of Uruk-Hai warriors was great, his attitude, his clothes, everything about him just cried ""ranger"". Boromir was very well depicted, desperate to save the people of Gondor, by any mean necessary, robbed of all hope, yet in the end he redeems himself by showing his true valour, deep down, he's willing to die to defeat evil, and when he recognizes his king in Aragorn, on his last breath, I felt like watching a hero die, it was moving. The hobbits were all great, Frodo is deeply sad and fatalist, and Sam is just the 'best friend' everyone would like to have, just as it should be. Finally, we have Gandalf, quite frankly, he looks mighty, Ian IS Gandalf. The faceoff against the Balrog in the Moria is a memorable sequence, and just shows how strong he really is, to be able to vanquish such a foe. I can't wait for his return.Quite frankly, I can't wait for the two other movies... In the meantime, I'll watch this one over and over again. This movie has everything that a good movie needs to have, and more. Plus, it just might bring more people to actually read books that have more pages than the average little 25¢ novel that has no value in it, which is great. Parents, maybe some scenes will frighten your kids, but this movie has almost NO blood (even though it has a good share of battle) and the foes are undeniably evil, plus it has good values in it - friendship, courage, responsiblity, sacrifice for a good cause, and the belief that anyone can help to change things. This is worthy of Tolkien, this is a movie that will go down in history as being one of the best ever, for sure.",False
10,10,I will bring this experience with me for the rest of my life.,Koola,n/a,15/08/2025,"Spoiler***SPOILERS***   ***SPOILERS*** Today is my birthday. Honestly, it is. It has been a beautiful week. Actually, it has been more than beautiful. The first snow has slowly covered our trees, the cool winterair has boldly taken over the days and nights in Norway. Beautiful. Well, actually, it has been more than beautiful. But what is `more than beautiful'? Today it was the point where a touch of evil was added to the beautiful. And with the evil and the beautiful comes. well, you know where I am getting at. A thrilling adventure, ancientic tale-greatness, monstrous experiences and totally - with no doubts whatsoever - the one film to rule them all. And in MY MIND, bind me. to this film, this book, forever. From heart of someone who has not read the book, nor have any interest in Tolkien, but loves cinema more than anything in the world. this is one of my, if not THE, all-time cinematic moments.Norway is a small country. And for the small country - only one press screening of FOTR. A small bit about me. I love film, and work as a filmjournalist here in Oslo. Therefore I attended this press-screening. My relation to LOTR is quite simple. Have not read the book, but have been covering the developments of the films. And by that, I have grown a huge interest for the project. Enough now. I HAD AN URGE TO REVIEW THIS MOVIE. Because it is beyond anything I could expect, want, crave, imagine, desire, feel, anticipate. This is unimaginable. And when you see it. I found myself crying of nothing but admiration 2 minutes into the prologue (shiveringly spoken by Blanchett). It shows this dark lord, Sauron, and tells a the fascinating story of The One Ring. Now, excuse me for not being OBSESSIVELY AWARE of everything about this movie (or these books) before seeing or writing this. The prologue is nothing but a amazing sequence. Instead of going into each and every picture (frame) of this film (because I could, and there would be a lot to gaze at and analyse in every single one of them), I will say this: THERE IS SO MUCH. I was completely paralysed. I love every detail I could observe, from the complex battlescenes to the single face of mister Frodo Baggins bedazzling every single audience member. It was a fantastic experience. This review, as I can see, will turn into a not-cronologic piece, but forgive me - my thoughts are a bit hard to recollect. My mind is occupied with images that have burned hard to my iris, performances that I already love and quote. I walked out of the theater 7 hours ago.I have not read the books, as you can see. Now I have seen the first film, and a big bouldering voice tells me that I might have had this very experience many years earlier, by way of the book. But people, and I feel this is important to say, I've just read the book. I think. A 3 hour movie - it felt like reading a book. Because the film felt so massive, it has layers upon layers - in character, in dialogue, in scenery (oh, my lord, the set pieces. I have fallen in love with Lothlorien, the Shire. Can I go to these places for vacation? Will I ever have enough money to go to New Zealand? This is so bloody fantastic in this film. It is so fantastic! I run out of words (especially in my English :-). We must go on!There has been a few hours as I said to dwell on this movie now, buit it's coming to me. It's coming to me as a grandiose wave of river-water lifted by the spellbinding of Arwen (Liv Tyler looks so stylish, such a timeless beauty. Eventhough (some stupid, boneheaded) people are going to scream ARMAGEDDON when they see her the first time, they will be silent when this elf is riding away from the black riders - bravely coming the halfling to rescue.) to eliminate ringwraiths(?). IT IS SO VERY, VERY GOOD. (Oh, I love this film. I have to see it again. I need my mother to see this film, I need to pick up a total stranger on the street, offer her a ticket just to see her face when she's leaving the theatre. I may have given her a lifetime of. well, an experience for a lifetime. Do you hear that Peter Jackson? You may very well, with this masterpiece (I have been dying to call it that), been responsible for thousands of people suffering through this year.) I NEED TO SEE TWO TOWERS NOW!!!! WHAT AM I GOING TO DO!!?? READ THE BOOK? I have to know whats happens. That thing happening to Gandalf. I can't believe it. He must return. Tell me he returns. Ian McKellen is superior. He is great. He acts like if. well, I couldn't see him act. There is Gandalf in him. For sure. Well, anyway, I am off track.FOTR is very big. A big tale. But very small. I mean, big it is, but small is he - Frodo. Oh my gracious lord of modern cinema, the very man who gave Mr. And Mrs. The liberty to create the god given actor named Elijah. Nothing crazy about these sentences, but it is a holy great performance. He is feeling. He is a feeling. My back was cold throughout the entire movie. Feeling Frodo, being Frodo, hurting Frodo, bearing with Frodo. A class-act, truly enchanting, spectacular, it-is-no-good-words-to-compliment-enough Frodo. I am, as you just read, trying to verbalize my experience of Frodo Baggins. But this turns away from reviewing. You want to read about the content of the film. What I saw. Because most of you probably know the whole story, and all the characters. Well, let's go to what there is to see.I saw the Shrine. It is a very richly realistic built, sunny, green place. I loved it. But no surprises. The home of Bilbo, cornfields. and then the city of Bir? Bie? Forgot the name. All the way, amazing scenery. The fact that there is a big difference in height among the characters, but not among the actors, well that is, how do I put it, flawless. Don't know how they could pull it off, but I am impressed. As I said before, this is so throughoutly worked on and polished - every picture and frame has something more than what you see, and every character blows my mind. What can I say? I'm never this singlemindledly positive about a film, but this may very well be THAT ONE where everything seems to strike my mind and in, again, the cinematic darkness bind me. Every generation has a movie. Every saga has a. hehe, enough filmrelated quotings. Don't have to say much about this, but so that you know it: Howard Shore's score is in my cd-player, and this music is. next to my heart.Bilbo. Just what did I actually know about this Bilbo. Oh, yes he was that hobbit-guy that picked up the Ring from the creature Gollum. I have read the forewords of LOTR. But oh my god. Complexity lies hidden, it seems, in each and every character. Bilbo freaked my out. Scared me more than Gollum (`my precious' shivers still in my bones). What exactly did that ring do to him? One scene has given me the most disturbance (and if someone does not want to know, please do not read further). When Frodo reaches Lothlorien, and re-meets with Bilbo, there is screen magic. As they talk (and he looks so much older already), he gives Frodo the sword. He tells about it's magic, how it glows blue when orcs are near. Ian Holm is absolutely heartbreaking as Bilbo. Then comes a moment. It hit my spine. He wants to give Frodo the armor (what was it called again?), and Frodo begins to remove his shirt. Then Bilbo sees the ring. Oh s**t, he sees the ring. Ian Holm is magic. ""Oh, can I hold it... just for one last time..."" ""No, Bilbo, stay away"". ""IT's MINE! MY RING! MY PRECIOUS!"" It is at that point. Bilbo freaks out. Make-up is brilliant, and the scare of that moment, that scene... still won't leave my body. Not even my damn mind. And the same thing happens with Galadriel. Don't want to spoil anything but the scene with Galadriel and Frodo by the mirror (she pours water in it, and he sees ""what is to come""). THIS IS MAGIC!!!! Aaahhh. Again, and I can't say this enough, I HAVE TO SEE THIS MOVIE AGAIN. Believe me, it is THAT GOOD. The film hadn't played for long, but I began to realise. what's next for Frodo. He is now the ringebearer. Look at Bilbo. Again it strikes me.. I HAVE TO SEE THE NEXT TO FILMS NOW!!! Because there is no end to this film. Actually I couldn't believe it ended when it did. I needed more. It felt like one hour tops, but I had been nailed to my seat for 3 hours already. Amazing experience. The film have no ending, and there's evil there, that does not sleep . Now you get the picture; I love this film! I love LORD OF THE RINGS. This is just remarkable. My imagination. oh, I have no imagination. I did not, could not, imagine this. Imagine there's no people. Imagine if this film had not been made. I may have lived my life without knowing this story. All of you who read the book and hate them for turning this into a movie. Think of all of us who now have been rescued from living our lives without it. Thank you, everyone behind this film, for making it.Koola from NorwayA small PS: The fellowship. It was beautifully casted. Flawless. Gimli - unforgettable John Rhys-Davies. The hobbits - just charming to their hairy feet, and they touched me deep. Aragorn and Boromir - more than anything, believable. They are men, they have no effects or make-up to characterize them. But they are massive. They suffer, and it hurts. Viggo Mortensen is my hero. (And did you all know he is related to Denmark, my neighbourcountry?). Legolas though.. He was my favourite. Feels weird to write the least about the character I loved the most, but it's just. not much to say. Could not stand seeing Legolas leave the screen, he had an remarkable impact on me with his. elvish magic. Oh, and one last thing. This is a chaos. My mind is a chaos. FOTR is so much, much more. I haven't said a thing about Galladriel, and a lot more. But there has to be a limit. If I were you now, I would look forward to every second of this film, so then. it does not matter.I will bring this experience with me for the rest of my life. It is that good.",True
