Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Nay-sayers likely disinformation agents,verbpierce,n/a,16/08/2025,"Incredible documentary, highlighting the extreme extent of energy industry corruption and world changing technology censorship, from the highest levels of government and private industry.Would have been nice to learn more about how zero-point energy inventions actually work (on a mechanical level). However, the history, dating back over 100 years, of technology suppression is fascinating enough in itself.I was expecting your typical B grade doco, but this piece was superbly put together. Tying in UFO data and black budget stuff towards the end was a great way to end this piece. Looking forward to seeing what Dr Greer has planned for the future.",False
2,9,IGNORE THE NAY SAYERS - Judge it for yourself,casey-42712,n/a,16/08/2025,"SpoilerI got a kick out the one 2 star ""reveiwer"" who says he waited for it to come down in price and then just ripped on Dr. Greer with no argument. And obviously did not even watch this. - It was JUST released this week. Whatever, ignore that planted negative.I was very pleased with this - Names, dates, documents, companies, all here.The segment on just how far the Patent Office alone goes to deny patents for verified zero-point energy devices is infuriating.Boths sides, left and right, are missing big pieces of the puzzle, so you can't blame a left or right argument as being 'wrong'.Give it a watch - you may be surprised. No crazy 'reptilians vs the greys' war lunacy, this is how we have been stymied for a replacement of our dependence on fossil fuels. He also takes the 'green energy' fools to task.This is not all fuzzy pictures and crazy stories. Worth your time, and you may just start to see things differently.",True
3,7,Sort of fading the more I think about it.,kellycampbell-04309,n/a,16/08/2025,I agree with those who wonder how Greer became the man who had the keys to the kingdom that briefed presidents generals and three letter agency directors? However I can see how greed and the hunger for power could keep the fossil fuel industry essentially the same for the last 100 years when other areas seemed to evolve greatly such as communications and electronics industries. I would love to see the patent records for these banned devices along with the missing Tesla files. I found the information presented fascinating and well researched. While having my doubts on Greer's claims of access to programs and world leaders.,False
4,10,The Real Deep State,yode25,n/a,16/08/2025,"An eye opening look at how the corruption of Governments and Multinational Companies go hand in hand for the sake of profit and protection of their wealth. All at the cost of humanity.The well presented documentary guides you through the history, and what could have been if not for the greed of energy companys and their comercial interests. Clean energy solutions buried under aggressive governmant policies....innovative scientist bullied or killed. This not a cooked conspiracy theorist documentary, this is the real deep state, an expose of self interst groups and the preventable destruction of our earth.",False
5,10,If this is true then I am sickened by what has gone on.,feverish30,n/a,16/08/2025,"Dr Steven Greer blows the whistle on the constant shutdown of free energy machines and anti-gravity propulsion devices that we have had since the 1960's. If what he is saying is true, then it's pretty sad that this has been shut down by the powers that be time and time again.This is a must watch for everyone. We have the technology now to combat global warming and climate change. I don't have the knowledge to know if what he is saying is true but he cites quite a few relevant sources along with historical evidence from television news broadcasts and military and patent office documents.What gives us hope is that this technology is out there and will soon be open sourced. It goes back to the inventions of Nicola Tesla. It will be a worldwide paradigm shift.The suppression of this technology has been widespread and has resulted in deadly consequences for those who have invented these devices. The only solution is to open source it but thus far no inventor has been willing to do this.I am hoping that this is real, for the sake of humanity.",False
6,10,Yes! 100 % yes!,efsmiley,n/a,16/08/2025,"Everyone should see this fascinating documentary. My eyes were opened and there is a serious amount of factual data here (historically as well) brought to the forefront of where we ACTUALLY are as opposed to where we ACTUALLY could be as a world. Brilliantly done. Bravo! I hope there will be more docs to come from Greer (and I've seen them all to date). I think the biggest obstacle here is how many can actually take the braces off their brains and wake up to the real truth, and then of course, become a part of the solution. I do suggest watching this documentary several times. There's really a lot to absorb, as is true for his previous docs.",False
7,10,Corruption at the highest level to protect only the world leaders & the 1% club,mike-90980,n/a,16/08/2025,I have watched every documentary featuring Dr Steven Greer in relation to extraterrestrial technology and UFO's etc. He is bang on the money what he is saying that all major governments are in possession of such technologies that could begin a zero point energy generation. There are 2 things that is stopping it becoming public.1. It will destroy the world economy and the 1% population who are in power will no longer be in control of the people.2. ReligionDisclosure needs to happen soon before it's too late. David Grusch & Congress hopefully have the ball rolling. Religion beliefs can co-exist with the reality of alien life.Very good watch and a MUST SEE PEOPLE!!,False
8,10,Believable but we will never change.,kurt-24894,n/a,16/08/2025,"A lot of the incidents and events are backed up with good evidence from believable sources. The theory's explained are more than not feasible and would make a difference to us all. But in reality our advancement in civilization and quest to travel past our solar system will allways be suppressed because we have never been civilized between each other. Dr Greer even says the solution is for the human race to become peaceful, however he's pissing in the wind if he thinks that will ever happen and if it ever did we would never be trusted. The human race is destructive and warlike, it's embedded in the DNA and incurable. However great documentary and a nice insight to how all life could be improved.",False
9,n/a,"Lost, Or Stolen?...",n/a,n/a,16/08/2025,"THE LOST CENTURY tells many stories about inventors who have either had their work taken, destroyed, or buried by government types (FBI, and others). This is all backed up by official documents, news reports, and / or testimonies. The stories are shocking, dating back to the 1920s-80s and even more recently.The common thread is that the inventions were all machines that could either save or produce huge amounts of energy without wasting or costing very much at all. One can see why the government and oil, coal, and gas industries would not want such devices to be popular, since they ran on alternative sources of energy. Even water!There is mention of global warming and other environmental issues, but it's not just the big oil companies etcetera, that are hammered. Solar and wind do not get a pass. They are just as useless as the rest, another industry to make enormous profits, while missing the point. We are in deep trouble, and only something revolutionary will save us.In light of recent governmental revelations on the subject, UFOs and extraterrestrial technology are also discussed, as well as possible hope for a brighter future. A well-presented documentary with tons of information...",False
10,5,It Was OK,npbrpgx,n/a,16/08/2025,"I was looking forward to seeing this documentary and even waited a while for the rental price to get marked down a bit before I took the plunge. To me, Greer's documentaries have actual authenticity and I find them to be based on more solid ground. It's not just the same Talking Heads regurgitating the same old conspiracy theories and re-counting the same old stories over and over again. If I have to hear about Roswell one more time, am I right?Anyway, overall I thought the documentary was fine, but I was disappointed in all the re-creations. I want to see actual footage and photographs. Not re-creations. Re-creations actually made this film less credible. One or two is OK but when the entire film is full of re-creations it kind of loses its potency.Also, Greer has yet to re-create the slickness of ""close encounters of the fifth kind."" That was an engaging documentary with lots of original footage of UFO craft, light beings, and other cool stuff.More of that is what we need!Not that anyone cares, but I think it makes more sense to just interview Dr. Greer in a traditional format rather than filming him give a lecture. It was kind of weird. I dislike these folks who put out so-called ""documentaries"" that are actually just home videos of them giving lectures. I know on the surface it seems like it would be dramatic, but it's not. It's just as boring as sitting through the real thing. Please stop doing this.",False
11,10,One of the most important documentaries I've ever watched,jamesdeberesford-1,n/a,16/08/2025,"I'm 47 and I've been down a lot of rabbit holes. Naturally, at some point I came across Dr. Greer munching a carrot and whilst I broadly agreed with his contention that ET is in town I had some lingering doubts about his overall schtick and moved on. However, Dr Greer was just getting started.Revisiting Greer on a podcast in 2023 he hit me with an avalanche of intriguing facts that made me re-assess my impression of him as a somewhat vain and naive ET evangelist. I duly purchased this documentary, available for only £3.49 on Microsoft's Film & TV app.What can I say? I don't think Dr Greer's utopia will happen but I do believe this film should be watched by all sorts of people who probably never will watch it. Just Stop Oil protesters, for instance. It's one of the most important rabbit holes I've ever been down.",False
12,6,Pushes The Climate Change Myth,drisley-72230,n/a,16/08/2025,"I've been following the UFO issue for many decades and have been well aware of Stephen Greer.Initially his documentaries were very interesting. In fact they mostly still are as they know how to produce a good doc.The problem I ask is ""why does a random emergency room doctor know everything about the universe and life, and is called in to debrief US presidents and generals"". It's kind of preposterous to say the least! It's like he's taken the Billie Meier cult nonsense and taken it to the next level.He has collected a very impressive rogue gallery of ""witnesses"" that are borderline credible. I think that's the most impressive part of his ""work"".But again, he's definitely got a messiah complex.In this documentary he's jumped aboard the currently popular ""Climate Change Crisis"" myth. Right off the bat they cite climate change claims and predictions that have been proven false decades ago. He even pushes the ""overpopulation"" as a bad sign when in fact any species that is growing is a sign of thriving.We know based on NOAA satellite data that snow coverage in the Northern Hemisphere has been increasing for the past 60 years (nobody mentions this).We know that the earth's green spaces have increased massively - the size of the continental US - over the past 100 years. And NO this is not in snow covered areas, but rather in our deserts (Sahara has greened the most).We know that the earth was warmer during the Medieval times and Roman Warm Period - and humans and crops thrived.Polar Bear population has grown 500% over the past 60 years. Famine is at an all time low. Death due to climate related incidents (which mostly are from cold not heat) are at an all time low down 90% in the past century.The ""thousands of species are becoming extinct every hour"" is also a debunked myth.Most of these achievements have come from relatively abundant and affordable energy like coal. MORE people are dying from this energy being villainized and shutting down of things like coal plants making energy unaffordable.And btw, if this so-called ""free energy"" that he talks about does exist, guess what? It will cause populations to rise even more, cities will grow substantially faster, and third world countries will come to be 2nd and 1st world countries even faster than they already are. What then? The catastrophists are going to call that ""bad"" and do everything they can to make that energy unavailable to control ""overpopulation"".I guess he's got to sell views to make money from the grift and Climate Change Crisis is the current best way to get eyes on your cause.Other than that, again, well made doc but mostly fiction imho.",False
13,1,Post hoc ergo propter hoc,graham-319-209399,n/a,16/08/2025,"Because that, therefore this.What complete & utter tosh. It starts on climate change, with some broad, sweeping claims - then jumps straight to ""space aliens, we can use the same power source as them"" without any indication as to HOW we might manage to do that. We just can. Sure.After that we get a string of low-grade conspiracy-theory 'this guy invented this, then died in mysterious circumstances' drivel.I was yawning by this time.Then we jump back to how the space aliens' technology can fix everything... again with no mention at all as to how this might be achieved, as currently no-one has a clue how they do it; if they do it at all; if they actually exist.If they do exist, why don't they ever drop in where people can see them properly. Always some backwater where the only camera around can't take clear pictures.And, of course the entire underlying consipracy theory - the gubment is keeping all this good stuff away from us, for some nefarious purpose.Amazon ought to be ashamed of giving budget and air-time to this type of delusional programming... or at least market it as a comedy, not to be taken seriously.",False
