Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,"Nothing new for longtime fans, but young admirers may get a clearer picture of events here",moonspinner55,n/a,16/08/2025,"SpoilerIrish author Tony Summers, having accumulated over 600 hours of taped telephone interviews with various associates, friends and witnesses of the the late Marilyn Monroe, has compiled the most vital bits of information into this documentary for Netflix. There's also bits and pieces of the actual Monroe talking, though we're not sure of the source for these conversations (she mostly sounds tired, fed up, and dryly pithy). Actors lip-synch to the tapes to give us a visual perspective, and there are many clips of Marilyn's movies and newsreel footage of her in and out of hospitals and courtrooms, but what do we learn about her demise? Not much. Marilyn was being bugged--as was friend Peter Lawford at his beach house in Malibu--by the FBI after Monroe had gotten herself involved with both President John F. Kennedy and his brother, Attorney General Robert Kennedy. Marilyn had extra-marital affairs with both--and was mostly smitten with Bobby--before realizing they were using her ""like a piece of meat"". When the police were called early in the am on August 5, 1962, Marilyn was found dead in her bedroom, the phone in her hand, surrounded by pill bottles. However, Summers shows that she was actually found ""comatose"" around 11pm the previous night, and that her psychiatrist had her transferred by ambulance to a nearby hospital. Unfortunately, Monroe didn't make it, dying in the ambulance of a drug overdose (either intentional or accidental). The decision was made to turn the ambulance around and return her to her bed. Meanwhile, ""someone higher up than Hoover"" demanded that her bedroom be searched and stripped of any evidence connecting Marilyn with the Kennedys (this is presumed to be Bobby's doing, as he was in Los Angeles at this time before quickly beating it out of town). I always felt sorry for Monroe's elderly housekeeper, Eunice Murray, who never seemed to get her story right (and for good reason!). Is this a great document of Monroe's life and final days? No, but it has been put together in a fairly concise manner so as to be easily understood by viewers who may not know much about the star. Director Emma Cooper gets a little arty with her fill-in footage of street scenes at night (taken mostly around 1985, when Monroe's death was reopened by the courts), including inscrutable black-and-white footage of train yards and old houses. Still, for those who are curious, this delivers a timeline of events told by voices on a cassette player that helps us to digest what happened that fateful night, concluding with a quote from Marilyn herself: ""I just want to be a good actress.""",True
2,6,Good until the very end..,Zen-Balance,n/a,16/08/2025,"SpoilerI enjoyed the whole documentary, until the very end. The journalist didn't complete his research by neglecting the autopsy. Autopsies tell the story that no one else will. He didn't interview the morgue staff, nor the hospital staff. That alone is a red flag for someone who researched for so long.",True
3,5,"Marilyn, In Others' Words...",Lejink,n/a,16/08/2025,"Released no doubt to coincide with the 60th anniversary of Monroe's death, this new Netflix documentary film relied largely on audio tapes made back in 1982 by British journalist Anthony Summers with several people who either were friends, associates or colleagues of the ill-fated actress. These tapes were made by him as the background to a high-profile L A. Court case of the time which sought, no doubt under public interest if not pressure, to ascertain once and for all, the reason or reasons for her death. That verdict was the same then as that reached twenty years previously, i.e. That Monroe had died of an accidental overdose, but just like the JFK assassination or even the death of Princess Diana, speculation and conjecture still surround her death today.Naturally however, to pad out its running-time I suspect, we get a potted history of Marilyn's life and career up to the point of her passing. Although mostly known to me anyway, it was still interesting to see contemporary news footage of her and if you think that today's paparazzi are uncaring and invasive, just get a load of the press mobbing her and inconsiderately pressing her for a comment even as she's leaving an asylum where she'd just been treated for something of a breakdown.We get the familiar story of her abandoned childhood and Hollywood breakthrough in John Huston's ""The Asphalt Jungle"" feature from 1950, the short-lived marriages to baseball star Joe De Maggio and playwright Arthur Miller, her aspirations to be a serious actress in attending the Strasberg method-acting school and finally her fateful, at least so it's argued here, entanglement with the Kennedy brothers, one the President and the other the Attorney General of America.The film at least draws a very clear conclusion but of course it's both controversial and speculative. The director's technique of having the verite audio-tapes with long-dead interviewees like Huston and Billy Wilder amongst many others, lip-synced by actors in reenactments, I must admit I found strange and off-putting, especially when used with fuzzy out-of-focus shots of the actors themselves reciting their lines, There are surely more than enough images of Monroe to act as a backdrop to just playing the audio on its own.Also interspersed throughout the movie were carefully selected tapes of the actress herself speaking in her own voice, some from the private collection of her last psychiatrist, but these are too often taken out of context just for effect. At one point we hear her talking about the pursuit of truth almost as if she's foreseen her own death which struck me as bizarre and certainly contrived. Strange and inconsistent too not to follow-through by having an actress lip-synch Monroe's own words as every other interviewee in the film was, even if I disagreed with this particular device. In the end, it was difficult not to come to the conclusion that the film merely served to feed the Marilyn-obsession of Summers himself and that the director should have exercised a lot more objectivity.Me, I'm not convinced this film served its subject well. Yes, it put a different spin on her death of which I hadn't been aware and gave me some pause for thought, but overall I found this production to be rather slipshod, sensationalist and almost trashy at times in its execution.Goodbye Norma Jean, but after this, I still don't think I knew you at all.",False
4,n/a,a sad tragedy,n/a,n/a,16/08/2025,"Marilyn Monroe was beautiful, talented, smart and funny. She also had a lot of problems. She was a good actress and her best movie was Some Like It Hot. Who knows what would have happened to her if she hadn't gotten involved with the Kennedys. She had a history of drug and alcohol use too. This is a really good documentary. One worth watching.",False
5,7,"""Every studio had a black book""",BrunoRatesTheMovies,n/a,16/08/2025,"Marilyn Monroe is intrinsically linked to classic Hollywood, in all it's representations. This doc tells the 'facts' from a cold, distant point of view, but it completely leaves out her mental state and the whole film doesn't take one beat to talk about her well-being. I did think it showed a side to the story that is rarely told, I just think it could have been more even handed.",False
6,7,More Marilyn Gossip with Tons of Old Footage of Her,iquine,n/a,16/08/2025,"For those who can't get enough of the ultra famous Marilyn Monroe or Hollywood stars, then this is a must-see. Apparently, some chap has a stash of tapes that contain assorted recordings of people's thoughts on Marilyn as a person, some lesser known tidbits, their insights into her private life and what everyone is waiting for, their speculation on her death and the causes and factors around it. As there are still open questions that remain to this day. Thankfully, it did incorporate all of her historic moments that helped to make her famous along with an abundance of video footage of her so it was a solid blend of biography and then dives into the gossip toward the end. Lots of recorded tape interviews narrated by the chap who looked into her death. The editing and production were above average for a documentary of this nature. Like many of the interviewees who didn't want to talk, they just said let her memory rest. I concur.",False
7,7,"Not Bad, Not Great!",ThomasMuf,n/a,16/08/2025,"This documentary, based on the interview tapes and memories of a British investigative journalist, does not cover much new ground, but if anything, it corroborates the widely held opinion that she died of an accidental or deliberate overdose on sleeping pills, and that there was no real criminal activity involved. There has been so much hush-hush about her death I don't think we will ever get to know the complete truth. The film documents much of her life, from her childhood and arrival in Hollywood, while spending more than one third on the events of her final days. Few of the interviews are truly enlightening, and the structure (listening to the tapes the journalist recorded) becomes grating and monotonous after a while. Having actors impersonate the interviewees doesn't do much to relieve us of the monotony. Some excerpts are interesting and fresh, but not enough of them contain anything revelatory or even intriguing. So-so documentary for newbies on MM's life and death.",False
8,7,Rise and Fall of the World's Sex Symbol,albertval-69560,n/a,16/08/2025,"This docu gives the viewer insights into the last day of Marilyn Monroe's life as well as her backstory as a fascinating character who strove to be a good actress.Before this docu, people already knew something about her affair with the Kennedy brothers and her ties to friends who were avowed Communists. Non-Americans know less about her failed marriages to Joe DiMaggio and Arthur Miller.Investigative journalist Anthony Summers paints (through his sources including John Houston, the Greenson family and even private eyes like Fred Otash and Reed Wilson) a tragic life going back to her traumatic childhood as an orphan and her early life as a waif. She always felt that no one likes her and that she's never used to being happy.If anything, this film drives home the point, as happens elsewhere to other celebs, that fame and glam couldn't prevent her from ending her life in an unglamorous way. It categorically rules out murder but avers that there was a cover-up that probably involved RFK which then begs a lot of unanswered questions.Watch this film to get nostalgic and re-trace those fateful days leading to the death of the world's only veritable sex symbol.",False
9,4,Lacks visual flair and presents nothing fascinatingly new! [+43%],arungeorge13,n/a,16/08/2025,"There isn't much in this documentary that warrants a distinct visual approach. As many rightfully remarked, the material is befitting a podcast more than a Netflix piece. To be honest, the actors' lip-syncing to the tapes didn't add anything. Also, the tapes pose a few relevant questions but none that insist on a deeper study. All the information we see (or hear) in this piece is, more or less, already out there in some form or the other. It's always blissful to see the charismatic Monroe on screen, and her presence is genuinely undeniable. But I couldn't figure her out as a person here, let alone understand more about her untimely death.",False
10,7,"Haunting, but too focused on Monroe's personal life than around her death",wellthatswhatithinkanyway,n/a,16/08/2025,"STAR RATING: ***** Brilliant **** Very Good *** Okay ** Poor * AwfulNorma Jean arrived in Hollywood in 1946, a very young woman determined to make her mark. The product of a broken home and abusive childhood, she became Marilyn Monroe and became a sensation, redefining the typical perception of a female star, and responding to the changing social attitudes to sex on screen. However, her fragility and personal demons saw her stumble from one high profile relationship to another, before falling in with the Kennedy brothers, and their inner circle. Journalist Anthony Summers attempts to establish the facts about what was the driving force behind her untimely death.For all the starlets that have followed since, Marilyn Monroe has retained a timeless, glamorous quality, that has endured coming up to sixty years after her death. Still greatly admired and emulated, the mystery around her death continues to develop new layers, and unravel new findings, which have been ripe for speculation by conspiracy theorists since before even the internet was around. Anthony Summers clearly has a profound interest in the case, and here has unearthed some tapes that shine new light on things.Monroe is revealed as determined but humble, shy and awkward in an industry then (and, to a great extent now) dominated by men, but for all her success and appeal, fixed herself to strong, capable men, to make up for not having any kind of desirable father figure growing up. Observations like this delve in to who she was as a person, but at the expense of getting to what was behind her death, which only really comes in to focus at the end, even though the framework of the film seemed to be centred around this. Emma Cooper's film is carried by a haunting, melancholy score, which adds to the maudlin documentation of Monroe's life, but further detracts from what appeared to be the primary focus.While it's a tragically fixating account of a damaged soul, by following this path, it spends its time throwing up a list of facts many will already know, without staying focused and really getting under the skin of how she met her end. ***",False
