Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,she was only 36,ferguson-6,n/a,15/08/2025,"Greetings again from the darkness. It's been 25 years since the paparazzi chased the car into that Paris tunnel. The ensuing accident took the lives of Princess Diana, her boyfriend Dodi Al Fayed, and their driver, Henri Paul. The tragic and stunning event led to global grieving for a Princess who many felt never was accepted as a member of the Royal Family. Director Ed Perkins (BLACK SHEET, 2018) uses only archival footage, stills, and news clips to show how the media covered Diana over what was less than two decades in the spotlight. No new interviews - the talking heads we are accustomed to in documentaries - are included here, only the editing of existing media materials are offered as storytelling devices.The film opens with a tourist-shot video taken just moments before the fatal accident. What stands out is the crush of photographers, the squealing tires takeoff of Diana's car, and the swift action of paparazzi following on scooters and cycles. It's not until the end of the film that we see the footage of the wreckage being towed from the tunnel. The rest of the film tracks Diana over the years ... less than 20 years total.The flashback takes us to Diana Spencer as a 19-year-old girlfriend of Prince Charles. As the press hound her on the walk to her car, we note her coy and shy demeanor as she offers ""no comment"" before driving herself away. The strain on her face as she's being questioned is evident, and remains through those early shared interviews with Charles. It's not until years later when she becomes so adept at handling the media frenzy.Throughout the film we see clips of Prince Charles, Queen Elizabeth, Sarah Ferguson, and Diana's interactions with such notables as Henry Kissinger, Mother Teresa, John Travolta, Luciano Pavarotti, and Nelson Mandela. We watch as Diana's hairstyles make their way around the globe, and of course, the wedding segment recalls how it became 'the' television event of 1981. There are segments on two babies (William and Harry), and we even see Diana holding Harry in her lap as the car drives away ... and Charles heads to his polo match.The 12-year age gap is discussed, but Diana's surprising BBC interview with Martin Bashear provided the more likely reason for the 1992 separation. Camilla Parker-Bowles is shown while still married, but a Charles interview (along with Diana's BBC interview) make it clear that the Diana marriage was meant to deliver 'pure' bloodlines to the Royal Family, and the ""Fred and Gladys"" (Charles and Camilla) relationship couldn't do that. We can't help but notice how much sadness Diana carried, and she certainly had her own detractors and critics, especially when biographers noted her own affair. It was this era that turned the Royals into their own entertainment industry - something which is disturbingly even more true today. Diana died at only 36 years of age. Both of her sons are older than that now. The global grief experienced is on full display during the segments highlighting her funeral. Perkins' film might be a bit difficult for anyone who wasn't around during the Diana era, but for those of us who were, the memories have not faded, and are enhanced by what we see here.Available on HBO and HBO Max beginning August 13, 2022.",False
2,8,Powerful and refreshing in its unadorned directness,hephaiston,n/a,15/08/2025,"This masterfully crafted documentary takes the viewer along the entire arc of the Charles-and-Diana saga. It is edited entirely from contemporaneous archival footage, some well known, some perhaps never seen since. Because the only voices are those of the principals or of the commentators of the era, there is no supercilious voice-over, which often amounts to little more than self-important distraction. You don't need to know all the details to follow along. The result conveys an immediacy that belies the decades since the events. One of the cringiest moments is the excerpt from the BBC interview with now discredited newscaster Martin Bashir, now that we know the lies and forgeries he used fraudulently to secure that interview. Additionally, in my opinion, Charles comes across very poorly: in his own words, he reveals himself as cold, callous, insecure, and none too bright. Finally, the ruthlessness of paparazzi is well in evidence. That said, there is no overly emotional angle in favor of, or against, Diana or any other subject, leaving viewers to make up their own minds. A brilliant documentary.",False
3,8,"Great summary of her life, especially for younger viewers who might not remember her life and death",bvhfvnd,n/a,15/08/2025,"Solid documentary that doesn't shy away from all of the opinions about Diana and the monarchy. No narrator or interviews, instead just a collection of interesting news clips and found footage that helps portray her life. Well edited, engaging, and interesting. I was 13 when she died, and this film helped me to understand why everyone was so devastated by the loss. Good companion piece to 'the crown' and 'the queen'.",False
4,7,Meticulous research & editing of archive material,ima-36685,n/a,15/08/2025,"This documentary tells, at a pace, the story of Princess Diana through media coverage.Many phases of Diana's relationship with the media, eg the Bashir interview, are worth a documentary in their own right.The commentary is unspoken through the editing and music score. It doesn't tell those who lived through the 80s and 90s anything new and it certainly won't be last work on Diana's life.There has been a lot of work selecting a vast range of archive footage, primarily from the UK and the US, with many hitherto unseen finds.Most, if not all, of the original source material was shot in 4:3. I question the decision to crop and zoom all of this for widescreen, with a consequent degradation in picture quality. It would have been better to have preserved the original 4:3 aspect ratio.On the Bashir interview, these are the only clips credited to the source on screen during the documentary. I understand this is because the BBC didn't give clearance for their use (the BBC has actually banned it from being licensed or repeated) and the documentary makers are claiming fair dealing on its use.",False
5,9,The only documentary about Princess Diana that you need to see.,Shenoa77,n/a,15/08/2025,"I've watched every documentary out there about Princess Diana. This is the most unbiased, objective and straightforward one to date. It provides a thorough and concise background as well as context into the individuals and relationships. For later generations that never saw Diana while she was alive, this provides a good foundation. What sets this documentary apart from most are the never before seen videos and footage.",False
6,7,Great video material. It could be done better,sagashop70,n/a,15/08/2025,"I love documentaries more when they include archival materials such as videos and documents. This documentary is full of videos from the early 1980s to 1997 covering the time Diana passed from Prince Charles's girlfriend to her death. However, the film does not offer a timeline, a context, or an interview that helps situate the viewer in the images they are watching. For those who lived through those times, it is not challenging to situate themselves in the time situations shown in the archive videos happen. But anyone who did not live during those years can feel lost in the film. It feels like the people behind the film had to access all that video material and focus mainly on the editing part forgetting about the viewers. It could be done much better.",False
7,8,SPOILERS - Brings all the emotions back,ChrisScreenwriter,n/a,15/08/2025,"SpoilerThe whole time you're watching this, you're waiting for the end. How they ever got that footage of the guys playing cards, and then hearing the news. It was a gut punch, just like we all felt then. Excellent and moving documentary.",True
8,9,The only one to watch,gym-mom,n/a,15/08/2025,"As soon as I saw this had premiered at Sundance, I suspected it would be worth the watch. Why? Because unlike the glut of so-called documentaries about this ill-fated yet fascinating woman--with their dubious research, endless speculation, and onslaught of unverified opinions--this extremely well-made film doesn't tell you what the producers are pretty sure must have happened during Diana's life using a bunch of crap from the public archives that everyone's already seen a zillion times. Instead, it shows you exactly what went on through the use of historical footage and audio--most of which (as a Yank) I've never before seen or heard before. It's meticulously edited to chronologically follow the facts. By doing this, the story becomes so engrossing that there were times I felt swept up in the saga as if I was there and experiencing everything for the first time. That's good filmmaking imho. Totally worth the time investment.",False
9,8,Jaw dropping,delfrebert,n/a,15/08/2025,"I watched this only because of the recent death of the queen of England. I was very young when princess Diana cam into the spotlight and all I could remember of her and an adolescent and young adult was her philanthropy and kindness. To me that says it all. I don't believe in the monarchy one bit. I do believe in respecting individuals that leave a positive mark in the world and that is what the princess did. There is no dispute in that. This documentary left me with like the title of my review says my jaw dropped in many instances. Many times I thought to myself of how ""cringy"" to use a modern term the kids use these days so many things that were done , said and thought of this person for no other reason than for being. Of course no one is perfect and princess Diana certainly was not but she definitely did not deserve a lot of the negative things that were done to her by that family. This documentary showed a lot of that in such a different and interesting way. Very well done in my opinion.",False
10,5,Cold and unfeeling,dmzdhdyn,n/a,15/08/2025,You hear quotes constantly from people with no reference.The whole production feels cold.Nothing new here.There's stories we've heard before. And while some new footage much is already shown before.,False
