Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,A Life-Changing Watch,matthewssilverhammer,n/a,16/08/2025,"This starts a little slow, but once we meet the British family, it quickly becomes maybe the great autistic POV film ever made, one that will forever change how I think about the autism community. The spelling boards were mind-blowing...though I suppose my inspired astonishment at it serves as proof of my (and, I imagine, many other's) ignorance about autism. As the film says: ""Neurotypicals are rubbish at understanding anything that isn't neurotypical.""",False
2,6,Seemed to only scratch the surface,Horst_In_Translation,n/a,16/08/2025,"Spoiler""The Reason I Jump"" is a documentary from 2020, but it took until now, so way more than a year, for this film to reach German movie theaters. I had the chance to see it earlier today. Director is Jerry Rothwell. Cannot say too much about him. Prolific documentary filmmaker in the last 15 years it seems. Here on imdb it says that this runs for minimally over 80 minutes only, but on the cinema website it said ten minutes longer, so a bit over 90. I did not clock the film, so not sure which is correct or if there are several versions. It's not too important either. Fact is, this is not a long movie and it also went by pretty quickly from my perspective. This is based on a book written by a Japanese autist boy. Said book has the very same name like this movie. This was a bit on the interesting side because the German title of both film and book is completely different, basically describing another symptom. Our title is basically ""Why I cannot look you in the eye"". I mean symptoms are the same, no matter where you are from, but here maybe the simple explanation for this difference is that there are several symptoms and also that perhaps ""springen"" (the German word for jump) does not sound so fitting in thie context maybe. Besides, we have to keep in mind that the original is in Japanese, so the title there was maybe another as well. I mean there are several aspects taken from the book when making this movie and the closest connection is maybe the inclusion of the guy who translated the book into English and has his very own autism background in his family. Which maybe qualified him more to deal with this translation than other translators. I have not read the book, so I cannot talk in detail about parallels or differences, but what stayed in the mind were the voice-overs, apparently direct quotes from the book and sometimes they were presented to us when we at the same time saw a little Asian autist in the nature. I must say this connection added almost nothing for me. Yes, the writer was Asian, Japanese I think, but that surely felt a bit awkward to me to be honest. If this kid had been the actual author in fact, maybe I would have liked it more, but it was just a random boy they picked for that. Not sure if he is an autist either. It was never about him or his story. Its the one you see on the poster here as well.Instead, focus was on other autists, most of them relatively young still and we also find out a bit about grown-ups struggling with them. There was this example with the mother who tells us that she did not understand her child before she read the book. Honestly, she was the inclusion I liked the least. I am glad she is not featured more than once and her tear-filled response there did not feel particularly authentic to me. Almost prepared. The story about Joss, a young Brit, I certainly preferred. There seemed more sincerity to that, especially in terms of the people around him. I liked the part when they guessed the color of a machine judging from its sound. Of course, I cannot say if this was scripted or spontaneous, but it was good. Also near the end the color room was pretty special. I'd love to go there myself. At least as much as Joss, who clearly enjoyed it too. Also nice to see the pics from his younger years there, how he visited the exact same place, so it was some kind of déjà vu for him. Then there are a young man and woman, both autists. The two where the guy is a Black fella. It is not entirely obvious if they are a couple, but they seem to get along very well and once there was a reference to speaking about their feelings for each other. They call each other friends and not girlfriend/boyfriend, but then again love also gets its very individual approach in the world of autism. In the end, there was talk about them moving in together, so maybe indeed a couple, but actually it's not too important anyway. They are getting along really well, which is what counts the most and you don't always have to show your romantic involvements to the world.There were definitely lighter moments in this documentary too. Not super serious everything, which was good. The darker moments include an African girl (no pun intended) it was I think and references and connections between how she acts and how people see her in a way as if she is somehow possessed by the devil. Which is of course complete nonsense from a scientific/medical perspective, but science is not progressed that far in certain areas of the world unfortunately. In addition to that, we get a quick insight or ""inlisten"" to how autists were perceived back in history. Scary comments of course. So from that perspective there has been some solid improvement when it comes to the final words from this documentary, namely that autists simply would like to fit a little better into the world of non-autists in the future. And how those close to autists (especially parents) hope as well that they will fit in more when they are no longer there to support them. A bit of a contrast to some of the elaborating early on. The very basic autism explanation at the start. Which was about how autists are told by non-autists that they do not fit, with a bit of a message between the lines that questions who these people are to tell others they do not fit. I mean surely you can make a point with some symptoms, especially anger issues that they cannot be healthy in the long run, especially mentally, but as a whole it is a good point that you always need to be unbiased and not treat others in a disrespectful way because they are different.Unfortunately, there was one area inwhich the documentary came really, really short and basically did not elaborate on at all, maybe because it was not part of the book, but they still could have included a brief mention at least. I mean those hate speech comments against autists from decades ago also were not in the book I am sure, so this should not be an excluding factor. Anyway, the area I am talking about are autists whose condition is not particularly severe on the scale. Those are the vast majority even and sometimes only the trained eye can identify them as autists. Nothing on them in here. Not one bit. This is also where the film titles make an impact. The English title kinda shows that it is more about the serious cases, but the German one is about so many others. Jumping is a grave symptom, but struggling with looking people in the eyes is a really common symptom. There are many others. A bit of a pity this did not find its way into this film, but it is okay. I'd say the outcome is still good enough, but I think it could have been much better as well. I'd probably suggest watching the short Oscar-nominated documentary ""Autism Is a World"" first and then maybe this one here, but you can in fact also simply go for both in approximately two hours. I cannot agree though with some of the inclusions in this film that acted as if this was some groundbreaking documentary and also not with the somewhat same statement from other reviewers. It is alright, nothing more, nothing less.The most memorable moments only had a vague connection to the subject at hand. One example would be the childhood fotos from the guy and girl on one occasion. That was really sweet and showed their strong connection, but it did not require an autism background to feel effective. I think I also heard somebody else in the audience go ""aaah"" when they were shown. Overall, I think this is a film that offers a good overview over basic aspects in autism patients' lives. Helps you understand them a little better, but as it is said on one occasion how one character would totally love to be only five minutes in the head of an autist to see how they see, feel, hear, perceive, this is still a really complicated subject to elaborate on and make a film about as well. I would say this one here was partially successful and deserves to be seen. But once is enough and it surely also does not have to be in a movie theater. At home on television is perectly fine as well. I give ""The Reason I Jump"" despite its occasional weaknesses a thumbs-up. It's probably a better watch for those who know basically nothing about autism, so they gain a general insight, than for those with autists in their family, circle of friends or at work. They will have learned a lot more through personal contact already than this film could teach them. Sadly, it stays above the surface in its entirety pretty much.",True
3,10,"'This world is our world, there is no other'",ncentia,n/a,16/08/2025,"Through understanding and listening to people, allowing them to communicate in their own way, we can all move towards better awareness, compassion and work towards ending misunderstanding and mistreatment. Many need to learn to look beyond external difference and see that there is a whole human being, with thoughts, emotions and as much of a right to fulfilling life as any other. I do wish though, that David Mitchell had stayed behind the scenes. Naoki Higashida's message is strong, it doesn't need to be 'neurotypical-splained'. There is enough domination of discussion of autism by parents of autistic children, sidelining actually autistic people who are able to share our own experiences.",False
4,9,A beautiful adaptation,francoisgodard,n/a,16/08/2025,"You can see the love and craft in every frame of this movie. There were certain characters I would like to have seen more of, but I understand the constraints. The way it renders autism is very humanistic and he film does a really great job of bringing the viewer into this world. I saw it at the Hot Docs online and really wish I could have seen it on the big screen
It reminded me of another film I saw at Sundance a few years ago called Notes on Blindness which does a phenomenal job of 'seeing' the day to day of what a blind person's life could be like in an extraordinary way.",False
5,10,Stunning,jstapp-566-971599,n/a,16/08/2025,This movie was stunning and impressive. I just saw it at Sundance and everyone walked out uplifted and overwhelmed. It's a must see.,False
6,9,Not suitable viewing for those with non speaking autism,sharenehart,n/a,16/08/2025,"This movie is probably the most important movie ever made, as it in part sheds light on the fact that people with this condition have motor issues, and without typing cannot demonstrate their intelligence. Not being taught to type leads to devastating, lifelong consequences for around 33 million people with non speaking autism worldwide.For me the main disappointment in the film was its segment filmed in Africa, stating that many in the community believed people with this disability were demon possessed. I was horrified as sitting next to me in the theatre as this aired, was my charge, who has autism and types to communicate (independently). He was traumatised immediately and demanded to leave (we were until then, thoroughly enjoying the movie). It was disastrous. The african girl (featured in the doco) also appeared to became distressed after hearing the 'demon possesion' conversations.This movie is NOT suitable for those with autism.It is still an important movie that I hope will rapidly dispel the misconceptions of non speaking autism. Those with the condition really don't need the additional adversity, that comes with not learning to type and remaining grossly underestimated.Typing transformed my charge's life. His frequent, lengthy, crying spells completely stopped, as did his outbursts and assaults. He has been happy, confident and drug free for nine years now.Teach the non speakers to type; it takes time to become an independent typer, but the benefits are immediate and profound.",False
7,10,The most intuitive Movie (documentary),cciedecember,n/a,16/08/2025,"Everyone should see this movie, so we can understand autism, and stop treating Autism and autistic people badly
a must watch.",False
8,4,Not convinced,avianflu,n/a,16/08/2025,"The quotes from the book on which the film is based give the impression that locked within every autistic is a literary genius waiting to get out. But the moment author David Mitchell made an appearance it was difficult not to see the whole thing as a middle class fantasy of what it is like to be autistic.Indeed, a little research shows that there is scepticism amongst medical professionals over the authenticity of the original text. Perhaps if there had been less style and more content we could have more easily decided for ourselves. As it was I felt more manipulated than informed.",False
9,9,Enlightening doc on neuro diversity,danylegoaix,n/a,16/08/2025,Shares how those on the non verbal autism spectrum process their environmental data which is different for each of the 6 people this doc focuses on. Based on The Reason I Jump: One Boy's Voice from the Silence of Autism The Reason I Jump by Naoki Higashida.,False
10,10,What a compelling document!!,nadindag,n/a,16/08/2025,"Tears in my eyes.This is such a beautiful film about autism. A must-see to understand the world of autistic people. Whatever is said about these people, they have feelings, intelligence and everything 'normal' people have in their personalities. Only their experience of expressing and seeing the world is different, would even say, to be more sensitive than us 'normals'. Their outbursts of anger and aggressiveness is only their expression of frustration and sadness for not being able to share anything with us 'normals'. How would you be yourself!!!Dare I even say, these people are more authentic than many others on this globe.",False
