Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,A Beautiful Reminder of Why We Love The Rose,chufredis,n/a,16/08/2025,"The Rose documentary honestly hit me right in the heart 😭 Watching their journey - the struggles, the growth, and how they've stayed so grounded - just made me love them even more. Come Back to Me isn't just a documentary, it's a reminder of why they mean so much to us. You can feel how sincere and real they are in every scene. Their bond, their honesty, and the way they stay true to themselves made this so powerful. I walked out of it feeling even prouder to be a fan, a Black Rose through and through. 🌹 This is the kind of film that stays with you long after the credits roll. Truly unforgettable.",False
2,10,🖤🌹,HaileyS2706,n/a,16/08/2025,"I absolutely loved this documentary!! I have been a fan of the rose for a while now and they always know how to make me cry without fail!! Healing is an important process that is everyone goes through a some point, though everyone's process is different. This concept is explored throughout the documentary through the healing of music. As someone who healed thanks to the rose it really hit close to home! Even if you aren't a fan of the rose, this documentary will allow you to see the lovely and genuine feels they bring to the table that set them apart from other bands. I would definitely give this documentary a watch!",False
3,10,Don't give up too soon,IrinaR-32,n/a,16/08/2025,"I love The Rose and their music. So when the news broke that they filmed a documentary that will premiere at TriBeCa, I bent over backwards to travel from Germany to NYC to see it. The aspect I was most interested in was that whole topic of navigating different cultural identities and everything that comes with it, because this is a big part of my life, too. One important message I found in the film is, don't give up too soon - it's worth trying different paths to get where you want to go, it's worth working on your relationships, and sometimes it's even worth just waiting, or having a little patience. I think this message is more important now than ever, because in today's world of constant haste and waste, people seem to forget sometimes that some things just take a certain amount of work (maybe even really hard work) and time, and that if a road is a little bit bumpy, that doesn't mean that you can't travel it. These four guys have been through a lot together, and I think what has helped them was their great friendship and loyalty towards one another, and this bond seems to have grown even stronger over all this time. It's so heartwarming to see how they're apparently enjoying their current tour and each other's company. I really wish for this documentary to become available to a wider audience because there's so much in it that can inspire and encourage especially young people, but actually everybody.",False
4,10,I loved the rose,JessicaC-758,n/a,16/08/2025,"I've been following The Rose since 2020 and I loved this documentary. It shows us everything the band had to go through to get to where they are today, and all that effort has been worth it. They are great artists, but they are also people, and they are incredible. We can see it in every video they upload, every song they make, and also thanks to this documentary. They came to me during a very difficult time in my life, and their songs motivated me to keep going. I knew I wasn't alone in the rain, that there would always be someone by my side. I realized that thanks to them, The Rose, and from that moment on, I've been a Black Rose.",False
5,10,A Must See!,KarenBlackRose,n/a,16/08/2025,"I loved everything about this documentary. The film really showed The Rose's depth, color, and sincerity as artists and humans pursuing their dreams as musicians in an often brutal and unforgiving industry. The film highlights both their highs and lows as a band and shows just how talented, humble, hardworking and genuine they are. It's a must see for all fans of the band and music lovers in general. As some one who is a part of their fandom known as Black Roses, I'm happy and grateful to be on this musical journey with them. Each one of them makes this band so special. They deserve the world. Woosung, Dojoon, Hajoon and Taegyeom, I Rose You.",False
6,10,Come Back to Me (and bring some tissues next time pls),JuliaP-56,n/a,16/08/2025,"As a long time fan of The Rose, I knew I'd love this documentary, but nothing could've prepared me for how deeply it would move me.""The Rose: Come Back to Me"" isn't just about music. It's an honest and very emotional story of four artists who pour their hearts into everything they do.I teared up watching them open up not just about their journey as musicians, but about friendship, identity, and healing through music. After watching it, I felt very emotional, inspired and incredibly proud of how far they've come.Whether you've been with The Rose since day one or just found them, this is 100% worth watching. It's a beautiful reminder that even through the hardest times, music and love can bring us back to ourselves.",False
7,10,"Honest, raw, inspirational",KimG-18,n/a,16/08/2025,"You may think ""I don't know this band"" or ""it's gonna be a music documentary""............ignore your thoughts.Go see it, experience the humanity, the insights into their lived journey, and try let it not touch your heart!The music part will of course get you hooked on them but that is just a side benefit:)The lens on cultural elements is done tastefully and with context, making it interesting even if you didn't go in caring, as well as making it easy to associate to anyone's culture.The honesty and vulnerability shown by the members is beautiful and generous. You will feel inspired.I highly recommend it!",False
8,10,The Rose are healers,FranciscaL-2,n/a,16/08/2025,"I am proud of how far you have come with your music and as people, you are to be admired, thank you for healing with your songs and the way you are.The documentary shows the sacrifice and hard work they have had to make to get to where they are today.Thank you for believing in the guys by making this documentary and that more people can know about them and learn about their history both as individuals and as a band.As a fan we need this documentary to reach more places, more countries, maybe platforms or even cinemas around the world so that more people can connect with the guys.I'm proud to be a Black Rose.",False
9,10,More Than Music: a journey of healing,TelmaBS,n/a,16/08/2025,":The Rose: Come Back to Me"" is a sensitive and inspiring documentary that reveals the group's strength not only as musicians, but as human beings. It beautifully captures their personal struggles, the emotional bond with fans, and the courage it took to begin again. Honest, heartfelt, and filled with soul, the film shows that behind the melodies are real stories of resilience, growth, and healing. It's a touching tribute to vulnerability, friendship, and the beauty of starting over. The cinematography, the behind the scenes moments, and the sincerity of each member make this documentary a deeply moving and unforgettable experience.",False
10,10,More than Music: Healing in Harmony,DDB-09,n/a,16/08/2025,"This documentary shows how pain can lead to growth, and how healing is part of the journey. The Rose aren't just bandmates - they're brothers in life, bound by shared struggles, passion, and purpose.From their humble beginnings to where they are now, their story is a reminder that you can grow, evolve, and still stay authentic. Their music is real - because it comes from real people, with real stories.Watching Comeback to Me made me love them even more.Hoping to see and hear their songs live here in the Philippines someday. 🌹🎸Their pain became growth. Their bond became brotherhood. The Rose is not just a band - they're storytellers, healers, and dreamers. #ComebackToMe #TheRose.",False
11,10,Phenomenally human & real,KimmieG-6,n/a,16/08/2025,"I felt like a fly on the wall throughout watching this beautifully made, and often quite exposing, film.Across each of the band members, what you watched wasn't ""the band members"". It was a glimpse into each human that makes up The Rose as a whole. And what their lived experience has been, to become who, and be where, they are now.This film creatively weaves the insights into each of their individual histories, early relationships to music, to the Kpop idol industry and each other, to showcase the magic of their unified success.This film gives a real view into how they have grown to become such craftsmen in songwriting, production, melodies and putting on performances that rock peoples' souls. And like their name suggests, beautiful creations can come with thorns.After watching this, you can't help but be awed at what they have built and how open they are to spread love and attention to make this world just that much better for us all!",False
12,10,INSPIRATIONAL & DELIGHTFUL.,Lge-3,n/a,16/08/2025,"Love this documentary about 4 talented, creative, passionate, funny, caring & hardworking musicians, who are independent. This has allowed them to focus on creating lyrics & music that they love & that their fans love. Fans are worldwide & thankful. The Rose continue to appreciate & value who they are! Their music & concerts showcase their authenticity, brilliance and their special aura. This documentary tells their story from their busking days & includes wonderful personal stories along the way. So happy they found each other & hope they continue to stay true to themselves & trust their instincts.",False
13,10,An Inspiring Underdog Story,AnneL-610,n/a,16/08/2025,"I loved this film. It deserves distribution so more people can learn The Rose's story. They have the best underdog story! The story will resonate with both fans of the band as well as with an audience who doesn't know the music of the band. The filmmakers did an amazing job presenting The Rose's story in an honest, vulnerable, inspiring way. This film has it all - you'll laugh, you'll cry, you'll be inspired, and you'll rock out to great music! The film takes the audience on the journey of The Rose from their initial days of busking on the streets in Hongdae, Seoul, South Korea to headlining at Coachella. They experienced highs and lows along the way but never gave up and have always remained true to themselves.",False
14,10,HEALING ART,OrianngelyL-6,n/a,16/08/2025,"Come Back to Me is more than just a documentary - it's a gift for those of us who love The Rose. Watching it felt like receiving a warm embrace from the band, reminding me of how their music has always been healing art for my soul.The film shows their struggles, their passion, and their deep, genuine connection with fans. I was moved to tears seeing their vulnerability and their strength as they continue creating art that heals and inspires.For me, this documentary reaffirms that The Rose is not just a band - they're a refuge, a source of strength, and creators of truly healing art.I hope it becomes available worldwide soon so that all Black Roses can experience its magic.Thank you so much for your healing art, The Rose.",False
15,10,Extraordinary,NicoleD-983,n/a,16/08/2025,"The Rose: Come Back to Me is an exceptional film showcasing the extraordinary journey of four young men that we so lovingly know as The Rose. From laughter to tears and everything in-between, this heartfelt documentary will take you on an unforgettable ride. It is an emotional, raw, soul touching story about trials, triumphs and friendship. Through vision, healing, trusting your gut and a love for music, they take us with them on their journey to becoming international stars from their humble start of busking in the streets. I laughed, I cried, I held my breath. I tip my hat to both The Rose and Director Yi for creating such an astonishingly beautiful documentary. I highly recommend that everyone watch this film.",False
16,10,Literal Art,imdbfan-802195,n/a,16/08/2025,"I have been a fan of the rose for about 6 years now, I have to say that this documentary was truly emotional for me. Many of us fans watched them grow from a very small band to a global sensation. I am beyond proud of The Rose with how far they've came.I watched this documentary with my friends, and let's just say they had to wipe many of my tears away. These tears weren't from sadness, but were because of how much The Rose has been able to achieve. I would recommend this to my friends and/or family that don't even enjoy kpop, simply because I think this documentary teaches a valuable life lesson.",False
17,10,The Rose: Come Back to Me,imdbfan-243563,n/a,16/08/2025,"The Rose: Come Back to Me is a documentary about an indie rock band from South Korea. The movie introduces the audience to the 4 members of the group. Park Dojoon (Leo), Kim Woosung (Sammy), Lee Hajoon (Dylan), and Lee Taegyeom (Jeff). The documentary is directed by Eugene Yi and produced by Dianne Quon, Sanjay Sharma, James Shin, and Joe Plummer. A raw look at the perseverance and resiliency of this talented band from their beginnings to selling out the Kia Forum to taking the stage at Coachella. Their story will strike a chord with all who watch it. For their fans across the WRLD it is an in-depth look into their story which will make you laugh, cry, and smile.",False
18,10,Epic documentary,hanisizati,n/a,16/08/2025,"The journey is not always easy or smooth, but because of The Rose's dedication, rawness, and passion, there will always be a way forward for them. The documentary reveals their vulnerability, not just as musicians, but as human beings. It beautifully captures their relationships, the hardships they've faced, and the unbreakable bond they share. The director truly shows us who The Rose is.The Rose shows us who they are through their music, honest, raw, and full of emotion. It's hard to describe, but their songs live and breathe. Every time I listen to them, I get goosebumps. The documentary gives us a glimpse into that creative process. They're the true definition of started from the bottom, now we're top shelf.",False
19,10,From the Heart,MK-313,n/a,16/08/2025,"An honest and heartfelt film about the origins, friendship and artistry of a truly inspiring band. I became a fan of The Rose when I got curious about this documentary premiering at the Tribeca Film Festival and watched the music video of the title's song Back to Me. I was hooked immediately, and this film explores some of the experiences and motivations that enable the members to compose and perform with such emotional depth and power and rise as one of the most unique and talented musicians out there. If you're not a fan, you'll probably become one after watching. This documentary, like their music, is a healing balm for anyone feeling a little tired in this crazy world.",False
20,10,The Rose Doc : Come Back to Me,DR-176,n/a,16/08/2025,"This documentary is a masterful reveal of The Rose to an audience that has never heard of them as well as pure delight to their devoted fans: the Black Roses. The documentary bravely recounts with total honesty and candidness the start of the hard journey of these talented four to where they are now: a global sensation! The Rose members pride themselves in having a tightly knit friendship and that feeling is effortlessly transmitted to the viewer. Also, worthy of mention is the exposure, if somewhat careful, of the dark side of the K-pop industry, their antics and excessive demands. This film is a must see for people of all ages!",False
