Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,timeless terror,yancyscott1,n/a,15/08/2025,"Even though The Shining is over a quarter of a century old, I challenge anyone to not get freaked out by Jack Nicholson's descent into madness. This is a rare example of something so unique that no one has been able to rip it off; instead it has been referenced time and again in pop culture. The twins, the elevator of blood, RedRum, the crazy nonsense ""writing""... this should be seen, if for nothing else, to understand all the allusions to it in daily life. The film is simultaneously scary, suspenseful, beautiful, and psychologically intriguing. It has the classic mystery of Hitchcock and the terror of a modern thriller. And it has what horror movies usually lack: a great script.",False
2,9,Cabin Fever,richardchatten,n/a,15/08/2025,"Stephen King was so horrified at what Stanley Kubrick did to his 1977 novel he felt it necessary to later write his own alternative version for TV. Dismissed at the time as an anticlimax the pendulum of history quickly swung in the opposite direction, where it remains today.Seldom commented upon is the obvious influence on Kubrick of 'Last Year in Marienbad' - already apparent in '2001' - with its endless tracks through an enormous soulless hotel in the middle of nowhere to the accompaniment of a glacial music score, within which Kubrick stages at least two moments worthy of his name for which the film has been carefully preparing us for over an hour: the discovery by Shelly Duvall exactly what her husband (played by Jack Nicholson as if he's auditioning for the role of Richard III) has been labouring on since his arrival and that she and her son are trapped in the middle of nowhere completely at the mercy of a maniac, and the final track into the photograph of Nicholson among the revellers on July 4th 1921 which is quite an ending but - like so much else in the film - to which there is probably far less than meets the eye.",False
3,9,Amazing achievement in filmmaking and the art of terror.,FlickJunkie,n/a,15/08/2025,"Chilling, majestic piece of cinematic fright, this film combines all the great elements of an intellectual thriller, with the grand vision of a director who has the instinctual capacity to pace a moody horror flick within the realm of his filmmaking genius that includes an eye for the original shot, an ice-cold soundtrack and an overall sense of dehumanization. This movie cuts through all the typical horror movies like a red-poker through a human eye, as it allows the viewer to not only feel the violence and psychosis of its protagonist, but appreciate the seed from which the derangement stems. One of the scariest things for people to face is the unknown and this film presents its plotting with just that thought in mind. The setting is perfect, in a desolate winter hideaway. The quietness of the moment is a character in itself, as the fermenting aggressor in Jack Torrance's mind wallows in this idle time, and breeds the devil's new playground. I always felt like the presence of evil was dormant in all of our minds, with only the circumstances of the moment, and the reasons given therein, needed to wake its violent ass and pounce over its unsuspecting victims. This film is a perfect example of this very thought.And it is within this film's subtle touches of the canvas, the clackity-clacks of the young boy's big wheel riding along the empty hallways of the hotel, the labyrinthian garden representing the mind's fine line between sane and insane, Kubrick's purposely transfixed editing inconsistencies, continuity errors and set mis-arrangements, that we discover a world guided by the righteous and tangible, but coaxed away by the powerful and unknown. I have never read the book upon which the film is based, but without that as a comparison point, I am proud to say that this is one of the most terrifying films that I have ever seen. I thought that the runtime of the film could've been cut by a little bit, but then again, I am not one of the most acclaimed directors in the history of film, so maybe I should keep my two-cent criticisms over a superb film, to myself. All in all, this movie captures your attention with its grand form and vision, ropes you in with some terror and eccentric direction, and ties you down and stabs you in the heart with its cold-eyed view of the man's mind gone overboard, creepy atmosphere and the loss of humanity.Rating: 9/10",False
4,10,"Forty years on, and it's still outstanding.",Sleepin_Dragon,n/a,15/08/2025,"Kubrick, King and Nicholson, the writing was literally on the wall, and I don't mean RedRum, forty years on, and The Shining is still a masterpiece.Kubrick takes King's fantastic book, and builds on it, bringing the story to life in his own inimitable way. It's dark, it's bleak, it's terrifying, a masterpiece in storytelling. You watch as the central character's mental collapse is played out in a spine chilling fashion.Gorgeous camera work, incredible visuals, that opening is iconic. So many incredible, visual moments, the twins, lift, barman etc, no wonder it's been parodied multiple times over the years, famously by The Simpsons.An iconic role for Jack Nicholson, he is incredible, well supported by a terrific cast.It's a classic, 10/10.",False
5,n/a,Best Horror Film I've Ever Seen,n/a,n/a,15/08/2025,"When this film first came out in 1980, I remember going to see it on opening night. The sheer terror that I experienced in viewing ""The Shining"" was enough to make me go to bed with the lights turned ON every night for an entire summer. This movie just scared the life out of me, which is what still happens every time I rent the video for a re-watch. I have seen The Shining at least six or seven times, and I still believe it to be simultaneously and paradoxically one of the most frightening and yet funniest films I've ever seen. Frightening because of the extraordinarily effective use of long shots to create feelings of isolation, convex lens shots to enhance surrealism, and meticulously scored music to bring tension levels to virtually unbearable levels. And ""funny"" because of Jack Nicholson's outrageous and in many cases ad-libbed onscreen antics. It never ceases to amaze me how The Shining is actually two films in one, both a comedy AND a horror flick. Ghostly apparitions of a strikingly menacing nature haunt much of the first half of the film, which gradually evolve into ever more serious physical threats as time progresses. Be that as it may, there is surprisingly little violence given the apparent intensity, but that is little comfort for the feint of heart as much of the terror is more implied than manifest. The Shining is a truly frightening movie that works symbolically on many levels, but is basically about human shortcomings and the way they can be exploited by unconscious forces combined with weakness of will. This film scares the most just by using suggestion to turn your own imagination against you. The Shining is a brilliant cinematic masterpiece, the likes of which have never been seen before or since. Highly, highly recommended. - Paul",False
6,10,One of my favorite films,Smells_Like_Cheese,n/a,15/08/2025,"SpoilerThe Shining, you know what's weird about this movie? This is the movie that everyone, for people who claim to not like horror films, will always say that The Shining is a terrific film. This is Stanley Kubrick's classic vision of Stephen King's horror tale of madness and blood. This is just an incredible film and wither you have seen it or not, you have heard of it, know a few lines from it, and know some of the classic images. Who could forget Jack's ""Here's Johnny!""? Who could forget ""All Work and No Play Make Jack a Dull Boy""? Who could forget that chilling ending? This is the film that is unforgettable and honestly in my opinion is Kubrick's best work. I know there is a lot of argument in that department, a lot of people say it's 2001: A Space Odyssey or Clockwork Orange or even Dr. Strangelove, but if those film pioneered film making, then The Shining perfected it. This is the tale of isolation, madness, terrifying images, and the ultimate ghost story that will crawl underneath your skin.Jack Torrance, Jack's son Danny, and Jack's wife, Wendy arrive at the Overlook Hotel on closing day. The elderly African-American chef, Dick Hallorann, surprises Danny by speaking to him telepathically and offering him some ice cream. He explains to Danny that he and his grandmother shared the gift; they called the communication ""shining."" Danny asks if there is anything to be afraid of in the hotel, particularly Room 237. Dick tells Danny that the hotel has a certain ""shine"" to it and many memories, not all of them good, and advises him to stay out of room 237 under all circumstances. Danny's curiosity about Room 237 finally gets the better of him when he sees the room has been opened. Danny shows up injured and visibly traumatized after Jack tells Wendy that he loves his family. Seeing this, Wendy thinks Jack has been abusing Danny. Jack wanders into the hotel's Gold Room where he meets a ghostly bartender named Lloyd. Danny starts calling out the word ""redrum"" frantically, and scribbling it on walls. He goes into a trance, and withdraws; he now says that he is Tony, his own ""imaginary friend."" Jack sabotages the hotel radio, cutting off communication from the outside world, but Hallorann has received Danny's telepathic cry for help and is on his way. Wendy discovers that Jack has been typing endless pages of manuscript repeating ""All work and no play makes Jack a dull boy"" formatted in various ways. Horrified, Jack threatens her and she knocks him unconscious with a baseball bat, locking him in a storage locker in the kitchen. Jack converses with Grady through the door of the locker, which then unlocks releasing him. Danny has written ""REDRUM"" in lipstick on the door of Wendy's bedroom. When she looks in the mirror, she sees that it is ""Murder"" spelled backwards. Jack picks up an axe and begins to chop through the door leading to his family's living quarters. ""Here's Johnny!"", and Jack's legendary image is born.The Shining is one of those films that you seriously have to make time to see, this is an incredible film and still gives me nightmares. Jack Nicholson's performance is timeless and unforgettable. But one I also feel is extremely overlooked is Shelley Duvall, her scene of finding Jack's rant All Work is incredible, that's a look of horror and you can see that fear in her face after realizing her husband is mad. Also another incredible scene is when Jack sees a ghost woman in the bathtub, it's honestly one of the most terrifying scenes in horror cinema. The reason this film is so well known is because it's a film of perfection, it's been on The Simpsons, it's been shown in other films and it's a film that will forever stay with you when you see it, trust me.10/10",True
7,10,An absolute classic. Even if it does stray away from the novel.,b_kite,n/a,15/08/2025,"While I can understand a lot of Stephen King's arguments over Kubrick's vision, including casting Jack Nicholson who instead of a descent into madness looks insane from the first frame. This is still an absolute classic.",False
8,9,Amazing Watch!,Counterparts42,n/a,15/08/2025,"One of those films that is a classic for a reason.It's been on my list of movies to watch forever and a day and I finally got to it in 2023.This is an experience, masterfully shot and some of the most intense and engaging performances I have ever seen.Nicholson and Duvall have a complex chemistry that works at so many levels, which is essential to the make up of this story and anchors the first class direction.This is cinematically spectacular, the sets and the the design of this film is isolating, terrifying and captivatingly beautiful all at the same time.Worth all of the accolades and hype, even at 43 years old this film delivers in spades.",False
9,10,Straight Up,BenjaminPopkin,n/a,15/08/2025,"The sound, editing, camera and mise en scene are all utilized perfectly. A perfect score, framing, cinematography, camera work, set, production design, acting, storytelling, and not only just a perfect horror movie, but a perfect film. This film is what all great films STRIVE to be. The highest of film standards.The Shining is a masterwork of creating mood, setting tone, and developing an atmosphere. The score is one of the best and most iconic scores of all time. As well as the most eerie.This is honestly my favorite of all Stanley Kubrick's films. The Shining is a masterpiece of cinema *chefs kiss*The only thing that is a negative imo is that if your not completely invested in the movie and ready to sit down and watch, you will get bored. It's lengthy, but worth it once your totally engrossed in the film. Especially for your first viewing. You gotta pay attention.",False
10,10,A MASTERPIECE LIKE NO OTHER,azemillancy,n/a,15/08/2025,"Whenever we hear the name Stanley Kubrick, the poster, scene or a shot from The Shining will come to our mind - most probably "" Here's Johnny!"". For a legendary filmmaker like Kubrick who has multiple masterpieces to his credit, would still be fine if he had never even made this film. But still, there would be some great missing which will be felt! That's because of The Shining's ability to penetrate the viewer's mind, even the subconscious, and imprint an influence in its deeper depths. How the movie hooks the viewer with its horror which is created from several dimensions is a remarkable factor that makes this film an all-perfect masterpiece that is thrilling and exciting even after watching it umpteen times.How Kubrick created the horror, just one among the many factors that make the film a great one (still a very important one though), is so deep and mind-blowing, he builds tension in the viewer with enough substance written in the screenplay to showcase on the screen, and perfectly well-tuned and tastefully directed horror. Most importantly, the background music and sounds have immense depth with its structuring crafted to the innermost core and the finely touched upper layers. The actors give performances that are dramatically aesthetic and showcase facial expressions that are realistic to the utmost extent. As the film progresses the anticipation for something scary to expect in the upcoming scenes is created successfully and the anticipation that it created is also executed by scaring the viewer with horrors of huge intensity.One thing that is found in this film is something of a variety. It's the portrayal of the supernatural in a very realistic manner, which is done in a subtle way that doesn't let the viewer know that it's a realistic portrayal of the supernatural he won't even care to notice it. Because that's how successfully it's done. And what's the use of it? It has an impact on the viewer which affects how he perceives the film, and that too which will be something of an advantage for the filmmaker.I don't intend to say anything about the story of the film, whether it's supernatural horror or the breakdown of a madman's mind, is still debated among cinephiles, even 40 years after the film's release. And that's also a thing which makes the film a great one! Rather than just showing what the maker wants to show, Kubrick lets the viewer decide what the film is, by making him analyse the film from his perspective and come up with an interpretation. This is a form of interactive cinema, an indirect one though.The Shining is one of the greatest horror masterpieces or even one of the best films of all time.",False
