Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"They are six men, not six symbols.",Roachbaby,n/a,15/08/2025,"History is made up of Human beings, not countries, not politics.",False
2,10,"Tininess through disaster, greatness through struggles",kejinlee,n/a,15/08/2025,"Thank you for making this documentary, it's fabulous!! It touched me so deeply when I saw the tininess of men through disaster and their greatness through struggles. I also saw an immigrant who could fight for justice but could also forbear all these traumatized memories alone after being a father. Although carrying heavy memories, these survivors still lived their ordinary life, generation after generation. For such a well-made documentary, it's really a pity that the showtime is so limited here in the mainland of China. I do hope more people can be witnesses so the truth would be more meaningful. As a teacher, I will definitely recommend this documentary to my student to help them think more deeply about racism and anti-immigration policy. Thank you all again for your meaningful research!",False
3,10,Never believed a documentary could be so entertaining while also fascinating,tienruay,n/a,15/08/2025,"This film keeps you totally engrossed through the sheer process of discovery. It is a film about surviving, about tenaciousness and about the dark side of racism and policies like the Chinese Exclusion Act. It is also about families and their journeys. Emotionally rewarding and beautifully filmed. Highly recommended.",False
4,10,Truth is always too bitter to swallow,patrikzhao,n/a,15/08/2025,"Truth is always too bitter to swallow, Bias and ignorance are just under the skin of indignity and glory.",False
5,10,Very moving,safenoe,n/a,15/08/2025,"SpoilerThis poignant and moving documentary about six Chinese survivors of the Titanic is a documentary for the times. Shame on those in power who imposed the Chinese Exclusion Act as part of the racist policies to shut out the Chinese who, as James Cameron emotionally described in a guest appearance, ""built the damn railways which formed the backbone of this country"".The final scene was very moving, with the descendant of one of the Chinese survivors meeting a descendant of one of the British survivors who rescued the Chinese survivor.",True
6,10,Hope it can change some people's discrimination attitude,bjx-02055,n/a,15/08/2025,"As long as discrimination is by eliminated, the identity politics will end.",False
7,10,Truly Incredible!,chowjasmine,n/a,15/08/2025,"I have written and edited this review almost 5 times in my notes because it's hard to put into words how incredible this was. I was amazed at the ability for the researchers and cast to connect all this information and tell the story of such strength and courage. I have immense respect and gratitude to all the people involved in this production for their attention to detail and willingness to commit to revealing and sharing with the world such an important part of history. As I sat watching, I felt moved and overcome with so much emotion and awe. I left feeling so inspired and in awe of the human spirit and those who produced this incredible film. The director, Arthur Jones seems like such a down to earth person, and his talent is something I truly admire. Thank you to all involved for sharing this story with the world! I have written so much, but I mean every word. I have actually never written a review for anything before, but it truly was incredible and I could not recommend it enough!!Thank you!",False
8,10,The power of research!,markpallis,n/a,15/08/2025,"This was great. Like many, I had no idea about this story, and I loved feeling part of the twists and turns of trying to get to the bottom of the mystery. There is a delightful honesty to the storytelling. Very well worth a watch.",False
9,10,you wont found the facts about The Six elsewhere.,johnnykeh,n/a,15/08/2025,"Thank you everybody for the great documentary.You wont found the facts about The Six elsewhere.I never finished watching Titanic, but i love this documentary.",False
10,10,Very ironic to see this movie during this clash between east and west.,sunpeng23-828-227071,n/a,15/08/2025,Very ironic to see this movie during this clash between east and west.,False
