Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,"""If you're not paying for the product, then you are the product.""",classicsoncall,n/a,16/08/2025,"SpoilerIt shouldn't be a shock to users of social media that the platforms are manipulative, but if the idea never entered your mind, this documentary will go a long way to convince you. It actually gets scary when you hear the developers of the software and algorithms that comprise one's social media experience state that they won't even let their own families use it. That's probably a stretch because as we all know, there's potentially good and bad in just about everything, but when it comes down to the wire, it's money that makes the world go round, and the monetization of sites like Facebook, Instagram, Pinterest and Twitter suggest that one only exists to become a paying customer. Call me naive, but when I learned that budding programmers can immerse themselves in a course designed around Persuasive Technology, it sent a bit of a chill down my spine. In other words, there's a behavioral science that maintains as it's central tenet the ways in which these technologies can separate you from your money. There's also the very real danger of polarization whereby one is bombarded with clickbait that feeds off of prior keystrokes and web visits. It's actually a bit surprising that this film currently airs on Netflix because one would associate it with the usual suspects mentioned in the picture. After all, as soon as you finish watching this film, you automatically get suggestions on what to watch next. Come to think of it, you get 'More Like This' on every IMDb title page.",True
2,9,Not a dilemma,spavaai,n/a,16/08/2025,"It's partly unbelievable a documentary like this has not aired yet. Albeit not perfect in execution - the acted part is underwhelming - it is a definite eye opener and should be watched by teens, parents, entrepreneurs, politicians and everybody else.",False
3,8,One of the most disturbing thing I've ever seen.,Djarie09,n/a,16/08/2025,"Please do yourself a favor and watch it.Social media is not only scarring self esteem, making people question their self worth, causing dissatisfaction in life, increasing depression and suicides at an alarming rate but now has transcend past to more dangerous territory. It is now altering behaviour and changing the perception of how people perceive this world rigidly than ever at the expense of attention that is being sold.Democracy is being toppling around the world, political divide is higher and more extreme than ever, false news is spreading faster than the speed of light, citizens are on the verge of civil war.This is bad and I can see it, I just didn't knew social media is responsible for it.",False
4,9,"This documentary is 5 years too late, but still in time",naeggha,n/a,16/08/2025,"A must see. Even these movie elements are important, becausevthey show exactly what happens, if you interfere with this system.
You will overthink your personal social media habits completely and though be completely dazzled, because from now on you don't believe anybody anymore :D",False
5,10,I've been seeing this coming.,Msbnitski,n/a,16/08/2025,"SpoilerI'm in my 60's. I am at the age when I have seen this coming for years. Since the internet came along it was a marvel. Wow, we could buy things, sell things, look up things, communicate with others, amazing.Fast forward with social media. Everyone is a arm chair critic. We all scroll to the comments first. We like Twitter, Instagram, I got away from Facebook posting but, I still go on to see what others post, huh? As I have heard before, social media is the toilet of the internet, it is.This documentary is explaining what us old people have been seeing with younger people being totally obsessed with screens. Kids are growing up with phones attached to their hands not fully understanding what the meaning is behind likes, emojis, thumbs down and criticism. We sit back and watch as people are staring at, talking to and being totally engrossed with their devices. I use mine to get help if I brake down in my car.I right now have been cut off from a friend of 40 plus years because we don't agree on politics. He will not talk to me right now. My sister sends me daily emails of her point of view on who to vote for. My neighbors phone beeps constantly with notifications coming from everywhere, hard to talk to her.I have no children and I'm glad now because of the way the world is spinning out of control because of the media spoon feeding us whatever it is that we choose to watch, crazy. I feel for people out there that are trying to raise their children with ideals and morals that help them grow into responsible, humble, trust worthy adults.This documentary is very important for everyone to watch and wake up and realize that so much information out there is either fake or false and our personal information is being sold. Please look at what is happening in the world. We have come to far as humans to let the social media bring us to our knees. As Senator John Tester said, ""I will be dead and gone by the time this all comes to fruition."" I get that and I have said it many times.",True
6,6,Good content but lousy dramatizations,bernierdan,n/a,16/08/2025,A documentary should be just that. This doc lost credit with the ridiculous acting scenes. They cheapened the message. Please take note future documentarians! No more stupid dramatizations in documentaries!,False
7,9,The Unnecessary Scripted Part is Distracting,natsthename,n/a,16/08/2025,"Truly eye-opening piece about social media and its effects on our world. The only quibble I have with it is the scripted portion of the show, which was unnecessary and distracting.Show this to the Gen Z'ers in your family, which will, of course, cause eye-rolling and ""Ok, boomer"" to roll out of their mouths. Still, maybe it will hit home with them eventually.",False
8,7,Great doc rubbish drama,keithbolton,n/a,16/08/2025,"The mixing of the 2 formats doesnt really work.The dramatic sections dont add much to what the talking heads have already said.Hving said that, the experts are great. They add detail behind some of the ideas which we already know, but explain the background and rationale.Recommended - but frustrating whenever a badly scripted drama gets in the way.",False
9,8,This documentary is a paradox,brettsanace,n/a,16/08/2025,"First let me say I liked the messages conveyed in this documentary (not so much the dramatisations} and believe they are important and true, but ...
Is that because it was a one sided documentary (which it was) which always makes for a much more persuasive argument? Also, did I only watch this because it appeared on my Netflix Home page, and is this just because Netflix knows that I like these types of documentaries? If so, then I feel like I may have been manipulated by the technology and that this could actually be fake news, however if that is true then the arguments contained in the documentary are true which makes it real news. My head is spinning, it is too much for my simple brain. I think I will just go and check my Facebook page to make sure that people still like me.",False
10,6,Hmmm.🤔 Some good stuff ... and some very bad.,Entheogenesis,n/a,16/08/2025,"Hmmm. 🤔
Some good stuff ... and some very bad.
The first half, and about the last five or ten minutes ... where practical (data-driven) advice is given in terms of identifying problematic issues, and managing kids' usage (particularly) ... is good.
But I found most of the second half to be seriously condescending and propagandistic ... in respect of ""conspiracy theories"" etc.
Which is hilariously ironic, because the whole doco is basically talking about the ACTUAL (massive!) conspiracy-theory which has played out over the last 20 years to mine our attention and make users a disposable product. LOL. 🙄
Obviously I wasn't expecting much (it being a Netflix production).
But there are problematic issues, and at least they are raised in this doco ... even though the production comes with a bucket-load of stuff I think is assumptive, selectively judgmental, manipulative, fundamentally irrelevant to the main problems, and accordingly, unhelpful and a little irritating to sit through.
Overall though, it is absolutely worth watching ... mainly for reasons of being able to unplug kids before they become completely useless human beings.
For some though, it is already too late. 🙁",False
