Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Everything's Jake In Second Trip To Well,slokes,n/a,15/08/2025,"The fix is in, the odds are set, and the boys are ready to play for the big time, both on the screen and behind the camera in this breezy, endlessly entertaining movie classic.Robert Redford is small-time hustler Johnny Hooker, happy to play the marks in Joliet until the murder of his mentor pushes him to go up against the nastiest mug in Chicago, Doyle Lonnegan (Robert Shaw.) Hooker'd rather ice Lonnegan outright, but will settle for a big con with the help of a slightly wobbly but game scammer named Henry Gondorff, played as only Paul Newman can.Newman and Redford, along with director George Roy Hill, had a lot riding on this pony, given it was a follow-up to their earlier ""Butch Cassidy And The Sundance Kid."" To measure up, they had to produce nothing short of another classic. And so they did. ""The Sting"" won the Best Picture Oscar in 1973, and remains the sentimental favorite among many in choosing between the two films.Comparing ""The Sting"" to ""Butch Cassidy"" is kind of overdone sport, and tempers, as Lonnegan would say, run hot. But you can see why ""The Sting"" worked as well as it did by looking at how the director and the stars played it differently within the same basic framework as ""Butch Cassidy."" Newman and Redford are again outlaws and underdogs. Period detail abounds here as it did with ""Butch Cassidy,"" and there's another memorable score amid the proceedings, Scott Joplin rags modernized by Marvin Hamlisch. The score even produced another hit, ""The Entertainer,"" to compare with ""Raindrops Keep Falling On My Head.""What's different about ""The Sting,"" and what makes it such a classic in its own right, is the way the stars service the plot. In ""Butch Cassidy,"" Newman and Redford's comradeship was the story. Here, the chemistry between the two actors is minimized in favor of spinning a yarn with enough red herrings to feed the Swedish navy. The tale here is better than ""Butch Cassidy,"" which is a more elegiac film with grander cinematography and funnier set pieces. ""The Sting"" is an edge-of-your-seat caper flick from beginning to end.You can't really call ""The Sting"" a comedy. Though there are many laughs, especially when Newman hooks Shaw during a poker game, Hill won't let the audience relax enough for that. What this is is a con game, played on the audience, designed not to cheat but entertain by means of clever hoodwinking and constant misdirection plays.You'll get no spoilers from me. This is one worth sitting through with no expectations. Five gets you ten you'll enjoy Newman and Redford, and a terrific supporting cast (one advantage over ""Butch Cassidy"") that includes Charles Durning, Eileen Brennan, Dana Elcar, Harold Gould, and Mr. Hand himself, Ray Walston. There's another familiar face from ""Butch Cassidy,"" Charles Dierkop, Flat Nose Curry in ""Butch Cassidy"" and Lonnegan's right hand here. The best performance may be Robert Shaw's; he exudes menace aplenty but some humanity, too, when he takes Hooker under his wing after learning he came from the same hard streets of Five Points Lonnegan sprang from.Terrific period detail, too. The dialogue is great and feels real in its Runyonesque way, while the cons are elaborate and logically played out. Watching this a second time is especially fun because once you know how the plot goes down, you find yourself catching clues you missed the first time, and enjoying the film even more for them.Why didn't Newman and Redford team up again? Certainly there was another good movie for them to partner up in, but as Gondorff would have put it, only chumps don't quit when they're ahead.",False
2,9,The clever plot makes multiple viewings mandatory for full enjoyment...,Doylenf,n/a,15/08/2025,"SpoilerTHE STING is so full of twists and turns at every unexpected moment that it never stops drawing you into all of its traps. All of it is performed at a fast clip and the performances have all the nuances needed to keep you entertained and in suspense.Sparked by perfect period detail, a Scott Joplin piano score courtesy of Marvin Hamlisch and grand performances, it is gritty and at all times entertaining--it deserves to be seen more than once to relish all the tricks you missed the first time.For full enjoyment, a plot description is better left for the first time viewer to discover so I won't give any plot details here.The three central performances are perfection--Robert Redford, so comfortable in a role he was obviously born to play, Paul Newman, the epitome of a confidence trickster and Robert Shaw as the man who falls hard for The Sting. Newman and Redford are even more at home here than they were as Butch Cassidy and the Sundance Kid.No wonder it won so many '73 Oscars--including Best Picture. A film to relish again and again, with scenes that never lose their punch. The story is full of clever touches that will hook you into the 1930s atmosphere and have you waiting for the knockout ending.Watch for the scene of Redford and the waitress he seeks out at 2:00 a.m. It's the kind of acting that can melt your heart.",True
3,9,The Moral Order Restored,JamesHitchcock,n/a,15/08/2025,"SpoilerJohnny Hooker and Luther Coleman are 'grifters' or confidence tricksters in 1930s Chicago. Unknown to them, however, one of their victims works for a vicious local gangster named Doyle Lonnegan, and when Lonnegan finds out what has happened he has Luther murdered. Hooker is not a violent man by nature and admits that he does not know much about killing, but nevertheless wishes to take revenge for his partner's death. He decides that the best way is to hurt Lonnegan's pride by relieving him of some of his wealth. He joins forces with another con man named Henry Gondorff, and together they come up with an elaborate plan, not only to cheat Lonnegan, but also to do it in such a way that he never realises that he has been cheated. The plot unfolds with great ingenuity; until the final denouement the audience are never quite sure which developments are for real and which are part of the elaborate scheme.Crime thrillers set during this period are normally associated with the classic 'film noir' style, with its dark, brooding, cynical atmosphere. In 'The Sting', however, George Roy Hill deliberately sets out to create a very different mood. The style is almost the exact opposite of film noir. The acting is heavily stylised (as is the scenery), and the division of the film into sections with titles such as 'The Hook' or 'The Line' is reminiscent of the formal division of a stage play into acts and scenes. The film is not in black-and-white but in bright colour, and the mood, far from being heavy and brooding, is light and cheerful. Scott Joplin's music, although written slightly earlier than the period in which the film is set, fits this mood perfectly. The major actors all play their parts perfectly- Robert Shaw as the glowering, menacing Lonnegan, Robert Redford as the young, idealistic Hooker (insofar as a con-man can be said to be an idealist), and Paul Newman as the older, more experienced and laid-back Gondorff. There are also good contributions from Charles Durning as the corrupt policement Lieutenant Snyder and Robert Earl Jones as Luther.Despite the cheerful mood, the film has serious undertones in keeping with its themes of revenge and murder. I am not usually a great admirer of what are known as 'heist' or 'caper' movies, as I feel that too often they glamourise crime and dishonesty. 'The Sting', however, is different. Hooker and Gondorff live in a world where the moral order has broken down. The police are hopelessly corrupt- Snyder, the one representative we see of the forces of law and order, is on Lonnegan's payroll. There is no chance of Hooker getting justice for his friend's murder through the normal channels; the only way in which this can be achieved is to go outside the law. Where the police are crooked, only the criminals can execute justice. The emotional satisfaction we feel at the end of the film is because a sort of moral order has finally been restored and, moreover, because this has been done without anyone getting injured except Lonnegan's wallet. An excellent film, which well deserved its Academy Award. 9/10.",True
4,n/a,You wanna make a film - here's how...,n/a,n/a,15/08/2025,"A delicious wheeze from start to finish. Certainly a film that leaves you thinking that you'd like to have been in Henry's gang and played a part in separating Lonnegan from his dough. The editing is pin sharp and beautifully cast with a superb musical track to keep you company. The framing, the photography, the pace all dovetail exquisitely and if you feel left outside of the game plan in your first viewing, never fear, the second time of watching, you'll enjoy it just as much but it will mean more. Certainly it's a film you'll want to see a second time. At least. Oscars rightly by the handful and nominations are full deserved to combine for a winning performance by all concerned. Definitely in my top fifty of all time.",False
5,10,Working The Big Con,bkoganbing,n/a,15/08/2025,"The Sting, evoking a bygone era of gangsters and con men, was the deserved Best Picture of 1973. The Sting won that Oscar plus a whole flock of technical awards. One award it didn't win was for Robert Redford as Best Actor.That must have been tough for the Academy voters because to single out Redford as opposed to Paul Newman must have felt a bit unjust. For though Newman was nominated many times over his career and finally did win for The Color of Money, did not get a nomination for The Sting.Robert Redford is a small time grifter who while working a bait and switch street con takes off a numbers runner carrying the weekly take. The orders come down from the head man himself, Irish-American gangster Robert Shaw to kill those who did this as an example.Redford's mentor, Robert Earl Jones, is in fact killed, mainly because Redford starts spending a lot of that newly acquired loot that tips them off. Redford wants revenge so he looks up big time con man Paul Newman who himself is dodging law enforcement as is Redford also.They work the big con on Shaw and it's a beauty. The scheme they have is something to behold. They also have to do a couple of improvisations on the fly that lend a few twists to the scheme.The costumes and sets really do evoke Chicago of the Thirties and director George Roy Hill assembles a great cast to support Newman and Redford. My favorite in the whole group is Charles Durning, who plays the brutally corrupt, but essentially dumb cop from Joliet who nearly gums up the works and has to be dealt with.Special mention should also go to Robert Shaw. He's got a difficult part, maybe the most difficult in the film. He's not stupid, he would not have gotten to the top of the rackets if he was. But he also has to show that hint of human weakness that Newman, Redford, and the whole mob they assemble that makes him vulnerable to the con.During the sixties and seventies Robert Shaw was really coming into his own as a player, getting more and more acclaim for his work. His early death was a real tragedy, there was so much more he could have been doing.Can't also forget another co-star in this film, the ragtime music of Scott Joplin that was used to score The Sting. It probably is what most people remember about The Sting. Music from the Theodore Roosevelt era, scoring a film set in the Franklin Roosevelt era made while Nixon was president. Strange, but it actually works.The Sting still works wonders today.",False
6,10,The caper movie uber alles,moman818,n/a,15/08/2025,"A magical plot, dead on art direction, brilliant supporting roles (most notably Robert Shaw, ya falla?), and the guiding hand of Redford/Newman chemistry make this one of the Hollywood's great films.  ""The Sting"" is a hallmark of the ""Golden Age"" of American film, and has molded not only countless films, but numerous genres, few of which have met the challenge of its master.",False
7,10,Quite good--especially the first time you see it.,planktonrules,n/a,15/08/2025,"SpoilerIt's been decades since I've seen ""The Sting"" and I decided to try watching it again. As a result of having seen it a couple times, I have some impressions I might not have had the first time. First, the film is awfully pretty--with some of the nicest titles and intertitle cards I've seen. It also is well-constructed--with several plots being interwoven quite well--a tribute to the director, George Roy Hill. The acting is quite nice and it's interesting that the film won seven Oscars--and none of them for acting! And, just like the first time, the Scott Joplin tunes are terrific. The only real negative is that because I'd seen it before, there were no surprises--and surprises are what makes this such an enjoyable film. Without the surprise, the film lacks something the second time--something that isn't true for all films. ""O Brother, Where Art Thou?"", for example, seems to get better each time you see it--but ""The Sting"" does because the movie is so dependent of surprise plot twists.The bottom line is that for first-time viewers, the film is very hard to beat and it's easy to see how this $5.5 million dollar film brought in over $159,000,000 domestically--making this is mega-mega blockbuster. It's an exceptional film in every way.",True
8,10,And Don't Forget Scott Joplin!,gelman@attglobal.net,n/a,15/08/2025,"I agree 100 percent that this is a wonderful movie. I first saw it over 30 years ago, and it remains vivid in my mind while I can't remember zip about movies I saw last week which others have praised and I found wanting. I can't think of another film about double and triple crosses that deserves to be mentioned in the same sentence with ""The Sting"" (which doesn't mean that some of the others haven't been good). In addition to all the things that others have praised, one of the most memorable features of this film is the use of a Scott Joplin rag, which both lends a distinctive period touch and adds a sense of fast-paced motion to the action. I'm not much for ranking films -- top five, top ten, top 250 -- but this is one of the best. If you haven't already seen it, drop everything and find the DVD. As pure entertainment, it can't be beat.",False
9,8,The Smart Swindle...,Xstal,n/a,15/08/2025,"Doyle Lonnegan (brilliantly played by Robert Shaw) is a mean and vengeful villain, his retribution leads to you, losing a friend (he's after you too), you find your way to Henry Gondorff (coolly performed by Paul Newman), a sting is conjured around a horse (or horses), then you gather several cons, play let's pretend. The irritation is lieutenant William Snyder (played by the excellent Charles Durning), he's on your tail, and it's not long, before he'll find you, but there are ways to cause distractions, to pervert his satisfactions, as Johnny Hooker (Robert Redford nails it to perfection) you deliver quite a blinder.Perpetual perfection that continues to deliver to this day.",False
10,10,You falla?,livealittleday,n/a,15/08/2025,"I was blown away by ""The Sting."" I'm a fan of caper films such as the ""Ocean's Eleven"" or ""National Treasure"" movies, and this is no exception (in fact, this is probably the best caper film I've seen). I didn't think Robert Redford and Paul Newman would be able to top ""Butch Cassidy and the Sundance Kid,"" their previous film together, but they totally did. It's a great plot that ends up ""stinging"" not only the characters but the audience as well (see it to find out what I mean). It's a great balance between comedy and drama; it can be quite dramatic, but when it's funny, it's very funny. The plot involves Newman and Redford taking revenge on a gangster who killed one of their men. It's a complex, fun-filled story that entertains and mesmerizes. Some people are shot with guns, but nothing in the film is too difficult for the average person to watch, in my opinion. Not only are Newman and Redford excellent, but so is the supporting cast, including Robert Shaw, Harold Gould, and Charles Durning. The film won Best Picture of 1973, which was deserved. The film is just excellent. One of my personal favorites.",False
