Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,"Captivating, intense film",SpacemanBob,n/a,15/08/2025,"An amazing, courageous woman on a mission to find justice for her brutally murdered 16 year old daughter. Her story is all at the same time inspirational, tragic, and infuriating.I wasn't familiar with this case prior to the film, some of the things that take place are just maddening. Asking myself, how could this be?Very well done film. It's worth seeing for sure.",False
2,9,Heartbreaking,sanateam,n/a,15/08/2025,What a dysfunctional world we live in! This can't be the life humans were created to live.,False
3,9,"This is Mexico, a femicide country...",cocoboy-74647,n/a,15/08/2025,"Marisela and Rubí are just one of thousands of the femicides that ends unpunished. The film portray the feminist movement as the actual situation,the suffering of the familys that lost someone and the frustration of can't do nothing because the country is full of corruption and violence.",False
4,10,Incredibly moving!,Tiionax,n/a,15/08/2025,"Such a powerful documentary!
As someone who never heard of Marisela Escobedo, I am still shaken by this story and in awe of this woman!Kudos to entire team who made this! I hope her name and her story will be known all over the world.Do yourself a favor and go watch this!",False
5,10,AS A MEXICAN...,anettevrivera,n/a,15/08/2025,"I am glad they did this documentary about this case, about Marisela, whos case I didn't witness cause I was young, and to know that we've always as WOMAN have been fighting for justice it's just so unfair to see, that we mean so little to the government of Mexico it's just too much. I hope everyone sees why we have to protest, to destroy things, CAUSE YOU GET NOTHING BY BELIEVING IN THE SYSTEM, you get killed!",False
6,10,I Wept,awebs-44571,n/a,15/08/2025,"Powerfully moving and utterly gut-wrenching. Create the appropriate time and space to watch this, as it will linger heavily with you for a while afterward.",False
7,10,Heartbreaking,colegodfrey,n/a,15/08/2025,"I had no background of this case prior to watching the documentary. Just when I would think the story was starting to slow down, it would take unexpected twists and turns. The injustice Marisela (and her family) experienced is truly heartbreaking. Yet, Marisela herself must have been an incredibly strong person to seek justice for her daughter, while putting herself into danger. I highly recommend watching this. Just be prepared for an extremely sad documentary.",False
8,7,An above average crime documentary,Jeremy_Urquhart,n/a,15/08/2025,"A compelling and very sad story. I think as a documentary it was executed alright, but it's definitely more impactful for what the story is rather than the way that story's told.Presentation also feels a bit too sleek and ""Netflixy"" for lack of a better word, with all the uninspired music and certain editing decisions you see time and time again in their true crime documentaries, but at least it's 109 minutes rather than a 10.9 hour miniseries.It's engaging for most of that runtime, too. Some of the aspects of the story being milked for suspense/shocks might usually rub me the wrong way, but I don't think it crossed a line here. Plus so many interviews with family members makes me optimistic they were okay with the way their story was told, which is the main thing.",False
9,10,Speechless,daze_r,n/a,15/08/2025,SpoilerSuch a powerful and heart wrenching story. Did anyone else notice in the end where it was stated that ex Chihuahua governor César Duarte was captured earlier this year in Miami for embezzlement charges 😳,True
10,6,Sad,fmwongmd,n/a,15/08/2025,Portrayed here is a very dysfunctional justice system in Mexico centering over the murder of Marisela Escobedo's daughter.,False
11,10,Eye opening,lesliecarriedo,n/a,15/08/2025,Idk if I missed it but does anyone know what happened to the baby of the daughter?,False
12,10,Sad masterpiece,danielcereto,n/a,15/08/2025,"My girlfriend is Mexican and she was the one to point me towards this Documentary. It is a real sad story about the situation of women and children in Mexico. Thanks God the situation has changed a bit for better but still a long road to drive to achieve at least European standards.First, this one is a realistic documentary with real and shocking images about the whole story is brutal. The family involving and caring here made me cry. I felt sad for the family even I didn't know anything about the story before watch it.Second, politicians, judges and law enforcement s*cks. I can barely understand why this story went too far.Anyway I don't want to spoil anything watch it and learn about who was Marisela Escobedo.",False
13,10,True injustice,eryui,n/a,15/08/2025,"This documentary is a punch in the face, it really makes you angry and very sad.
A woman, an exceptional mother, left alone against vile cowards, corrupt and criminals instead of being defended in every possible way.
It really made my blood boil.10/10 because her story had to be honored, told and disclosed.",False
14,8,"Justice sought, justice denied",jondallaslawyer,n/a,15/08/2025,"At its center, this movie is about a mother's struggle to bring her daughter's killer to justice. But in a broader sense the movie is about all the mothers in a Mexican state looking for their disappeared daughters. The filmmakers do an excellent job of bringing these people to life. But don't expect a happy ending.",False
