Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,The Wizard of Oz,Coxer99,n/a,15/08/2025,"Fantastic tale about a Kansas farm girl who's spirited off to the wondrous land of Oz. The film still tingles with freshness and beauty. Garland is forever memorable as Dorothy Gale, the young girl and the supporting performances of Bolger, Lahr,Haley, Hamilton and Morgan are all stand out and will remain national treasures. The superb songs of E.Y. Harburg and Harold Arlen are still beautifully blended with the lovely photography, cinematography and art direction. Unforgettable!!!",False
2,9,We're off to see the Wizard! The Wonderful Wizard of OZ! This movie is so magical!,ironhorse_iv,n/a,15/08/2025,"SpoilerDirected by Victor Fleming, the 1939 musical fantasy film produced by Metro-Goldwyn-Mayer, is probably the most well-known and commercial adaptation based on the 1900 novel The Wonderful Wizard of Oz by L. Frank Baum. While the film is so dated, it's still watchable even today becoming part of American pop culture. The film is known for its use of Technicolor, fantasy storytelling, musical score and unusual characters. The movie starts out amazing black and white, with Dorothy Gale (Judy Garland), a young farm girl who lives with her Aunt and Uncle, in Kansas in the early 1900s. She decide to run away, due to Dorothy's dog Toto, biting a neighbor. Before she can get far, a tornado comes up, carried her and her house to the Technicolor world of Oz. Dorothy find out that the only way to get home is to find the Wizard (Frank Morgan). With help from Gilda, the Good Witch of the North (Billie Burke) and some new friends on the way, like Scarecrow (Ray Bolger), Tin-Man (Jack Haley) and Cowardly Lion (Bert Lehr), they make their way to the Wizard on the dangerous yellow brick road, where the Wicked Witch of the West (Margaret Hamilton) is looking for revenge for Dorothy accidentally killing her sister. All the actors were wonderful in their roles, playing multiply complex parts, bringing the comedy and music and dance alive. Still, it was bit over the top. All the actors also play the farmhands in the beginning, making you wonder if all this Oz was just a dream. That was the main different between the film and the book. There were other things that the film change, such in the case of Dorothy's age. Shirley Temple was originally wanted for the role, but since they couldn't get her. They got Judy Garland and had to change the age from 7 to 16. They even wanted the blonde curls that Temple is famous for. The wig was top heavy and kept getting mess up, so they took it out, and went with Garland's natural hair. It's creepy in a way, that Dorothy was literally based on Frank Baum's daughter that die in childbirth. Frank Baum was known for his medium spiritual belief, and you see it in the character of Professor Marvel (also Frank Morgan). It's believe that the Wizard character represent fault power leader. The Wizard can be allegory to what Baum thought was fault power leader at the time, such as President McKinley who introduce the Gold Standard, in which many historians believe was represented by the Yellow Brick Road. Oz is indeed: an abbreviation that stands for gold, a hot political topic of the day where people were rallying for fixed gold and silver ratios. Some believe that, the Wizard in the film represent Franklin D. Roosevelt who was known to make illusions to sound strong and look powerful, when trying to present the New Deal to Americans at the time. Emerald City is allegory to Washington D.C that looks like money, but in the end, the film, it was dull white. If the novel, Emerald City look was based off the White City in the 1893's Chicago World Fair. Then 1939's Emerald City was the New Deal, Washington D.C. Then, all of Dorothy's friends could be presented as Coxey's Army, an group of unemployed workers made out of farmers (Scarecrow), laborers (Tin-Man) and free silver supporters (Cowardly Lion). It is said that the Lion represents 19th century politician William Jennings Bryan, who was viewed as someone having a load roar, but no power or bite. Honestly, in the book, the Bimetallism Ruby slipper were really silver. There were a lot of things that wasn't in the film that was in the novel such as the visit to China Country, Queen of the Field Mice, the battle with Giants Spiders & Kalidahs, and the attack of the armless Qualdings. Talking about missing limbs. Civil War vets with prosthetic limbs were inspiration for the Tin-Man. There is a tale that Tin Man was indeed a munchkin named Nick Chopper. The screenwriters wanted Tin Woodman to be a hardened criminal so heartless he was sentenced to be placed in a tin suit for eternity. The torture of being encased in the suit had softened him and made him gentle and kind. Wow, that's really dark. Another dark urban legend claimed that, in the film, a Munchkin could be seen committing suicide by hanging by the neck from behind a prop tree and swinging back and forth in the left background, but it was just a bird. There were a lot of weird rewrites, like a spoiled, selfish princess in Oz outlawing music and others. The role of the Wicked Witch of the West was also enlarged for the movie. While, the Witch of the West in the novel was less evil. I think this role fit the film, well. Mad props to Hamilton for continuing the role after getting badly burn during production. There are at least 44 major differences between the book and this movie. Nevertheless, the film was far more faithful to Baum's original book. Still, they almost cut the most famous song from the movie, 'Somewhere over the Rainbow' written by E.Y 'Yip"" Harburg. Glad, they kept it. The song ""The Jitterbug,"" was instead delete. The film footage for the song been lost, but you can find the 'Jitterbug' footage rehearsals on newer DVDs version. I still dig the other songs. ""Ding! Dong! The Witch is Dead"" ""We're Off to See the Wizard"" and ""The Merry Old Land of Oz"" are some of my favorites. The movie always have great special effects, and top production value for the time. Still the story is lacking an overall moral and there were lot of not necessary extra scenes that could be cut out. Overall: a great movie that will forever be known as one of the greatest movies of all time. I have to agree.",True
3,8,"Classic fairy tale with dazzling fantasy , colorful images , impressive songs and enjoyable roles",ma-cortes,n/a,15/08/2025,"Marvelous tale in which Dorothy Gale (Judy Garland , she had to wear a painful corset-style device around her torso so that she would appear younger and flat-chested) is swept away to a magical location in a tornado and being transported on the land of Oz she embarks on a quest to see the Wizard (Frank Morgan , he plays various characters) who can help her return home . The film opens in sepia-tone academy ratio for the Kansas scenes, before widening out and blooming into full color in Oz . There appears Dorothy and her dog when she is hurled away from dusty Kansas to the vibrant Land of Oz. She's helped by the Good Witch of the North (Billie Burke) , but she's also in trouble with the Wicked Witch of the West (Margaret Hamilton, many of her scenes were either trimmed or deleted entirely, her performance was thought too frightening for audiences) . Reluctantly drawn into the problems facing the Land of Oz and its inhabitants, Dorothy must find out who is good and who is evil before it is too late. On her way she meets the Munchkins (they are portrayed by the Singer Midgets, named not for their musical abilities ,the troupe came from Europe to immigrate and escape the Nazis) , a Scarecrow (Ray Bolger , face makeup wore consisted, in part, of a rubber prosthetic with a woven pattern to suggest cloth) who needs a brain, a Tin Man (Jack Haley who wrote additional dialogue) who wants a heart, and a Cowardly Lion (Bet Lahr , he wrote additional dialogue , too) who desperately needs courage . Putting their arts to use through illusion, ingenuity-and even a bit of wizardry they transform themselves not only into the great and powerful helpers of Oz but into the better friends as well .This is an agreeable film for children of all ages based on the all-time classic by Frank Baum . This engrossing picture contains powerful ,haunting images and immortal songs ,in fact the song ""Over the Rainbow"" was ranked #1 by the American Film Institute in 2004 on the 100 Greatest Songs in American Films list . Beautiful scenery , colorful cinematography by Harold Rosson , spirited adventure and a stirring climax lift this story . It is a genuine as well as imaginative tale written and directed with great sensibility , fairness and imagination. It's plenty of scenes that stay in the mind as when Dorothy/Judy Garland appears at the 'other side' that results to be the fantastic as well as glowing world of OZ . There's something for everyone here ; fans of fantasy , fans of magic and necromancy , fans of incredible adventures , should all find something to enjoy about this film . A perfect cast and enjoyable secondaries in the perfect fantasy . As a likable acting by Judy Garland as an adorable girl who is swept away to an enchanted land . Sympathetic support cast such as Ray Bolger , Billy Burke , Charles Grapewin , Jack Haley , Frank Morgan and Margaret Hamilton as witch ; among others . Spectacular and glamorous sets , production designer Cedric Gibbons studied the films of Walt Disney classic films to achieve the appropriate Art Deco design for the Emerald City of Oz . The film was completely shot in studio , the only location footage in the entire film are the clouds over the opening titles . The director opted to use practical sets in conjunction with matte painting . The motion picture was stunningly directed by Victor Fleming , though supported by other notorious as well as uncredited filmmakers such as George Cukor , Norman Taurog , King Vidor and Mervyn LeRoy , also producer . However , Richard Thorpe, the original director of the film, had shot around two weeks of footage before he was fired . A recent study claimed that this is the most watched movie in film history, largely due to the number of television screenings each year as well as video which has enabled children of every generation to see it.This story about OZ has been adapted several times such as : An old and mute version (1925) , this classic and the best rendition , the MGM release ¨The wizard of Oz¨ (1939) by Victor Fleming with Judy Garland , remade in 1978 as ¨The Wiz¨ by Sidney Lumet with Diana Ross , Richard Pryor and Michael Jackson and ¨Return to Oz¨ (1985) by Walter Murch with Fauriza Falk ,Nicol Williamson, Matt Clark and Piper Laurie . And recent prequel (2013) by Sam Raimi titled ¨Oz the Great and Powerful¨ with James Franco as Oz , Mila Kunis as Theodora , Rachel Weisz as Evanora and Michelle Williams as Annie .",False
4,10,Perhaps the most well known and watched film in history?,AlsExGal,n/a,15/08/2025,"This film predates my birth by 19 years, so I've seen it as a child when it was an annual event on network TV, stretched out to hours in length, believably due to commercials and maybe not so believably today due to the network hosting and talking about the film a little during breaks.Today at age 55, when it shows up on Turner Classic Movies, even though I have in my possession the deluxe ""Wizard of Oz DVD Set and Museum in a Box"", I'll still stop and watch it from whatever point I catch it to the end. Having the advantage of having seen it at all ages I can truly say that it has enough fantasy and whimsy and spectacle to keep the interest of children without being inane so that adults cannot appreciate it too. I think in all of filmdom only Walt Disney in Walt's time with his animated features and Pixar in modern times have been able to strike that balance. Even ""Star Wars"" has lost a step or two in the 36 years since its release.Wizard of Oz has the universal themes of the value of friendship and family, of how many of us have strengths and virtues inside of us we'll never believe we have until tested, and how many powerful people are literally all hot air. ""Pay no attention to that man behind the curtain"" is practically a slogan of American politics as I am writing this in the year 2013. Then there is beautiful Judy Garland when her exterior still matched her voice, before the studio system chewed her up and literally spit her out. She was never more lovely than she is right here. You'd never believe Billie Burke as the good witch Glenda is 55 years old. You'd never believe that Margaret Hamilton as The Bad Witch is only 37. I remember seeing her on a daytime commercial in the 1960's as a child and thinking ""Isn't she dead yet?"" There is maybe one aspect of this film that is uniquely pre-WWII. The theme of the film - ""Never look for anything if you can't find it in your own backyard"" is a motto for the isolationist years between the wars that would be left behind in only a couple of years when it became apparent that the U.S. would have to confront the evil expansionist powers growing on both sides of the globe. It is perhaps a unique snapshot in time in that regard only. It also shows the best the studio system could produce in that fabled year of 1939 when it was at the height of its power.Forgive me for yammering on about a film that has been reviewed hundreds of times, but this one will always have a special place in my heart and my memory.",False
5,n/a,Still Has Its Magic,n/a,n/a,15/08/2025,"Judy Garland's portrayal of Dorothy, Dorothy's oddball Oz friends, ""Somewhere Over the Rainbow"", and the rest of this fine production of ""The Wizard of Oz"" have lost little of their magic over the years. While it has become oddly fashionable in recent years to deride this kind of classic, innocent fantasy, the movie itself has aged very well, and it is likely to retain an appreciative audience for some time to come.There's no doubt that part of the appeal of the story and the characters comes from them being such old friends to so many cinema fans, but there are also good reasons why they have endured for so long, and have been able to hold up even after becoming so familiar. Although Dorothy is not a particularly complex character, she represents an innocent but deep yearning that is easy to identify with. Likewise, the 'Oz' characters are bizarre enough to remain interesting, but there is a core of substance that again is easy to believe in. Who does not feel that he or she could use at least one of the things that Dorothy's friends want?The adaptation from the original story is done quite well, making fine choices for the characters and episodes that would work on film. The settings and visual effects may not impress the devotees of today's computer imagery, but in their time they certainly demonstrated a great deal of skill and planning, and even now, in their own way they are more believable than are most of the computer tricks that have become so overused.The popular story has also been used for a number of more recent adaptations, and some of them have had some good points of their own. But this Wizard remains by far the most wonderful of the versions of the classic tale.",False
6,10,A true cinematic milestone,robb_772,n/a,15/08/2025,"Where to begin? MGM's elaborate adaptation of L. Frank Baum's 1900 fantasy classic THE WONDERFUL WIZARD OF OZ not only became an institution among itself (and practically defined the concept of modern popular culture), but is reported to be the most viewed film ever made. A sharp screenplay effectively condenses the novel's text into a workable film, and director Victor Fleming (along with countless other behind-the-scenes technicians) craft a visually stimulating fantasy world that surpasses the expectations of even the most imaginative viewers. Brimming with stunning visual effects (the film's fierce tornado is an FX feat that has yet to be surpassed by CGI), witty dialogue, and eye-popping Technicolor, THE WIZARD OF OZ truly lives up to it's reputation as a once-in-a-lifetime film where every element comes together flawlessly.The cast could not be improved upon. The quivery-voiced, solemn-faced Judy Garland will always be Dorothy, the little lost farm girl on the road to Oz, clutching her beloved Toto (impressively portrayed himself by the female canine performer Terry, the terrier). It seems inconceivable that MGM had originally wished to cast Shirley Temple in the role, as Temple's doe-eyed, cutesy-voiced shtick would have been a catastrophic ill-fit for the tone of this picture. Conversely, Garland is perhaps the screen's quintessential woman/child; always seemingly just one step away from reaching full emotional maturity. It is her sadness that transfixes viewers to the screen, the exact same quality that made the film's most memorable Harold Arlen/E. Y. Harburg number ""Over the Rainbow"" into one of the most exquisite marriages between artist and song ever to be recorded.The remainder of the cast is similarly exceptional, many of whom perform perfectly even under the most debilitating make-up and costumes. Frank Morgan is marvelously versatile in no less than five roles, the insanely energetic Bert Lahr mugs brilliantly, the handsome Jack Haley swoons sweetly, Billie Burke lends the film an ornate ethereality, and Ray Bolger's gravity-defying physical presence nearly steals the entire picture on several occasions. Perhaps most notable is former schoolteacher Margaret Hamilton's transformation into the wickedest of wicked witches, which certainly remains among the vilest and most terrifying portrayals of full-throttle evil ever to be seen. No matter how it is analyzed, scrutinized, or satirized, the 1939 production of THE WIZARD OF OZ is a top-notch example of how to turn a great story into a fabulous, milestone of a film.",False
7,10,Finding Her Way Back Home -- To Our Hearts.,nycritic,n/a,15/08/2025,"SpoilerEven with the advance of special effects there will never be a movie as honest and as true to its heart as THE WIZARD OF OZ, with the exception of THE LORD OF THE RINGS TRILOGY. But since the latter is too new, it can't be compared to the former. Everyone at one point of their lives, especially as children, has seen this film and has experienced the emotions that Dorothy experienced, the terror of entering the Wicked Witch's lair, her transition from little girl to wise young woman, and this incredible world that L. Frank Baum created and Hollywood perfected.What makes a great movie? The experience that you are watching it for the very first time, whether you were seven years old or an adult living in an adult world. This film is one of those. Even when as an adult I can see some of the cracks peeking through and some lapses in continuity, who cares? The tornado ripping through the cornfields is as real as the real ones I have seen even though is was really muslin. The moment that the sepia-tones from the Kansas segment peel away and Dorothy opens the door of her house and I saw the bright colors of Oz I knew I was there. The story had enveloped me now, as it had did back then. In my world, this is an utterly, fantastic film.And what is Oz, by the way? Well, from a little girl (and the child in all of us), it's that place where our imagination runs wild, where everything is perfect, where there is no tomorrow and a yellow brick road will take us to that perfect place filled with song. It's that place where we feel we will belong, and who as a child didn't feel like we were out of place? Notice I repeat the word 'place' because this is so much about placement, places, our place and therefore, our own self-expression, our own sense of self. Who hasn't wanted to ""seek a place of one's own' where light and love prevailed only to return back to where we came from, stronger and wiser? Its message is so universal. Truly, there is no place like home.Timing is crucial for the symbolic success of this movie as well. Still in the middle of the Depression years, when unemployment was at an all time high, it focuses not just on the harshness of keeping a farm, but then throwing a parent-less girl into a strange land who finds a foster mother of sorts who would tell her that the way back home would not be an easy one. Glinda the Good represents this character, the same way, the Wicked Witch of the West represents the darker forces that watch her every move and aggressively try to trip her up. This is quite a lot on the shoulders of a little girl, and having Judy Garland -- not yet the major star but just on the brink of becoming one -- play Dorothy Gale has become casting history. In 1939 she was about seventeen, fresh-faced, innocent and vulnerable: she is Dorothy, and we can't imagine anyone else, not even nearly 70 years later.And speaking of casting, it was genius to have the actors playing Dorothy's friends and enemies in Kansas also show up in Oz. Since the movie is so much like a dream, it's more than logical: many people in our lives sometimes show up in dreams -- it's even in books about dreams. That they also represent that which not only they, but Dorothy most of all, lacks -- courage, love, and wisdom -- makes their appearances even more intrinsic to the story, so when they grow as characters, so do we, and of course, so does Dorothy.THE WIZARD OF OZ is timeless. So simple, so honest, but so deep in its messages about love and self-discovery. All of the actors including the veteran Billie Burke would be remembered the most for their roles here more than any other movie. The set direction is made to look as close to a storybook; all that is missing are the page frames. There isn't a false move here, and all those back-stories... well, their okay to read but for the cinema lover looking for magic, it's all here, in about two hours of pure entertainment.",True
8,10,Timeless classic still entertaining the masses as each new generation comes in.,hitchcockthelegend,n/a,15/08/2025,"Dorothy is a young girl living on a Kansas farm, during a tornado, she, along with her dog Toto, is swept up and plonked down in a magical and mysterious land known as Oz. Desperate to get back home and under threat from a wicked witch, she is advised to seek out a great wizard who should be able to help her get back home. As she sets off and on her way, she meets and befriends a wonderful array of characters whom also have something to ask of the fabled wizard. It's a journey that will prove to be both magical and fraught with danger.The Wizard Of Oz is a film that has been pored over and dissected from almost everyone involved in the wonderful world of film. One thing that strikes me every time I view it is that there not only is no place like home, there is also no film like The Wizard Of Oz, and really, when all is said and done, there is unlikely to be another film of its ilk to ever grace the silver screen. Upon multiple viewings only the most biased of film fan could say that it is a technically perfect picture, it clearly isn't, for at times it's a wee bit creaky and when scrutinised, some of the performances in the piece are far from being of an excellent standard. Crucially, though, any misgivings are quickly erased due to the utter wonder of it all, you see this is because the film has a beguiling ability to transport everybody who is watching it and slot them into OZ alongside Dorothy.The Wizard Of Oz appeals (and caters) to every demographic and pretty much any age group, we have adventure, the meeting of new friends, fears and trepidations, booming colour, songs to singalong with, and of course the total crux point of homely values. The Wizard Of Oz stands up well 80 years later because it taps into all the emotions available to the human being. Be it a young child spellbound on a first viewing, or an octogenarian couple of grandparents wistfully humming along to the tunes, it's a film that shouldn't be dissected looking for faults and hidden meanings, it's a film that should be loved and praised for the ode to fantastical whimsy that it so obviously is.The film of course will forever be associated with its darling star, Judy Garland. Viewing now, and knowing what a sad life she would eventually lead, The Wizard Of Oz is a fitting picture on which to remember what a magical and wonderful performer she was. Myself as a lump of waning middle aged machismo, has no shame in saying that as Judy sings Somewhere Over The Rainbow I melt and feel as though I'm being sent spinning into another world, that's the power of the piece, because as a sepia Kansas becomes the glorious colour of Oz, nothing else in my world matters, I'm in hook line and sinker.There are many interesting back stories to the picture, with books galore available to anyone interested. Some notes that might interest you being the original castings to be W.C. Fields, Shirley Temple and Deanna Durbin, munchkins running riot, drunken cast members, sadness and suicides, and grizzled old pros fighting hard not to let Garland steal the picture. Well it makes for a great read, for sure, but what remains to this day is one of the most beloved pictures to have ever been made, for once in the pantheon of great cinema we have a film that is termed a classic, that actually deserves to have that tag!One of the great things about the advent of technology is that it can benefit old classic movies to make them better, for now we can view remastered editions of The Wizard Of Oz and appreciate even more what a great job the makers did. Keep your eyes on Dorothy's Ruby Slippers during the film and see how they are the sparkling important character that they should be, or take in the brilliant work of the make up crew, the tiniest of rivets on The Tin Man a testament to the brilliant work that goes into bringing magic to our lives. Get the newest copy you can and then also see it on the biggest screen available to you because The Wizard Of Oz is a 10/10 movie. And then some.",False
9,7,You should never believe that this movie is from the 30',movielist-55455,n/a,15/08/2025,"First of all i want to say sorry for my English!For a few days ago I watch Victor Flemmings ""Gone With the Wind"". I was so impressed over the film so i went to watch ""The Wizard From Oz"". And what a movie. You should never believe that this film is from the late 30's. The effects and music fit in the film. It deserve the 2 Academy Awards it has won for Best Music, Original Song and Best Music, Original Score.I found the film pretty funny with all the different character. This is one of the best films from the 30's. You can say many things about ""The Wizard from Oz"" but this film will never die.",False
10,10,Flawless,utgard14,n/a,15/08/2025,"The most difficult thing about reviewing The Wizard of Oz is finding something to say about it that doesn't begin with ""the best."" It's hard to argue that this isn't a strong contender for the greatest movie of all time. Navel-gazing dramas about the human condition are fine, and I know most critics' lists would give preference to those sorts of films, but this movie has a little bit of everything and is easily among the most perfect films ever made. It doesn't matter if you're a kid or a grown-up. The Wizard of Oz is a timeless classic that has appeal for every open-hearted person out there. It's full of iconic lines, songs, characters, and moments. It's had a cultural impact few films do. So many things from the film have made their way into our everyday lives and language. If I had to single out one thing about it I love more than the memorable characters played by an ideal cast, exuberant Arlen & Harburg songs, delightful story, and beautiful sets, costumes, and matte painting backdrops, it would be the vibrant and rich Technicolor. It's such a gorgeous looking movie. Funny, sentimental, sincere -- it's a masterpiece that I've been in love with since I was a little kid. I've never grown tired of it and I hope I never do.",False
