Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Real world,PedroPires90,n/a,15/08/2025,"SpoilerI'm completely tired of people who think films should only have black or white characters, people who think films should not show racism, homophobia, stupid people, like that is not...the fu****' real world? That's why I think I like this much. It's not afraid to shock and it's not afraid to make you think. Good people make some bad things. Bad people make some good things. People can change. I know this is a lot for this new world order where you are right 100% of the time or wrong 100% of the time, but this is what being human means.It's curious because even if I feel those grey areas gave the film a really strong plausibility quality, at the same time I feel this town has a huge number of ignorant and fool people. Maybe too many? I don't know. I felt I can perfectly understand why McDormand accepted this role, as this seems to be written by her husband and his brother, with that blend of comedy and drama that it makes it really unique.By the way, speaking about McDormand...what a stupendously enormous interpretation. One of the best acts I've ever seen and she won the day immediately on her very first confrontation with the priest. What a woman, what an actress! Very strong performance from all the cast - Sam Rockwell starts as a racist+homophobic Dewey and transforms himself through the film in an incredible way; Woody Harrelson was phenomenal when in scene and Peter Dinklage and Clarke Peters even with less time, had time and space to shine.Loved the soundtrack of this, the score, the editing and how McDonagh was courageous and unafraid directing all these elements, being provocative and putting us in many shoes (and minds) that we probably didn't want to be.I think it's easy to say I would like to see some kind of a different ending, but I must admit that you need balls to go this way and, after thinking about it, I can totally understand the decision. It makes sense. After all, this was never about the investigation or finding who did it. It was all about the characters, these ugly and/or traumatised bast****, how they can grow as people and how they can overcome their trauma.",True
2,9,A thought-provoking and darkly comedic drama with lots to say.,tyson-hunsaker,n/a,15/08/2025,"""Three Billboards outside Ebbing, Missouri"" marks a milestone for writer/directer Martin McDonagh and is an idea piece on a mother's struggle with her town after posting billboards containing a call to action in regards to her murdered daughter. With outstanding screen writing and near perfect editing, this powerhouse of a film is easily one of the best all year and is driven with force and intensity by its lead, Frances McDormand.What begins as a narrow and focused drama, gradually escalates to a film with big themes and ideas, relevant social commentary, and much more subplots than anticipated. ""Three Billboards outside Ebbing, Missouri"" is packed with questions and a few answers about anger, revenge, violence, and kindness. The story shows people in a realistic light I've never quite seen before. We're presented with characters and their genuine emotions. Nothing feels sugarcoated of fluffed but it never lacks emotional impact either.The movie balances its seemingly contradictory tones beautifully by crafting a dark comedy that feels heavy due to strong subject matter, while at the same time, utilizing comedic moments that feel completely natural to the character's motivations. It's obvious great care was taken into this script and the method in which it's constructed.One of the most talked about elements to this film are the strong performances; particularly by Frances McDormand and Sam Rockwell. Rightfully so, this is some of their best (if not their best) work these eyes have beheld and they steal the show in every film they're in. That's not take away from Woody Harrelson and Lucas Hedges, as well as the entire cast who give memorable performances and paint shockingly believable characters that we feel we know personally.If there is anything that might turn audiences away from this film, it might be its harsh subject matter despite none of it every being depicted as well as its language and execution with the material. Personally, this has a strong impact and I wouldn't have changed anything about it. It's a highly recommended film with a lot to ponder at the end and is definitely a contender for best movie of the year. Definitely don't miss this one.",False
3,9,Fires Of The Heart,damian-fuller,n/a,15/08/2025,"SpoilerFrances McDormand is, without question, one of the very best actresses of hers or any generation. Wow! And like most of the greatest she goes for characters who don't ask for sympathy. The truth is in her eyes, always. So, naturally, I followed her every inch of the way. She is surrounded by a fantastic group of actors. Woody Harrelson is just extraordinary but perhaps the biggest surprise is Sam Rockwell making his one eighty not just believable but very moving. Martin McDonagh's writing is the magic potion that keeps everything together and when I say everything I mean everything. Humor and horror as if it were practically the same thing. The dialogue is brilliant and Frances McDorman deserves the last paragraph. Her face is a wonder. Superb performance. Don't miss it.",True
4,9,"Anger, what it begets, and what to do about it",Semisonic,n/a,15/08/2025,"When you think about great cinema, you often imagine some grandiose epic setting which all that greatness builds upon. The likes of Gone With the Wind or Godfather or The Shawshank Redemption, such films span through decades or cover the major historic events.But a great story isn't necessary grand on the outside. Three Billboards Outside Ebbing, Missouri is like a tiny rabbit hole size of those three wooden screens, but stick a head in - and you'll see a huge empty space laid with people's sorrow, guilt and regret. And that emptiness sucks you in and leaves no way to stay untouched.But there's also hope. Hope for justice. Hope for retribution. And maybe even hope that it's still not too late to change something, or to change yourself. That nothing is absolutely black and white. That even in the darkest moments of our lives there's some room for a sense of humor, maybe a sad and bitter one but still one worth a warm smile.This world is a crooked place, where crime often goes unpunished. And Peter Dinklage's small role in this film, as a reference to another not so pretty world where the ""happily ever after"" way doesn't quite exist, is a stinging reminder of that. TBOEM does not, however, try to pull the magic sword out of the stone and go crush the wicked and protect the righteous. Instead, it shows that sometimes, crumbling under the weight of the evil things that fall on us, we lose our own limits and become those who sow evil ourselves. Anger does beget even more anger.And maybe the reason that makes America great indeed is that, with all the messed up stuff happening without and within, it's in your culture to value forgiveness, something Christianity teaches everyone but not everyone tends to listen. To suffer without guilt, yet to offer a helping hand to your offender when he's down and wounded. To break the circle of evil and help each other wake that yearning for decency that everyone has inside them, albeit dormant sometimes. Forgiveness is tough, and, just like revenge, it doesn't bring back the things - or people - we've lost. But at least it helps to hold onto what could still be here.Yeah, it's just a movie, and most people aren't as deep and philosophical as the movie characters can afford to be. But if some unrealistic complexity (and sometimes even wisdom) of the simple people could make some real regular people on the other side of the screen stop and think over their own real regular ways, maybe that's exactly what we need from time to time. Because life is still here, and so are the multiple choices it gives, And which road to choose today, we can still decide along the way.",False
5,8,Anger begets more anger,blanche-2,n/a,15/08/2025,"Frances McDormand is a grieving mother who puts up ""Three Billboards Outside of Ebbing, Missouri"" in this 2017 black comedy directed by Martin McDonagh.Mildred Hayes (McDormand) is disgusted that the police haven't found her daughter's rapist and killer, so she takes out billboards asking why the chief of police, Willoughby (Woody Harrelson) hasn't done anything about the case.The billboards set off anger, violence, and revenge motifs in this small town. Things become worse when a pent-up police officer, Dixon (Sam Rockwell) becomes enraged and starts acting out.Lots of swearing, lots of violence, and lots of laughs to be had in this film. It was strange to watch as I had just seen another film, Past Life, that focused on the subject of anger and pain, and how it can eat a person up and destroy them. This film is yet another good illustration of that, as Mildred stops at nothing to make a point.The one-liners are amazing, and Mildred's speech to the priest who comes by to ask her to remove the billboards is hilarious. The movie is filled with strong performances and equally well-developed characters. We see all of their sides - violent, kind, vengeful, angry, sad; we finally realize they're just people driven in some cases to extremes.Harrelson's performance is touching -- we're prepared to dislike him but his sincerity and humanity come through. As Dixon, Rockwell seems like a monster, but once he acts out, he's able to focus his energy a little better.And then there's McDormand, a powerhouse. She's not good ol' Marge in Fargo. She's a tough woman with a broken heart who takes out her anger any way she can. It's a beautiful, multilayered performance. Highly recommended, asking the questions of where revenge and hatred can take us, and deciding when and if it stops.",False
6,10,A comedic masterpiece with a stellar leading performance from Frances McDormand.,FallonTimberlake2016,n/a,15/08/2025,"Three Billboards Outside Ebbing, Missouri is a dark comedy that has an a-list cast with names like Frances McDormand, Woody Harrelson, Sam Rockwell, John Hawkes, and Peter Dinklage. It centers around Mildred Hayes, a woman whose daughter was raped and killed, and who believes that the local police have not done enough about it. In reaction, she erects three billboards outside of her town that send a message to the sheriff about the state of the investigation.Writer/director Martin McDonagh (Seven Psychopaths, In Bruges) has outdone himself with this one. In my opinion, if this isn't one of the top Oscar contenders come awards season, then Hollywood has officially lost its mind.Basically everything about this film works: from the acting, to the writing, to the direction. Mcdormand gives the performance of her career here, giving us humor through all the pain clearly shown on her face. Rockwell also gives his best performance here as a cop who isn't that bright and is more than a little racist.Three Billboards Outside Ebbing, Missouri is probably the most unpredictable film of the year, and that's coming from a year that includes films like Baby Driver and Logan. There are scenes where you think that you know where the plot is going, but then midway through it completely flips the script.For the entire run-time of this film, I was invested. It has the perfect run-time; it ends exactly when it needs to and there is not a scene that feels out of place.It seems like one of the hardest things to do in film nowadays is to balance comedy and drama. However, this movie does it effortlessly. Each scene has just the right amount of comedy and drama, and sometimes, despite the fact that you're laughing, it's easy to forget that jokes are being made.Also, the message that this film gives off resonates very powerfully with you after the film finishes. It makes you see the good side in humanity, despite our flaws. No character in this film is a cliché one-dimensional shell of a person. Everybody has a reason for being there, which is more than some films recently have offered.Three Billboards Outside Ebbing, Missouri is easily one of the best and most enjoyable films of 2017, and it will make you laugh, cry, and think all in one sitting. There are not any clear flaws with this film that I can find, but I am still searching.I give Three Billboards Outside Ebbing, Missouri an A+.",False
7,9,"A dark, twisted comedy about grief, tragedy and three billboards",GODZILLA_Alpha_Predator,n/a,15/08/2025,"Having recently won the People's Choice Awards at TIFF, Three Billboards outside Ebbing, Missouri is very easy to see why it won.Three Billboards is a dark but also funny and heart-felt story about one woman's quest to get justice for her daughter's rape and murder. After Mildred Haynes buys three billboards with words written on them accusing the town's well-liked sheriff of having not found her daughter's killer, it sets a series of events that turns the citizens and the cops against her.The thing I can say about Three Billboards without going into spoilers is that it is wildly unpredictable. One moment you think things are going one direction as expected then it takes hard left turn that only adds to the dynamic between the characters. As the pressure within the town builds and anger is pointed towards Mildred, we see many of these characters evolve in order to deal with tragedy and grief and learn to find peace. And the movie goes through a roller-coaster of emotions. One moment you are laughing your butt off from the hilarious dialogue then you feel like someone just punched you in the gut. With every victory you think this story brings you feel like it was taken away from because of the world's unfairness and injustice. In lesser hands the mixture of dark and comedic tones would not work, but director and writer Martin McDonagh knows how to balance them to perfection.The performances here just through the roof. Frances McDormand delivers a performance that will for sure get her into the Lead Actress awards race at the Oscars. As Mildred, McDormand just cuts loose with her performance with every line of hate, cynicism and cursing towards everyone she feels doesn't truly understand the internal pain she is going through. But McDormand does now and then show a soft side to Mildred. It shows that Mildred is just person like everyone who has her own way of dealing with the tragedy of loosing her own child. And Sam Rockwell also gives one of the best performances of his career as the flawed and very misguided cop Dixon. The character of Dixon is short-tempered, volatile, and not bright with some baggage of his own that the locals accuse him of. But Sam Rockwell brings his charm and sincerity to what could be a rather unlikable character. And in the latter half, you see Dixon go through a tremendous arc of learning to care about others rather then just being angry towards them. Other great performances that should be called out are Woody Harrelson, Peter Dinklage, John Hawk and Caleb Landry Jones.Three Billboards outside Ebbing, Missouri is easily one of the best movies this year and is worth seeing once it comes out in wide releases.",False
8,10,This is how a drama should be!,ronakkotian,n/a,15/08/2025,"Martin McDonagh has made critically acclaimed throughout his career. I haven't seen In Bruges but I liked Seven Psychopaths. However, it's with Three Billboards Outside Ebbing, Missouri that made me realise what a talented writer and director he is.Three Billboards Outside Ebbing, Missouri follows Mildred, a mother that rents three billboards to challenge the authorities in order to find and capture her daughter's murderer after they fail to do so.With this film, Martin McDonagh has crafted one of my favourite dramas to ever exist. I was thoroughly entertained throughout and couldn't spot a single thing I didn't like. One of the best parts of this film is its unpredictability. With a story like this, I thought I knew where it was headed but McDonagh managed to surprise me every time. Without taking the route many films do with this kind of story, McDonagh subverts our expectations by taking us on a more psychological journey with the characters of Mildred, Dixon and Willoughby. The writing is one of the smartest I've ever seen as McDonagh writes characters with immense depth and emotion. No character is perfect and as the films unfolds, McDonagh peels back the layers of each one of them to create an arc you wouldn't expect them to have on their odyssey of anger, revenge and love. The realistic and humane approach McDonagh takes made me genuinely care about the characters. There are also moments of dark humour spread across but they don't take away from the dramatic elements and impact you're meant to feel.Aside from Martin McDonagh's outstanding writing and direction, the acting is some of the best you'll see. Frances McDormand is an actress that consistently delivers exceptional performances and her performance as Mildred is one of her best. She is an absolute force to be reckoned with and deserves winner the Oscar for her work here. Sam Rockwell is extraordinary as Dixon. This is his best performance yet and he deserves all the awards he got for this film. Woody Harrelson is terrific as usual and plays Willoughby with enormous skill. John Hawkes, Peter Dinklage, Lucas Hedges and Caleb Landry Jones are also great.Every single aspect of Three Billboards Outside Ebbing, Missouri is done exceptionally well. Without a doubt, this is one of the greatest films of 2017. With its dark subject matter, impeccable writing, directing and extraordinary acting, I consider this film to be one of the best dramas to ever exist.",False
9,9,"Extremely funny film about grief, anger, revenge and violence",rubenm,n/a,15/08/2025,"It seemed that the pregnant police detective Marge Gunderson from 'Fargo' would forever be the most memorable character of Frances McDormand's acting career. But now I'm not so sure. Mildred Hayes, the heroine from 'Three Billboards', is a serious contender. This might well be her best performance ever.The part of Mildred Hayes was written with McDormand in mind. Hayes is a divorced single mother, living with her son on the outskirts of a small, remote town. She had a daughter too, but the girl was raped and killed on a quiet mountain road not far from home. Frustrated by the lack of progress of the investigation, Hayes decides to rent three dilapidated billboards, publicly accusing the local police chief of incompetence. By doing so, she attracts the attention of the media, angers almost the entire town and causes a succession of increasingly violent actions.Although the film is about grief, anger, revenge and violence, it is extremely funny. Above all because of Mildred Hayes' stubborn character and her ability to verbally humiliate people by her extremely sharp tongue. The monologue she delivers when a priest visits her house to tell her she has gone too far, is priceless.Apart from McDormand's performance, the screenplay is another great feature of this film. The story is full of unexpected twists, gradually shifting the positions of the main characters towards each other. None of the characters are one-dimensional: they all reveal surprising parts of their personalities as the story moves forward.And then there is the overall, almost Coen-esque atmosphere of a small town full of colourful characters. There is a racist cop, a friendly midget, a smart advertising guy and a pretty girl who is so dumb she doesn't know the difference between polo and polio.It is hard to mention something negative about this film. 'Three Billboards' is, from start to finish, a great movie. I can't imagine anyone not enjoying it.",False
10,6,"Entertaining, but flawed",gbill-74877,n/a,15/08/2025,"There is so much pent-up rage over the handling of rape, and police behavior in general, that I think Frances McDormand's character in this film really struck a chord with people. She's on a crusade for her daughter who was raped and killed, and yet no progress has been made in the investigation. She doesn't care who she offends, she won't be intimidated into silence, and she'll stand up for herself in some violent ways. In an interesting twist, the police chief (Woody Harrelson) has pancreatic cancer, so aside from being called out on his investigation, he's dealing with that. The scene McDormand and Harrelson have in an interrogation room, and a specific moment of that is easily the film's best. Harrelson provides a voice of wisdom in the film, and the three letters he pens are also quite touching. There is humor as well, in just how boneheaded one of the policemen (Sam Rockewell) is, and the gem of a moment when Peter Dinklage, otherwise largely wasted, utters the line ""Penelope said 'begets'?"", in a subtle burn of the 19-year-old now dating McDormand's ex-husband.The film started strong, but along the way started losing me. It suffers artistically from a lack of restraint, and everything seems exaggerated. The profanity. The characters, who start becoming cartoonish. The level of violence. The coincidences. It seems to me that McDonagh's writing is a real issue here. Her last words to her daughter were ""I hope you get raped,"" really? To leave that in the script is egregiously bad, and an insult to the viewer's intelligence. The Molotov cocktails, really? The guy being in the station to begin with, and of course wearing ear buds, really? A man thrown out of a window, and no arrest, really? And on and on, until an ending which is pretty awful if you think about it. It's just tough to appreciate the message of the film or its cast in light of all this. It was entertaining to watch, but in my humble opinion, not worthy of all the acclaim.",False
