Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,A thrill to watch!,imseeg,n/a,16/08/2025,"I expected a mediocre retelling of the success of ""Thriller"", a sort of a cash cow, but what I got to see was (pun intended) actually really thrilling. Goosebumps from start till finish.The good: this album still is such BLISS to listen to some 40 years later! What is especially great about this documentary is that we get to hear snippets of the demos of ""Thriller"", which sounded awesome already, with merely hearing Michael Jackson's voice solo. What power.Back in time. Back to the eighties. Back to one of the greatest classics. Back to music heaven!Recommended watch for any fans of the ""Thriller"" album!",False
2,7,"Still worth watching it, but it's not really good documentary",camiliafjihani,n/a,16/08/2025,"SpoilerI'm not satisfied with this documentary, honestly. Actually, I was very passionate about hearing this documentary. Because I'm a huge fan of Michael. But, I'm sorry, I just gave 7 out of 10. It's a good documentary, but I think the estate can give more rare videos of BTS in this album. They just gave a little rare footage of Michael's interviews during Thriller era. I wanna hear his opinion and see his process for producing this album in recording studio cause it's not enough for me to see little spots for Michael on it. And as far as I remember, they didn't give and put the explanation for making ""The Lady in My Life"" on this documentary. Disappointing. I felt like this documentary would've given a lot of rare footage for his jobs. Maybe I put high expectations for this documentary. It will be great for the estate if they can produce documentary film for the other albums of Michael. Not only for ""Thriller"". Yeah, once again, it's not bad docu but not really good. It was a mid documentary movie. But, it's still worth watching it.",True
3,7,Dissecting the best-selling album of all time,paul-allaer,n/a,16/08/2025,"As ""Thriller 40"" (2023 release; 88 min) opens, talking heads are gushing over the album, and we are reminded along that Thriller was, still is, and always will be the best selling album of all time. We then go back in time to the Jackson 5. At this point we are 10 minutes into the documentary.Couple of comments: this is directed by writer-musician-director Nelson George (who in fact played on the Thriller album). Here he celebrates one of the best and most iconic albums of all time, with Michael Jackson, then 24-25, at the peak of his creative forces. The talking heads include people like Usher, Mary J. Blige, Maxwell, etc. The documentary really pays off when we get to the actual dissecting of the album tracks and the videos. Watch how current acts like K-Pop's BTS liberally ""borrow"" many moves introduced by MJ. And last, but not certainly least, there is ""Thriller, the short film"". Bottom line: I rarely play ""thriller"" anymore (because all of it has been played to death), but watching this documentary gave me a new appreciation for this, one of the greatest achievements in the history of pop music, and frankly all music, period. Please note that of course ""Thriller"" the album was released in late 1982, but ""Thriller"" the short movie was released in late 2983.""Thriller 40"" was released in limited theaters as a one-off on December 2, 2023. It started streaming on Showtime (now part of Paramount+) in late December. I just caught up with it the other night. If you are a fan of Michael Jackson or, say, of the just released ""The Greatest Bight In Pop"" documentary, I'd readily suggest you check this out, and draw your own conclusion.",False
4,10,"Best MJ Documentary of all time, Hope to see more! :D",MW_,n/a,16/08/2025,"This is one of the best MJ Documentaries of all time, gives us a taste of how Michael Jackson's mindset was set towards success even after several challenges, as he always will be considered the World's King of Pop for all time. I hope there is another part or documentary continuation as that would be great to see more rare archival footage of mastered qualities and people that have worked with Michael to explain how MJ was as a musician. I would love to see more old live performance footage, more rare Behind-the-scenes clips, actions, dancing and close-up conversations. Michael has recorded in more depth and length in future Michael Jackson Documentaries.",False
5,10,The rare footage is breathtaking,mijacfan,n/a,16/08/2025,Looove this documentary so much.. firstly the amazing and beautiful never before seen interviews and footage of Michael as he creates the biggest selling album of all time is worth watching this documentary...from stunning footage of the victory tour to Michael recording the girl is mine with Paul McCartney we final get a glimpsed into the making of the greatest selling album .. a must watch for everyone The only negative is they Should of just had more footage of Michael instead of people talking about him.. beautifully showed the magic of Michael and why he is so loved !!!.. We love u more Michael...,False
6,n/a,A celebration of Jackson's talent,n/a,n/a,16/08/2025,"Always worth remembering that Jackson was acquitted in life from 14 charges in a gruesome trial where 'previous bad acts' where allowed and that the FBI never found anything incriminatory in an investigation that spanned 13 years and that included three thorough surprise raids of Neverland.These are facts and you can look them up.The documentary is a bit all over the place in terms of structure but is emotionally resonant.It takes us to a time when Jackson was transitioning from teen to man, or from Michael Jackson to MJ, as he put it down in paper.It excels at documenting this passage and at bringing us back when we watched in awe his inmense talent.It takes.",False
7,10,The documentary Thriller 40 is an incredible celebration of the legacy of Michael Jackson,danielramosdossantossilva-54968,n/a,16/08/2025,"SpoilerHis iconic album Thriller. Delving behind the scenes of his creation, we are taken on a fascinating journey into the genius of the King of Pop. The documentary's unique approach offers an in-depth look at the magic behind each track, revealing Michael's musical mastery. Thriller remains a timeless masterpiece that transcends generations, and this documentary is an immersive tribute to one of history's greatest artistsIn this fascinating behind-the-scenes dive, we are introduced not only to the magic of creating Thriller, but also to the personal moments and challenges that shaped Michael Jackson as an artist. The documentary highlights Jackson's revolutionary innovation, not just in music, but also in the way he approached visual art in music videos. Through exclusive interviews and rare footage, we witness Michael's emotional journey, revealing not just the musician, but the man behind the icon. Thriller 40 not only celebrates the past, but highlights Michael Jackson's influence on contemporary music and popular culture.",True
8,10,10 points to Michael Jackson!,mascardilake,n/a,16/08/2025,"SpoilerI gave this documentary 10 points because MJ deserves even more. The documentary itself has nothing new, I've seen all the stuff before separately or in the Making of Thriller vhs! There is no way to honour him because we've seen it all and what we need is not only Usher but al the millennial artist paying tribute to him, thanking him and asking him to forgive them. MJ was a genius, humble, extremely shy man that became fearless on stage. He gave us excellence and inspiration for centuries and just like Elvis, he is no longer here. MJ has to be released of the course of the allegations, Leaving Neverland tried to silent him and the same people that once pretended to love him, made a fortune with that thing which is not a documentary. If you watch leaving neverland in silence, with no sound, the body language of all the accusers does show anger, they look so cheerful and it makes you think that they are saying beautiful things. Michael Jackson gave the world a lot, the one documentary that will honour him is yet to be written and it will have to show the FBI investigation, Child Services, Whiteness, all the evidence in his favour and not one proof to condemn him. He was stigmatised in the 90s because of his androgynous look, today that would be considered discrimination with the ""inclusion movement"" .MJ was a sweet gifted soul, whose smile was outshined after the allegations. His luminous gaze and smile, turned to a man whose face said: I'm soul broken.So this documentary it's ok, nothing new but it doesn't make justice as he deserves. Love from Argentina!",True
9,10,Capturing the magic of that time,michelmaas09,n/a,16/08/2025,"I was 11 when I first got stepped into the magic world that was Michaelmania. It's hard to describe how that felt. Michael was all around and he was indisputably the pinnacle of pop around the globe. Like mentioned before by many, it was like or must have been like Sinatra, the Beatles and Elvis. This documentary did a very good job in getting very close to that energy and excitement, for people that were born after the album came out and are witnessing it today for the first time.The format is something we've seen before in official documentaries like 'the legend continuous' and many more, starting with the very beginning, seeing Michael as a kid being the lead singer of the J5 and the Jacksons. Instead of it being a showcase or marketing his back catalogue, it really built up to why and what he wanted to prove; making Thriller the best selling album of all time.Would've loved to see more of Quincy and his team behind the succes, since it was promoted as more about the art, than the artist, but to me it was more about the impact it had on a cultural level.A lot of never seen before footage, private audio fragments and a very good insight into his thinking, his strategy and his philosophy makes it a must see for everyone who wants to understand the creative, the business and the cultural impact it had and still has today on contemporary artists and even beyond.",False
10,8,overall very good!,gcuriazza,n/a,16/08/2025,"SpoilerI enjoyed this documentary very much, but I do wish that they payed more of his demos and unreleased songs. I loved seeing the new footage and HD Victory Tour footage. I wish they talked less and just showed him more. It was very good though, and I feel like it was just as good as Spike Lee's: Michael Jackson's Journey From Motown to Off The Wall.I also wish that they discussed PYT and Lady In My Life. I also want to point out that I didn't learn anything new from this documentary, but it was still nice to see the footage of him talking. At least the MJ estate put some effort in! Solid documentary and I enjoyed it!!",True
