Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,1,Alt right propaganda at its best,Marynewcomb2013,n/a,16/08/2025,"This ""filmmaker"" is an alt right, conspiracy theories who plead guilty in 2014 to a felony charge of making an illegal contribution in the name of others for a republican candidate in NY!! He is one of many criminals trump has pardoned!!
So, you think you are going to get truth & facts out of this guy, NO!! He only pushes the pro trump narrative that WILL destroy the US!! He wants you to believe the nut job Qanon & other alt right wackos!! Don't believe anything about democrats being socialist or any other nonsense these Nazis want you to believe!!",False
2,1,Best comedy of the year; worst documentary ever,TheSeaLion,n/a,16/08/2025,"SpoilerIf Dinesh D'Souza hadn't solidified his place in cinematic history--cinematic doing a lot of leg work here--as the worst documentary filmmaker of all time, this surely pushed his whatever remaining distance he needed to claim that title.I have forced myself to watch three other of D'Souza's films: ""Hillary's America,"" ""2016: Obama's America,"" and ""Death of a Nation."" These films relate to ""Trump Card"" by their propaganda like quality and immense failure from a filmmaking perspective, but this sets it apart by just how embarrassing it is.The film opens up with Dinesh D'Souza walking around America with the red flag of communism poorly photoshopped everywhere. Here, D'Souza makes the pitch of his film: that Trump needs to win reelection, otherwise socialism will take over America. What does D'Souza think democratic socialism is? Well, he thinks it's what democratic socialist George Orwell was warning people about when he wrote ""1984.""After that, we get what can only be described as fan-cam footage of Trump and then a reenactment of Trump calling D'Souza to offer him a pardon. For some reason, the voice actor for Trump sounds like a Trump impersonation from someone trying to mock him would sound like.When it finally delves into the documentary aspects of the film, just how lacking in credibility D'Souza is becomes incredibly apparent. He can't find a singular expert on anything; just a couple prominent conservative figures, some Twitter-famous conservative, his daughter, and a woman who claimed her organization True the Vote was investigated and harassed by the Obama Administration for being right-leaning (in truth, it was investigated for alleged voter suppression and fraud). The most bizarre interviewee being someone who claims to have information regarding Minnesota Congresswoman Ilhan Omar being connected to terrorists, yet instead of turning this information over to authorities he's elected to just tell Dinesh D'Souza about it.With no understanding of what he's talking about and relying on conservatives who are clearly unlearned in what they're talking about or just lying, Dinesh D'Souza has made his worst documentary to date. Possibly even the worst documentary ever made. I mean, in ""Death of a Nation,"" D'Souza at least got an actual historian to interview: D'Souza allegedly edited the clips to make the historian sound like he agreed with him, but at least it was an actual expert.",True
3,10,highly observant and insightful but shocking and disturbing at times,nyobatusa,n/a,16/08/2025,Another great documentary. It didnt disappoint but it was shocking at times. Certain revelation about previous President I admit never heard of. Dinesh is a very talented teacher and story-teller. It takes an immigrant who gets to appreciate the country for its forgotten values by many who are born in it and take its freedoms for granted.,False
4,1,Seriously this is propaganda at best,bguidot,n/a,16/08/2025,"As with most historical ""facts"" interpretation is up to the reader. This movie is no different. What Disouza attempts to claim as fact is many times opinion not based or backed by facts.",False
5,10,Exposed the truth and evil of Socialism,higginsvision,n/a,16/08/2025,"Well written and directs
He documents the dangers and evil of Socialism.",False
6,2,Terrible piece of fiction.,dxyswwhi,n/a,16/08/2025,This works as a propaganda fiction piece at best. It was uninspired and filled with too much false and misleading information to be considered a documentary.,False
7,10,A sign of the times,norahconlin,n/a,16/08/2025,"Historical journals are a study-able and a written documentary of our times. History is repeating itself as we live and breathe. Mr. D'Souza has encapsulated the ""why and how"" as to why we are in the most troubling times in AMERICAN History. Those with less than traditional lifestyles (LGBTQ), those who are fighting to keep their constituencies voting for them (Politicians), those who are un-American in work ethic and nature (Gen Z-ers who have been given participation medals for underperformance), the Media, the religion-less many, and those who are complainants in their own unsuccessful lives (Antifa, BLM, and etc.) embrace the Democratic Party. Much like the way The Mainspring of Human Progress documented the ""why and how"" as to America is the greatest country, Trump Card is the most concise narrative of ""what and why"" is wrong with the country and many of her citizens today. Watch to understand. But, from my standpoint, this is the ""why and how"" to these troubling times. Thanks Mr. D'Souza for your contribution and perspective.",False
8,n/a,propaganda,n/a,n/a,16/08/2025,"No credible sources and unsubstantiated claims. All evidence is cherry picked. It is full of dog whistles and conspiracy theories. The fact that people believe this is unsettling and proves how weak minded Americans are becoming. It is unfortunate that Trump republicans think that Joe Biden, a watered down republican, is a socialist. A better title for this film would be 'red scare 2'. I would urge anyone who takes this seriously to look into what socialism is and what the policies of democratic politicians are. Orwell, who was an outspoken democratic socialist, would be disgusted by how his words have been twisted to fit the far right's agenda. It's interesting how adamant the right are that the left are destroying the country when it is controlled by far right politicians. (the senate, the presidency, and scotus). This documentary missed any opportunity to move people to the right by not including any facts or credible sources.",False
9,7,Waited two months for it; would walk through broken glass to see Dinesh's projects,veronica_cortes,n/a,16/08/2025,"I've followed Dinesh's work since he was in college. Loved Death of a Nation. Haven't seen the others. Knew most of the things in the movie, but there were a couple of insidious items that I wasn't aware of. Truth is power.",False
10,1,Propaganda,ajblues-19333,n/a,16/08/2025,Dinesh D'Souza distorts and fulfills George Orwell's warnings in his worthless Trump Card.I suggest going and watching Dinesh D'Souza debate Matt Dillihunty. You can find the debate on YouTube.,False
