Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Good and enjoyable but might be biased,joeschwindler,n/a,16/08/2025,"My overall rating is subjective and not that important. I'm writing this review because of one very subtle moment I noticed at Ep4 42:00.The CIA officer Brian Latell says Fidel Castro wrote to Khrushchev: ""You must strike preemtively with all of your nuclear forces against american targets. You must not wait for the Americans to fire.""
Yet he conveniently omits the true context of the letter (that in fact did urge the soviets to strike) but only IF the americans invade Cuba first.This might not seem like a big deal and the interviewers opinion is not necessarily the one of the series.But such subtle details (and there might very well be quite a lot more) completely shape what kind of worldview the viewer takes away. Just wanted to tell everybody to be careful with the statements and the possible lens through which the story is told.",False
2,8,A gripping documentary to make sense of our current nightmare...,mdw0526,n/a,16/08/2025,"This new docuseries on Netflix might be the most important show you're not watching. We just finished last night and it's well worth your time; I loved it and learned a lot without much pain at all. It's a good compliment to ""Oppenheimer"" and the Einstein docuseries I previously posted about.A gripping documentary with amazing archival footage, this gives a great macro-level presentation of how we ended up with a Russian invasion of a sovereign Ukraine. The documentary lays out a long cycle of events that began with the atomic bombings in Japan in 1945 and how the fall of the Berlin Wall in 1989 and the collapse of the USSR in 1991 signaled a false end to the Cold War, which has led to Putin's attempt to rebuild the Russian Empire in the 21st century.If you're any kind of history buff like I am, turn on this show. It really helped connect the dots, fill in many missing pieces, and frankly, made the current nightmare we're all currently living in more understandable, though no less tolerable. 😫",False
3,7,Should have been a higher rating but the propaganda element detracted from the overall impact.,charlesr-8,n/a,16/08/2025,"I nearly wrote my review at the halfway point, before deciding to see it through and ensure I was balanced. Unfortunately that didn't improve my impression of the series. There is a lot of great footage and history covered off - some fantastic insights and great scientific information too. But unfortunately they opted to inject some old fashioned propaganda into the final couple of episodes, after foreshadowing this in the earlier ones.In short, what was predominantly a ""nuclear paranoia drove the world wild with fear and led to idiotic levels of armaments at the expense of cultural, scientific, and social advancement"" (on both sides to varying degrees - Soviet citizens suffering considerably more) has an underlying message of ""orange man bad, Putin bad, Zelensky good, Government narrative on war is true, etc""
There's no question that the aforementioned personalities are fraught with issues - but having covered the propaganda, subterfuge, and shadowy behaviour from the cold war, it is hard not to question the way they glossed over how widespread certain actions from the 50's through the 70s were, along with the way they tried to paint current situation.I'm sure the military industrial complex overlords loved the ""war is for peace"" message that it felt like it ended on.",False
4,n/a,European viewer here,n/a,n/a,16/08/2025,All in all good series. Does it's job as putting together the whole chain of events and giving the sense that we all just have to sit and endure the ride that the crazy leaders make us go through time and time again.One thing that bothered me was the last episode where the east Berliners etc. Were talking that people just need to be brave again in 2024 and fight back. I agree but a good start would have been for the documentarists to be brave enough to tell the whole story that is unfolding in Europe right now. There is one hybrid warfare measure that is being used and is actively destroying the whole continent. But it is so forbidden to talk about this that even this historical document series did NOT bring it up. So how are you expecting people to have the courage to go out on the streets. Very ironic.,False
5,10,I can't stress this enough,sofiiadibeo,n/a,16/08/2025,"It gives you a wide view of history narrowing down to the modern day as to why things are the way they are, and how by learning from this we can we prevent catastrophes from happening in the future.It's really important to watch it for us, as humanity, to understand our need for the ability to choose and speak freely, and how suppressing that freedom leads to dehumanization, excess patriotism, and personal selfish ambition.If you do disagree with something while watching it that's respectable, but in the end the best perspective the documentary can teach you is the understanding that in the end peace and freedom of choice is what humanity wants and needs.Really recommend it, and I usually don't review movies, but I can't stress it enough - watch it to the end. Because it helps you to form an educated opinion about the present day. And most importantly, how we can truly influence the future.",False
6,10,Exceptional Documentary,TomatoesareRotten,n/a,16/08/2025,"I'm old enough to remember when all documentaries were made this well . The chronological facts are masterfully done , even when it leaps back and forward through time . In fact it has to on several occasions to make a very salient point . What surprised me , was the factual gaps in my own personal recollections going back to , as early as , the Sixties . Every day is a school day , as they say. We see the folly of armed conflict and its lasting repercussions , we see people in power who should be nowhere near , man's inhumanity to man but, most importantly, why we never seem to learn from our mistakes and repeat them again and again . I was left with the over arching conclusion , that there are no ""good guys"" or ""bad guys"", we're all as bad as each other.",False
7,10,A must see Doc with Insane Footage/interviews from protagonists who were there.,the-webminster,n/a,16/08/2025,"This documentary covers pretty much all the major events that resulted in and from the Develpment of the Fission or Termonuclear bombs. With high quality footage, 1st person interviews with protagonists, or relatives who were 'there' when an event took place, some were even a key piece on it (journalists/activists) either on divided Germany, the Comunist Hunt in the US, the Cuba Missile crysis, the Bombing of Hiroshima/Nagazaki, Staline rise/rule to power, The Manhattan Project, the race to find how to split the atom and create a chain reaction during WWII. This doc series has it all, 9 hours of exquisite throughput of 80+ years of history and how close we were to face extinction with the press of a few buttons. A much see for both afficionados and everyone really, who seeks to understand the world we live in.",False
8,10,Those that cannot remember the past are bound to repeat it.,scb05,n/a,16/08/2025,"I lived this Cold War as a child in the US who learned to duck and cover, and now living as an adult in east Berlin, and as father to a Berlin child whose mother is from the DDR. I have heard the family stories directly, from Oma explaining propaganda in WW2 through the resistance against the STASI by my family and friends here in Germany.This is a documentary masterpiece of complicated truth and history.Every American and European must watch this series and as one who knows Ukrainians, I am a better person to now understand this complicated would view leading up to this very misguided and unjust war in Ukraine.""Those who cannot remember the past are condemned to repeat it."" - George Santayana, The Life of Reason, 1905.",False
9,10,an overwhelmingly extraordinary...,ops-52535,n/a,16/08/2025,"SpoilerDocument of, and about an era of world-, and especially european -history, a story that actually has been told in many ways, mostly by the 2nd w warwinners, in the decades after 1945, the 4 and a half decades thats called the '' coldwar''.A curruculum worthy insight you will get, and loads of us elderly will still feel the chill of the zeitgeist that ruled our safety norms back then.Its a tv serie that i would compare as valuable to view for the young generations as the thames production ''the 2nd world war'' were for me 48 years ago. It should stand out as a fear of war poster cause the horrors of combat warfare and war mongering tends to be forgotten for every 2.5 generation growing up, and the rise of new world emperors slingng their swords to raise nationalism to a surtain breakingpoint against socalled foes may fool the weak, poor and brainwashed digitized developed population and religious fundamentalists into something worse than armagheddon.To the history nerds that collects film and media material from this era, there arent much new stock footage and film , bare over with that cause its very well knit together. So spend some time on this netflix series is the grumpy old mans advice. Its a valuable reminder of how it was, and may become to an already brittle gen z and x, IF...",True
10,10,"OVERALL MESSAGE, ONE EGO OR ONE ERROR",nmskrkn,n/a,16/08/2025,"This is a factual map from the atomic birth of the bomb during WW2 to the current day challenges we face and the ever looming threat of an all out nuclear war.The narrative is revolves around the two superpowers of America and Russia, and their well documented history, a lot of time is given to explaining the paranoia and proxy conflicts following WW2. ( Cuba, Vietnam etc) It is an unbiased documentary and the equal problems all sides have faced. Russia feeling threatened by the expansion of NATO enlisted territories and America, the modern rhetoric given off by Putin. I guess there is an argument for both sides. I myself served in Germany during the cold war.THE BOTTOM LINE... NO MATTER WHAT POLITICAL PERSUASION YOU ARE ,THE PEOPLE IN CHARGE ARE JUST THAT ... PEOPLE.IT WILL ONLY TAKE ONE MISTAKE ... EGO, TECHNICAL OR INSTABILITY.... SO MUCH POWER , BUT JUST ONE MISTAKE!",False
