Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,"An interesting watch, but",thejdrage,n/a,16/08/2025,"If you know anything about modern Egyptology, you know Dr. Zahi Hawass. He makes it hard to miss who he is. Is he arrogant? Absolutely!! And that's why so much has been getting done in the deserts. Dr. Hawass, and his signature hat, is an educator who is open to teaching whoever is passionate about learning, so you will see women of all colors in his pack - and he is always teachingYou will see all that in this documentary. But it isn't about him!!It's about a find by one of his former students, Dr. Mostafa Waziri. He picked up all the arrogance but none of the compassion of Dr. Hawass.Parts of the dig are obviously staged, but it is still a fun watch. Look beyond the bravado and arrogance and it's a good documentary on an exciting period of time in the Egyptian dessert. And you might learn something!!",False
2,7,A little Cheesy with the head archaeologists but good overall,SOCOMBrae,n/a,16/08/2025,"You can tell who paid for the documentary. A little Cheesy with the head archaeologists but good overall. They keep talking about how amazing they are and how they had a feeling that they're about to find some thing, little silly but it's fine. We got to see some cool tombs, opened and discovered, but you could tell those guys had huge egos like it was just all about them, and how awesome and special they are to find these tombs. And how it's all because of them that they were found. Yes I'm over exaggerating and repeating just like they did in the documentary. The video specifically not sure who edited it,. But it looks like they let the archaeologists be part of the editing process and that made it a little cheesy, but still enjoyable.Overall, it's great getting to see pieces of history.",False
3,6,Not much about the actual pyramid,gaugusteo,n/a,16/08/2025,The title is a bit misleading and was not really aspecting to spend time in following the whole excavation. Worth watching if you do not have much expectation based on the title. Very Americanized. I loved watching the Saqqara documentary. Intriguing the part in which some items are really discovered at the end of the documentary.I hope that will be a sequel and some more items and history will be discovered/revealed. I admire the tenacity of all the archeologist that took part on the excavations and the perseverance of the people that helped.I would have rather seen more of the actual discoveries.,False
4,6,Is it really a story of the lost pyramid??,fnypfnnxw,n/a,16/08/2025,"SpoilerNot bad, but If you are expecting to see a documentary about the excavation, mysteries, and great discoveries, just skip about 45 minutes of the documentary.The documentary should be focusing more on the excavation, challenges "" the storm during the excavation"" , and the cheerful moments. Etc. Let us be a part of the excavation rather than making this documentary "" partially"" about DR Hawas and WazeeryEventually, we did not know what is written on the papyrus, I had no closure for the most exciting part of this documentary.There is another documentary about the discovery of a tomb of "" Wahtee"" it was more exciting and more interesting that this.",True
5,6,Good Watch could have been much better,vinylrebellion,n/a,16/08/2025,"To answer some other reviewers questions1. Yes most of the finds are partly staged, ie they will find a peek hole into a tomb, and then cover it up , and ring the film crew. Im sort of okay with that, as it does give a feeling of discovery, which is partly true.2. The arrogance of Hawas, and even his learned protégé , though i respect their expertise, their arrogance, and Egypt centric nationalism are more annoying than awe inspiring. Good that they have local Egyptologists but they dont have to exclusively block or insult foreigners, when the history of Egypt is a global treasure.3. Nothing of the greatest finds was really gone into by the time it wrapped up. Thats because Netflix will for sure have a deal to unfold these in their next Egypt piece. But they should have named it differently and called the next one The Lost PyramidBesides that it was a good watch with some inspiring moments, but the previous Netflix Saqqara one was way better.",False
6,n/a,Interesting But a Little Too Self-congratulatory,n/a,n/a,16/08/2025,"Uncovering lost antiquities is one of those topics that fascinates most of us, especially when they're documented as the discoveries are made. This is one of the goals behind the Netflix ""Unknown"" documentary film series in its chronicles of such events around the world. In the series' latest installment, filmmaker Max Salomon follows the efforts of Egyptologist Zahi Hawass and his colleagues as they seek to find the lost pyramid of Pharoah Huni, a little-known monarch of Egypt's Old Kingdom, in the necropolis of Saqqara. The structure, believed to be located in an area of the ancient city that hasn't been excavated (and thus suspected of not having been looted by grave robbers), fills the archaeological team with tremendous enthusiasm as to what they'll find. It's also an undertaking largely being conducted by native Egyptian investigators, a departure from previous excavations, which have been almost exclusively conducted by Westerners, a venture that's hoped will put these researchers on the map in their own right. And, with a scant nine-month digging window open to them, they need to work quickly before desert weather conditions make their efforts impossible until the following year. The film reveals some truly remarkable discoveries, too, some of the most significant finds in the history of Egyptology. However, despite the significance of these revelations, the picture also lays it on a little thick when it comes to what Hawass and company have found. The degree of self-aggrandizing self-congratulation truly becomes tiresome and repetitive, so much so that the unbridled boasting overshadows the most valuable aspects of the film. What's more, even though some genuinely remarkable artifact discoveries emerge from the excavators' work, digging on what's believed to be Huni's pyramid itself is left at a preliminary stage when the nine months come to an end, suggesting that continued efforts are needed during a subsequent digging season. This means that the chronicling of this venture, though laudable, could nevertheless be premature. In light of this, perhaps it might have been better to wait until the excavation is complete before releasing this offering, as waiting for later may have provided viewers with a fuller, more impressive, more definitive finished product. In short, this documentary feels more like a work in progress than a conclusive record, one that I would have rather watched when complete than in the preliminary stage in which it has been left.",False
7,6,You cannot mess up a pyramid documentary,shambhavikngr,n/a,16/08/2025,"SpoilerYes I know like everyone else I would also like to mention that Dr. Zahi Hawass is a bit egoistic , i first read about him in my English school textbook where he was mad at Carter for how he handled Tut's tomb lol . But I don't think it's right to discredit the great work other archeologists . Ig Dr Hawass's extreme patriotism makes him say wrong thing sometimes .But anyways the documentary was actually really good to watch though it left us with even more questions about huni. I hope there research will be successful and we will get to see another documentary like this , following the life of huni and how the Pyramid got lost .",True
8,8,Great Documentary!,amitgoddard,n/a,16/08/2025,"SpoilerI'd like to describe two aspects in my review.1. Criticism
2. My Thoughts1. Criticism - I think the biggest criticism surrounding the documentary is the fact that the title and the plot line do not sync. I beg to differ on this point, as I do not think that the title is deviating from the plot line but instead is heading towards it. That being said, I sympathize with a few critics, as we do not get to see the the lost pyramid in its entirety. And if we consider the worst case scenario, the pyramid could potentially not be the ""Unknown Pyramid"" as the excavation is still ongoing as we speak.2. My Thoughts - I think this documentary is very informative. Got to know a lot about the Ancient Egyptian Culture, the process involved in archeology and excavation, and not to mention a ton of history associated with tombs, mummification, and the science involved in discovering something so fascinating. Personally, I was glued from the very start all the way to the end. I hardly blinked.My only gripe is the fact that unfortunately we didn't get to see the whole excavation of the tomb itself. Not to mention that it is lengthy process. I do not understand though whether this was due to financial constraints on the movie makers, as their is no time stamp in the documentary that indicates the beginning of the excavation. (Time stamps in the documentary could have indicated the time involved in the making and I would therefore be able to make out whether this documentary as a project was even viable and whether or not they could've covered the entire process of excavating the Unknown Pryamid).I would also like to compliment the fact that the movie makers didn't decide to use a separate narrator for this documentary and the narration was done by the archeologist himself. This syncs with the message in the documentary that Egyptian archeology is heading in a direction where they do not need any foreign help. I think it is a very good sign for their country in general that they mastered archeology and are up to modern standards.",True
9,4,Ultimately Shallow,souplahoopla,n/a,16/08/2025,"I absolutely love anything to do with ancient Egypt. Anytime a new documentary comes out I'm on it like a fly on $hit. So as soon as this came out I settled down for an hour and a half of informative archaeology.That is not what I got.Now, I will preface this review with the fact I'm not a great fan of Hawass. His ego and inability to work with international archaeology teams is pretty well known. But he is an expert, so I didn't go into this expecting to get particularly annoyed at all.So it starts off okay, he's looking for a lost pyramid and his colleague/student is doing a dig in another location. All good. Now I wont go into the whole synopsis of this film, I'll just convey what I took away from it.This lost pyramid, is supposed to belong to a Pharoah called Huni. Perhaps we will learn a bit about him or that time period? Maybe we will learn how this period fits into global civilisations? I hope we get a bit of context as to why his pyramid is missing?! No, you get nothing. Because this search for a pyramid has absolutely nothing to do with the find, and everything to do with Hawass. As far as this documentary is concerned, this is more about having Egyptians make a 'great' find under his tutelage than anything else.And there is nothing wrong with having pride in your nations history and wanting to make your own discoveries, of course. But you don't shrug other experts off because they happened to come from overseas.So there is a fair amount of time spent on the 'evil' foreigner that arranged digs and 'stole' all these artifacts. He seems to conveniently forget that the 'evil' foreigners were the ones funding these incredibly expensive digs, and the terms with the Egyptian government at the time was that any spoils would be shared between them as reimbursement. But lets just ignore that, shall we?So, he ends up with 2, rather extraordinary finds, unrelated to the main dig. Pin that in your mind.His colleague has a far more interesting dig, unearthing a tomb with amazing artifacts - one unlike any other. Now pin that also.Now, you would be correct in assuming these amazing artifacts, their discovery, their conservation, their meaning and significance, would take up the main bulk of this documentary right? Nope. You get a couple of scenes of onsite, and lab, conservation, and that is it. Literally, you barely see anything. I was wondering if we would actually see anything at all! You do get a small glimpse at the end, in the form of the previous 'Egyptians made a find' motif. Some of the discoveries you only see when they pull them out of the sand, and never again!I came away from this feeling like it was a big missed opportunity. That somewhere, down the line, it stopped being a documentary about a missing pyramid and tombs, and morphed into a ego driven vanity project...and that's a shame. Because the finds were truly fascinating. I would have much rather had learned about the finds then listen to Hawass and his protégé wax lyrical about how amazing they are.",False
10,9,Beautifully filmed with incredible discoveries,gilliandawe91,n/a,16/08/2025,"Loved every second of it. I have always been fascinated by Egyptology, and especially anything involving Dr. Zahi Hawass. His fight to bring the glory of Egypt back to the Egyptian people is so honourable and you truly sense the pride everyone involved has for their country and their history.This finds here are nothing short of astonishing, many things I have never ever seen before in any other documentary. I don't want to overhype but truly wild.On top of all of that, the cinematography was absolutely stunning. Whether in the tombs themselves in those tight, tiny corners or overlooking the incredible Egyptian landscapes at sunset, the DOP's on this shoot did an amazing job in some very difficult circumstances.If you're into Egyptology at all, highly recommend!",False
