Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,Too brief an assessment of Steve McNair's life and death,paul-allaer,n/a,16/08/2025,"As ""Untold: The Murder of Air McNair"" (2024 release; 58 min.) opens, it is ""July 4, 2009"" and Robert Gaddy, longtime friend of Titans QB Steve McNair, calls 911 in distress upon finding 2 dead bodies at McNair's apartment in Nashville. We then go back in time to 1995 when Jeff Fisher, interim head Coach of the Houston Oilers, is named head coach period, and Steve McNair is drafted in the first round of the NFL draft by Houston. At this point we are less than 10 minutes into the documentary.Couple of comments: of course I remembered that McNair was killed in 2009 but I didn't remember the exact circumstances of this horrible event. This documentary aims to dig into those exact circumstances. At net even an hour of running time, this felt less like an in-depth assessment of a tragic, and more like a sensational paparazzi piece. In this particular piece, it turns out that Jeff Fisher is one of the most pivotal talking heads. Bottom line: this could've been a truly interesting review of Steve McNair's life, but instead we receive something that is interested only in the sensational headlines, and not the deeper background.""Untold: The Murder of Air McNair"" recently started streaming on Netflix, and Netflix recommended it to me based on my viewing habits. If you are a fan of the NFL or a fan of true crime, I'd readily suggest you check this out, with tempered expectations, and draw your own conclusion.",False
2,6,The ending failed,wishonstar25,n/a,16/08/2025,"SpoilerI enjoyed it until right near the end. They brought in more names, more suspects and then never told what became of that. Like, how did she actually get ahold of that gun? It was never explained how she really did become to possess it. They could have done much better with this. They never did explain why the first person on the scene didn't call 911. He just drank a beer and called someone else to come over and they called 911, I'm guessing the first person left before police got there because of his unregistered gun but I don't know because they didn't explain it. I didn't know who this guy was before watching this so I appreciated the football clips within it to understand who he was.",True
3,2,WTH?,sgyumeez,n/a,16/08/2025,"I literally thought I'd missed something when the documentary ended. I was expecting additional episodes that would delve deeper into the other suspects and explain some of the twists and turns in the story. It was all surface. Netflix usually has great documentaries. I normally Google the person/people the documetary is about, if I am not familiar with them, in order to know who the key players are just in case the documentary doesnt. Netflix did a decent job at that, so I just changed my rating from one star to two stars. I'm glad I didn't Google him, as I would've learned everything the documentary was about beforehand and wouldve have been even more disappointed as I had wasted my time watching it. Perhaps this was created during the Writers Guild strike 😂",False
4,1,"A documentary about American Football, not a murder",kay-kidd,n/a,16/08/2025,"While I understand Steve Mcnair's career as a footballer and the US having such an intense relationship with the game and its players, I found it to be extreme and excessive in terms of how much football is in this show. This is supposed to be a documentary that covers Steve McNair as a person who was killed. Football is just a part of who he was. But this whole documentary reduces him to a player in a team sport, it focuses on the team as a whole, the game, the moves, and about a hundred too many clips. We even start the first episode with way too much information on the backstory of the coach's career - why??I know very little about who he was, the sort of person he aimed to be, the kind of father he was, did he volunteer in the community, did he donate to charity, did he have a favourite pastime, who was this man outside of ""a great arm"" and ""ghetto fabulous"" (this was seriously said by a commentator about McNair and his new team uniform, GHETTO FABULOUS, I damn well choked on my chicken wings).There is little to nothing regarding the investigation, forensics, suspects, his abandoned family that he left for a ""barely legal"" child (this documentary did nothing for his image outside of football).This felt like a poorly done introductory episode to a series that fell flat. Terrible work, don't waste your time.I hope the victims are offered better coverage in another documentary sometime in the future. This was a slap in the faces to them both.1/10.",False
5,4,"An interesting story, badly told.",Sleepin_Dragon,n/a,16/08/2025,"Talented NFL Quarterback Steve McNair becomes a superstar, and comes very close to winning the superbowl. His life is cut short however, when he is killed in 2009.I hate to jump on the bandwagon, but this wasn't a particularly good documentary, for such a big story, it's just so poorly assembled. It's almost chaotic, it jumps about from one thing to another, and the pacing is somehow frantic.Documentaries should be factual and informative, there must be a temptation to sensationalise them, and this one is guilty of that, it's too glossy, too heavily produced. Those interviews, come on, they're like scenes from a cheesy movie.It certainly shows that McNair had a great life, halfway through I felt like I was watching a show about a saint, in reality he was an incredibly talented young man, who enjoyed the spotlight, and probably had a lot of fun.That ending though, come on!!!4/10.",False
6,8,Not sure why this is getting so much hate?,doncholish,n/a,16/08/2025,"It's a 1 hour review of his murder, the investigation, and the outcome. They do flash back to tell the story of his playing days which is important context for those who didn't know how big he was. Don't most documentaries give the background of the person who was murdered? The investigation was not complex and there really wasn't much more to be said. They tried to throw in a little drama at the end, but I don't think there is much merit to that. If people want more information about that drama I think they were expecting a much less straight forward case. Some murders are simple and don't need 3-4 episodes to explain.",False
7,1,Not a murder documentary,cherylanderson-69308,n/a,16/08/2025,"Don't waste your time. It was awful. They tried to run the story of a football player along side a murder and ended up missing the story completely. Ended up with far more questions than answers and no actual answer of what really happened. Pointless. Could have been really good but there wasn't enough sustenance at all. More like a vague football documentary. An hour of my life I will never get back. There are far more and far better documentaries out there and done much better too. If you want to be left guessing, watch it, but you'll be guessing for all the wrong reasons. You don't get an answer.",False
8,2,Possiblyt he worst of the Untold series,docslop,n/a,16/08/2025,"SpoilerIf you're not familiar with the story, McNair was much like most young rich athletes. He loved his ladies and got around while also having a wife and kids. This documentary tries to paint both him and his killer in a very good light with nearly half of it focused on building him up through his football story, which is fair enough. He was a great quarterback and nearly won a superbowl. The other half of the story is focused on building up his fling, who would go on kill him in a murder suicide. They go out of their way to show she ""had a good life"" working at dave and busters (riiiiight) and even interviewed her ex boyfriend whom she left for mr football player. McNair begins supporting her by paying for her condo, buys her an expensive SUV and he's paying for a lot of her bills. It's obvious he's getting sex and she's getting the life of a side girl to a millionaire football player. Shockingly, Steve is also banging other girls and she finds out. She also gets a DUI two days before the murder. I'm not sure if Steve was breaking it off with her, cutting her off, or whatever but she wasn't having it and killed him and then herself. The documentary crew then goes on to try to claim the police didn't investigate well and try to blame it on some gang banger she bought the gun from with zero evidence to back it up. This is a great example of the quote ""History is an agreed upon set of lies"". It's disgusting to the McNair family, his kids, and honestly even the gang banger guy they tried to imply committed the murder despite having overwhelming evidence to suggest she killed him and herself. Shameful and a blight on what I find to be a pretty cool series.",True
9,4,This could have been great,CaitlinRTodd,n/a,16/08/2025,"SpoilerThis documentary could have been excellent but it felt very surface level. I know many people dislike the amount of football that's in here but that didn't bother me at all- I think it's relevant to show what he meant to the NFL and to Nashville.This is a 15 year old crime, so why wasn't all the evidence discussed? Just a cursory glance at any article detailing the investigation shows there was so much this documentary left out. And why did they even talk to that awful conspiracy theorist? Seriously? It felt like they had time to fill and said ""let's include a super random conspiracy theory before it's over."" They did Steve McNair dirty- don't bother watching this documentary. Just read an article about it.",True
10,1,Absolutely ridiculous,meh-gan,n/a,16/08/2025,"SpoilerThis wannabe-documentary starts with the first man who arrived at the apartment, didn't know the body on the couch was Steve and went to the fridge for a beer... then tried to BRIBE the police officer? Then we never hear about that guy again. Why was he there? (I learned from news articles that this guy also calls A JUDGE!!). But like.. come on. A 6'2"" Black man is dead on the couch and you know whose apartment you're at and you can't deduce that it's him? It makes you wonder truly what this apartment was, as it's said to be Steve's but also the murderer mistresses... never truly answered. The fact that so many people came and went makes me wonder if this was a de facto brothel for the circle of McNair, as hookers and sexual escapades with other women were mentioned in police reports. Why else would his friends randomly stop by and have keys? But again, none of this is ever answered. Was Steve living with his wife at home? Were they really getting a divorce? Did she know about all these women and that he was financially supporting them? Again - the doc covers none of it. They teed up plot twists of the ex boyfriend who got a line of credit to help her, plus the felon who sold her the gun who they allude to was dating the murderer mistress - those storylines all go abandoned. So the mistress was dating McNair, the ex and the felon? McNair was married and dating the murderer, sleeping with her friend, and others? I'm not sure what the filmmaker was trying to accomplish with this, but the best part was they got Jeff Fischer on board, whom I adore. Skip this if you're a fan of Air McNair. It will likely just p!ss you off.",True
