Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Fantastic and Inspirational Documentary,bendover-23078,n/a,16/08/2025,"A very emotianal and great dynamic film where an adventurous person called Kobus Oliver is with his four dogs that he loves most in the world. He is in Ukraine where the war has started with Russia. It's scary for him and his beloved dogs as they face many death situations but they always come out stronger with more experience even more ambitious to get out of Ukraine safe and alive. This documentary really shows us that there is hope no matter what the situation is and is likely going to inspire people around the world.Overall the scenery was great, there was a lot of suspense/action which was very entertaining and finally the movie comes to a great ending.",False
2,10,I love the story.,dariatanovitski,n/a,16/08/2025,"SpoilerVerry good!I love it! This is such a loving story. He refuses to let his dogs and truly, I am impressed. This story truly touched my heart. Kobus always beleives that everything will come out good in the most hard times. From all the dogs, I love the most OLLY. I LOVE THE WAY THAT HE NEVER GIVES UP. I am also really impressed with the way he could film a lot of things in real life. Like I said that this story really touched my heart. He is in the war in Ukraine and after he tries to escape and went to Poland but he can be just there for 15 days, and he never lost hope to get to Croatia. And he never let his dogs. He loves his dogs like his own children. I cried when I watched the movie.In conclusion, I understand that you should never loose hope because there are always people who are more trouble then you:",True
3,10,An incredible story,noelradovcic,n/a,16/08/2025,SpoilerWar dogs and I is heart warming and ispirationnal movie that talks about a man named Kobus Oliver and his four dogs trying to escape the war in Ukrain. They went on a long and difficult journey but Kobus Oliver knew one thing for sure: he will never leave his dogs behind. Throughout the journey they've been trough a lot but they never lost courage or hope. They've been in a lot of countries and finally find a new home in croatia. It's a beautiful story that teaches us a lot about the war and how it can ruin peoples life. But you always have to stay positive just like Kobus and his dogs were. I really recommmed it to everyone because this movie is a chance that you don't want to miss.,True
4,10,Director Enslin - brilliant!!,valeriejonker,n/a,16/08/2025,"Director Stefan Enslin's storytelling is masterful, he weaves together the themes of faith, perseverance, and the resilience of the human spirit. Through his lens, we witness Kobus Olivier's unwavering determination to survive despite the odds stacked against him. His reliance on his spiritual convictions adds an extra layer of depth and meaning to the story.Stefan Enslin's direction is nothing short of captivating as he seamlessly intertwines the powerful themes of faith, perseverance, and the indomitable spirit of humanity. Director Stefan Enslin adeptly weaves together themes of perseverance, faith, and the resilience of the human spirit in his storytelling. The central character of the movie, Kobus Olivier, exemplifies unwavering determination in the face of daunting challenges. The incorporation of his spiritual convictions adds a profound layer of meaning to the narrative. Consequently, Enslin's work stands out as a noteworthy cinematic achievement.",False
5,9,Wonderful story and documentary! 9/10,shounaksarkar,n/a,16/08/2025,"This was a beautifully shot and excellently executed documentary! Kobus Olivier and his four dogs' story is highly compelling. I was actually one of the privileged few to speak to Kobus personally and write an article on his journey from war torn Ukraine to Croatia for a sports website. Seeing the story represented on TV with Kobus' own spoken words, archived clips and music was therefore very special.Im so glad that he was able to persevere through so much hardship and eventually make it to Croatia intact with his four extremely cute dogs. Highly recommend checking this out! I give it a 9 out of 10 stars.",False
6,10,Our review,pantheaatabeyki,n/a,16/08/2025,"I think that this documentary is great and I learned a lot from it like everybody can. I watched it with my friends and we all loved it. Mr Kobus traveled a long time with his dogs and they are so cute. My favorite is Ollie. But i love all of them. It is impresive how he made it out of the war,and traveled all the way to Croatia from Ukraine. I am really impresed how he found a way to go somewere after a long time having problem with the fact that he could not bring all of his 4 dogs. The movie was sad and happy at the end. I really learnd something and i am happy that he has a happy life now in Zagreb.",False
7,10,very good movie good actors very interesting pictures and topic very interesting war,gabrieldombre-vukic,n/a,16/08/2025,SpoilerSo there is a guy from south africa who travels the world and hes a professional cricket player he lived 3 years in dubai then he went to ukraine and worked in a school as an english teacher it was the best private school in ukraine and then there came the war and he had to escape with his four dogs and its a fantastic story because he saves his dogs and i watched it with my family and it is an great story for children and family and i cried in the part where he survived i was so sad because he said that i think that we are not going to make it this night but then sirens started in kiev and he went to walk his dogs in his apartment.,True
8,10,"Where there is great love, miracles happen",procoach,n/a,16/08/2025,"Director Stefan Enslin adeptly weaves together themes of perseverance, faith, and the resilience of the human spirit in his storytelling. The central character of the movie, Kobus Olivier, exemplifies unwavering determination in the face of daunting challenges. The incorporation of his spiritual convictions adds a profound layer of meaning to the narrative. Consequently, Enslin's work stands out as a noteworthy cinematic achievement.This real life story of love, hope and faith is one of the most inspirational stories I have ever watched. As Olivier says, where there is love, miracles happen. I give it a 10 out of 10.",False
9,10,it is about a man thet loves his dogs more than anything,mihaelblatnik,n/a,16/08/2025,SpoilerWarDogs and i is a film based on a true story of ex professional cricket player that lived in Kyiv. I liked the movie because it was inspiring. The dogs and Kobus were scared. The bombs were 15 kn from their house so they went to the shelter but all 5 where not allowed in there because there were too many people in there so they stayed in their apartment when the bombs exploded. He played Hauser to the dogs so they were not so scared. So he searched for some people that can get him out of Kyiv. He found a guy so he paid him a lot of money and after 8 hours of waiting on the border they came to Poland so after 4 weeks he came to Croatia. The trip that took him 4 weeks should have took him about 12 hours.,True
10,10,WATCH IT,hipridsimba,n/a,16/08/2025,"SpoilerFantastic! I love how the movie shows the real feeling and the real problems in a war and when you're trying to escape it. The way he never abandonned his dogs, what he loves the most, and managed to get them to a safer place. Croatia was a real miracle, that gave him the opportunity to start a new and normal life.Croatia is a beautiful place situated in the balkans, it has beautiful monuments and beautiful cities.I loved the movie, especially the end! The fact that he managed to escape the war with the power of love. His dogs are so cute, especially Ollie, the only boy in the gang.You should watch it!!! :)",True
