Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,This is a documentary? Fooled me!,paul-allaer,n/a,16/08/2025,"As ""We Met In Virtual Reality"" (2022 release; 91 min) opens, the movie screen informs us that ""The journey began in December, 2020."" We watch people in a bar, then at a Community Meeting of some sort. We meet Jenny, who is teaching in a most deaf community. Ray, deaf herself, also teaches there. At this point we are 10 min into the movie.Couple of comments: this movie is the debut of writer-director Joe Hurting. Here he gives us a glimpse into the virtual world where people, using avatars, interact with other people (also using avatars of course). What really threw me for a loop is that this is supposedly a documentary but it never left like a documentary to me. Instead it feels like a very scripted and highly stylistic look at today's dating scene as it plays out on-line and in other virtual settings. I must give Hurting props for the unusual visuals that he brings this in. But also strangely off-putting. When a male avatar asks a female avatar: ""will you marry me in VRChat?"" and she says ""yes"", it felt a little weird for me. Bottom line: I was quite confused by this movie experience and didn't know what all to make of it, to be honest.""We Met in Virtual Reality"" premiered at this year's Sundance to positive buzz, and the movie is currently rated 96% Certified fresh on Rotten Tomatoes. The movie started streaming on HBO Max last week and I couldn't wait to check it out. Alas, it was not the movie that I expected, and in fact I just felt confused. Regardless, if you are interested in what life is like in virtual reality, I'd encourage you to check it out, and draw your own conclusion.",False
2,6,Fun but Superficial,alexa2022sd,n/a,16/08/2025,This film was created entirely inside the VRChat platform. It's a neat enough gimmick but maybe not for 90 minutes? I've seen other documentaries about virtual worlds so this one didn't feel that new to me. I admit that if I didn't grow up online then I might like this more. But the film does capture something real about this virtual culture.One thing that's very impressive about this movie is that the filmmaker (Joe Hunting) is only 22 and already showing a feature at Sundance. Looking forward to seeing what his long career brings as he moves beyond the festival scene.,False
3,7,A surreal film that left me thinking about what's real anyhow,TheVictoriousV,n/a,16/08/2025,"We Met in Virtual Reality is a documentary (i.e., a movie format that concerns real life) shot entirely within a made-up world. More importantly, it focuses on the connections we discover via the World Wide Web when the physical world fails us -- and no, it's not from the vantage point of a scrutinizing old fart this time.There's a certain wave of films that seem to be emerging as Millennials (and some of the older Zoomers, depending on which scholar you ask) are growing old enough to tell tales of their own; no longer are these concepts treated with the same out-of-touch Boomerism as an Unfriended sequel or a cartoon based entirely around emojis. With pictures like Feels Good Man, We're All Going to the World's Fair, and now this, we can tell that life in the age of memes and social media is being depicted by those who truly lived it. (I feel similarly about the writing of Millennial dialogue in new shows like Harley Quinn and Tuca & Bertie, but will talk more about that in a future post.)Obviously, this film is made even more relevant by the fact that it focuses on virtual reality in the post-COVID world. Much like Among Us, Jackbox, and Discord, the game VRChat rose to major popularity during the early days of the pandemic and became the go-to place for many.For those not in the know, VRChat is essentially a more advanced version of Second Life; the sort of virtual platform that Ready Player One tried and failed to envision -- and the kind that Neal Stephenson ""warned"" about in his 1991 novel Snow Crash (which Mark Zuckerberg, ominously, also borrowed the term ""Metaverse"" from), albeit with even zanier avatars than anything he described in that book. The anime girls with questionable jiggle physics are among the most common, but a crudely modeled Kermit the Frog and Ugandan Knuckles aren't out of the question. I called it a ""game"" before but really, it's a place to just hang out and, in lieu of any strict ""gaming"" activities, simply interact with people. (One Letterboxd user quipped that even in VR you can't go to a party without some dude whipping out his acoustic guitar.)The film jumps back and forth between a number of figures, including a person running a VR dance class and another who teaches a group of fellow users sign language -- that is, ""to do so with the mobility limitations of their digital incarnations"", to quote Carlos Aguilar's summary. Another storyline concerns a romance blossoming between users DragonHeart and IsYourBoy, who have never once met each other in real life, culminating in a wedding where the attendees' avatars visibly weep. It is a surreal movie to behold, and I'm hoping to see a behind-the-scenes special on how they achieved this authentically documentary-esque camera work.Many essays have been written about virtual reality as a new sort of spiritual experience. Are these strange avatars/personae -- unbound by the expectations/demands of conventional society and even the laws of physics -- a closer representation of who these people ""truly"" are than their IRL bodies? Is it fair to say this new dimension is more ""real"" than the transcendence we try to achieve through hallucinogens, meditation, and mumbo-jumbo about ""souls"" from a religion or New Age blog of your choice? Or is it simply an addictive affirmation of our delusion and escapism? Perhaps both sides are onto something (recall that even Black Mirror occasionally has a hopeful view of VR).What of the future? How will this film be regarded in terms of prescience in a few decades? What other layers of expression and interaction are there to explore? Will these avatars, in turn, start programming their own virtual realities and make movies within those?Obviously, not everyone is intrigued by all this. Some critics, including Aguilar, have noted that writer-director Joe Hunting probably needed to focus more on the negative aspects of VRChat and how its creation allowed for a whole new type of bullying and harassment. I feel like we already know of that side of digital-age interaction quite well. Oftentimes, it is represented by those aforementioned skeptical Boomers and out-of-touch ""message movies"" like Cyberbu//y, but that doesn't mean it's invalid. It's just that we could do with some films that elucidate the positives: the life-saving capacity of online community in an age of isolation.More than anything else, however, We Met in Virtual Reality is a love story; one that explores how the connections some people make via wires and computer-generated images are more meaningful than the ones they find in reality. It's up to you, then, if you want to find this movie beautiful -- even spiritual -- or horrifying.",False
4,7,Good introduction to VR Chat for newbs like me,trinaboice,n/a,16/08/2025,"IN A NUTSHELL:
I was excited to watch this movie to learn a little bit more about virtual reality. One of my sons is a 3D computer animation artist for a popular video game company and he is very interested in VR. Every time he comes to visit us from out of state, he brings all of his VR equipment so we can play his fun games. I've even walked the streets of various cities around the world in virtual reality. It's mind-blowing how detailed the technology has gotten. He's currently designing some ""characters"" that will soon be for sale in virtual reality stores. He's extremely talented and so I know he's going to have a lucrative side hustle. I'll let you know as soon as they're available for sale!But when it comes to hanging out in a VR chat room, I've never done that, so I was curious to see what it was like. This interesting documentary allows you to experience the environment and understand why it is so appealing to thousands of players around the world.THINGS I LIKED:
How awesome is it that someone can create a movie in their bedroom by filming clips of virtual reality encounters?The scenes take us to many different kinds of locations in virtual reality. We get to ride in a bumpy car, look out over beautiful landscapes, feel the vibes in a dance club, learn skills in various classes, be there when a guy proposes to a girl, attend a wedding, and more!There are some very touching moments of honest connection and genuine support as people go through some of life's big experiences.You really get a sense that people are truly making friends all over the world and meeting people they would have never had the opportunity to get to know in any other way.THINGS I DIDN'T LIKE:
In terms of classic storytelling, the movie doesn't follow the successful pattern at all.It might have been nice to explain to newbs like me how the virtual reality chat rooms work at the beginning of the movie. The first few scenes can be a bit jarring and confusing for viewers who have never been in VR before.I wanted to hear more about the first time the featured couple got to meet each other in real life. For example, did they physically look like they had imagined one another?Sometimes, the technology is glitchy. I'm sure it will just continue to improve every year.TIPS FOR PARENTS:
LOTS of female characters in very sexy clothing with tons of skin and cleavage shown.Talk of gender identity
Talk of suicide and depression
Virtual kissingTHEMES:
Belonging
Connection
Romance
Sign language
Community
Self-confidence
Depression
Suicide
Disabilities
Gender
Trauma",False
5,7,Never thought a VR type filmmaking would exist until now.,peter0969,n/a,16/08/2025,"Saw this at the 2022 Sundance Film FestivalUsually movies about the modern digital media, the internet and social media tends to fall flat because many movies either don't simply understand how the internet works and how the modern media age goes by. Very few movies like Searching, Feels Good Man and The Mitchells vs. The Machines actually understands how the internet works and how modern digital media goes on. Director Joe Hunting clearly knows how VR works and this documentary did surprise me.Filled entirely inside the VRChat platform, it never once felt boring or uninteresting as there were many different and interesting discussions about how people are able to connect with each through the virtual worlds. Especially during the pandemic and how it had a major impact on this certain individuals. Hunting was able to capture the realism about how people go on their days through VR and he was able to bring many interesting insights about this topic. It's definitely not a perfect documentary as there were some technical moments that could be improved throughout and it did feel a little too long. About 10 or 15 minutes of the film could have been trimmed.I believe even if you didn't grow up through the online years or digital years, you will still be able to get something out from this. Being someone who grew up with the internet surrounding me, I was able to connect with the movie personally. I recommend this and I do look forward what director Joe Hunting would do in the future.Rating: B+",False
6,6,"Eye magnet for the first ten minutes... then, zzzzz",wvmotown,n/a,16/08/2025,"Fresh and tasty... but so is the #3 combo at Wendys...
Kinda cool to put on in the background while you get your chores done. Certainly a treat for the VR set and the tweens, but this gum runs out of flavor quickly for the rest of us.",False
7,3,An interesting concept without a story,lasher-michael-p,n/a,16/08/2025,"As a film, it doesn't really work. I found myself wondering what the underlying message the filmmaker was trying to send, but ultimately it came across to me as a clip show of a few people playing in a VR world. Much like watching someone else play a videogame, I found my interest waning about halfway through, so maybe there was a grand conclusion I missed; it just wasn't compelling enough to grab my interest.Credit where credit is due, though. It was a creative use of time during the height of the pandemic.",False
8,10,"A Beautiful, thoughtful Ode to love and technology",Roseplayer450,n/a,16/08/2025,"This film was so touching, the care that Joe Hunting had for his subjects is so tangible. This film could of easily portrayed this world as a strange, scary place full of creeps. But instead it lingers on the beauty, love, and tenderness of the space. Each of the subjects speak with so much maturity, openness, and respect. I walked away from the film feeling immersed in a new world, full of amazing new friends.I can understand why this film may of not landed with some, but I personally felt inspired and uplifted by this documentary. It is definitely on the slow side at times, and does not have a large, overarching story that most films follow. But that was what the film is about, its about just being with these people, in this time, learning about their lives when all of us were struggling IRL.I would give this a watch, for sure, just keep an open mind.",False
9,7,"Good Documentary, Confusing Pacing",Wunder_Wulfe,n/a,16/08/2025,"While this movie does approach and go through several different facets on VRChat's take of the metaverse and its own culture surrounding exploration and socialization, it ends up having a couple of strong points, yet a lot of moments where it falls flat.Scores where I base my rating:
G:GOOD, B:BADG1. Explores topics like depression, love, freedom of expression, and contains information to explain how VR affects these feelings and situations.B1: Sometimes speeds straight through some of these moments, not allowing them to fully evolve and be understood by the viewer, often cutting to something else shortly after.G2: Great variety in users and situations, with a lot of them being quite relatable and casual with a sense of truly being ""live action"" and unscripted.B2: Pacing was often difficult to follow, always cutting to long segments of content that catches the viewer off guard, made further disorienting by jumping between different people with almost no meaningful transition.G3: Shows how the culture of Virtual Reality is so similar yet so different from both the real world experience and the internet chatroom experience, as well as how immersive it may be to nearly physically be present in a room full of other people, and how their personalities are reflected.B3: Fails to explain a lot about virtual reality, including but not limited to: What certain VR jargon refers to (""Full Body,"" ""Avatar/Skin,"" ""Instance/World,"" ...), how VR works (controllers, body trackers, headset), how virtual characters in game are all actual people, how their movements are replicated into the virtual world, and what people are doing in the real world when they are doing something in the virtual world. This is where a majority of the audience may get lost, often having no prior background into the VR culture or concepts.G4: I have met the director in VR prior to and after the creation of this title, and have had a few conversations with them as well as have watched their prior videos. They seem very passionate about their projects and filmmaking, so I will give them somewhat of a pass for some beginner mistakes as well as some praise for a lot of good cinematography, and hope to see their future works as they develop their cinematic portfolio.B4: On the flipside, I feel like they focus too hard on aspects that are already very well known to the VR community and its players, yet present the information as if it is made for that audience. I feel like a movie like this should be designed for an audience of people who don't fully and truly understand virtual reality to be able to connect with players and relate to their lives, eventually leaving with more knowledge about how people ""met in virtual reality,"" rather than ignoring most of the ""virtual reality"" in exchange for focus on only the players within it.Overall, I hope to see a lot of improvement in the director's future works, as well as the continuation of projects like these and similar, because there is not a whole lot out there that really explores both the positive and negative sides of what a metaverse truly has to offer, and how the concept of socializing within virtual reality is not as alien as some may seem.",False
10,1,Gen Z discovers the Second life - 19 years later,Martha_P,n/a,16/08/2025,"I really tried but I don't see anything interesting or new here.Virtual realities existed many years ago and people used them massively, just like here. Nothing revolutionary or special about virtual weddings, communities, etc.""We met in Virtual Reality"" is just endless, boring display of a new generation discovering living in an avatar world. While there is absolutely nothing wrong with playing in virtual worlds (as long as one does not break any laws, of course), I don't see a point of making this movie, and it amazes me that it qualified for Sundance.So, move on, nothing to see here.",False
