Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Randomly watched and what a show,Bgallo28,n/a,16/08/2025,What a great show. I love how they integrated Rob. I didn't expect to get as emotionally involved as I thought I would. Definitely going to keep watching.,False
2,9,This show has real heart and the story makes you a club supporter,reedychris,n/a,16/08/2025,"Just finished episode 6 and enjoying this show more and more each week. The way they've been unfolding the story, sharing the history and the love from the community. To the touches of Ryan and Rob bringing in the Cinderella touch. Its just heart warming and beautiful. I love feel good sports movies, but this has something real about it that draws you in even more than the ""Remember the Titans"" or ""Coach Carter"" movies did.I'm not even a football fan, I'll watch the world cup but thats about it. But this is making me wanna buy a Wrexham jersey and become a supporter.,............................................... ............",False
3,9,Bendigedig,thedivinewoman,n/a,16/08/2025,"When I was a little girl I loved soccer and loved Wrexham. As time went on my tastes changed and soccer wasn't so important.However, my interest was piqued when it was reported Wrexham AFC was bought by these two guys . However, my concern, on learning they were going to make it into a documentary, was it was going to be of interest to them only for that reason. I'm hoping I'm wrong.So far I have loved this more than expected and I'm rooting for Wrexham again. There's a little too much effing and jeffing for my taste as I would have liked to seen this being suitable for all ages. But, Rob seems very emotionally invested while Ryan does strike me as being a bit more of the business side of things and as a monetary investment for him.Still, the best part its it is not being patronising or mean to the Welsh people, seeing the Welsh language featured so prominently is particularly pleasing. And best of all, it feels real and not staged.I wonder if Ryan and Rob have looked into seeing if they have Welsh links on a personal level. Rob, in particular, as there are many Welsh links in Pennsylvania. Bryn Mawr is a welsh name and many West Walians went over and the towns of Narberth and Haverford(west) are in both Pembrokeshire and Pennsylvania.Anyway, looking forward to the rest of the series.",False
4,10,Awesome ( from a 51 year old lifelong supporter),mpd71,n/a,16/08/2025,"Maybe I'm a little biased because I live in wrexham (and I'm a season ticket holder) and i live about a mile from the stadium as the crow flies and can see it from my bedroom , but the show is great . 2020 was a strange year for all but when news broke about the takeover and it was all a bit surreal and people genuinely thought that someone taking the piss . However , here we are ....... my biggest fear was that we were going to be made to look like idiots and it would be a bit of a piss take . However, less than 12 months into the takeover is was more than obvious to us fans than these 2 were deadly serious and put their money where their mouth is so to speak and they were doing the things that any football fan would expect or wish for from new chairmen and the documentary was gonna reflect this . The show is brilliant to be fair . Its not all about Ryan and Rob as some might have expected but also about the characters in and around the club.Similar to that feeling when your kid learns to ride a bike, or when they win their first egg and spoon race I was absolutely proud as punch of the way the club was presented to the world . This is a big deal for a club our size in our league. In fact I'd go as far as to say that the publicity of takeover and subsequent documentary would be the envy of pretty much every football club around world. Even if football is not your thing , the story that has been created here is absolutely first class and unlike other sports documentary, it's not a sneaky peek at just the team but it's the whole nine yards . I'm sure the rest of the season/series will have it's ups and downs and I know how it ends in real life but the story coming will amaze everyone I'm sure . We'll done fx well done Rob and Ryan well done wrexham fc . Our time has come.",False
5,10,Something good for a change,surfingnaked1,n/a,16/08/2025,"Didn't know what this was all about but I like rob and Ryan so I thought I'd take a look. Have you seen what's on tv now, scripted reality, stupid tv. I can't even watch most of it. I started watching the science channel for something good. Then I watched this and I saw the heart and soul of so many people, real people and I was hooked. The heart. And the should of all the people was awesome , nothing scripted here. I love the fact hey have to subtitle the welsh people so the Americans can understand them. So far everyone has been upbeat by all the people, REAL PEOPlE!! So wish Ryan and bob the best and I will watch every episode .",False
6,10,Where can I buy Wrexham AFC merch? I just became a fan!,steve-marcus26,n/a,16/08/2025,"Just wow. This series takes you into the lives of everyone involved and makes you actually experience what they go through. This is absolutely incredibly well done and cannot wait to see the team climb higher and higher up the pyramid.Ryan and Rob have done an amazing job building this doc-series and do not let us down. The score is perfect, the special effects are amazing, almost makes you wonder if the scenes were reshot. If you are a Ted Lasso fan, this will blow your mind.If you are an emotion-roller-coaster junkie, I do suggest you wait for the entire season to be released, as the cliffhanger will kill you.Well done boys, now go get 'em!",False
7,10,True grit,wellsywibblywobbly,n/a,16/08/2025,"This is a rare show. Interesting, funny, moving, authentic and above all heartfelt. It may surprise people to know this is much less about Reynolds and McElhenney and more about a community, a forgotten part of the UK, local characters and a football (soccer) set-up that is immensely likeable (when compared with the grossed-out British Premier League). That is not to say that Ryan Reynolds' renowned wit doesn't pepper the series, but it's not the main course.This could so easily have been a goofed-up Disney show full of scripted laughs, but it's far from it. Instead we see the Hollywood stars build a genuine empathy and passion that infects an entire town. The real stars are in Wales and they won't have previously have an IMBD back history. You should watch it.",False
8,10,Has all the ingredients needed to be a first class sports documentary!,TurboRay,n/a,16/08/2025,Two episodes in and I'm addicted! This has all ingredients needed to be a first-class sports documentary! You can really tell they have the town/city's best interest at heart and really want Wrexham to be more than a football club in the community! Also loving the Welsh language and highlighting Wrexham as a Welsh club! Da iawn!,False
9,10,Early days but I'm loving it this far,cuzcatleco-36907,n/a,16/08/2025,"I know it's early but I can't stress enough how pleasantly surprised I am at how good this documentary is thus far. The tone of the documentary is set from the very beginning, you all may think that just because the football club is owned by individuals like Ryan Reynolds and Rob Mcelhenney that the documentary will have a silly tone, don't get me wrong it has it's silly moments but they're few and far between. The seriousness of the situation is really driven home by the documentary. I can't wait to see more!",False
10,7,"I wanted to hate it, but it's already almost seminal.",FONYMAHONEY,n/a,16/08/2025,"Wow. I mean, I was fearing what I think a lot of brits were with this show - the offensively unfunny Ted Lasso, in the real world.How wrong I was.The sheer emotional rawness running through this documentary is harnessed to absolute perfection, managing to tread a seemingly impossible balance between mirth & heartbreak with affectionate aplomb, rather than following the standard type and falling into the territory of ego-driven puff piece.Going into this, I already had a lot of appreciation and affection for the two R's (particularly McElhenney, one of the great comedy talents of the 21st century), but I still expected a car crash. Instead, they've turned out the finest sporting documentary since the first series of Sunderland Til I Die. I just hope they make good on their word, and see this through as a long term project to rejuvenate the oldest football club in Wales.My only bugbear? The subtitles. If Americans can't understand English spoken in its actual native accent? That's their problem, and pandering to that ignorance only further enables the enduring ignorance of American audiences to any outside culture. I already hate it when Britain's finest shows are remade (and dumbed-down) for a US audience, these days seemingly in an almost conveyor belt fashion where our finest exports aren't even broadcast in the US in their original form. This is another very typical example of that problem, and frankly - i'm disappointed. It's distracting, can't Disney provide an option for British audiences to remove the (frankly insulting and frequently inaccurate) subtitles? We don't have subtitles on American shows which dominate UK screens, so why do they need them for ours?But yeah - beyond that, as a piece of work, it's really exceptional. Long may it run, and I mean that in every possible respect. But please ditch the subtitles.",False
