Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,It's lovely to hear them both talk about Wham!,silverlve,n/a,16/08/2025,"After a long day at work I needed something to watch and this came up since I had added it to my list.It was nice to listen to George and Andrew go through the beginning of their friendship to the inspiration and growth of their music careers. You could see the ache Yog had for becoming that artist he always wished to be. These two young men had such an incredible experience and near the end when you could feel George becoming the solo star he was meant to be, it became a bit heartbreaking but you could see that was necessary. George was a powerhouse and yet he began a quiet, gentle soul. Made me teary at the end but truly enjoyed it.",False
2,8,Joyful memories of a snapshot in time,TeddyKeaton,n/a,16/08/2025,"I had a smile on my face as I watched most of this film, remembering how lovely George and Andy were together and the infectious smiles on the both of them. Their music is still as catchy as ever, and it was nice to see a lot of early concert footage of the group that I'd never seen before. Thank you Mr. Ridgeley for putting this together. My only complaint was that it was about 15-20 minutes longer than it needed to be, and it could've had more clips of Andy and George in the studio together. Definitely a must-see if you're a fan of 80s pop music, and if you know little to nothing about the underpinnings of George's meteoric rise to solo career fame.",False
3,7,A love letter to Yog.,TakeTwoReviews,n/a,16/08/2025,"Did I need a Wham! Documentary in my life? I didn't think do, but turns out I was wrong. Now let's be clear I wasn't a Wham! Fan. I did grow up in the 80s, but I don't think there's a single Wham! Song I like. So why on earth am I watching this? Well partly the power of Netflix marketing and partly that I do enjoy a good documentary. And this is a good documentary. It doesn't break any moulds, the format of tons of archive is fairly standard now, but there is a wealth of stuff here that takes you right back to the era with nailed on authenticity. Two high school mates, fooling around with music, playing, experimenting. Nothing much else to do and plenty of social discord to feed off, as they muck around with home demos. What's obvious though is they've got talent and drive and in George (or Yog), a great charismatic singer. 'Wham Rap' still leaves me cold, but hey at least there was some substance to it and in 'Careless Whisper', although it's pure schmaltz, it's pop potential really does smack you in the face. What's interesting now, watching in 2023 is the reliance they had on the record industry to be given a break. No social media or accessible DIY scene. Young George and Andrew aren't work shy, putting in the hours on dingy club tours, but it's a lucky break getting the chance to fill in for a no show on Top of the Pops and from there things go nuts. It's all about the look. It's the 80s after all. Pretty boys (plus the two girls) and a dance routine what more do you need? Nothing apparently. The hits keep coming, charting every single. There's no talking heads and most of the narration comes from Andrew Ridgley, stock filling in where the archive gets sparse, but there's plenty from George Micheal too, these parts beautifully edited to make it feel like he's been part of the production with the two friends still bouncing off one another. No more so, than when the subject of George's sexuality comes out. How he handled it or rather didn't. His realisation that he was gay, at a time where that was still an issue in a Conservative British society. Instead of being excepted as it would be today (in music at least), it's repressed and hidden. Overshadowed by the critical punches they took as their pop star rose. Screaming teenagers taking over as they go on tour, they play up to it, leaving by what I'm sure are the front doors of Manchester Apollo (58:50) in towel robes, when they could've snuck out the side door. It's the era of Whamania and they admittedly love it, sticking their faces on merch... and making sod all money. It's details like this that make documentaries on subjects you didn't think you cared about interesting. Because you don't know everything and often because you've not paid attention and dismissed something, you've not realised there's more meat on the bone. So we wind through the sordid issues or dodgy record deals, the band creative separation, ambition and two people on different paths. Ridgley talks openly and candidly, as much of the story becomes commanded by George. It's to Ridgley's credit that he drives this so well. It's a love letter to a lost friend. Am I a converted Wham! Fan? No, not at all, but I'll admit more respect for George Micheal and Andrew Ridgley, what they did and how they did it.",False
4,10,This is a feel good doc!,blemmel19,n/a,16/08/2025,"SpoilerWhat a refreshing look into the genesis and the rise and denouement of Wham! As George Michael's star is rising.I laughed and sang and truly elevated my vibe. This wasn't a Behind the Music sort of exposé with dirt and infighting and backstabbing. No True Hollywood Story drama.Hate to spoil it, but two really nice guys start writing songs together, then they put music to it, do some original dance moves, market themselves cleverly and voila! Big success that translates internationally.I will continue to spoil it. Andrew Ridgeley very humbly and presciently could tell George had far surpassed his own songwriting abilities, and sends him off in the most gentle and supportive way. I will watch this again and again to have a little pick me up.",True
5,10,Beautiful tribute to such a wonderful band,iamshotty,n/a,16/08/2025,"Thank you to the creators of this documentary and Netflix. In a nutshell, it was so well put together, with George and Andrew telling their story in its raw form - no pretence, no fluff, just the facts. It made me laugh, it made me cry, and then laugh again. It made this fifty-five year old woman re-live her youth. I cried at Careless whisper and Last Christmas, I laughed and danced around the lounge room to Wake Me Up Before You Go Go, trying to re-do the moves of a teenager, with creaking knees and hip joints, until it hurt. It was so worth it. I LOVED IT. For those of you who there back in the 80s and fell in love with the boys from Wham as I did, you will not be disappointed.",False
6,7,A Genuine Friendship Couldn't Overshadow George Michael's Dominant Shadow,EUyeshima,n/a,16/08/2025,"There isn't anything particularly revelatory about this 2023 documentary about the definitive '80's pop duo, but it's a mostly effective retelling of their successful albeit brief track record on the top of the charts. What appears reassuring was the genuine friendship depicted between George Michael and Andrew Ridgeley. And how George's mercurial talent as a songwriter and performer quickly broke the pair apart professionally. If there were ugly moments between them, you won't find evidence of them here. Director Chris Smith took a more vanilla approach and used audio-only interviews with George and Andrew to narrate most of the story. Since George died tragically in 2016, Smith apparently didn't want to lean too much on a present-day Ridgeley to have the final word on their story. The still-catchy music speaks for itself.",False
7,8,Really Fun Blast from the Past,HerHolyMoly,n/a,16/08/2025,"I was born in 1976 and grew up with Wham! Being a staple of the music on the radio as a kid. It was 'dare you to not dance and sing' amazing. I remember being 8 and belting out careless whisper so much that my mom begged me to stop and I did once my voice ran out. One day during a bath, I got my big toe stuck in the bathtub faucet. I was not paying attention as I was too focused on nailing the chorus down. The Wham!bulance and fire department had to come and free me from a very naked embarrassing situation. My mom did drain the tub and throw me a towel to cover up in. True story.We all know how George Michael advanced after his 4 short years in Wham! We know his trials and tribulations and the heartbreaking end of his story.But who really knows the story of how it all began?This is a brilliant documentary as you hear this wonderful story of 2 best friends since pre-puberty follow their dreams and create something truly magical. It's a fun ride, with lots of opportunities to sing along, and yet the entire time I was waiting for the other shoe to drop.We ALL KNOW how hard that shoe drops when George is on his own.Baby spoiler- it never happens.These documentarians stayed laser focused on their formative years all the way up to the final tour. Then fin. It was so cool to see a documentary in todays times in which we crave off the negative, just spoon feed us the positive, even when we can still read between the lines.I recommend this doc if you are a fan of their music. Even if you just LIKE it, this flick will remind you that you've been lying to yourself all these years, and you love them as much as the rest of us. Assimilate.",False
8,6,Not even the slightest hint of criticism or negativity,paul-allaer,n/a,16/08/2025,"As ""Wham!"" (2023 release from the UK; 92 min) opens, we hear George (in archival audio footage) and Andrew (from new interviews) talk about how they met in school at age 12. In 1979, at age 16 they formed a pre-Wham band called the Executive. Then come the 1981 demos of Wham Rap and Careless Whisper, leading to a record deal in 1982 as Wham! Officially starts... At this point we are 10 minutes into the documentary.Couple of comments: this is the latest from longtime documentary director Chris Smith (100 Foot Wave""). Here he, with the full cooperation of Andrew. Ridgeley and the estate of George Michael, looks back at the fast rise of ultimate 80's band Wham! I must admit that I am not the greatest fan of their music, which is a little too bubbly for my liking, At the same time, one must acknowledge that these talented lads were a mere 19 in 1982 when Wham ! Started, and a mere 23 when Wham! Disbanded in 1986. That absolutely blows the mind. (It also puts into perspective that George Michel's creative peak came when he was a mere 24 (with 1987's Faith) and 27 (with 1990's. Listen Without Prejudice Vol. 1.) If we can believe this documentary, it was all roses and sunshine between Ridgley and Michael, from start to finish, and beyond. Is that really so? It's impossible to ascertain from this documentary. In fact there isn't the slightest hint of criticism or negativity throughout the documentary. In that sense, this movie feels more like tribute to Wham! Than it is a critical assessment. I would have preferred a bit more of the latter. The music, aside from several all-time classics like ""Careless Whisper"" and ""Last Christmas"", hasn't aged all that well in these past 40 years but even that cannot be discussed in this documentary.""Wham!"" started streaming on Netflix about 2 weeks ago, and I caught up with it just the other night. I typically enjoy these types of music documentaries, but not so much in this particular case. For that the documentary lacks any sign of critical assessment. Of course don't take my words for it, so check it out and draw your own conclusion.",False
9,10,"Outstanding, and moving.",spartanbuff,n/a,16/08/2025,"This new Netflix documentary on Wham! Is just outstanding.I had entered my classical music/opera stage so they were at the fringes of my awareness at the time. I had no idea they were as big as they were.It deals with the deep friendship of George and Andrew, and their mutual goal of creating their act. Their friendship endured, and with no strife or clashing egos. In fact both of them were sweet young men. Clean cut.I have to really give Andrew credit: he stuck by George after he told his best friend he was gay. Andrew propped George up, assuaged his insecurities and led the two firmly forward. And when it was obvious that George was the musical genius and would branch out solo, Andrew not only did not get in his way, he encouraged it; George was plainly headed for bigger things.When the last concert took place in 1986, the duo finished in triumph. Their pledge of friendship and gratitude for each other is quite moving.",False
10,7,"A nice watch, but missing the most interesting aspect",rklemm05,n/a,16/08/2025,"I've been touched by the friendship between those two. Also by the level of sophistication of their music and producing.They were so much more than a fun ""boys band"", the glitter was just an added bonus to their real and undeniable musical skills.But sadly enough, there's nothing in this movie about their writing and composition process. Nothing about the core of their work.Nothing about how these 2 boys (and especially George) became so good at writing impeccable, catchy but yet complex songs that withstood the test of time.We never even see them playing an instrument (except for the semi-fake guitar acts by Andrew in the videos and on stage).This documentary conveys the impact they had on the 80's musical landscape and is touching in many regards, but as a musician myself, I would have loved a more behind-the-curtain approach. How did they learn music? How did they develop that ear for smashing hits? In a nutshell, their songwriting process as I said before.",False
