Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,JCS Criminal Psychology did it better,jbosnjak-15337,n/a,16/08/2025,"If you ask me, I think JCS did much better in composing this case and presenting it through the lense of criminal psychology.It highlights the most important aspects of the case - all condensed into what Jennifer really thought the solution was. Also, with the bonus of not including the dramatic music in the background that Netflix features in every single crime doco.I honestly thought watching the case again, this time around on Netflix, I might learn something more. However, after seeing it, Netflix doesn't measure up the slightest to what JCS presented.For those curious, it's called Jennifer's Solution on YT.",False
2,6,"Worth seeing, but a bit lifeless.",Sleepin_Dragon,n/a,16/08/2025,"Police receive a 911 call from Jennifer Pan, who explains that her parents have been shot at their family home.First of all, what a drab production, I've just watched another Netflix documentary, Crime Scene Berlin, which was such a slick production, this one, for Netflix was so bland.The story, it's an interesting one, but the narrative is just off somehow, I don't feel we learned very much at all, very little exploration of Jennifer's relationship with her parents, no alternative theories explored.The actual footage of Jennifer's interviews is fascinating, and does make the film worth watching. You see some of the techniques used by The Police.Personally, it must have been tough for her, her parents seemed pretty strict, but what she did, as the title gives away...... unforgivably.It's a little overlong at 90 minutes long, you may find yourself yawning and fidgeting a little bit.Worth seeing, but don't expect to be wowed.6/10.",False
3,6,Just listen to Casefile: Case 50,ozzyc,n/a,16/08/2025,Overall i enjoyed the documentary just expected a bit more.I wondered why so many details were left out. Although I truly appreciated the actual footage and commentary I was surprised they chose to exclude some of the more interesting tidbits about the caseI had preciously listened to the 2 hour and 49 minute long Casefile (Episode 50) from 2017 podcast about this years ago and wish they would have included more into this documentary. Casefiles version was so good.I also recently watched the JCS: Criminal Psychology episode (Jennifer's Solution). It was good also.I would definitely recommend watching and listening to both of those to get your true crime fix.,False
4,n/a,Lame,n/a,n/a,16/08/2025,"SpoilerWell, what DID Jennifer do?We don't really get to know.She somehow set in motion that three men with (one, two, three?) guns could enter her house that she shared with her parents.Through her ex-boyfriend she got in contact with them. So he's a co-conspirator. We gather. Because there was a short bit about text messages between her and him.She unlocked the front door. She lied to the police.She concocted stories, and phone-harrassed her ex.That's what she did. Oh, and not go to uni but telling her parents she did. What she did instead was not revealed, though the officer SAID he'd like to know.When did she contact Homeboy (home invader no. 1), how many times, did they communicate afterwards.....no details given at all. No timeline, just Day 1, 2, etc. Until she is arrested.The police interviews were interesting, but I don't need Netflix for those. Some input of officers etc. Involved was interesting, therefore 5 stars.But not worth watching the whole thing for. There was no real background, nothing went in depth, nothing new revealed at all.It was sketchy, superficial, unnecessary. 48 Hours does it better. Much better.",True
5,7,Despite my criticisms it is a gripping watch!!,Guanche48,n/a,16/08/2025,"To begin with, the title does not seem well thought out to me at all, and it is not the only thing that is done poorly in this documentary.I think that this crime story from Canada will appeal primarily to people interested in true crime documentaries, but I must admit as a fan of crime stories, that this one is really dull. They are too many unexplained details, what a disappointment. DNA tests are missing in the house, etc etc..etc..etc .. The most frustrating thing is not having investigated her phone records earlier, incomprehensible! It makes no sense to me.There are also many repetitive things, to fill time I imagine.A great part consists of showing archival footage of interviews that Jennifer had with investigators at the Markham police station. Jennifer's father, who is still alive, spoke to police after he came out of his coma, but he's a very minor player in this story and it would have been fascinating to hear more from him. .. I can go on..There is much more material that they could have used to make a much more interesting and complete documentary, with more respect and responsibility as it should be in these cases. The end seems rushed and a little unclear for me.For true crime fans who are looking for a quick and interesting crime story, it's worth watching! . It manages to entertaing with some surprising details and twists into it's short running time.",False
6,7,Expected outcome but a good doc nonetheless,valacitymiller,n/a,16/08/2025,SpoilerI have seen my fair share of docs. They become a bit predictable. I define a good documentary good if it can hold my attention. This held my attention because Jennifer was a really bad liar and I was invested on exactly how she'd start to crumble. I do feel bad that all the pressure she felt lead her to desperation was her reality but she really wasn't right in the head. The investigators did a good job at not giving up. I wonder why they didn't release photos of the other two involved tho? It gets a 7 because I didn't play on my phone much but predictable guilty verdict. It would be nice to get a follow up from the dad and get a part 2 out of this. Thats just my documentary addicted self talking tho. I'm sure it's too traumatizing to have him talk about it.,True
7,7,The long not short of it,kosmasp,n/a,16/08/2025,"No pun intended - the run time may not be the longest and yet this could have been way shorter. I think a one hour documentary could have done the trick (again no pun intended). Just tighten everything up and get faster to the point and the ""truth"". I don't think there is much doubt about what happened ... there may be questions about the why .. but we can't really look into other peoples brains ... so there is that.So short of someone giving us their reasons for their actions, we won't really know. We can take some educated guesses ... the title already suggest that there is more to the story that the start of the documentary suggests ... that said, maybe you already know of the story - I had not heard of it. So it was quite entertaining and had some interesting twists ... I may be cutting this some slack .. but I am known to be nicer than other reviewers I reckon ... and nice may not be the right way to go here I guess .. but that is another pun to tell ...",False
8,7,Pressure from Parents,DVK1234,n/a,16/08/2025,"SpoilerThe pressure from Jennifer Pan's parents for Jennifer to succeed and to choose a man for herself that did not have a criminal record ultimately resulted in Jennifer Pan doing the unthinkable: to put a hit out on her own parents. I understand that the pressure must have been difficult. According to her friend, she was not a straight A student. The Pans expected her to be a pharmacist, but it seems like she did not get accepted into pharmacy, and then her conditional offer from Ryerson was rescinded when she failed Grade 13 calculus. I absolutely feel sorry that the pressure was obviously too much for this girl, but her actions are still pure evil. She wanted what she wanted: the loser drug dealer boyfriend, her parents' cash. Only a wicked, wicked person could stand in the same room with her parents' murderers and chat with them as if nothing untoward or evil was going on. It makes me wonder what came first, her wickedness, or her being influenced by Daniel Wong into a criminal life for from which she could never turn back?The end of the film says that she and her co-accused have been allowed a retrial. None of these reprobates she ever see the light of day. Ever again.",True
9,4,Watch the JCS video instead,noawareness,n/a,16/08/2025,"Astounding how a large studio with a substantial budget, can't do it better than one guy making YouTube videos. Look up the JCS video on youtube. It's around the same length but goes into this from the criminal psychology angle and absolutely nails it. Netflix tried too hard (as they often do) to ramp up the drama and cinematography and in turn essentially fall flat when it comes to actually giving you what you want from a story like this.The story of this horrific murder is organically dramatic enough that the erie music is completely unnecessary and takes a lot away from the organic darkness of this case.Essentially, it's too long for how much it leaves to assumption and too dramatic for how much it takes away from the incident.Watch the JCS video instead.",False
10,7,An average crime documentary,MidooAshraaf,n/a,16/08/2025,"Very good production design but with few story production material and this is the result!Only scenes from Jennifer's interview worth to be watched and contemplated, the other interviews is lifeless with few footage about Jennifer herself but only footage about the investigators and police chiefs that makes you feel the film is about their work and not an attempt to discuss a crime about a young girl and trying to get into her mixed, complex and deviant feelings which led her to commit this crime.The film doesn't have a lot of plot twists or introductory scenes and that's maybe it's forgivable for the crew because there probably aren't many archival scenes of the girl and the story is straightforward and not serving any twists.",False
