Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Revelatory and vital,rooee,n/a,16/08/2025,"Amazon's initial suppression of this deep and intelligent documentary speaks to the anxiety that surrounds any discussion of race in the modern age. Shelby Steele - who saw segregation and the civil rights movement with his own eyes - provides a detailed context for the poverty afflicting many African-American communities today. This should not be controversial, but in an era when any deviation from the ""systemic racism"" assertion is treated with book-burning horror, I guess it counts as brave. Ironically, Steele explains that there is indeed a systemic problem, and one which disproportionately affects black people. It's just not the problem the world thinks it is.",False
2,9,Extremely Insightful!,anevius,n/a,16/08/2025,Everyone should see this documentary! Too bad it's so hard to find.,False
3,9,Very Interesting,chrisstdeuce,n/a,16/08/2025,"Original and well made piece. At times I found myself feeling this film is pushing me towards the 'wrong opinion'. That's to say it feels forbidden to think independently on this matter in this moment in time. I assume most people understand the feeling I'm describing. But Shelby Steele has what seems a robust case, certainly deserving of daylight. The case being that we're misdiagnosing a problem and that Black people are infantalised so that white people can receive absolution; and nothing much ever changes.",False
4,10,Finally--The Truth Behind All the Distortions and Hype!,furylaw-66159,n/a,16/08/2025,"In this engrossing film, Shelby Steele sets out like a gumshoe detective to reconstruct the world in which Michael Brown found himself that day of August 2014, as a young member of the black underclass in Ferguson, Missouri. Beginning with the poor black urban communities of the 1940s, Steele traces their transformation through the programs of post-1960s Liberalism, and all its good intentions which culminated in Michael Brown's public housing project and the neighborhood which influenced many of the fateful choices he made. Steele approaches his subject from many angles, drawing from a variety of witnesses, community leaders, social historians, newsreels, and the accounts of beleaguered residents of Ferguson--black and white--who have survived in the chaotic aftermath of Michael Brown's death. Steele allows the people who were there to tell the story in their own words. Ultimately, this Film is a lesson on history, human nature and power politics. Steele offers no easy solutions, but a wise and rational way forward for a nation which remains engulfed in the flames of conflict over race.",False
5,10,Thanks for this....,pelagic-39633,n/a,16/08/2025,"....rare truth. The quality of truth is not strained, but goodness knows it gives us a scare now and then. The measured voice in this extraordinary documentary projects hope against the despairing bonfire that is today's progressive grievance industry. Thanks to the Steele family for producing this film.",False
6,10,A Documentary Everyone Should See,adrian-m-miller,n/a,16/08/2025,"This goes well beyond the case it references, fails to pick a side of the established camps, and asks more of the viewer.... to transcend the question of colour and instead choose character.You're left wondering why hasnt this been asked before, or perhaps just more eloquently, as it is hereBeautifully narrated, measured and calm.",False
7,6,"First half great, 2nd half meh",livinglaser-1,n/a,16/08/2025,"SpoilerFor me this seemed like two short movies run back to back. The first one was great, the second was hurried and polemic and I'm not sure what the point of it was.The first half of this doc is the movie described by the title; Steel talks about the shooting of Michael Brown and the surrounding events. He interviews people in the community, reads out the pertinent portions of the trial transcripts, and compares what he found to the contemporaneous media coverage. His conclusions, well supported by the evidence, are:
1) The cop was justified in stopping Brown
2) Brown attacked the cop during the stop
3) The shooting was justified self-defense on the part of the policeman
4) The media coverage was very biased against the police and painted a false picture of the events
5) The iconic ""Hands Up, Don't Shoot"" chant was based on a lie - Brown was not shot with his hands up and this should have been obvious to anyone willing to look at the factsIf Steel had stopped then, he'd have a pretty solid short documentary on an important subject. Unfortunately, Steel then tacks on another half hour or so on his general disillusionment with affirmative action, the Great Society programs, etc. I'm not surprised that he feels that way - I mean, he wouldn't be a conservative if he didn't! But its way to large a topic for the time taken, I'm not sure film is even the right medium for such an exposition (you'd be better off reading anything by Thomas Sowell IMO).If you think Michael Brown's death was a racist murder, the movie should convince you otherwise. Once you've got that part I don't much think the rest of the movie is worthwhile.",True
8,10,Eye opening and raw,mlfisher-82211,n/a,16/08/2025,"In an age where the bold truths are sacrificed for the popular narratives, this documentary poses insightful, compassionate and critical questions...which must be honestly considered before effective solutions will ever successfully prosper. Thank you, Mr. Steele...well done, Sir!!!",False
9,7,Great but 25 minutes too long,JurijFedorov,n/a,16/08/2025,"Very good in parts. Nothing about it is bad and some of the stories and facts in the documentary are really well done and even something all Americans need to see. I do recommend this documentary to all Americans or even some Europeans like myself.The reason I'm not giving it an 8 is because it has several issues. First one is a major issue we constantly see in personal projects where one guy writes and directs a movie or documentary. It's way too long. It's hard to cut scenes you wrote, filmed, and edited. When all scenes are personal you just tend to leave everything in as you feel that everything is great. Not so. This documentary is about Michael Brown, Black people in USA, Steel himself and his family, poor criminal Black people, White politicians, shootings, rioting, public housing failures, and more. Basically, it's about 4 things: the Michael Brown shooting, public housing failures, Steel's family history, and personal interviews with Christian Blacks. The first part is really great! Great work for sure. The public housing part is great and very intellectual, great stuff again. The last 2 parts are kinda all over the place. At most times everything works. At other times we just move so far away from the title of the documentary that it gets boring and a bit pointless. The last 15 minutes are pointless overall. And it's for sure 25 minutes too long. It's a shame because with some editing you can easily make a great documentary out of this. Cut 25 minutes, that's it. Focus on the shooting and then explain it and get out. Don't linger around forever. Make another documentary if you have a need to interview this many people. And don't end it with a really boring interview!Secondly, it's a bit iffy on the science. He does rebut many of the destructive political ideas Democrats have created for Black people. But he exaggerates the negative effects from them. Democrat laws moving the Black father out of the home may have been a terrible idea, but it doesn't explain 100% of the race differences he observes. He has a very narrow focus on environment only and primarily bad modern laws. He's ignoring 95% of psychology studies on poverty, crime, and genes. Humans are not 100% created by our environment. But in his mind we seemingly are.",False
10,4,Although I do agree with some parts it's obvious that this documentary is a red vs blue tool,sarjord,n/a,16/08/2025,"SpoilerAlthough I do agree with some parts of this I must say that it's easy to blame democratic liberals as to why the victim mentality falls so deep within the black society what he barely touched on is the actual facts of redlining , Jim crow , and never touched on the fact that when black people did build wealth and community they were bombed by their own government so that a sense of fear was the only thing that most had to pass on . We are a legacy of trauma not necessarily victimization and that is a core issue that no man woman or side has the audacity to actual touch bases on . I would have liked to see view points from both sides to this project and not just the conservative mind frame to speak on what they believe to be fact but actual conversation between the two.",True
