Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Memories!,fridgem,n/a,15/08/2025,"Some great (and not so great) memories! Contains insightful interviews and a balanced collection of game footage showing the highs and the lows of one of Palace's most turbulent times.A joy for the fan and stranger alike, it's great that the world can watch their story.Eeeeeagles!",False
2,9,Brilliant,eagleskev,n/a,15/08/2025,"Every Palace fan must see this, great documentary. Brighton fans might not like it 😂",False
3,9,I am not a fan but this documentary is fantastic,godsnames,n/a,15/08/2025,"As I stated above, I am not a definite fan of CP. This documentary, however, captures the feeling of being one. It is a strange thing but I like them (CP) very much for whatever reasons (I don't know). It is a very well crafted documentary. If I were a Palace fan, I would save this for myself and kids and for the ages that come. Tell you what: Even if I'm not a fan, I (will) save this to my server just to remind me what 'fan' and lifetime support really means. Excellent work.",False
4,10,Interesting insight,jennifer_oneill-50576,n/a,15/08/2025,Nice to see a sports documentary about a different club - shows us a bit what supporting a non fashionable team is about.,False
5,10,True passion,riyazc,n/a,15/08/2025,This is what it feels like supporting your local club that isn't financed by oil money.A fantastic insight of what it's like to be a 'normal' club and what promotion means.Wish they had done another episode of the first season up and all the drama there!.,False
6,n/a,Brilliant!,n/a,n/a,15/08/2025,"As someone who doesn't follow English Football I didn't know this story and the way it is told
Is so good. The build up from episode 1 to the end is amazing and shows the sum of the parts are what makes good teams. Loved this doco and recommend it.",False
7,10,Another Screamer,Martipee,n/a,15/08/2025,"Great to see another fantastic well-made football story. Always intriguing to see the behind-closed-doors events which drive a club and its players. Exception interviews of players and management, especially the camaraderie between certain players. Makes you wish you were aware of how 'endearing' some of those players were back then.",False
8,10,Outstanding Football Documentary,gotous,n/a,15/08/2025,"Watching this Fantastic Series for the 2nd Time. It's absolutely Top Draw. The emotion, camaraderie, tension, excitement & The Bond between that Band of Brothers captured beautifully . A Masterpiece .",False
9,10,A Fantastic Watch,riyazc,n/a,15/08/2025,"Really good to see a story about one of the oldest football clubs in existence, and how that existence was threatened until it was bought by a consortium of fans.From the brink of extinction, to joining the top league in the world within 3 years - that's some story!Amazing to hear it from the perspective of the chairman and player's.",False
10,10,Pride of South London,jtuoyo,n/a,15/08/2025,A riveting watch cataloguing the highs and lows of CPFC over a three year period. The passion of the fans for the club is unmatched.,False
