Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,An eye opener,movie_goer82,n/a,16/08/2025,"This is an eye opener on the current state of Indian news channels in 2022. India is constantly declining on Press freedom index and is currently on 142 place out of 180 countries. This is a matter of shame for largest democracy of the world.There has been sharp decline in the credibility of the news channels since 2014.Once media used to report and debate on the real issues faced by the citizen. Now, all toxic debates on religion are done to distract the viewers and polarize them.The media is now not making it's viewers well informed, but well intolerant.Ravish Kumar is the only news person left in the mainstream media who is still raising the relevant topics in his prime time. This documentary is all about the right kind of journalism he is doing, and the challenges created by the government to destroy the last ray of hope of Indian journalism.A Must Watch for all and introspect.",False
2,10,Must watched everyone!,gudiayadav-05738,n/a,16/08/2025,"Ravish Kumar is my favourite Journalist. Watch their documentary is great time in my life for me...This documentary motivate any person who want to do right thing but situations are not good. How Ravish Kumar handling these hard situation as a brave man.. inspiring everyone.Ravish kumar is icon of indian youth who love journalism. They read him, watch him, and get inspired for doing great work. Their work in Indian Hindi Journalism is milestone for upcoming years.Ravish Kumar is voice of unemployed youths, farmers, daily workers, women and childrens , contractual workers, even though who working in organised sector but unable to present their view.In future when modern history of journalism wrote Ravish Kumar shine like sun. Watch this and think why people love him ?",False
3,10,My favourite journalist based film.,ashukr-31193,n/a,16/08/2025,"Ravish sir is awesome and his movie is great,his role in Indian media is very important in current situation all other media is not showing true news but ravish always show the truth through his show...and this movie perfectly described it ...iam watching him from last eight years.... this movie going to be blockbuster.....Ravish sir is awesome and his movie is great,his role in Indian media is very important in current situation all other media is not showing true news but ravish always show the truth through his show...and this movie perfectly described it ...iam watching him from last eight years.... this movie going to be blockbuster.....",False
4,10,An honest journalist ravish kumar no one can buy his honesty,ksiraj-61833,n/a,16/08/2025,"Ravish Kumar is a brand in itself, his honestly is really worth no one can describe his courage, in this crucial time he also doing good on his primetime he never scared very ferocious
This generation needs this kind of journalism and he is true example of journalism he greatest what he is, this documentary is telling everything we must proud this kind of journalist, while other news channel is puppets of bjp government they never bring anything for people they've appreciating modi for no reason but ravish sir is bring truth without any fear he's greatest and thanks to the director who created this documentary and must proud NDTV channel and their journalist and anchor/crew must watch this..",False
5,10,A must watch...!!!!,Content_Lover,n/a,16/08/2025,"It's a must watch newsroom drama. Showcase the reality and struggles of journalism. Ravish Kumar in this Documentary is exceptional.The first 30-40 minutes of the film move very fast. The editing is quick, scenes and locations transition fast. While We Watched gives the feel of a newsroom where different people, with different ideologies and beliefs, work together. Social media will have us believe that everything is black and white, but in the real world, adjustments and compromises have to be made. The film gets into the heart of that.'While We Watched' is a vivid portrait of a man i.e. Ravish Kumar who reminds us that by knowing you are doing the right thing is its own reward.",False
6,10,This film is more important than the Oscars.,J0RWAL,n/a,16/08/2025,"First of all, political parties do all kind of politics to win elections and it is somewhat acceptable. This is not just in India but everywhere in a democratic country this happen regularly but problem is the role of media in the society. We all have witnessed the kind of hate in the society that was targeted on everyone's mind from all major news outlet. It already brought India few decades behind the rest of the world in terms of common mentality of the society. Also, we should be thankful that there was no large scale riot. Whole India went to the edge of the cliff but somehow managed to not fall down because of journalists like Ravish Kumar, Purna Prasun Abjpai, Abhishar Sharma, etc.And NDTV which stood against everyone else and continued their reporting clean and unbiased. They tried their best to keep society together.Prannoy Roy who stood behind the scenes also deserves all the respect.",False
7,10,A must watch for all,thekumar-47375,n/a,16/08/2025,"Democracy is not easy to maintain. Taken for granted, unscrupulous beings find ways to exploit the naive and harrass those who speak the truth.Strangely, it's not yet made available in ailing democracies of the world.Also, a good reminder that failing democracies can't tolerate truth.As journalists continue getting threats and harassment by goons hured by those in power, India has aged back continuously for a decade.This is just summarising what happens with honest beings and the price one has to pay remaining honest. How ironic, people don't learn from mistakes. It takes a painful reminder.",False
8,10,Movie will shook you,gauravpalanshu,n/a,16/08/2025,"Wish we can watch more movies like that and it ll open eyes of people those who are living in a well. Movie shows us doing right things gives you so much pain and loneliness.This documentary motivate any person who want to do right thing but situations are not good. How Ravish Kumar handling these hard situation as a brave man.. inspiring everyone.I want to watch this movie soon, i don't know where to watch. India really need people like Ravish Kumar, freedom of speech, press and etc.Ravish Kumar is great journalist all time :)i wish this movie release in all over India and in all theater.",False
9,10,Eyeopener for largest democracy in the world,laraibkhan-52225,n/a,16/08/2025,"SpoilerOME LATEST NEWS WEB STORIES MORE Kannada CinemaMalayalam CinemaTamil CinemaTelugu CinemaBollywoodOTTTelevisionHollywoodRegional CinemaBIGG BOSSMovie ReviewGossip Home » Entertainment » While We Watched Movie Review:... While We Watched movie review: Vinay Shukla's documentary on Ravish Kumar documents Indian journalism's lone voice Aditya Shrikrishna Published On: 13 Sept 2022 10:00 AM Ravish Kumar in While We Watched Vinay Shukla's documentary paints a picture of struggle and disillusionment that is at the centre of journalism in India. Starcast : Ravish Kumar, Deepak Chaubey, Sushil Bahuguna Director: Vinay Shukla Rating: 3 star Highlights While We Watched documents the daily battle of making peace with doing the right thing while not getting heard or rewarded. While several journalists and activists have been arrested, Ravish Kumar becomes an important if privileged figure just by virtue of being on a television at prime time. Kumar becomes the lone voice with a direct line to a large part of India. Vinay Shukla's documentary While We Watched focuses on the life and work of TV journalist Ravish Kumar of NDTV India, fighting not just the government by asking the right questions under a din of hate while wading through misinformation, but also trying to keep a channel afloat with ratings, censorship and budgetary cuts vying for attention. At the offices of NDTV India, a cake is cut when someone has quit or retiring or leaving the media for greener, more stress-free pastures. Kumar gets out of his modest office to have a slice, smiling only when he must and a world-weary look on his face as his medium is chiselled away by the system. It gets emotional at times like when his producer leaves after almost a decade (he tips his hat to her in that evening's bulletin) or when he wishes he could have run someone's story as a going away present.The first half hour of While We Watched continues in a blitzkrieg of quick cuts and unannounced change in locations and narrative. The stylistic choice helps with recreating a newsroom (Shukla is following Kumar throughout) and the attritional nature of news in the last few years. An assassination attempt on Umar Khalid is followed by a video of two Hindu nationalists proudly taking responsibility. ""How did someone walk into the centre of the nation's capital with a gun?"", asks Kumar in disbelief. Next minute, he's listening to a junior colleague talk about the relationship between increasing unemployment and this systemic fostering of hate and youth mobilisation to sustain it.",True
10,6,"Has its heart in the right place, but..",curmudgeon86,n/a,16/08/2025,"This fly-in-the-wall style documentary follows journalist/news-anchor Ravish Kumar during the lead up to 2019 Indian general elections. Ravish, then in NDTV, was the one prominent news anchor who did not devolve into a government mouthpiece.The documentary depicts Ravish fighting a lonely battle even as the world around him is being transformed beyond his recognition. In other channels, news anchors constantly scream at the screen denouncing critics of the government as ""anti-national"". Their frenzied denunciations are a hit with the viewers, Ravish's sober self reflection is not. His channel is struggling--funds are limited and employees are leaving. There is suspicion of foul play from the government in hastening their demise.But for Ravish the most worrying thing is that the public themselves are changing, putting the government on a pedestal and imbibing the anger of the TV anchors at critics. Ravish himself receives abusive phone calls.There are small victories, but few and far between. Ravish and his co-workers go through one disheartening moment after another. But even though he understands it is a losing battle, Ravish maintains his voice and his conviction. As he says in an award ceremony, ""some battles are fought to tell the world someone was there in the battlefield.""While We Watched captures the atmosphere of despondency well. But it limits itself too much with the fly-in-the-wall style. For those unfamiliar with the context, it can be difficult to pick up key information from the snatches of conversation. For example, the rise of the angry anchors coincided with the rapid disappearance of ground-level reporting as the latter did not bring the views. In this docu, there are several instances when Ravish and his friends lament the dearth of good field journalists, but they would be missed by anyone not in the know.Also, we see Ravish almost exclusively talk about how other TV channels are failing at journalism, but we do not see enough of his own journalism. This ends up paining Ravish as more one-note than he is. It would have been good to get a fuller picture of Ravish at work -- to see how he approaches his work or how he mentors his juniors. Not much happens and for Indian viewers who have watched Ravish, not much new is revealed. Most of these weaknesses could have been rectified by stepping out of the fly in the wall style, adding some interviews and providing more context in places.While We Watched has its heart in the right place, but it's not going to go down as one of the great documentaries of our times.",False
