Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,This had me to the bitter end!,Hitchcoc,n/a,15/08/2025,"I love it when a movie captivates me, carries me along, then surprises me at the end. This is a masterpiece of human maneuvering. It has outstanding acting and a plot to die for. This is a fairly pedestrian Agatha Christie short story. I'm not saying it's not a wonderful story, just that it doesn't come to life like it does on the screen. Charles Laughton is the wonder barrister who is taking the case, even though he is in poor health. The murder case seems a relatively simple one until we begin to trip over the many layers left lying on the path. Marlene Dietrich does a masterful job in all her roles (I won't say anymore than that so I don't spoil the ending). Tyrone Power is able to balance his pathos and his potential guilt. The beauty of the movie is that it never takes itself too seriously. There are some modestly funny subplots and a great deal of careful investigation. I guarantee you that once you start watching, you won't be able to turn it off.",False
2,9,Fun with Charles and Marlene,willandthomas-picturehou,n/a,15/08/2025,"To see ""Witness for the Prosecution"" for the first time in 2008 is a jolting surprise. Nobody could do it better than Billy Wilder did in 1957. A man accused of murder, Tyrone Power, the weakest link in this terrific chain. Sir Wilfred is called to defend him, he is played by the extraordinary Charles Laughton, but he's just out of hospital - he wasn't dismissed he was expelled - and due to doctor's orders he's not to take any criminal cases. He finds Power charming and personable enough but he's not going to risk his life to save his until Marlene Dietrich makes her entrance - and what an entrance! How marvelous that what amounts to a bit of Agatha Christie's usual fare becomes such an entertaining and at times right down riveting piece of film-making.",False
3,9,Another triumph for cinematic genius Billy Wilder!,The_Void,n/a,15/08/2025,"SpoilerBilly Wilder is a director with an understanding of cinema that is almost unmatched throughout the medium's entire history - that's why his films are always so good. Witness for the Prosecution is yet another highlight in the great director's history, and it proves that courtroom dramas can be both riveting and a great opportunity for some first rate comedy. Wilder's film features one of the most well paced plots I've ever seen in a film, and it's a plot that includes some very finely tuned twists. Towards the end, Wilder bombards us with twist after twist, each one both making sense and topping the one before it. In a time when people are impressed by films such as 'The Sixth Sense', Billy Wilder still shows us how to skilfully attribute a twist into a film's plot. The plot itself follows the story of Sir Wilfrid Robarts; an ace defence lawyer that has been told that his health won't allow him to tackle anything more than mundane cases, but is brought back into the fray when a case involving the murder of an elderly woman comes into his hands. Wilfrid must now juggle the case and his health as he attempts to keep the young man from being sent down.Like all Wilder films, this one is a very pleasurable viewing. Wilder manages to find a middle ground between substance and entertainment, and so this is a film that will please fans of both aspects. The film is deliriously entertaining throughout, with some truly great lines of dialogue (most of which is very quotable) and every twist adds a new level to the story. The substance comes from a multitude of angles, and themes of love, health, sacrifice and most notably, justice, are all more than prevalent. The acting is certainly of note in Witness for the Prosecution. Charles Laughton is absolutely sublime as the undermining and stubborn Wilfrid Robarts; his performance is very strong, and makes up the backbone of the film. The main supporting performance comes from Marlene Dietrich. I'm not a big fan of hers; despite having a great pair of legs, she just doesn't do anything for me, but in this film she brings sufficient coldness to her character and really makes it her own. The final main performance comes from Tyrone Power; he isn't as great as the other two, but does enough with his character to ensure he's believable. Highly recommended viewing!",True
4,10,A Hitchcockian Billy Wilder,littlemartinarocena,n/a,15/08/2025,"At the end of the day the films you give top marks are those films that become constant companions. You can see them again at the drop of a hat, you show them to people who have never see them and it's always a triumph. ""Witness For The Prosecution"" is one of those wonders. Suspend your disbelief for a couple of hours and enjoy this banquet of a romp. Charles Laughton showed here what he was made of better, more clearly and more loudly than in any other film and all of his films, at least the moments with him in it, are unforgettable - Captain Blight or Henry VIII, Quasimodo or that malefic Senator from South Carolina. Here the severity of his lawyer by vocation takes your senses away with his masterful judicial way to see logic and it's such an incredible fun to watch him do it. Tyrone Power is a toy in his hands but not Marlene Dietrich who stands her ground, not merely as a character but as a presence on the screen. Billy Wilder visits early Hitchcock territory with wit and fun. Elsa Lanchester's nurse is the cherry on top of this delightful film.",False
5,10,Dynamite courtroom drama,planktonrules,n/a,15/08/2025,"SpoilerThis is one of the absolute best courtroom movies ever made, along with ANATOMY OF A MURDER and THE VERDICT. All deserve a score of 10 and each is great in it own way.This film is great, but not for the realism of ANATOMY OF A MURDER. Instead, it's got such a wonderful script full of wonderful twists and turns. Plus, having top actors on the top of their game (such as Charles Laughton, Tyrone Power and Marlena Dietrich) made this such a great film. Plus, it has one of the best all-time endings on film.So is it realistic? Hardly, but given the magnificent script, this can easily be forgiven and just be enjoyed for the massive entertainment value it brings. If you don't enjoy this film, you must be dead!",True
6,10,What a movie!,scott-buchanan,n/a,15/08/2025,"SpoilerA film I have not seen for years but will always remember with fondness. A classic thriller with all the right ingredients - Power and Dietrich are spectacular, and, by early standards (and recent ones!), the twist is excellent.Charles Laughton however, provides us with a glib chuckle as the aging defense attorney ruled by his overlord maid. A distraction that only adds to an excellent plot line.I can't imagine another film of the genre and the era, that so wickedly entangles the essential thriller with a 'crime of passion' (oops, spot the plot killer...) gem. A classic.A film for true movie lovers. Take it from me!",True
7,8,Love That Laughton,flickershows,n/a,15/08/2025,"SpoilerCharlie Chaplin was funny. Charles Laughton was witty. As good as 'Witness For The Prosecution' is---Agatha Christie's story, the other actors, the technical expertise---the Oscar-nominated Laughton is THE reason to see this film. What he brings to Billy Wilder's 1957 courtroom thriller is his tremendous wit and intellect. It's a serious story, but the dark-comic tag team of Wilder/Laughton upgraded the film from ""a good courtroom mystery"" to ""a classic of the courtroom genre"".The headlining star, Tyrone Power, sure doesn't help them very much. He plays anguish about as smoothly as ripped sandpaper...and anguish is the unfortunate emotion he's got to play for most of the picture. Power has been accused of murdering a wealthy older woman. His wife (Marlene Dietrich) seems to be doing all she can to sell him out, appearing as...drum roll, please, drummer man...the star witness for the prosecution. Laughton is the brilliant (and ailing) English barrister defending Power. The plot twists 'n' turns a dozen ways from Sunday, just as it always does in Christie's best work.Amongst all the talk of bloody murder, there are running gags about cigars and alcohol. More dark wit---Laughton's character's poor health might cause him to drop dead at any moment. Wilder weaved thrills and smiles as well as any director. In this, he was wise to anchor the supporting cast with mainstays of the stiff upper lip. John Williams and Ian Wolfe (Hirsch from ""WKRP""), not to mention Laughton's control-freak assistant Elsa Lanchester (who was also CL's real-life wife), are bloody good.Movies of this type have been ripped off so often that students of the ""don't give away the ending"" class are bound to figure it out. I did. That hardly mattered because there were STILL more surprises to come. Through all that plot, Dietrich winds up being the most fascinating character. Project back and you'll realize how well her performance works. But she & Power are merely the star attractions in 'Witness For The Prosecution'. The main dish is Charles Laughton. Considering how ironic and cynical our society has become, it's stunning that brilliant old pros like Wilder and Laughton aren't more popular today. After this movie, they've become personal heroes of mine.",True
8,n/a,Billy Wilder meets Agatha Christie,n/a,n/a,15/08/2025,"Another brilliant work in the legendary career of Billy Wilder. The director signs a cinematic adaptation of this Agatha Christie story: actually it is really as if the camera went on stage for filming the play. But the film is passionating and exciting, there's no time to get bored.Another thing we shall not forget is that Billy Wilder is European. He manages to keep the spirit of the film very British, with lots of humour and sarcasm. Compared to films like this one, ""legal"" movies from John Grisham's novels are empty and meaningless, without soul.Mr.Wilder is the director, we know; we have Charles Laughton, Tyrone Power and Marlene Dietrich: what a cast! Add a superb black and white cinematography... The result is amazing, with a film where dialogues are flawless and carry everything.Times are different now, but the atmosphere and the taste of movies like this one are impossible to find in contemporary films.",False
9,9,The Goal Is Always Justice,bkoganbing,n/a,15/08/2025,"In a recent biography of Billy Wilder, Agatha Christie is quoted as saying that this was the best adaption of her work ever done on the screen. I can't praise Witness for the Prosecution any higher than that.Tyrone Power in his farewell film plays Leonard Vole who befriends a dotty old widow played by Norma Varden. She even rewrites her will leaving him the bulk of a very large estate. When she's murdered, Scotland Yard arrests Power.Power's solicitor Henry Daniell retains a dream team for defense of John Williams and the recently recovered Charles Laughton. Laughton is recovering from a heart attack and against medical advice plunges into the case. Laughton also has to deal with the efforts of his assigned nurse Elsa Lanchester to keep him following doctor's advice.The original play this was taken from concentrated completely on the Power character and the machinations of his wife. Wilder built up the character of the nurse and barrister Sir Wilfred Robards so that they almost equaled the screen time of Mr. and Mrs. Vole. So much so that Charles Laughton was nominated for an Academy Award in 1957, but lost to Alec Guinness.Marlene Dietrich plays Mrs. Vole. She's a war bride over from Germany and she's got her own agenda going. Her performance and what her character does is the key to the whole film. Dietrich probably would have gotten an Oscar nomination herself, but due to the fact that if her performance was hyped up for Academy consideration, the element of surprise would have been lost in the film. Wilder in fact apologized to Marlene for that.The Anglo-Saxon legal system's goal is justice. Justice is served though not quite in the way it usually is in Witness for the Prosecution.",False
10,9,EntertainingTrial Movie That Still Holds Up,ccthemovieman-1,n/a,15/08/2025,"This is one of the best ""trial movies"" ever made. It's an outstanding film that is just as good today as it was almost 50 years ago when it was released in the theaters. The shocking ending caused quite a stir back then, too.The only part of the movie I thought looked dated and unrealistic was Tyrone Power's character being able to interrupt the trial with outbursts and not be reprimanded for it. There is no way that would be tolerated, at least today.Otherwise, it's a pretty solid film with a good cast that includes two fascinating characters played by actors who know how to entertain: Charles Laughton and Marlene Dietrich.Laughton, who plays Power's defense attorney, grabs the spotlight in the story but Dietrich almost steals the movie in her role as Power's wife. Laughton's dialog is terrific throughout, bringing a number of laughs to this serious film. He's just a joy to watch. Dietrich is even more riveting but just doesn't have anywhere near the same amount of screen time as Laughton.Not to be overlooked is Elsa Lanchester, playing Laughton's nurse. She, too, demonstrates her comedic talent and significantly adds to the fun of watching this film.If you like some fine drama, storyline twists, a little humor thrown in and great acting and dialog, this is a classic film to check out.",False
