Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,surprisingly insightful and entertaining,paul-allaer,n/a,16/08/2025,"As ""Yacht Rock: A Documentary"" (2024 release; 96 min) opens, we are in ""1982, Santa Barbara, California"", and the Doobie Brothers are on stage doing ""Taking It To the Streets"". A number of talking heads, including Questlove, talk about the LA music scene in the 70s and early 80s. We then go to ""1976"" and examine the unlikely influence of Steely Dan on what would become Yacht Rock, a term not invented until decades after the facts. At this point we are 10 minutes into the documentary.Couple of comments: this is the latest from director Garrett Price (""Daisy Jones & the Six""). Here he examines the phenom that has become a musical subgenre called Yacht Rock. If you are a certain age and familiar with/grew up with SoCal music from the mid-70s and early 80s, much of this music is quite familiar, but you probably had never thought of this music as being its own genre. The Doobie Brothers (led by Michael McDonald), Toto, Kenny Loggins, Christopher Cross, and other such acts are among the big names in Yacht Rock. ""It rocks, but not too hard, but it rocks!"" claims one talking head. I will not spoil how exactly Steely Dan fits in all this, you'll just have to see for yourself. I have to say that I was pleasantly surprised how insightful and entertaining this all was. (At the very end of the documentary, the director ends up speaking with Steely Dan's Donald Fagen. Just watch!)""Yacht Rock: A Documentary"" started streaming on Max a week or so ago and I just watched it the other night. If you are a music fan, young or old, I'd readily suggest you check this out, and draw your own conclusion.",False
2,9,Well done!,helentlane,n/a,16/08/2025,"Well-researched and edited survey of the sound that dominated the AM airwaves in the late 1970s and the musicians and technicians who were part of the scene. There are many interiews with members of Toto, Doobie Bros, and contemporary artists that reveal and trace both well and little known connections between diverse artists and bands. The contencious issue of whether or not Steely Dan can be considered Yacht Rock is covered. No spoilers but it's hillarious. As for my husband and I, we are of the belief that Steely Dan can never be considered Yacht Rock because they are such haters. The proof is in the lyrics: Royal Scam, Showbiz Kids, Only a Fool Would Say That, Haitian Divorce, to name a few. They even hate on themselves, and we love them all the more for it!",False
3,8,Jazz-Infused Soft Rock Genre Worth Revisiting,EUyeshima,n/a,16/08/2025,"I would never mock the so-called ""yacht rock"" genre because that's the music I loved the most during my high school and college years. I didn't even know this type of easy-to-ridicule soft rock music had a name, and it didn't until a comic pre-YouTube web series dubbed it so in 2005. Directed by Garret Price, this breezy 2024 documentary cogently chronicles the genesis of this music and its brief reign on the pop charts and at the Grammys from the late '70's to the early '80's concurrent with the emergence of punk and disco. Steely Dan is credited for molding the sounds, in particular, with their classic ""Aja"" album in 1977. Steely Dan's Donald Fagen refused to be interviewed for the film as he found the yacht reference insulting, but the era's other stars are accounted for and provide interesting insights into their creative processes. They include fondly remembered artists like Kenny Loggins, Christopher Cross, and the genre's self-effacing king, Michael McDonald. A nostalgic nugget for those of us who grew up during this period.",False
4,10,Michael McDonald is a SWEETIE PIE,mjavsny,n/a,16/08/2025,"Omg did I love this. I am not into the music so much, but as a person born in 1974 - it was the backing track to my entire childhood. It was so interesting to learn about all of the studio musicians but most of all ...what a group of sweethearts. Really. I was dying of cuteness. It's not that often that you see a bunch of men just full of joy. It was interesting to revisit that time and learn how the sausage was made. Everyone was just a bunch of goofy looking nerds! But SUPER TALENTED NERDS. Even if you hate the music, definitely give it a watch. I promise you - you will be full of smiles at the end.",False
5,n/a,"Your definition may vary, but enjoyable music doc",n/a,n/a,16/08/2025,"YACHT ROCK: A DOCKUMENTARY (2024) One can be forgiven for still not understanding what the definition of this sub-genre is supposed to represent even after watching this enjoyable documentary. ""Yacht Rock"" is an invented term by a couple of comedians about a slice of music from the 70s and 80s with Christopher Cross and Michael McDonald being the patron saints.A broader definition would be soft rock from that era with an emphasis on the ""L. A. Sound"". The term is both too broad and too restrictive - Steely Dan are the forefathers even if they rebel against being lumped in (in an amusing clip, Donald Fagan hangs up on Director Garret Price when he tries to interview him by phone). The Doobie Brothers weren't Yacht Rock until Michael McDonnell joined them. The Eagles and Fleetwood Mac aren't members because they don't have enough jazz. Hall & Oates were too Philly etc.. Some of Michael Jackson's work is Yacht Rock, but not most. The contradictions never cease.Regardless of the silly definitions, YACHT ROCK is a pretty enjoyable piece. Cross, McDonald, Kenny Loggins, Toto (almost by definition, if a member of Toto played on your record, you were an honorary Yacht Rocker) and others who participated have their careers covered in good detail and are allowed the time to speak for themselves. Even if the early inspiration (a web series) began with a mocking tone, the artists here are treated with respect. Cross, in particular, comes off as a very human character. One monster hit album and then never able to come close to duplicating it again. Still, he perseveres and seems content to just doing what he loves.YACHT ROCK may have a dubious premise, but it's an enjoyable look at a place in time which had a certain sound that many still find warm and comforting to this day.",False
6,10,The quintessential & incestuous sounds of smooth jazz & rock!,hidreamn,n/a,16/08/2025,"This almost meme-ish like of a title, ""Yacht Rock"", 😆 docking-rockumentary 🤣 (or vice-versa) in music, albeit, jazzy-rock from the 70's-80's really struck chords in me reliving the years & just brings it home for those who lived the times in this epic retrospective; literally playing on almost every emotion... a true muse of Americana, bringing it all together. The sounds are... literally, exemplary & smooth! Time to bust out the caviar, cheese & crackers... oh, and don't forget the wine Buffy! Avast as we set sail and enjoy the sounds of the artists who brought them to us and celebrate in this epic journey! I love it & I hope you do too. If this music is before your time, download Yacht Rock the next time you have a pool side barbecue or what have you and enjoy the sounds baby! And if you have a yacht, crank it up & party on! Fair winds and following seas ye landlubbers! 😉 To the folks who brought us this ""dockumentary"", you all rock! Thank you! 💪😎",False
7,7,Lightweight,stevehutter,n/a,16/08/2025,"SpoilerI was so excited for this but it ended up being short on new insights. You are better off reading Michael McDonald's autobiography or listening to podcasts that interview these musicians. There were also dozens of artists they never mentioned that would have been interesting to hear from.I never found the yacht rock videos from the early 2000s funny, but they did potentially rekindle interest in this genre. There was just way too much of these ""comedians"" and related commentary that it actually ruined the story.It would have been better to make this a multipart series and dig deeper into this similar to what the Vince McMahon series did (Bill Simmons was involved with both).",True
8,8,Adulation via ridicule,fredrikgunerius,n/a,16/08/2025,"Most rock documentaries are about adulation; this one is about adulation via ridicule. The genre label now known as 'yacht rock' derives from an obscure, low-budget web comedy series from 2005 of the same name, in which some of the stars of the late 1970s and early 1980s soft rock scene in Los Angeles - people like Michael McDonald, Kenny Loggins, Christopher Cross, Steely Dan, and the Toto guys - are parodied and ridiculed. However, the basis for it all was the web series creators' love of the music these guys made, and this is the phenomenon explored so brilliantly in this new HBO documentary made by Garret Price. Many of the most famous 'yacht rockers' of that era, such as McDonald, Loggins, Cross, Steve Lukather, Steve Porcaro, and David Paich, appear and talk willingly about the scene they once were a part of and helped form, while others refuse to take part, telling director Price to ""go f*ck himself"" when he calls them up (Donald Fagen of Steely Dan). The inclusion of this sound clip is just one of the many gems that make Yacht Rock: A Documentary into one of the most enjoyable and enlightening music documentaries I have seen in a while.",False
9,6,Great music. Convoluted too much,marcusph-97538,n/a,16/08/2025,"All the music featured was amazing. But basically anything from the late 70s to the mid 80s that was ""pop "" is yacht rock. It has nothing to do with race. It has nothing to do with a lot of the stuff they talk about. HBO always seems to push race. Otherwise I loved the show. Such amazing music was made during that time. But yacht rock is basically pop music from the late 70s to the 80s and that is pretty much it, but it is great to enjoy this show because it has great music it might open some new listeners to this music. I would recommend watching it to anybody. If you've never listened to the Doobie Brothers or Hall & Oates. Or George Benson. You are in for a treat. Yacht rock rocks!",False
10,8,Whatever!,mcorner,n/a,16/08/2025,"SpoilerI've had the yummies for Michael McDonald for pert near 50 years. He wasn't what other teenage girls were interested in, but that just meant more for me. I'm no longer jailbait, but his voice still makes my heart skip a beat. And that hair and eyes! Total package!Anyway, I'm on Donald's side when it comes to whether or not Steely Dan is yacht rock or not, but it's a made up genre anyway. As many are. You can't drill things down to arbitrary categories in most cases. That is just life. I see why he might be a bit angry (?) , but if people are listening, who cares what they call it? It's all about the music, man!",True
11,6,"If you love this genre of music, you will love this film. I do not love this genre",asc85,n/a,16/08/2025,"The era of so-called ""Yacht Rock"" is in the sweet spot of my music listening in my high school and college years, so I was of course interested in this documentary. After about a half hour, I realized I didn't like it as much as I thought I would, because I'm not a big Yacht Rock fan! Never was a big fan of Christopher Cross, Steely Dan, Kenny Loggins, etc. So when they are talking about their work, often as high art, it's hard for me to really appreciate that. As someone who loves seeing these historical pieces about music in the 60's, 70's and 80's, I'm glad I saw it, and definitely learned some new things. But make sure you can at least tolerate the music being highlighted in this documentary. Otherwise, it's going to be a tough slog. Miscellaneous factoid: Michael McDonald must be a very nice guy. Every artist who worked with him seemed to only have nice things to say about him.",False
12,10,A DOCK & A SMILE...!,masonfisk,n/a,16/08/2025,"A current documentary streaming on Max. Back in the aughts, a group of comedians decided to post short videos online lambasting the telltale popular adult contemporary music of the late 70's & early 80's (personified by acts like Toto, Steeley Dan, Christopher Cross, Kenny Loggins, The Doobie Brothers, particularly lead singer Michael McDonald & a handful of others) which after being viewed & passed around like the best joint ever, soon developed into a true groundswell love of those bands w/their music dubbed the titular moniker. Gathering the named players (at least the ones who are still upright & walking around) we get the build up to their music which was embraced by audiences maybe as an antidote to the other genres rising up or prevalent at the time like arena rock, punk & incipient new wave but when MTV reared its ugly head, many of these acts soon fell by the wayside but then black artists started to gravitate to these musicians of yesteryear (Thundercat is unapologetic about his love of this music), a resurgence was due. W/an air of bemused incredulity this doc is hilariously heartfelt in its skewering which I found charming (especially since a lot of music was my childhood) which could have gone the way of crass ridicule but manages to be a welcome balm for any vitriol people may have as they look back in askance.",False
13,7,Garret Price salutes this pseudo-genre of music,dfloro,n/a,16/08/2025,"Remember the band ""Ambrosia""? They had several hits in the mid-1970s, perhaps most notably, the song titled ""You're the Biggest Part of Me."" Now listen to the 1981 Grammy-winning hit written by pop soundtrack maestro Kenny Loggins and that ubiquitous, blue-eyed soul singer named Michael McDonald, ""What a Fool Believes."" Are they in fact the same dang song? Well, in 2005 or so, comedians on the Internet decided they were at least in the same genre and it needed an evocative name: ""Yacht Rock."" Christopher Cross and Toto (David Paich, Steve ""Where's My Yacht"" Lukather and the Porcaro brothers) are all prominently featured in this documentary about a musical period in history, along with every other studio musician playing on most of Steely Dan's albums. As a guy who reviewed musical albums and concerts back in college in the late '70s and early '80s (before moving on to movies and TV), I might quibble with some of the inclusions (e.g., Steely Dan's AJA is a genius work of jazz-R&B-rock fusion), it is ultimately fun and quite humorous to discuss this ""pseudo-genre"" with its many progenitors. What's the ""dockumentary's"" funniest moment: the filmmaker finally reaching Donald Fagen on the phone to request an interview ""to discuss your music and genre,"" be asked ""What genre is that?"" answering ""Yacht Rock,"" to which the great Mr. Fagen replies, ""Why don't you just go F¥C£ YOURSELF!?"" and then hangs up! That, alone, earns this documentary a rating of 7.5/10.",False
14,1,Self-serving,pkagioglu,n/a,16/08/2025,"Decent amount of music research, check!Bringing attention to an excellent era of music, check!Calling it ""Yacht Rock"" is nothing but a weak marketing attempt, by pseudo trend-setters to start a new genre label.The music of that time is some of the best music ever made in the last 50 years, by monster musicians and they didn't have any such labels, in fact there was much blending of different genres.Bands like Toto, Dobbie Brothers, Steely Dan had a parade of top musicians in the recording sessions, some played in many other artists sessions.I think it is a great disrespect to try to lump them all into some generic, and completely arbitrary label. Have those guys ever been on a yacht?",False
15,7,"Steely Dan is not Yacht Rock. Michael McDonald is, and so much more.",asteffen,n/a,16/08/2025,"I watched this having grown up with the genre from a perspective most don't have. I started listening to this music on a plugged in AM/FM cube clock radio I snuggled with in my bed at night and progressed to hearing it in the stereo system I installed in my 1973 Ford LTD on Jensen speakers and a Clarion cassette deck. The documentary took liberties with what this music was labeled after the fact, and Steely Dan, while sharing many musicians on their albums, is not Yacht Rock. I support Donald Fagen's reaction at the end of the film based on that.I think Christopher Cross, in all his drug inspired creativity, defines this genre as advertised. When I was in high school and ""Sailing"" won song of the year, we were all shocked. In retrospect, it was right for the time. It just wasn't The Police and The Clash which I was in to, yet admittedly I enjoyed the song at the time too. I'm a musical chameleon, which is probably why this rockumentary resonated with me.Many artists were missed, and I won't capture them all, however there was no mentioned of jazz influences like Michael Franks and barely notation of Stanley Clarke and easy listening artists Seals and Crofts. Yet it was wonderful to see Brenda Russel, Toto, the Pocaro Brothers, Larry Carlton, and so many others. Yet let's be real. Michael McDonald defines this genre. Because he sounded like he sang. He defined session musicians of the era. And he comes across as very genuine. I put the success of Yacht Rock on him. A humble label for much larger 80's blue eyed easy listening soul. I'll always be grateful to him for that. He is the core of this sound and of this film. And for the hundreds of lesser known session musicians who worked their asses off every day to make this sound, I salute you and your work ethic.Not sure why the documentary went into Michael Jackson's ""Thriller"" other than the Toto backing band connection though the MTV introduction to the scene was a genuine massive moment. Suddenly you had to be visual and audible in your craft.And it should be no wonder to me why I love Bozz Scaggs ""Silk Degrees"" so much. The Toto guys were in the band and helped define his sounds.But how they kept putting ""Aja"" by Steely Dan as the definitive Yacht Rock album? No. There was a lot more happening in that scene than that one album that shared session musicians yet was so much more jazz, R&B and epic storytelling Oddessy style than anything else. Don't wrap Yacht Rock around that. Call it something else. It created something different. Culling it into this genre is lazy journalism. Yet the producers seemed to want it to be that way. Donald Fagan, your on the spot reaction was dead on. 😎",False
16,7,More Than the Title Leads You to Believe,cheryllauer,n/a,16/08/2025,"Excellent look and interviews from studio, musicians and artists from the late '70s and '80s. The documentary showed a lot of how jazz and blues inspired the music was from these artists. The only part I did not like was where they showed how some rappers used. Michael McDonald's music in the 90s. That part was unnecessary in my opinion. I've never been a fan of people stealing other artists' music.Other than that, I loved the interviews from the studio musicians that were parts of many albums. It was great to hear personal insights and how a lot of groups got their starts. I did not know that Toto was made up of so many studio musicians. Not a fan of Michael McDonald's voice, but I loved his stories and the documentary pointing out all those songs that he sang on during this time. It was really hilarious when they tried to get Donald Fagen of Steely Dan to comment on the phone.I've been a fan of the music ever since XM started the station in 2016. And the YouTube videos that started the Yacht Rock name are just hilarious! I highly recommend you check them out if youhave not watched them yet.",False
