Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,You wonder HOW the Academy didn't nominate this lovely picture...,planktonrules,n/a,15/08/2025,"SpoilerA few months ago when they announced the Oscar nominations for 2017, I was very surprised to see the French film, ""The Red Turtle"", among the nominees for Best Animated Feature. After all, this strange film featured a plot involving a man who falls in love with a woman who used to be a turtle.and has also earned less than a million dollars at the box office worldwide. At the same time, the Japanese animated film, ""Your Name."", earned over $350,000,000setting box office records throughout Asia for a Japanese animated movie. It has even earned more than any of the films from the terrific Studio Ghibli.home of the legendary Hayao Miyazaki!Fortunately, ""Your Name."" is now playing in select markets throughout the United States and I was in Philadelphia this week.where I jumped at a chance to finally see this record-breaking yet inexplicably snubbed movie. If it's playing near you, I suggest you consider also seeing this lovely and rather adult picture. Now when I say 'rather adult', I do not mean it has any objectionable content. However, parents should understand that just because it is a cartoon does not mean that younger children should see it. They simply could not be expected to follow the plot, as the film is complex and clearly designed for teens and adults.As to the story, for some time it's a tad confusing.and that's okay as it will eventually all come together. It seems that Mitsuha and Taki are somehow psychically linked. When Taki goes to sleep, he finds himself as Mitsuha.which is a bit embarrassing for him since he is a teenage guy and Mitsuha is a teenage girl! But why.why is he experiencing Mitsuha's life? And, the strange part is that he soon learns that what he's experiencing happened several years ago!! And what does a comet have to do with this as well? How can Taki's strange dreams possibly save Mitusha and her small village? I'd say more, but don't want to reveal too much about the story.The quality of this film is very, very nice. I would not say that the animation is quite as good as a typical Ghibli picture, but it is close. But what makes this a delightful film are that it never tries to be cute or formulaic.it's a wholly unique viewing experience. It also is very well written and kept my interesteven though I was suffering jetlag! I saw the film in Japanese with subtitles, though the theater and many others are showing an English dubbed version as well. So, in this case, I actually had the choice which I wanted to seewhich was very unusual.",True
2,10,Forget Disney! We have movies like Your Name.,jbbianchino,n/a,15/08/2025,"Your Name is just a good movie. This movie felt long, but not too long. All the way through, I was asking what would happen next. It was clever, emotional, and left me crying after the movie. The twist was done really well, and I almost wanted to pause the movie. Also, the animation is gorgeous. You get to see detailed images from many angles and perspectives, and there were hundreds of animators! The credits didn't start out with the cast like it usually would. The first thing you saw after a black screen was hundreds of names of animators and designers. I watched this movie again and I still felt my muscles ready to let tears out. I would not recommend this movie any less than the next guy, so what are you waiting for? Get a couple of friends and watch Your Name!",False
3,10,could be the greatest love story of all time,A_Different_Drummer,n/a,15/08/2025,"In truth, the most competitive area of fiction is not invasions from outer space or talking dogs or impossible missions but rather the most basic narrative of all, the love story.And this is also the most overcrowded field, and the most difficult to do right.This film, this story, is extraordinary. It reminds me of MY SASSY GIRL, a love story from Asia that captured the imagination of the world and has almost become a franchise, it's been copied so many times.It also brings to mind Richard Matheson's classic BID TIME RETURN, another love story for the ages that uses time juxtaposition. (Done as the movie SOMEWHERE IN TIME, 1980).I already gave this the highest rating on the IMDb.The animation is stunning and complimentary to this one-of-a-kind tale.All things considered, I would like to avoid the ongoing arguments about which Japanese animation studio is better, or worse, than the other.I prefer to simply be grateful that Japanese anime exists at all, because I cannot imagine any other country producing something this moving, this powerful, in graphic form.((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",False
4,10,Beautiful,yannickd,n/a,15/08/2025,"I went in to see Kimi no Na ha without knowing anything about the movie. I had simply been intrigued by the movie poster with the comet as a background to two high school students living in wildly different environments - and the excellent reviews on its Friday release convinced me to see it just the day after.Not knowing anything about the movie made me relish every single moment of it. The two main characters would, it seems, never have the occasion to meet each other, but through a mysterious circumstance are led to share some of their waking hours with each other. At first, the movie struck a compelling, funny and nostalgic view at high school life in Japan, love, friendship, puberty, teenage angst and some elements of mysticism. It felt like a very fresh and charming sentimental love comedy with a dash of depth and teenage angst. And it already utterly captured me at that point.Yet midway, the movie veers resolutely into dramatic, and more mystical territory, while managing to keep the lighthearted tone it had reached during the first half at just the right moments. Together with one of the main characters, I was shocked and powerless upon learning of one aspect that had eluded both protagonists, as well as the audience. At the same time, a trope often used in science-fiction got thrown into the mix and the stakes suddenly get much higher, making me look back to the first half of the movie and thinking ""wwwooooowww I get it now"", while following the paths of the protagonists, which, just like the Kumi Himo (thread making?) that Miyamizu Shrine makes, represent time itself. Meeting, diverging, tangling, getting cut, doubling back. The second half of the film is a perfect adventure, full of suspense, humor, hope, and yes, tears. And at some points, it gets close to tragedy (one scene in a train left a huge lump in my throat). In some respect it reminded me of Spirited Away (my long time favorite animation movie), in which both main characters grow thanks to the other, and whose paths had crossed and would cross again, beyond memory or reality.Saying more would spoil the movie, so I have been very, very vague. Suffice it to say the movie made me laugh, cry, get the goosebumps, and got me to the edge of my seat at some points. It really had great storytelling, pacing, characters, and emotions throughout. I loved it.The visuals were also gorgeous. Absolutely gorgeous. Tokyo is more real than the real Tokyo, and the director, animators, background artists, and computer artists seem to have devilish fun playing with lighting and getting some of the most beautiful scenes and moments I can recall in an animation movie.I should mention the music as well, which was very, very good. I know RADWIMPS (I went to see them live a couple of years back), but was surprised at the tone they achieved, and how well it fit with the movie - the music, along with the visuals, really help in getting a full immersion into the story.However, some of the most hilarious jokes in the movie seem to be untranslatable to English - in particular the ""dialects"" of the main characters, as well as a specific moment that makes use of several of the ways that Japanese people use to refer to themselves, depending on context and sex (watashi, watakushi, boku, ore). So I'm looking forward to seeing how those scenes will be handled in the translation!I have since seen the movie one more time, bought the OST, and bought and read the novelization (which is almost like the movie, but does give more insight into each character's thoughts and thought processes.). Highly recommended!",False
5,10,Your Name,Tweekums,n/a,15/08/2025,"SpoilerThis delightful Japanese animation follows two strangely interlinked lives; Mitsuha, a high school girl living in a rural area of Japan, and Taki, a similarly aged boy in Tokyo. They have never met but they somehow start switching places in their dreams. At first each thinks they are having strange but very realistic dreams but the following day as the 'dream' fades they are surprised when friends and family tell them that they had been behaving oddly the day before; not recognising anybody and not knowing where they are meant to be then each finds a note from the other. They continue to swap days until suddenly it stops Taki can't recall many details but he has a memory of the place Mitsuha lived and is drawn to find her. Armed with a sketch of the location he finds the village and learns a shocking truth it had been destroyed in a natural disaster three years previously and Mitsuha was amongst the five hundred people who died! He is determined to find a way to swap places again so he can save her.Anybody who has seen previous films from director Makoto Shinkai will immediately recognise the beautiful style of the artwork, with incredibly detailed backgrounds. Of course a good film must do more than 'look good' and this succeeds there too; the first half is a fun introduction to the characters and their situation. This is done with plenty of humour; the fact that they find themselves in bodies of the opposite gender is quickly handled in an amusing but not a crude manner. There are lots of delightful details such as while swapped they talk in different dialects and Taki talks like a girl of course this is better appreciated if you speak Japanese but is explained so non-Japanese speakers (like me) can realise that it is happening. The events that take place half way through the film come as quite a surprise and suddenly change to tone of the film. As Taki tries to find a way to save Mitsuha and her village it is far from obvious that he will be successful. Overall I'd certainly recommend this to older fans of good animation; the content isn't really unsuitably for younger viewers but it would probably be a bit confusing.These comments are based on watching the film in Japanese with English subtitles; an English dub is also available on the DVD I bought.",True
6,10,I am speechless.,itsnemra,n/a,15/08/2025,"So the movie is named ""Your name?"" and its a perfect title, it doesn't reveal anything about the content and yet it caught my interest. I tend to watch animated movies because they have so much more to offer at the same time it is a tougher competition.The story line is really good, why? Well it you are open minded it will be pretty easy to follow and accept what is going on, question about how and why get answered by themselves if you believe it is possible. Regarding the animation it give you what your mainstream point of view of Japans architecture, nature, culture and society, all from how they dress to the body language etc. The music, sound effects and voice actor/actress amplifies the emotions and guides you from start till end. There are plenty of a messages and it makes me thing about me and everything living around me, where I come from and where I am going. Regarding the character development its spot on, no more information was needed then what was provided, we are limited but at the same time free to make our own thought.I wish to say thank you to everyone who have supported and/or worked with this piece of art, they should feel really proud of themselves, it is an honor that you shared it with us (the viewers). Thank you!",False
7,10,Phenomenal,DoubleCshinobi,n/a,15/08/2025,"Kimi no Nawa is up there with the quality of work Studio Ghibli makes. It's a journey in a world breathing with atmosphere, mystery, and visual wonder. A journey about growth and resilience in the face of overwhelming odds. A journey about human emotion that transcends space and time, as we watch our two protagonists struggle relentlessly against fate. A journey that might just be one of the most captivating anime movie experiences I've had in years.Director Makoto Shinkai's artistry is something people tend to love or hate, but this film is solid proof to all of his disdainful critics that his movies were never ""just eye candy"". They explore the nature of life and relationships in quiet ways rarely seen or discussed, which is why most of them are not fast-paced or action packed...and why they are so beautiful. But even if you're not a fan of this kind of style with its major use of metaphorical imagery and mixture of subtle and explosive emotions, definitely give Kimi no Nawa a chance. This is by far his most ambitious, original movie in many ways. For instance, there's an actual mystical element to the story apart from his previous films that are set purely on realism. The pacing is a lot faster and intense. There's a surprising amount of humor in the script, making the chemistry between the characters more light-hearted and comically entertaining than expected. All of this is done through a narrative vision so emotional, so brilliantly realized, that I'm pretty sure everyone at the Anime Expo world premiere screening was tearing up, including me.Without spoiling, what mainly drives this film's story is the dynamics of our main characters' relationship. The way these two interact is just so unique and lovable. The premise itself allows them to bond on a more personal level, far more intriguing than the usual teenage love story where boy meets girl, boy likes girl, boy gets girl. Eventually, you become so invested in their strange relationship, that when all the action goes down, it's no longer just suspenseful - it's almost heartbreaking.Editing and sound design play a HUGE role in this immersion. There's rarely a single dull moment because of how gripping and emotionally driven the timing of every cut is. The sound design combined with a beautiful music score is outstanding - subtle and moving when creating atmosphere, powerful at times of dramatic conflict. In fact, the same can be said for pretty much all of the visual aesthetics - which if I haven't already mentioned, are amazing. This is a prime example of astonishingly jaw-dropping animation combined with powerful storytelling.Kimi no Nawa is not just any anime movie. It has the potential to be viewed and studied as art cinema. It's so beautifully crafted and meticulously detailed, I feel like I didn't even cover 80% of its greatness in this review. To do that, I would have to make a spoiler analysis review, and to do that, I would probably have to see the movie again, maybe a couple more times before I can fully appreciate this nearly flawless masterpiece.I know I sound like I'm fanboying, but as a film student and anime fan for many years, I'm being fully honest here - if Director Makoto Shinkai keeps this kind of quality up, he is going to be an even bigger name in the anime industry for years to come. Remember Your Name long enough until it's available in your country, if you're not seeing it in Japan theaters. Because trust me, you're not going to forget it. 10/10",False
8,7,"A visually pleasing film with depth, but with little weight",imoosachi,n/a,15/08/2025,"As an avid follower of the works of Studio Ghibli, this film had much to live up to, especially considering its deeper themes and the exploration of a different, more subtle sort of romance between two individuals separated by time and space. Unfortunately, this film turned out exactly as I expected and feared, with an interesting storyline and basis, yet the characters, dialogue, and overall crafting of the story itself detracted from the overall quality. I will focus mainly on the negatives in this review, as there are a plethora of other reviews that seem to only focus on the highlights.The main issue that I had with Your Name was the script. Having seen it both in the original Japanese with English subtitles, and also dubbed (on my second viewing) with the English voice actors, I was really hoping for the proper brevity and gravity that Studio Ghibli so constantly delivers. However, I was met with the characters stuck in an endless loop of telling viewers what they were feeling, and especially in the more intimate moments of the film, where this could have been left more to the viewers deduction – if someone is crying for a particular reason, it is often best left for the viewers to decide why; the character does not always need to vocalise their feeling in order to convey them. For this reason, I felt that I had very little attachment to the characters in a setting where attachment to the characters was vital.Furthermore, I believe that very little of the humour in this movie worked for the better. As I stated before, in a movie as heartfelt and intimate as this, the dialogue and the humour should be handled with the utmost care, and most of the time throughout the movie, I felt as if it took you away from the story – by all means, there certainly would be moments of humour when a boy switches bodies with a girl and vice versa, but humour was not the purpose of this movie, and this should have been respected.One last, and slightly more subjective gripe, but I found the music choices to often be contradictory and 'annoying,' to say the least. I understand that the montage sequence, set to an upbeat pop/rock song is a common event in the world of anime, and having seen many anime outside of Studio Ghibli myself, I understand and respect this. However, with a movie such as your name, I found it only broke apart the emotional storyline, and in many ways, lost some of the viewers investment in the story. The piano sequence (the main theme, I believe?) was beautiful; why not exclusively keep the orchestral/piano score throughout the entire movie? Overall, Your Name was a very solid attempt at a very difficult premise, with beautiful visuals, a poorly handled storyline, and not much else. 7/10",False
9,10,"Once seen, never forgotten- truly magnificent",TheLittleSongbird,n/a,15/08/2025,"'Your Name' is not just one of the best animes in recent years (and there have been some very good ones), but one of the best animes ever from personal opinion.Will go even further, saying it's one of the best animated films in recent years, one of the best animated or otherwise films of the year and that it rivals the masterworks of Miyazaki. This is a huge compliment, for any anime, animated film or even any film, and a bold claim that still stands. Much of it is to do with how 'Your Name's' stayed with me and the impact it's had, a film once seen but never forgotten.The animation in 'Your Name' is stunning, so beautifully and intricately drawn with immaculate attention to detail in the backgrounds and a simply breath-taking array of ethereal but also atmospheric colours. The music fits the film's atmosphere with no problem at all and also works wonders as a soundtrack on its own, serving superbly as music on its own.Meanwhile, the script is thought-provoking and touching, with much to say and explored expertly and neatly with no heavy-handedness. The storytelling engages throughout, sucks one into its world and never lets go of the immersing and is enormously heartfelt, really investing in the characters' chemistry and their love for each other. Pacing is deliberate, but never drags due to the emotional impact and how well realised the characters are, even when noticeably slower in the second half.Characters, and the film's themes, are brilliantly written and developed, and the voice acting is emotive and fit the characters with no qualms.In summary, a truly magnificent film all round that will be remembered for years to come. Deserves all the raves it's gotten, and deserving of even more. 10/10 Bethany Cox",False
10,7,"A beautiful piece of art, but the quality of the story is held back by Makoto Shinkai's ability to take that extra step,",patrickbuiter,n/a,15/08/2025,"I think most of us can safely say that as far as pure direction and art go, Makoto Shinkai's popular new movie called ""Your Name"" has taken the world by storm. As of now, it has won several large prizes and it's praised by casual watchers and critics alike.There is no doubt that this is in fact one of Makoto Shinkai's most beautiful pieces of art as far as pure visual fidelity goes. That, in combination with its engrossing soundtrack just allows the movie to speak to the heart directly. This often means that people will refrain from criticising this movie, and i find myself being a lone bird flying in the opposite direction of all the others when it comes to this movie.The issue i have with this movie doesn't lie in its art, or in its direction. It more lies within the lack of depth in the story itself. Makoto Shinkai is known for using repetitive settings in his movies, as they do tend to sell well.I just wish Makoto Shinkai would have been a bit more creative in his writing, rather than making me think ""oh, it's this again. Not very original."" The story is confusing, but once i figured it out it didn't leave me lost in thought and i was honestly disappointed.That being said, Your Name is still a solid movie with stunning animation and I'd recommend you try watching it yourself. It's not very long and it's definitely worth a watch purely because it looks stunning.",False
